,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_08,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WIFI_RTT_06,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1540968415253,-29,-33,-32,-30,-34,-40,-41,-49,-53,-54,-56,-53,-41,-52,-52,-53,-54,-56,-55,-200,-56,-200,-59,-59,-64,-60,-63,-61,-63,-65,-65,-63,-68,-200,-72,-200,-71,-71,-73,-200,-76,-71,-75,-79,-76,-84,-85,-79,-81,-74,-200,-86,-84,-84,-88,-55,-57,-62,-58,-70,-87,-77,-78,-60,-88,-200,-200,-200,-200,-200
1540968418264,-29,-33,-32,-30,-34,-40,-41,-49,-53,-54,-56,-53,-41,-52,-52,-200,-54,-56,-200,-200,-200,-200,-59,-59,-64,-200,-63,-61,-200,-200,-65,-63,-200,-200,-72,-200,-200,-200,-200,-200,-200,-71,-75,-79,-76,-84,-85,-79,-81,-74,-200,-86,-84,-84,-88,-55,-57,-62,-58,-70,-87,-77,-78,-60,-88,-200,-200,-200,-200,-200
1540968421287,-27,-33,-58,-28,-34,-48,-41,-48,-53,-54,-56,-53,-41,-49,-52,-200,-54,-59,-200,-200,-50,-200,-59,-57,-63,-200,-63,-61,-200,-200,-63,-63,-200,-200,-67,-200,-200,-200,-200,-200,-200,-74,-79,-83,-76,-83,-79,-81,-80,-71,-200,-86,-85,-84,-86,-55,-57,-62,-58,-70,-87,-77,-78,-60,-88,-69,-72,-200,-200,-200
1540968424303,-27,-33,-58,-28,-34,-48,-41,-48,-200,-54,-56,-200,-41,-49,-52,-200,-200,-59,-200,-200,-50,-200,-59,-57,-63,-200,-63,-61,-200,-200,-63,-63,-200,-200,-67,-200,-200,-200,-200,-200,-200,-74,-79,-83,-76,-83,-79,-81,-80,-71,-200,-86,-85,-200,-86,-200,-57,-62,-200,-70,-87,-77,-78,-60,-88,-69,-72,-200,-200,-200
1540968427327,-30,-33,-33,-28,-33,-37,-41,-48,-200,-48,-56,-200,-41,-54,-48,-200,-200,-57,-200,-200,-46,-200,-59,-56,-63,-200,-63,-61,-61,-200,-65,-63,-200,-200,-71,-65,-68,-200,-200,-200,-200,-75,-75,-79,-83,-81,-80,-81,-81,-76,-200,-86,-87,-200,-86,-200,-57,-58,-200,-70,-87,-77,-78,-60,-88,-69,-72,-74,-76,-200
1540968430337,-30,-33,-33,-28,-33,-37,-200,-48,-200,-48,-56,-200,-200,-54,-48,-200,-200,-57,-200,-200,-46,-200,-200,-56,-63,-200,-200,-61,-61,-200,-65,-200,-200,-200,-71,-65,-68,-200,-200,-200,-200,-75,-75,-79,-83,-81,-80,-81,-81,-76,-200,-86,-87,-200,-86,-200,-57,-58,-200,-70,-87,-77,-78,-60,-88,-69,-72,-74,-76,-200
1540968433364,-29,-33,-48,-29,-28,-49,-41,-48,-200,-56,-56,-200,-200,-57,-52,-200,-53,-56,-200,-200,-46,-200,-59,-56,-63,-200,-59,-64,-56,-200,-66,-63,-200,-200,-72,-65,-68,-200,-200,-200,-200,-79,-76,-79,-79,-81,-82,-79,-77,-79,-200,-86,-90,-200,-86,-200,-57,-60,-200,-70,-87,-77,-78,-60,-88,-69,-72,-74,-76,-200
1540968436379,-29,-33,-48,-29,-28,-49,-41,-48,-200,-56,-56,-200,-200,-57,-52,-200,-53,-56,-200,-200,-46,-200,-59,-56,-63,-200,-59,-64,-56,-200,-66,-63,-200,-200,-72,-65,-68,-200,-200,-200,-200,-79,-76,-79,-79,-81,-82,-79,-77,-79,-200,-86,-90,-200,-86,-200,-200,-60,-200,-70,-87,-200,-200,-60,-88,-69,-72,-74,-76,-200
1540968439403,-31,-33,-40,-28,-40,-49,-41,-48,-200,-52,-56,-200,-37,-52,-53,-200,-57,-54,-200,-200,-48,-200,-59,-56,-63,-200,-59,-63,-58,-200,-62,-63,-200,-200,-72,-65,-68,-200,-200,-200,-200,-71,-77,-82,-77,-81,-82,-83,-77,-75,-200,-86,-88,-200,-86,-200,-200,-60,-200,-70,-88,-200,-200,-60,-88,-69,-72,-74,-76,-200
1540968442420,-31,-33,-40,-28,-40,-49,-41,-48,-200,-52,-56,-200,-37,-52,-53,-200,-57,-54,-200,-200,-48,-200,-59,-56,-63,-200,-59,-63,-58,-200,-62,-63,-200,-200,-72,-65,-68,-200,-200,-200,-200,-71,-77,-82,-77,-81,-82,-83,-77,-75,-200,-86,-88,-200,-86,-200,-200,-60,-200,-200,-88,-200,-200,-200,-200,-69,-72,-74,-76,-200
1540968445445,-33,-33,-36,-28,-36,-41,-41,-48,-200,-53,-56,-200,-37,-50,-49,-200,-54,-48,-200,-200,-48,-200,-59,-58,-62,-200,-59,-63,-60,-200,-65,-63,-200,-200,-73,-65,-68,-200,-200,-200,-200,-73,-76,-81,-79,-81,-80,-83,-75,-75,-200,-86,-87,-200,-86,-200,-200,-60,-200,-200,-88,-200,-200,-200,-200,-69,-74,-74,-76,-57
1540968448458,-33,-200,-36,-28,-36,-41,-41,-48,-200,-53,-200,-200,-37,-50,-49,-200,-54,-48,-200,-200,-48,-200,-59,-58,-62,-200,-59,-63,-60,-200,-65,-63,-200,-200,-73,-65,-68,-200,-200,-200,-200,-73,-76,-81,-79,-81,-80,-83,-75,-75,-200,-86,-87,-200,-86,-200,-200,-60,-200,-200,-88,-200,-200,-200,-200,-69,-74,-74,-76,-57
