,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WIFI_RTT_03,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WIFI_RTT_08,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_07,WHU-2018,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1540968285225,-26,-45,-43,-59,-42,-43,-40,-49,-57,-54,-59,-55,-60,-200,-56,-49,-45,-55,-75,-200,-64,-51,-64,-67,-62,-67,-200,-69,-78,-66,-60,-81,-71,-79,-69,-200,-73,-200,-200,-77,-66,-75,-71,-83,-82,-71,-200,-200,-88,-76,-85,-200,-86,-76,-77,-85,-89,-200,-200,-64,-75,-72,-73,-81,-72,-73,-75,-86,-200,-200,-200,-200,-200
1540968288257,-26,-44,-43,-59,-42,-43,-40,-49,-57,-54,-59,-55,-60,-200,-56,-49,-45,-55,-75,-200,-64,-51,-64,-67,-62,-67,-200,-69,-78,-66,-60,-81,-71,-79,-69,-200,-73,-200,-200,-77,-66,-75,-71,-83,-82,-71,-200,-200,-88,-76,-85,-200,-86,-76,-77,-85,-89,-200,-200,-64,-75,-72,-73,-81,-72,-73,-75,-86,-200,-200,-200,-200,-200
1540968291285,-30,-43,-43,-54,-42,-42,-49,-49,-55,-54,-59,-57,-60,-200,-56,-49,-45,-55,-75,-58,-64,-52,-68,-66,-62,-65,-200,-69,-78,-67,-60,-81,-71,-79,-69,-200,-69,-200,-200,-74,-66,-75,-68,-83,-82,-71,-200,-200,-88,-76,-86,-200,-86,-75,-77,-85,-200,-200,-200,-73,-75,-72,-73,-81,-72,-73,-75,-86,-59,-77,-200,-200,-200
1540968294314,-30,-45,-43,-54,-42,-42,-49,-49,-55,-54,-59,-57,-60,-200,-56,-49,-45,-55,-75,-58,-64,-52,-68,-66,-62,-65,-200,-69,-78,-67,-60,-81,-71,-79,-69,-200,-69,-200,-200,-74,-66,-75,-68,-83,-82,-71,-200,-200,-88,-76,-86,-200,-86,-75,-77,-85,-200,-200,-200,-73,-75,-72,-73,-81,-72,-73,-75,-86,-59,-77,-200,-200,-200
1540968297347,-22,-48,-43,-51,-42,-42,-49,-49,-55,-54,-200,-57,-200,-200,-55,-49,-45,-55,-71,-58,-64,-52,-68,-66,-62,-65,-200,-69,-78,-67,-200,-81,-71,-200,-200,-200,-73,-200,-200,-72,-66,-75,-70,-83,-88,-73,-200,-200,-88,-76,-86,-200,-86,-75,-77,-85,-200,-200,-200,-73,-75,-200,-73,-81,-72,-73,-75,-86,-59,-77,-78,-83,-200
1540968300363,-22,-46,-43,-51,-42,-42,-49,-49,-55,-54,-200,-57,-200,-200,-55,-49,-45,-55,-71,-58,-64,-52,-68,-66,-62,-65,-200,-69,-78,-67,-200,-81,-71,-200,-200,-200,-73,-200,-200,-72,-66,-75,-70,-83,-88,-73,-200,-200,-88,-76,-86,-200,-86,-75,-77,-85,-200,-200,-200,-73,-75,-200,-73,-81,-72,-73,-75,-86,-59,-77,-78,-83,-200
1540968303387,-20,-44,-43,-51,-43,-44,-49,-49,-55,-54,-200,-57,-69,-200,-56,-49,-46,-54,-71,-58,-75,-52,-68,-66,-58,-65,-200,-200,-68,-67,-200,-81,-71,-200,-200,-200,-68,-200,-200,-72,-66,-76,-70,-83,-88,-73,-200,-200,-88,-77,-86,-200,-86,-74,-77,-85,-200,-200,-200,-73,-79,-200,-200,-81,-67,-73,-70,-86,-58,-77,-78,-83,-60
1540968306415,-20,-42,-43,-51,-43,-44,-49,-49,-55,-54,-200,-57,-69,-200,-56,-49,-46,-54,-71,-58,-75,-52,-68,-66,-58,-65,-200,-200,-68,-67,-200,-81,-71,-200,-200,-200,-68,-200,-200,-72,-66,-76,-70,-83,-88,-73,-200,-200,-88,-77,-86,-200,-86,-74,-77,-85,-200,-200,-200,-73,-79,-200,-200,-81,-67,-73,-70,-86,-58,-77,-78,-83,-60
1540968309439,-19,-42,-43,-51,-43,-41,-41,-49,-55,-200,-200,-57,-69,-200,-56,-49,-46,-54,-71,-58,-75,-52,-68,-66,-62,-65,-200,-200,-68,-69,-200,-200,-200,-200,-200,-200,-67,-76,-200,-72,-66,-75,-71,-84,-87,-73,-200,-200,-88,-77,-88,-200,-86,-74,-77,-85,-200,-200,-200,-73,-78,-200,-200,-81,-67,-200,-70,-200,-58,-77,-78,-83,-60
1540968312454,-19,-43,-43,-51,-43,-41,-41,-49,-55,-200,-200,-57,-69,-200,-56,-49,-46,-54,-71,-58,-75,-52,-68,-66,-62,-65,-200,-200,-68,-69,-200,-200,-200,-200,-200,-200,-67,-76,-200,-72,-66,-75,-71,-84,-87,-73,-200,-200,-88,-77,-88,-200,-86,-74,-77,-85,-200,-200,-200,-73,-78,-200,-200,-81,-67,-200,-70,-200,-58,-77,-78,-83,-60
1540968315477,-19,-34,-43,-51,-39,-41,-40,-49,-50,-47,-55,-50,-69,-200,-56,-49,-42,-55,-71,-58,-65,-52,-57,-69,-62,-65,-200,-200,-68,-64,-200,-200,-200,-200,-200,-74,-68,-76,-200,-72,-66,-79,-71,-78,-79,-69,-200,-200,-84,-81,-84,-88,-86,-80,-76,-85,-200,-200,-200,-57,-78,-200,-200,-200,-67,-200,-70,-200,-58,-77,-78,-83,-60
