,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_08,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_07,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_03,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1540968703350,-41,-38,-40,-42,-44,-36,-32,-38,-49,-200,-57,-57,-200,-57,-45,-200,-200,-51,-200,-54,-60,-63,-56,-77,-50,-200,-63,-57,-67,-55,-200,-57,-71,-62,-200,-53,-60,-70,-56,-200,-81,-54,-200,-61,-200,-85,-74,-72,-77,-200,-81,-88,-78,-80,-88,-85,-87,-76,-200,-45,-61,-56,-65,-65,-66,-72,-75,-76,-88,-51,-58,-58,-72,-81,-70,-88,-70,-200,-200,-200,-200,-200,-200,-200
1540968706384,-41,-38,-40,-42,-44,-36,-32,-38,-49,-200,-57,-57,-200,-57,-45,-200,-200,-51,-200,-54,-60,-63,-56,-77,-50,-200,-63,-57,-67,-55,-200,-57,-71,-62,-200,-53,-60,-70,-56,-200,-81,-54,-200,-61,-200,-85,-74,-72,-77,-200,-81,-88,-78,-80,-88,-85,-87,-76,-200,-45,-61,-56,-65,-65,-66,-72,-75,-76,-88,-51,-58,-58,-72,-81,-70,-88,-70,-200,-200,-200,-200,-200,-200,-200
1540968709419,-37,-35,-39,-45,-44,-36,-30,-38,-46,-200,-54,-57,-200,-57,-45,-200,-73,-50,-200,-54,-57,-65,-59,-77,-50,-200,-63,-57,-67,-55,-200,-57,-70,-58,-200,-53,-60,-74,-61,-200,-81,-54,-200,-60,-200,-85,-82,-73,-77,-200,-82,-87,-73,-80,-86,-85,-87,-76,-200,-200,-63,-56,-65,-73,-66,-72,-75,-76,-88,-51,-58,-58,-72,-81,-70,-88,-74,-66,-70,-78,-79,-80,-200,-200
1540968712450,-37,-35,-39,-45,-44,-36,-30,-38,-46,-200,-54,-57,-200,-57,-45,-200,-73,-50,-200,-54,-57,-65,-59,-77,-50,-200,-63,-57,-67,-55,-200,-57,-70,-58,-200,-53,-60,-74,-61,-200,-81,-54,-200,-60,-200,-85,-82,-73,-77,-200,-82,-87,-73,-80,-86,-85,-87,-76,-200,-200,-63,-56,-65,-73,-66,-72,-75,-76,-88,-51,-58,-58,-72,-81,-70,-88,-74,-66,-70,-78,-79,-80,-200,-200
1540968715486,-35,-39,-39,-45,-44,-36,-29,-33,-46,-200,-54,-57,-50,-57,-45,-200,-67,-50,-200,-54,-57,-60,-55,-77,-50,-200,-59,-57,-63,-55,-200,-56,-66,-58,-200,-53,-60,-74,-57,-200,-82,-58,-200,-60,-200,-86,-78,-78,-77,-200,-75,-88,-73,-80,-86,-85,-87,-74,-200,-200,-63,-200,-65,-72,-67,-72,-75,-76,-86,-51,-200,-58,-200,-200,-70,-88,-74,-66,-70,-75,-79,-80,-69,-200
1540968718522,-35,-39,-39,-45,-44,-36,-29,-33,-46,-200,-54,-57,-50,-57,-45,-200,-67,-50,-200,-54,-57,-60,-55,-77,-50,-200,-59,-57,-63,-55,-200,-56,-66,-58,-200,-53,-60,-74,-57,-200,-82,-58,-200,-60,-200,-86,-78,-78,-77,-200,-75,-88,-73,-80,-86,-85,-87,-74,-200,-200,-63,-200,-65,-72,-67,-72,-75,-76,-86,-51,-200,-58,-200,-200,-70,-88,-74,-66,-70,-75,-79,-80,-69,-200
1540968721556,-35,-35,-38,-38,-44,-58,-30,-35,-49,-200,-53,-57,-50,-56,-45,-200,-67,-46,-200,-57,-55,-68,-59,-73,-50,-200,-59,-57,-63,-55,-200,-56,-70,-58,-200,-58,-60,-74,-55,-200,-81,-58,-200,-60,-200,-86,-78,-75,-76,-200,-80,-87,-73,-80,-87,-84,-87,-75,-200,-200,-63,-71,-62,-72,-64,-72,-75,-76,-86,-51,-200,-58,-200,-200,-70,-88,-74,-66,-70,-75,-79,-80,-69,-200
1540968724588,-35,-35,-38,-38,-44,-58,-30,-35,-49,-200,-53,-57,-50,-56,-45,-200,-67,-46,-200,-57,-55,-68,-59,-73,-50,-200,-59,-57,-63,-55,-200,-56,-70,-58,-200,-58,-60,-74,-55,-200,-81,-58,-200,-60,-200,-86,-78,-75,-76,-200,-80,-87,-73,-80,-87,-84,-87,-75,-200,-200,-63,-71,-62,-72,-64,-72,-75,-76,-86,-51,-200,-58,-200,-200,-70,-88,-74,-66,-70,-75,-79,-80,-69,-200
1540968727623,-36,-35,-54,-39,-43,-50,-31,-35,-49,-200,-53,-58,-50,-56,-200,-200,-65,-50,-200,-54,-54,-71,-61,-76,-50,-200,-61,-200,-68,-200,-200,-56,-70,-58,-200,-58,-69,-74,-55,-200,-81,-58,-200,-56,-200,-86,-77,-74,-76,-200,-80,-87,-73,-80,-87,-86,-87,-79,-200,-200,-57,-71,-72,-72,-64,-69,-75,-200,-86,-200,-58,-200,-76,-200,-70,-88,-74,-68,-70,-75,-79,-80,-69,-200
1540968730651,-36,-35,-54,-39,-43,-50,-31,-35,-49,-200,-53,-58,-50,-56,-200,-200,-65,-50,-200,-54,-54,-71,-61,-76,-50,-200,-61,-200,-68,-200,-200,-56,-70,-58,-200,-58,-69,-74,-55,-200,-81,-58,-200,-56,-200,-86,-77,-74,-76,-200,-80,-87,-73,-80,-87,-86,-87,-79,-200,-200,-57,-71,-72,-72,-64,-69,-75,-200,-86,-200,-58,-200,-76,-200,-70,-88,-74,-68,-70,-75,-79,-80,-69,-200
1540968733684,-36,-36,-43,-40,-43,-50,-30,-34,-49,-64,-53,-54,-50,-56,-200,-200,-65,-50,-200,-53,-58,-62,-58,-76,-200,-200,-61,-61,-68,-200,-200,-58,-68,-58,-200,-58,-69,-74,-56,-200,-85,-57,-200,-57,-200,-85,-80,-74,-79,-200,-78,-87,-73,-82,-87,-86,-200,-75,-200,-200,-57,-71,-68,-72,-64,-69,-75,-200,-86,-52,-58,-200,-76,-200,-200,-81,-74,-68,-70,-75,-84,-80,-69,-90
1540968736715,-36,-36,-43,-40,-43,-50,-30,-34,-49,-64,-53,-54,-50,-56,-200,-200,-65,-50,-200,-53,-58,-62,-58,-76,-200,-200,-61,-61,-68,-200,-200,-58,-68,-58,-200,-58,-69,-74,-56,-200,-85,-57,-200,-57,-200,-85,-80,-74,-79,-200,-78,-87,-73,-82,-87,-86,-200,-75,-200,-200,-57,-71,-68,-72,-64,-69,-75,-200,-86,-52,-58,-200,-76,-200,-200,-81,-74,-68,-70,-75,-84,-80,-69,-90
