,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WIFI_RTT_07,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_06,D-Link_DIR-823Pro,WIFI_RTT_03,D-Link_DIR-823Pro,WIFI_RTT_08,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro
1540968350415,-35,-40,-39,-37,-39,-48,-40,-36,-50,-44,-49,-64,-200,-52,-49,-54,-65,-200,-200,-72,-61,-58,-64,-58,-65,-65,-66,-73,-50,-200,-67,-74,-50,-200,-56,-72,-200,-80,-200,-54,-200,-77,-83,-80,-76,-200,-83,-82,-82,-200,-78,-200,-51,-56,-53,-65,-62,-61,-77,-78,-53,-88,-89,-55,-58,-88,-72,-72,-78,-81,-89,-200,-200
1540968353445,-35,-40,-39,-37,-39,-48,-40,-36,-50,-44,-49,-64,-200,-52,-49,-54,-65,-200,-200,-72,-61,-58,-64,-58,-65,-65,-66,-73,-50,-200,-67,-74,-50,-200,-56,-72,-200,-80,-200,-54,-200,-77,-83,-80,-76,-200,-83,-82,-82,-200,-78,-200,-51,-56,-53,-65,-62,-61,-77,-78,-53,-88,-89,-55,-58,-88,-72,-72,-78,-81,-89,-200,-200
1540968356471,-31,-42,-39,-38,-36,-48,-40,-36,-49,-44,-48,-61,-200,-51,-49,-54,-65,-200,-200,-71,-63,-61,-63,-58,-65,-200,-66,-71,-50,-200,-68,-70,-52,-82,-60,-68,-200,-79,-200,-54,-200,-77,-78,-80,-76,-200,-83,-82,-82,-84,-79,-200,-51,-56,-200,-200,-62,-60,-200,-200,-53,-88,-89,-55,-57,-88,-72,-72,-74,-81,-89,-200,-200
1540968359500,-31,-42,-39,-38,-36,-48,-40,-36,-49,-44,-48,-61,-200,-51,-49,-54,-65,-200,-200,-71,-63,-61,-63,-58,-65,-200,-66,-71,-50,-200,-68,-70,-52,-82,-60,-68,-200,-79,-200,-54,-200,-77,-78,-80,-76,-200,-83,-82,-82,-84,-79,-200,-51,-56,-200,-200,-62,-60,-200,-200,-53,-88,-89,-55,-57,-88,-72,-72,-74,-81,-89,-200,-200
1540968362516,-31,-40,-39,-38,-36,-48,-39,-36,-51,-200,-47,-61,-200,-51,-49,-54,-65,-200,-200,-71,-63,-61,-63,-58,-65,-200,-66,-71,-48,-200,-68,-74,-52,-82,-60,-68,-200,-79,-200,-54,-200,-77,-78,-80,-76,-200,-83,-80,-82,-84,-80,-200,-51,-56,-200,-75,-63,-60,-200,-200,-200,-88,-200,-55,-62,-88,-72,-72,-74,-81,-89,-78,-85
1540968365539,-31,-40,-39,-38,-36,-48,-39,-36,-51,-200,-47,-61,-200,-51,-49,-54,-65,-200,-200,-71,-63,-61,-63,-58,-65,-200,-66,-71,-48,-200,-68,-74,-52,-82,-60,-68,-200,-79,-200,-54,-200,-77,-78,-80,-76,-200,-83,-80,-82,-84,-80,-200,-51,-56,-200,-75,-63,-60,-200,-200,-200,-88,-200,-55,-62,-88,-72,-72,-74,-81,-89,-78,-85
1540968368570,-35,-40,-39,-38,-36,-56,-54,-36,-51,-200,-47,-60,-55,-54,-47,-54,-68,-200,-200,-71,-62,-61,-63,-56,-65,-200,-200,-71,-48,-200,-68,-73,-52,-82,-60,-73,-200,-79,-200,-200,-200,-77,-78,-80,-76,-200,-83,-81,-82,-84,-81,-200,-51,-56,-200,-75,-63,-60,-200,-200,-200,-88,-200,-200,-62,-200,-72,-72,-74,-81,-89,-78,-85
1540968371588,-35,-40,-39,-38,-36,-56,-54,-36,-51,-200,-47,-60,-55,-54,-47,-54,-68,-200,-200,-71,-62,-61,-63,-56,-65,-200,-200,-71,-48,-200,-68,-73,-52,-82,-60,-73,-200,-79,-200,-200,-200,-77,-78,-80,-76,-200,-83,-81,-82,-84,-81,-200,-51,-56,-200,-75,-63,-60,-200,-200,-200,-88,-200,-200,-62,-200,-72,-72,-74,-81,-89,-78,-85
1540968374604,-35,-38,-37,-35,-36,-56,-54,-45,-51,-51,-47,-60,-55,-50,-47,-54,-68,-200,-200,-70,-62,-63,-63,-57,-200,-200,-200,-71,-48,-200,-68,-73,-52,-82,-60,-69,-64,-78,-200,-200,-200,-75,-79,-78,-76,-200,-82,-81,-82,-84,-82,-88,-51,-200,-200,-75,-63,-60,-200,-200,-200,-88,-200,-200,-62,-200,-200,-72,-74,-200,-200,-78,-85
1540968377613,-35,-38,-37,-35,-36,-56,-54,-45,-51,-51,-47,-60,-55,-50,-47,-54,-68,-200,-200,-70,-62,-63,-63,-57,-200,-200,-200,-71,-48,-200,-68,-73,-52,-82,-60,-69,-64,-78,-200,-200,-200,-75,-79,-78,-76,-200,-82,-81,-82,-84,-82,-88,-51,-200,-200,-75,-63,-60,-200,-200,-200,-88,-200,-200,-62,-200,-200,-72,-74,-200,-200,-78,-85
1540968380629,-36,-37,-37,-35,-39,-56,-42,-42,-51,-51,-46,-59,-55,-48,-47,-54,-68,-57,-55,-74,-59,-62,-63,-57,-200,-200,-200,-71,-52,-200,-68,-74,-52,-82,-51,-71,-69,-78,-200,-200,-200,-75,-79,-79,-74,-200,-81,-81,-81,-84,-82,-88,-49,-200,-53,-75,-67,-60,-200,-200,-200,-88,-200,-200,-59,-87,-200,-72,-74,-200,-200,-78,-85
