,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WIFI_RTT_08,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WIFI_RTT_03,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1540968145368,-26,-35,-31,-52,-45,-40,-40,-63,-55,-57,-62,-200,-56,-49,-54,-60,-200,-59,-200,-64,-200,-54,-65,-64,-54,-60,-53,-200,-56,-200,-200,-62,-200,-69,-70,-200,-63,-200,-72,-65,-68,-68,-84,-63,-200,-64,-86,-86,-200,-80,-79,-200,-80,-89,-85,-200,-89,-86,-200,-55,-62,-86,-64,-75,-78,-81,-69,-70,-79,-200,-200,-200,-200,-200,-200,-200
1540968148398,-26,-35,-31,-52,-45,-40,-40,-63,-55,-57,-62,-200,-56,-49,-54,-60,-200,-59,-200,-64,-200,-54,-65,-64,-54,-60,-53,-200,-56,-200,-200,-62,-200,-69,-70,-200,-63,-200,-72,-65,-68,-68,-84,-63,-200,-64,-86,-86,-200,-80,-79,-200,-80,-89,-85,-200,-89,-86,-200,-55,-62,-86,-64,-75,-78,-81,-69,-70,-79,-200,-200,-200,-200,-200,-200,-200
1540968151426,-38,-36,-33,-49,-45,-39,-38,-63,-57,-57,-62,-200,-56,-49,-54,-58,-200,-65,-200,-66,-200,-57,-64,-64,-54,-60,-53,-72,-51,-200,-200,-61,-200,-69,-75,-200,-67,-200,-72,-65,-200,-68,-84,-71,-200,-64,-86,-85,-200,-78,-84,-200,-77,-88,-85,-200,-88,-87,-200,-200,-62,-88,-64,-75,-78,-81,-69,-70,-79,-200,-200,-200,-200,-200,-200,-200
1540968154459,-38,-36,-33,-49,-45,-39,-38,-63,-57,-57,-62,-200,-56,-49,-54,-58,-200,-65,-200,-66,-200,-57,-64,-64,-54,-60,-53,-72,-51,-200,-200,-61,-200,-69,-75,-200,-67,-200,-72,-65,-200,-68,-84,-71,-200,-64,-86,-85,-200,-78,-84,-200,-77,-88,-85,-200,-88,-87,-200,-200,-62,-88,-64,-75,-78,-81,-69,-70,-79,-200,-200,-200,-200,-200,-200,-200
1540968157481,-38,-36,-37,-56,-40,-41,-38,-200,-54,-52,-200,-200,-56,-49,-200,-58,-200,-65,-200,-66,-200,-57,-66,-64,-54,-64,-53,-72,-49,-200,-200,-65,-200,-66,-67,-65,-67,-200,-72,-70,-200,-71,-78,-71,-200,-64,-86,-83,-200,-78,-80,-200,-81,-88,-86,-85,-88,-87,-200,-61,-62,-88,-200,-78,-78,-81,-68,-73,-79,-52,-60,-72,-200,-200,-200,-200
1540968160509,-38,-36,-37,-56,-40,-41,-38,-200,-54,-52,-200,-200,-56,-49,-200,-58,-200,-65,-200,-66,-200,-57,-66,-64,-54,-64,-53,-72,-49,-200,-200,-65,-200,-66,-67,-65,-67,-200,-72,-70,-200,-71,-78,-71,-200,-64,-86,-83,-200,-78,-80,-200,-81,-88,-86,-85,-88,-87,-200,-61,-62,-88,-200,-78,-78,-81,-68,-73,-79,-52,-60,-72,-200,-200,-200,-200
1540968163543,-38,-36,-41,-49,-40,-41,-38,-67,-54,-56,-200,-200,-56,-54,-200,-53,-200,-63,-200,-70,-200,-58,-68,-64,-200,-64,-57,-69,-49,-200,-200,-66,-200,-68,-69,-64,-63,-200,-72,-70,-200,-71,-82,-71,-81,-200,-86,-83,-200,-81,-84,-200,-82,-89,-88,-85,-88,-88,-200,-61,-62,-88,-200,-78,-78,-81,-68,-73,-79,-52,-60,-72,-75,-76,-88,-90
1540968166571,-38,-36,-41,-49,-40,-41,-38,-67,-54,-56,-200,-200,-56,-54,-200,-53,-200,-63,-200,-70,-200,-58,-68,-64,-200,-64,-57,-69,-49,-200,-200,-66,-200,-68,-69,-64,-63,-200,-72,-70,-200,-71,-82,-71,-81,-200,-86,-83,-200,-81,-84,-200,-82,-89,-88,-85,-88,-88,-200,-61,-62,-88,-200,-78,-78,-81,-68,-73,-79,-52,-60,-72,-75,-76,-88,-90
1540968169606,-45,-38,-28,-45,-40,-42,-49,-67,-53,-56,-200,-200,-56,-55,-200,-56,-200,-59,-200,-71,-61,-58,-63,-64,-200,-60,-54,-71,-51,-200,-200,-63,-200,-68,-65,-64,-63,-200,-72,-70,-200,-72,-82,-71,-81,-200,-85,-83,-200,-78,-84,-200,-78,-89,-88,-85,-88,-88,-200,-61,-62,-86,-55,-78,-200,-81,-68,-73,-79,-50,-60,-76,-75,-76,-88,-90
1540968172635,-45,-38,-28,-45,-40,-42,-49,-67,-53,-56,-200,-200,-56,-55,-200,-56,-200,-59,-200,-71,-61,-58,-63,-64,-200,-60,-54,-71,-51,-200,-200,-63,-200,-68,-65,-64,-63,-200,-72,-70,-200,-72,-82,-71,-81,-200,-85,-83,-200,-78,-84,-200,-78,-89,-88,-85,-88,-88,-200,-61,-62,-86,-55,-78,-200,-81,-68,-73,-79,-50,-60,-76,-75,-76,-88,-90
1540968175666,-47,-49,-36,-55,-40,-42,-40,-67,-53,-55,-200,-72,-200,-55,-54,-60,-200,-59,-200,-71,-61,-58,-63,-64,-200,-60,-54,-73,-51,-200,-200,-63,-200,-68,-65,-64,-62,-200,-200,-73,-200,-72,-81,-71,-81,-200,-86,-83,-200,-78,-83,-200,-78,-89,-86,-85,-88,-88,-200,-61,-62,-86,-55,-78,-200,-200,-68,-73,-200,-50,-60,-76,-75,-76,-88,-90
1540968178695,-47,-49,-36,-55,-40,-42,-40,-67,-53,-55,-200,-72,-200,-55,-54,-60,-200,-59,-200,-71,-61,-58,-63,-64,-200,-60,-54,-73,-51,-200,-200,-63,-200,-68,-65,-64,-62,-200,-200,-73,-200,-72,-81,-71,-81,-200,-86,-83,-200,-78,-83,-200,-78,-89,-86,-85,-88,-88,-200,-61,-62,-86,-55,-78,-200,-200,-68,-73,-200,-50,-60,-76,-75,-76,-88,-90
