,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WIFI_RTT_03,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WIFI_RTT_07,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_08,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ
1540968074467,-33,-49,-36,-200,-51,-50,-33,-43,-200,-56,-60,-52,-200,-59,-200,-44,-58,-58,-56,-66,-56,-200,-200,-59,-200,-70,-62,-63,-50,-200,-72,-68,-69,-200,-82,-71,-70,-71,-75,-64,-84,-83,-200,-85,-87,-88,-89,-200,-87,-85,-200,-57,-78,-56,-72,-77,-85,-66,-67,-75,-63,-66,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968077492,-35,-49,-36,-200,-51,-50,-33,-43,-200,-56,-60,-52,-200,-59,-200,-44,-58,-58,-56,-66,-56,-200,-200,-59,-200,-70,-62,-63,-50,-200,-72,-68,-69,-200,-82,-71,-70,-71,-75,-64,-84,-83,-200,-85,-87,-88,-89,-200,-87,-85,-200,-57,-78,-56,-72,-77,-85,-66,-67,-75,-63,-66,-73,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968080525,-37,-49,-35,-51,-200,-50,-49,-43,-53,-56,-60,-52,-200,-65,-200,-44,-58,-58,-57,-200,-56,-200,-61,-59,-200,-66,-64,-65,-56,-200,-72,-74,-69,-200,-81,-71,-73,-78,-75,-72,-84,-84,-200,-85,-87,-89,-89,-200,-87,-85,-200,-57,-200,-56,-74,-81,-85,-65,-67,-75,-63,-66,-73,-77,-44,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968083556,-37,-49,-35,-51,-200,-50,-49,-43,-53,-56,-60,-52,-200,-65,-200,-44,-58,-58,-57,-200,-56,-200,-61,-59,-200,-66,-64,-65,-56,-200,-72,-74,-69,-200,-81,-71,-73,-78,-75,-72,-84,-84,-200,-85,-87,-89,-89,-200,-87,-85,-200,-57,-200,-56,-74,-81,-85,-65,-67,-75,-63,-66,-73,-77,-44,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968086585,-35,-41,-35,-51,-65,-48,-36,-43,-53,-56,-60,-54,-52,-57,-200,-44,-62,-58,-56,-200,-56,-200,-59,-57,-200,-66,-65,-69,-51,-75,-72,-72,-69,-200,-77,-72,-77,-78,-80,-77,-87,-88,-200,-86,-82,-88,-89,-200,-87,-85,-200,-57,-200,-56,-74,-81,-200,-65,-67,-75,-63,-66,-69,-77,-44,-72,-66,-81,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968089610,-35,-41,-35,-51,-65,-48,-36,-43,-53,-56,-60,-54,-52,-57,-200,-44,-62,-58,-56,-200,-56,-200,-59,-57,-200,-66,-65,-69,-51,-75,-72,-72,-69,-200,-77,-72,-77,-78,-80,-77,-87,-88,-200,-86,-82,-88,-89,-200,-87,-85,-200,-57,-200,-56,-74,-81,-200,-65,-67,-75,-63,-66,-69,-77,-44,-72,-66,-81,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968092621,-39,-41,-35,-51,-65,-48,-32,-43,-53,-56,-200,-54,-52,-57,-200,-44,-61,-67,-58,-200,-56,-200,-59,-57,-200,-66,-64,-69,-55,-75,-200,-73,-69,-200,-81,-79,-74,-78,-80,-71,-82,-84,-200,-87,-82,-88,-89,-200,-87,-85,-200,-200,-200,-56,-72,-76,-200,-65,-200,-200,-63,-66,-69,-77,-44,-72,-62,-81,-85,-66,-78,-93,-200,-200,-200,-200,-200,-200
1540968095655,-36,-41,-35,-51,-65,-48,-32,-43,-53,-56,-200,-54,-52,-57,-200,-44,-61,-67,-58,-200,-56,-200,-59,-57,-200,-66,-64,-69,-55,-75,-200,-73,-69,-200,-81,-79,-74,-78,-80,-71,-82,-84,-200,-87,-82,-88,-89,-200,-87,-85,-200,-200,-200,-56,-72,-76,-200,-65,-200,-200,-63,-66,-69,-77,-44,-72,-62,-81,-85,-66,-78,-93,-200,-200,-200,-200,-200,-200
1540968098682,-36,-54,-35,-51,-65,-50,-32,-43,-48,-56,-200,-54,-52,-55,-61,-43,-61,-63,-56,-65,-56,-200,-59,-57,-58,-66,-64,-61,-52,-75,-200,-74,-200,-200,-80,-79,-74,-70,-78,-71,-83,-88,-200,-87,-82,-88,-89,-200,-87,-85,-200,-200,-200,-56,-72,-76,-200,-65,-200,-200,-65,-66,-69,-77,-44,-72,-62,-81,-85,-66,-71,-93,-59,-65,-67,-200,-200,-200
1540968101708,-39,-54,-35,-51,-65,-50,-32,-43,-48,-56,-200,-54,-52,-55,-61,-43,-61,-63,-56,-65,-56,-200,-59,-57,-58,-66,-64,-61,-52,-75,-200,-74,-200,-200,-80,-79,-74,-70,-78,-71,-83,-88,-200,-87,-82,-88,-89,-200,-87,-85,-200,-200,-200,-56,-72,-76,-200,-65,-200,-200,-65,-66,-69,-77,-44,-72,-62,-81,-85,-66,-71,-93,-59,-65,-67,-200,-200,-200
1540968104723,-36,-42,-36,-49,-65,-52,-31,-43,-48,-56,-200,-54,-52,-57,-61,-43,-61,-63,-57,-61,-200,-200,-59,-57,-58,-66,-64,-66,-52,-75,-200,-71,-200,-200,-80,-79,-76,-70,-74,-71,-83,-88,-200,-84,-82,-88,-89,-200,-87,-200,-200,-200,-200,-200,-72,-76,-200,-65,-63,-200,-65,-200,-69,-200,-44,-70,-62,-81,-85,-66,-71,-93,-59,-63,-67,-75,-200,-200
1540968107755,-38,-42,-36,-49,-65,-52,-31,-43,-48,-56,-200,-54,-52,-57,-61,-43,-61,-63,-57,-61,-200,-200,-59,-57,-58,-66,-64,-66,-52,-75,-200,-71,-200,-200,-80,-79,-76,-70,-74,-71,-83,-88,-200,-84,-82,-88,-89,-200,-87,-200,-200,-200,-200,-200,-72,-76,-200,-65,-63,-200,-65,-200,-69,-200,-44,-70,-62,-81,-85,-66,-71,-93,-59,-63,-67,-75,-200,-200
1540968110787,-34,-41,-37,-49,-53,-52,-30,-43,-49,-56,-56,-54,-52,-60,-61,-44,-65,-60,-57,-63,-200,-200,-59,-54,-58,-62,-62,-66,-52,-75,-200,-67,-76,-200,-80,-79,-78,-70,-75,-71,-82,-88,-200,-83,-82,-88,-89,-200,-87,-200,-200,-55,-200,-56,-69,-76,-200,-200,-64,-200,-64,-74,-69,-200,-200,-70,-62,-81,-85,-66,-71,-93,-59,-63,-67,-75,-62,-82
