,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WIFI_RTT_03,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WIFI_RTT_08,WHU-2018,WHU-2018,WIFI_RTT_07,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1540968558742,-36,-31,-46,-39,-33,-57,-53,-51,-45,-54,-51,-200,-61,-200,-57,-200,-56,-200,-67,-68,-61,-60,-57,-59,-64,-59,-200,-57,-65,-67,-67,-200,-71,-200,-200,-200,-74,-80,-74,-72,-84,-75,-200,-86,-73,-200,-78,-80,-200,-78,-85,-83,-86,-87,-44,-41,-52,-53,-53,-61,-64,-84,-61,-54,-57,-65,-59,-86,-74,-82,-92,-200,-200,-200,-200,-200,-200,-200
1540968561769,-36,-31,-46,-39,-33,-57,-53,-51,-45,-54,-51,-200,-61,-200,-57,-200,-56,-200,-67,-68,-61,-60,-57,-59,-64,-59,-200,-57,-65,-67,-67,-200,-71,-200,-200,-200,-74,-80,-74,-72,-84,-75,-200,-86,-73,-200,-78,-80,-200,-78,-85,-83,-86,-87,-44,-41,-52,-53,-53,-61,-64,-84,-61,-54,-57,-65,-59,-86,-74,-82,-92,-200,-200,-200,-200,-200,-200,-200
1540968564787,-36,-31,-43,-42,-32,-57,-53,-43,-42,-54,-51,-200,-60,-200,-57,-200,-56,-200,-64,-64,-61,-60,-55,-54,-64,-59,-200,-57,-65,-67,-70,-200,-71,-200,-200,-200,-74,-80,-74,-69,-83,-200,-200,-86,-200,-200,-78,-79,-200,-78,-85,-83,-86,-87,-44,-41,-200,-200,-200,-64,-200,-200,-61,-54,-57,-65,-59,-86,-74,-82,-92,-57,-77,-200,-200,-200,-200,-200
1540968567810,-36,-31,-43,-42,-32,-57,-53,-43,-42,-54,-51,-200,-60,-200,-57,-200,-56,-200,-64,-64,-61,-60,-55,-54,-64,-59,-200,-57,-65,-67,-70,-200,-71,-200,-200,-200,-74,-80,-74,-69,-83,-200,-200,-86,-200,-200,-78,-79,-200,-78,-85,-83,-86,-87,-44,-41,-200,-200,-200,-64,-200,-200,-61,-54,-57,-65,-59,-86,-74,-82,-92,-57,-77,-200,-200,-200,-200,-200
1540968570829,-36,-38,-44,-47,-34,-57,-54,-43,-42,-54,-53,-200,-67,-200,-57,-200,-56,-200,-65,-64,-59,-69,-55,-57,-64,-59,-200,-58,-69,-68,-70,-200,-71,-69,-200,-200,-75,-81,-73,-69,-87,-200,-200,-86,-200,-200,-78,-81,-200,-77,-86,-85,-86,-87,-44,-41,-200,-200,-200,-64,-200,-200,-61,-200,-57,-65,-200,-200,-74,-82,-92,-57,-77,-61,-86,-200,-200,-200
1540968573850,-36,-38,-44,-47,-34,-57,-54,-43,-42,-54,-53,-200,-67,-200,-57,-200,-56,-200,-65,-64,-59,-69,-55,-57,-64,-59,-200,-58,-69,-68,-70,-200,-71,-69,-200,-200,-75,-81,-73,-69,-87,-200,-200,-86,-200,-200,-78,-81,-200,-77,-86,-85,-86,-87,-44,-41,-200,-200,-200,-64,-200,-200,-61,-200,-57,-65,-200,-200,-74,-82,-92,-57,-77,-61,-86,-200,-200,-200
1540968576877,-45,-32,-44,-47,-34,-59,-54,-51,-42,-56,-53,-58,-63,-200,-57,-200,-60,-200,-65,-61,-59,-69,-55,-58,-64,-200,-74,-58,-69,-74,-70,-200,-71,-68,-200,-200,-75,-81,-72,-70,-87,-200,-200,-85,-200,-200,-78,-81,-200,-77,-86,-83,-86,-87,-47,-41,-200,-200,-55,-64,-200,-200,-200,-200,-57,-65,-200,-200,-200,-82,-92,-57,-77,-61,-86,-200,-200,-200
1540968579898,-45,-32,-44,-47,-34,-59,-54,-51,-42,-56,-53,-58,-63,-200,-57,-200,-60,-200,-65,-61,-59,-69,-55,-58,-64,-200,-74,-58,-69,-74,-70,-200,-71,-68,-200,-200,-75,-81,-72,-70,-87,-200,-200,-85,-200,-200,-78,-81,-200,-77,-86,-83,-86,-87,-47,-41,-200,-200,-55,-64,-200,-200,-200,-200,-57,-65,-200,-200,-200,-82,-92,-57,-77,-61,-86,-200,-200,-200
1540968582926,-45,-31,-44,-46,-33,-59,-54,-47,-42,-56,-53,-58,-63,-67,-57,-200,-60,-200,-68,-62,-59,-69,-58,-58,-64,-200,-74,-59,-69,-69,-70,-68,-69,-68,-200,-200,-76,-81,-70,-72,-85,-200,-72,-85,-200,-200,-79,-80,-200,-80,-86,-83,-86,-87,-47,-200,-200,-61,-55,-64,-200,-200,-200,-200,-57,-200,-200,-200,-200,-200,-200,-57,-77,-61,-86,-67,-81,-200
1540968585945,-45,-31,-44,-46,-33,-59,-54,-47,-42,-56,-53,-58,-63,-67,-57,-200,-60,-200,-68,-62,-59,-69,-58,-58,-64,-200,-74,-59,-69,-69,-70,-68,-69,-68,-200,-200,-76,-81,-70,-72,-85,-200,-72,-85,-200,-200,-79,-80,-200,-80,-86,-83,-86,-87,-47,-200,-200,-61,-55,-64,-200,-200,-200,-200,-57,-200,-200,-200,-200,-200,-200,-57,-77,-61,-86,-67,-81,-200
1540968588966,-37,-32,-47,-44,-32,-56,-56,-45,-42,-56,-51,-58,-62,-68,-57,-200,-59,-200,-68,-61,-59,-69,-56,-58,-64,-63,-74,-59,-68,-69,-70,-68,-69,-68,-72,-200,-77,-82,-70,-70,-83,-200,-72,-85,-200,-200,-79,-82,-200,-80,-86,-83,-86,-88,-47,-44,-200,-61,-55,-64,-68,-200,-200,-65,-57,-200,-200,-200,-200,-200,-200,-57,-77,-61,-86,-67,-81,-200
1540968591994,-37,-32,-47,-44,-32,-56,-56,-45,-42,-56,-51,-58,-62,-68,-57,-200,-59,-200,-68,-61,-59,-69,-56,-58,-64,-63,-74,-59,-68,-69,-70,-68,-69,-68,-72,-200,-77,-82,-70,-70,-83,-200,-72,-85,-200,-200,-79,-82,-200,-80,-86,-83,-86,-88,-47,-44,-200,-61,-55,-64,-68,-200,-200,-65,-57,-200,-200,-200,-200,-200,-200,-57,-77,-61,-86,-67,-81,-200
1540968595005,-53,-32,-47,-45,-32,-62,-53,-44,-42,-56,-55,-58,-72,-68,-58,-200,-59,-200,-67,-60,-59,-69,-56,-58,-64,-63,-74,-65,-70,-69,-200,-68,-69,-68,-72,-200,-81,-80,-70,-70,-84,-200,-72,-85,-200,-200,-79,-84,-200,-79,-86,-83,-89,-88,-48,-44,-200,-61,-55,-200,-68,-200,-200,-65,-57,-200,-200,-200,-200,-200,-200,-200,-200,-61,-86,-67,-81,-72
1540968598027,-53,-32,-47,-45,-32,-62,-53,-44,-42,-56,-55,-58,-72,-68,-58,-200,-59,-200,-67,-60,-59,-69,-56,-58,-64,-63,-74,-65,-70,-69,-200,-68,-69,-68,-72,-200,-81,-80,-70,-70,-84,-200,-72,-85,-200,-200,-79,-84,-200,-79,-86,-83,-89,-88,-48,-44,-200,-61,-55,-200,-68,-200,-200,-65,-57,-200,-200,-200,-200,-200,-200,-200,-200,-61,-86,-67,-81,-72
