,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WIFI_RTT_03,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WIFI_RTT_07,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WIFI_RTT_06,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WIFI_RTT_08,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1540968773021,-38,-38,-36,-52,-58,-42,-48,-49,-41,-48,-55,-55,-48,-200,-46,-56,-60,-60,-59,-66,-60,-63,-200,-56,-60,-63,-64,-69,-200,-200,-200,-59,-63,-200,-74,-200,-62,-200,-71,-73,-75,-88,-63,-200,-72,-73,-68,-75,-76,-200,-86,-88,-80,-85,-79,-87,-80,-89,-70,-69,-77,-75,-68,-71,-85,-51,-50,-55,-52,-59,-72,-51,-73,-57,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968776053,-38,-38,-36,-52,-58,-42,-48,-49,-41,-48,-55,-55,-48,-200,-46,-56,-60,-60,-59,-66,-60,-63,-200,-56,-60,-63,-64,-69,-200,-200,-200,-59,-63,-200,-74,-200,-62,-200,-71,-73,-75,-88,-63,-200,-72,-73,-68,-75,-76,-200,-86,-88,-80,-85,-79,-87,-80,-89,-70,-69,-77,-75,-68,-71,-85,-51,-50,-55,-52,-59,-72,-51,-73,-57,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968779086,-37,-36,-48,-44,-56,-47,-47,-50,-41,-55,-55,-55,-52,-200,-53,-57,-60,-60,-59,-63,-60,-56,-200,-60,-60,-63,-62,-65,-200,-200,-200,-59,-59,-200,-74,-67,-71,-200,-69,-73,-77,-88,-63,-200,-76,-84,-77,-75,-78,-200,-81,-88,-80,-81,-84,-87,-80,-89,-70,-68,-200,-75,-68,-71,-85,-51,-50,-55,-52,-59,-72,-51,-73,-57,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200
1540968782112,-37,-36,-48,-44,-56,-47,-47,-50,-41,-55,-55,-55,-52,-200,-53,-57,-60,-60,-59,-63,-60,-56,-200,-60,-60,-63,-62,-65,-200,-200,-200,-59,-59,-200,-74,-67,-71,-200,-69,-73,-77,-88,-63,-200,-76,-84,-77,-75,-78,-200,-81,-88,-80,-81,-84,-87,-80,-89,-70,-68,-200,-75,-68,-71,-85,-51,-50,-55,-52,-59,-72,-51,-73,-57,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200
1540968785148,-34,-35,-33,-43,-39,-39,-47,-50,-41,-55,-43,-48,-47,-200,-53,-61,-60,-60,-59,-63,-60,-56,-200,-56,-55,-69,-62,-65,-67,-200,-200,-59,-63,-200,-74,-67,-71,-200,-65,-73,-77,-88,-63,-200,-77,-85,-80,-77,-74,-200,-81,-88,-80,-85,-83,-87,-80,-86,-70,-68,-200,-73,-68,-200,-88,-51,-50,-55,-54,-59,-72,-51,-73,-57,-81,-88,-71,-77,-200,-200,-200,-200,-200,-200
1540968788176,-34,-35,-33,-43,-39,-39,-47,-50,-41,-55,-43,-48,-47,-200,-53,-61,-60,-60,-59,-63,-60,-56,-200,-56,-55,-69,-62,-65,-67,-200,-200,-59,-63,-200,-74,-67,-71,-200,-65,-73,-77,-88,-63,-200,-77,-85,-80,-77,-74,-200,-81,-88,-80,-85,-83,-87,-80,-86,-70,-68,-200,-73,-68,-200,-88,-51,-50,-55,-54,-59,-72,-51,-73,-57,-81,-88,-71,-77,-200,-200,-200,-200,-200,-200
1540968791209,-29,-32,-35,-39,-39,-37,-47,-50,-39,-55,-43,-48,-51,-200,-56,-57,-64,-56,-59,-63,-60,-56,-200,-60,-56,-61,-58,-65,-68,-200,-200,-59,-63,-67,-200,-67,-56,-200,-72,-73,-81,-74,-63,-200,-75,-87,-81,-81,-71,-200,-82,-88,-80,-81,-86,-87,-80,-86,-70,-67,-200,-73,-68,-75,-88,-51,-200,-61,-54,-200,-200,-51,-73,-57,-81,-88,-71,-75,-200,-200,-200,-200,-200,-200
1540968794244,-29,-32,-35,-39,-39,-37,-47,-50,-39,-55,-43,-48,-51,-200,-56,-57,-64,-56,-59,-63,-60,-56,-200,-60,-56,-61,-58,-65,-68,-200,-200,-59,-63,-67,-200,-67,-56,-200,-72,-73,-81,-74,-63,-200,-75,-87,-81,-81,-71,-200,-82,-88,-80,-81,-86,-87,-80,-86,-70,-67,-200,-73,-68,-75,-88,-51,-200,-61,-54,-200,-200,-51,-73,-57,-81,-88,-71,-75,-200,-200,-200,-200,-200,-200
1540968797276,-33,-32,-35,-40,-39,-37,-47,-54,-39,-49,-43,-48,-51,-200,-50,-57,-57,-60,-60,-63,-66,-52,-200,-49,-60,-61,-58,-65,-68,-70,-200,-59,-63,-67,-200,-67,-56,-200,-74,-200,-83,-74,-200,-200,-77,-82,-73,-83,-79,-200,-82,-88,-84,-81,-85,-87,-88,-86,-60,-67,-200,-73,-68,-75,-88,-51,-52,-61,-54,-200,-200,-200,-200,-56,-81,-88,-71,-75,-59,-69,-71,-82,-89,-200
1540968800309,-33,-32,-35,-40,-39,-37,-47,-54,-39,-49,-43,-48,-51,-200,-50,-57,-57,-60,-60,-63,-66,-52,-200,-49,-60,-61,-58,-65,-68,-70,-200,-59,-63,-67,-200,-67,-56,-200,-74,-200,-83,-74,-200,-200,-77,-82,-73,-83,-79,-200,-82,-88,-84,-81,-85,-87,-88,-86,-60,-67,-200,-73,-68,-75,-88,-51,-52,-61,-54,-200,-200,-200,-200,-56,-81,-88,-71,-75,-59,-69,-71,-82,-89,-200
1540968803347,-30,-40,-40,-38,-39,-37,-47,-50,-50,-55,-43,-48,-51,-200,-58,-56,-57,-60,-60,-60,-66,-52,-200,-49,-61,-64,-57,-65,-68,-70,-200,-200,-63,-69,-72,-67,-67,-200,-69,-200,-80,-74,-200,-200,-75,-78,-73,-80,-78,-200,-82,-88,-84,-81,-80,-200,-86,-86,-57,-70,-200,-69,-68,-75,-87,-200,-53,-61,-54,-200,-200,-200,-200,-56,-200,-88,-71,-76,-59,-69,-71,-82,-89,-75
