,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WIFI_RTT_08,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WIFI_RTT_03,WIFI_RTT_07,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WIFI_RTT_06,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1540968632288,-41,-35,-40,-41,-41,-200,-36,-49,-37,-54,-65,-200,-49,-51,-60,-54,-58,-51,-62,-59,-60,-200,-45,-63,-64,-200,-62,-60,-57,-200,-54,-200,-65,-65,-200,-68,-75,-63,-200,-73,-69,-71,-200,-59,-200,-78,-76,-84,-77,-88,-72,-200,-86,-84,-88,-85,-55,-77,-81,-88,-78,-62,-77,-80,-86,-51,-54,-56,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968635306,-37,-35,-32,-41,-40,-200,-39,-52,-37,-54,-65,-200,-47,-47,-60,-52,-58,-56,-61,-63,-56,-200,-45,-63,-64,-200,-62,-64,-63,-200,-54,-200,-72,-61,-68,-68,-77,-71,-200,-74,-69,-71,-200,-59,-200,-85,-76,-79,-77,-84,-69,-200,-85,-84,-86,-85,-55,-69,-200,-88,-78,-60,-78,-80,-86,-51,-54,-56,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968638329,-41,-35,-32,-41,-40,-200,-39,-52,-37,-54,-65,-200,-47,-47,-60,-52,-58,-56,-61,-63,-56,-200,-45,-63,-64,-200,-62,-64,-63,-200,-54,-200,-72,-61,-68,-68,-77,-71,-200,-74,-69,-71,-200,-59,-200,-85,-76,-79,-77,-84,-69,-200,-85,-84,-86,-85,-55,-69,-200,-88,-78,-60,-78,-80,-86,-51,-54,-56,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968641357,-41,-33,-34,-41,-37,-45,-38,-53,-37,-54,-65,-48,-47,-47,-60,-50,-58,-54,-62,-63,-61,-200,-45,-64,-64,-200,-62,-64,-63,-200,-200,-200,-71,-61,-68,-68,-80,-71,-200,-74,-69,-71,-200,-59,-200,-79,-74,-80,-79,-84,-72,-200,-82,-79,-83,-85,-56,-69,-200,-88,-200,-60,-78,-80,-86,-51,-54,-56,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968644380,-40,-33,-34,-41,-37,-45,-38,-53,-37,-54,-65,-48,-47,-47,-60,-50,-58,-54,-62,-63,-61,-200,-45,-64,-64,-200,-62,-64,-63,-200,-200,-200,-71,-61,-68,-68,-80,-71,-200,-74,-69,-71,-200,-59,-200,-79,-74,-80,-79,-84,-72,-200,-82,-79,-83,-85,-56,-69,-200,-88,-200,-60,-78,-80,-86,-51,-54,-56,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968647409,-38,-33,-31,-41,-37,-45,-36,-53,-37,-59,-65,-48,-47,-49,-63,-51,-61,-54,-66,-60,-59,-200,-45,-66,-64,-200,-62,-62,-67,-200,-200,-200,-67,-61,-68,-68,-81,-65,-200,-74,-69,-71,-200,-200,-200,-79,-76,-80,-78,-82,-71,-200,-82,-79,-85,-83,-56,-69,-200,-88,-200,-59,-78,-200,-86,-53,-54,-56,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968650428,-39,-33,-31,-41,-37,-45,-36,-53,-37,-59,-65,-48,-47,-49,-63,-51,-61,-54,-66,-60,-59,-200,-45,-66,-64,-200,-62,-62,-67,-200,-200,-200,-67,-61,-68,-68,-81,-65,-200,-74,-69,-71,-200,-200,-200,-79,-76,-80,-78,-82,-71,-200,-82,-79,-85,-83,-56,-69,-200,-88,-200,-59,-78,-200,-86,-53,-54,-56,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968653452,-34,-36,-30,-41,-44,-45,-36,-53,-39,-51,-65,-48,-47,-56,-63,-52,-61,-51,-63,-60,-58,-200,-46,-62,-64,-200,-62,-62,-62,-200,-200,-200,-68,-61,-68,-200,-83,-65,-200,-74,-69,-71,-200,-200,-200,-79,-76,-84,-80,-82,-67,-200,-85,-79,-85,-83,-56,-69,-200,-86,-200,-59,-78,-200,-86,-52,-200,-59,-70,-55,-73,-75,-200,-200,-200,-200,-200,-200,-200
1540968656470,-37,-36,-30,-41,-44,-45,-36,-53,-39,-51,-65,-48,-47,-56,-63,-52,-61,-51,-63,-60,-58,-200,-46,-62,-64,-200,-62,-62,-62,-200,-200,-200,-68,-61,-68,-200,-83,-65,-200,-74,-69,-71,-200,-200,-200,-79,-76,-84,-80,-82,-67,-200,-85,-79,-85,-83,-56,-69,-200,-86,-200,-59,-78,-200,-86,-52,-200,-59,-70,-55,-73,-75,-200,-200,-200,-200,-200,-200,-200
1540968659505,-39,-32,-37,-40,-44,-45,-36,-52,-39,-51,-61,-48,-47,-49,-63,-51,-61,-52,-65,-63,-58,-200,-46,-64,-64,-200,-67,-60,-62,-200,-200,-200,-66,-72,-68,-200,-83,-65,-200,-69,-69,-200,-200,-200,-200,-80,-80,-80,-85,-82,-70,-200,-87,-79,-85,-84,-54,-69,-82,-86,-200,-59,-78,-200,-86,-52,-200,-59,-70,-53,-73,-75,-53,-62,-78,-200,-200,-200,-200
1540968662542,-40,-32,-37,-40,-44,-45,-36,-52,-39,-51,-61,-48,-47,-49,-63,-51,-61,-52,-65,-63,-58,-200,-46,-64,-64,-200,-67,-60,-62,-200,-200,-200,-66,-72,-68,-200,-83,-65,-200,-69,-69,-200,-200,-200,-200,-80,-80,-80,-85,-82,-70,-200,-87,-79,-85,-84,-54,-69,-82,-86,-200,-59,-78,-200,-86,-52,-200,-59,-70,-53,-73,-75,-53,-62,-78,-200,-200,-200,-200
1540968665573,-41,-32,-45,-40,-44,-45,-36,-52,-39,-52,-61,-48,-46,-49,-59,-52,-61,-52,-61,-61,-58,-200,-47,-63,-200,-200,-67,-64,-65,-200,-200,-200,-73,-72,-200,-200,-84,-65,-200,-69,-69,-200,-63,-200,-200,-78,-77,-81,-78,-83,-74,-200,-85,-79,-85,-84,-54,-200,-82,-86,-200,-59,-200,-200,-86,-52,-200,-59,-200,-53,-73,-75,-53,-62,-78,-59,-64,-72,-93
1540968668604,-43,-32,-45,-40,-44,-45,-36,-52,-39,-52,-61,-48,-46,-49,-59,-52,-61,-52,-61,-61,-58,-200,-47,-63,-200,-200,-67,-64,-65,-200,-200,-200,-73,-72,-200,-200,-84,-65,-200,-69,-69,-200,-63,-200,-200,-78,-77,-81,-78,-83,-74,-200,-85,-79,-85,-84,-54,-200,-82,-86,-200,-59,-200,-200,-86,-52,-200,-59,-200,-53,-73,-75,-53,-62,-78,-59,-64,-72,-93
