,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,DLINK_D02A88,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro
1526454159643,-29,-37,-39,-38,-38,-200,-53,-64,-52,-54,-41,-42,-54,-64,-59,-51,-62,-59,-59,-59,-74,-65,-66,-64,-81,-53,-66,-64,-70,-51,-66,-81,-72,-70,-73,-72,-72,-76,-84,-77,-86,-64,-78,-78,-68,-200,-75,-77,-72,-83,-200,-200,-81,-78,-82,-78,-78,-80,-86,-200,-84,-85,-200,-82,-200,-200,-200,-84,-81,-200,-88,-200,-200,-81,-74,-86,-77,-79,-82,-84,-82,-82,-93,-200,-200,-200
1526454162714,-29,-41,-39,-38,-41,-50,-53,-64,-52,-54,-41,-42,-56,-64,-59,-51,-59,-59,-63,-56,-74,-65,-65,-74,-70,-53,-66,-64,-69,-51,-67,-81,-73,-71,-200,-72,-72,-74,-84,-77,-86,-65,-78,-78,-68,-200,-75,-80,-72,-84,-200,-200,-80,-79,-82,-79,-80,-80,-200,-200,-85,-85,-200,-82,-200,-75,-200,-83,-81,-83,-88,-200,-200,-81,-87,-86,-200,-79,-82,-84,-82,-82,-93,-91,-200,-200
1526454165768,-32,-40,-40,-38,-43,-50,-52,-64,-53,-53,-39,-39,-56,-64,-58,-51,-59,-60,-59,-56,-76,-65,-68,-74,-70,-56,-67,-68,-65,-52,-65,-81,-73,-71,-200,-78,-72,-76,-84,-78,-86,-65,-80,-78,-64,-200,-75,-80,-72,-84,-200,-200,-81,-79,-82,-79,-80,-80,-200,-200,-81,-84,-200,-84,-200,-75,-200,-83,-200,-83,-200,-200,-200,-81,-87,-86,-200,-79,-200,-84,-82,-82,-93,-91,-200,-200
1526454168839,-32,-42,-39,-38,-41,-54,-53,-66,-55,-53,-36,-39,-55,-65,-57,-47,-61,-60,-59,-56,-76,-66,-66,-64,-70,-56,-67,-67,-65,-56,-65,-81,-73,-76,-200,-78,-200,-76,-84,-74,-200,-66,-79,-78,-66,-200,-75,-80,-72,-84,-200,-200,-82,-79,-82,-79,-80,-80,-200,-200,-81,-84,-200,-85,-200,-79,-200,-83,-200,-83,-200,-200,-200,-81,-87,-86,-200,-79,-80,-84,-200,-200,-93,-91,-200,-200
1526454171924,-30,-39,-39,-38,-41,-54,-53,-68,-54,-53,-40,-39,-55,-67,-57,-48,-61,-60,-58,-56,-75,-67,-66,-64,-68,-56,-67,-66,-67,-56,-65,-200,-75,-70,-200,-78,-200,-75,-200,-74,-200,-66,-78,-200,-66,-200,-86,-80,-72,-84,-200,-200,-80,-80,-82,-79,-78,-80,-200,-200,-82,-86,-200,-85,-200,-79,-200,-83,-78,-83,-85,-200,-200,-81,-87,-86,-200,-79,-82,-84,-80,-200,-200,-91,-86,-200
1526454174973,-30,-41,-39,-38,-41,-54,-49,-68,-55,-55,-39,-39,-55,-67,-57,-49,-59,-60,-58,-56,-75,-67,-66,-64,-68,-55,-67,-66,-71,-55,-65,-200,-75,-70,-200,-75,-68,-75,-87,-73,-200,-66,-78,-80,-67,-200,-86,-80,-71,-84,-200,-200,-80,-80,-200,-79,-81,-86,-200,-200,-82,-86,-200,-84,-200,-87,-200,-83,-78,-83,-85,-200,-200,-81,-88,-200,-200,-79,-82,-84,-80,-200,-200,-91,-86,-200
1526454178034,-29,-42,-39,-39,-42,-50,-50,-65,-55,-55,-39,-42,-55,-67,-60,-51,-61,-60,-58,-56,-77,-66,-67,-66,-68,-55,-65,-66,-71,-55,-67,-85,-75,-71,-200,-75,-68,-75,-88,-72,-200,-66,-78,-80,-67,-200,-86,-200,-71,-84,-200,-200,-82,-80,-77,-79,-80,-81,-88,-200,-82,-86,-200,-84,-200,-87,-200,-200,-78,-82,-85,-200,-200,-77,-88,-200,-200,-200,-82,-84,-80,-200,-200,-200,-86,-200
1526454181104,-29,-43,-39,-38,-40,-51,-57,-66,-55,-53,-39,-43,-55,-63,-60,-51,-59,-61,-61,-55,-75,-65,-66,-66,-68,-55,-66,-67,-64,-55,-66,-85,-74,-70,-85,-77,-68,-75,-88,-75,-200,-68,-78,-80,-66,-200,-86,-200,-71,-200,-200,-200,-80,-80,-77,-79,-80,-84,-88,-200,-82,-86,-200,-80,-200,-87,-200,-200,-78,-82,-85,-200,-200,-77,-88,-200,-200,-200,-82,-82,-80,-200,-200,-200,-86,-96
1526454184137,-29,-40,-39,-38,-42,-51,-55,-65,-54,-54,-39,-39,-55,-65,-60,-48,-59,-61,-61,-57,-75,-65,-66,-64,-60,-55,-68,-66,-64,-56,-65,-85,-74,-70,-85,-77,-68,-75,-88,-75,-200,-68,-79,-80,-66,-200,-86,-200,-71,-200,-200,-200,-80,-79,-77,-79,-80,-82,-88,-200,-82,-86,-200,-81,-200,-87,-200,-200,-78,-82,-87,-200,-200,-79,-87,-85,-200,-200,-82,-82,-80,-200,-200,-200,-86,-96
1526454187212,-29,-43,-39,-38,-44,-48,-55,-65,-53,-54,-37,-40,-55,-66,-59,-48,-60,-61,-61,-54,-75,-65,-66,-64,-63,-55,-67,-66,-64,-56,-65,-85,-74,-70,-70,-77,-68,-75,-88,-75,-200,-68,-77,-80,-66,-200,-200,-200,-71,-200,-200,-200,-80,-79,-77,-79,-80,-82,-86,-200,-200,-86,-200,-78,-200,-87,-200,-200,-200,-80,-87,-200,-200,-79,-87,-87,-200,-200,-200,-82,-200,-200,-200,-200,-200,-96
1526454190256,-30,-42,-39,-38,-44,-48,-56,-65,-52,-49,-40,-40,-55,-66,-55,-54,-60,-61,-61,-53,-75,-67,-66,-65,-63,-55,-67,-66,-64,-51,-65,-80,-78,-68,-70,-77,-200,-75,-88,-75,-200,-68,-78,-78,-65,-200,-200,-200,-74,-200,-200,-200,-81,-76,-77,-200,-80,-74,-86,-200,-200,-86,-200,-82,-200,-200,-200,-200,-200,-80,-86,-200,-200,-82,-87,-87,-200,-200,-200,-82,-200,-200,-200,-200,-200,-96
1526454193308,-28,-42,-39,-38,-44,-52,-56,-65,-56,-52,-39,-43,-55,-68,-58,-51,-63,-61,-61,-56,-76,-67,-66,-65,-63,-54,-67,-66,-64,-51,-68,-77,-74,-71,-72,-77,-200,-75,-200,-77,-200,-68,-78,-78,-63,-200,-200,-200,-71,-200,-200,-200,-81,-76,-200,-79,-200,-74,-86,-200,-200,-200,-200,-83,-200,-78,-200,-200,-200,-80,-84,-200,-200,-82,-76,-87,-200,-77,-200,-82,-200,-200,-200,-200,-200,-96
