,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526455436404,-75,-200,-200,-84,-69,-83,-200,-200,-200,-78,-68,-76,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200
1526455437495,-200,-200,-200,-200,-200,-82,-200,-200,-83,-78,-70,-70,-76,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526455438568,-200,-200,-79,-200,-75,-87,-80,-200,-200,-200,-70,-70,-200,-90,-200,-200,-88,-91,-200,-200,-200,-200
1526455439709,-200,-200,-200,-200,-200,-200,-81,-200,-84,-200,-72,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526455440773,-200,-70,-200,-90,-200,-200,-200,-200,-87,-200,-64,-200,-200,-200,-200,-84,-200,-200,-89,-92,-200,-200
1526455441851,-73,-200,-200,-87,-200,-83,-76,-74,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455442967,-78,-69,-200,-200,-200,-200,-86,-78,-200,-200,-200,-200,-80,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526455443062,-88,-75,-200,-90,-72,-200,-200,-80,-200,-80,-72,-70,-67,-200,-200,-76,-200,-200,-85,-93,-200,-200
1526455444169,-200,-75,-200,-200,-70,-200,-82,-86,-73,-200,-200,-64,-200,-92,-90,-200,-200,-200,-90,-200,-200,-200
1526455445253,-200,-76,-200,-90,-72,-200,-82,-200,-90,-200,-200,-78,-74,-200,-200,-78,-96,-200,-200,-200,-200,-200
1526455446358,-79,-78,-200,-200,-200,-90,-81,-200,-200,-92,-77,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455447467,-200,-200,-200,-200,-74,-86,-79,-200,-200,-80,-70,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455448553,-200,-77,-83,-85,-200,-80,-200,-84,-200,-77,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455449669,-81,-200,-200,-200,-70,-200,-200,-91,-80,-84,-76,-70,-79,-200,-83,-200,-88,-200,-200,-200,-200,-200
1526455450813,-80,-81,-200,-200,-200,-200,-200,-82,-200,-83,-200,-70,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526455451859,-76,-200,-88,-200,-70,-84,-200,-85,-88,-76,-200,-79,-76,-200,-200,-200,-200,-200,-92,-200,-96,-200
1526455453054,-85,-200,-88,-200,-75,-200,-200,-200,-79,-200,-200,-71,-78,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526455454231,-200,-200,-200,-200,-72,-200,-200,-83,-73,-80,-72,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526455455280,-200,-83,-85,-200,-200,-82,-83,-200,-200,-78,-200,-200,-200,-93,-200,-200,-89,-200,-90,-200,-200,-200
1526455456430,-200,-200,-200,-92,-200,-200,-84,-90,-200,-83,-200,-200,-79,-200,-83,-76,-200,-200,-200,-200,-200,-200
1526455457466,-200,-200,-90,-200,-200,-200,-76,-200,-75,-80,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455458558,-76,-76,-85,-85,-72,-82,-200,-200,-200,-200,-200,-79,-75,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526455459665,-80,-86,-90,-200,-70,-200,-77,-200,-200,-200,-82,-71,-70,-200,-83,-200,-90,-200,-94,-200,-200,-200
1526455460789,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455461874,-200,-84,-200,-88,-73,-94,-82,-200,-200,-200,-70,-200,-75,-200,-95,-86,-89,-200,-200,-96,-200,-200
1526455463025,-200,-200,-200,-200,-71,-84,-80,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455464258,-200,-200,-200,-85,-200,-200,-200,-200,-200,-80,-200,-77,-70,-92,-200,-78,-200,-200,-200,-200,-200,-97
1526455466356,-200,-77,-200,-200,-200,-200,-80,-84,-200,-200,-72,-79,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526455467449,-80,-82,-200,-200,-200,-200,-200,-92,-81,-86,-85,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455468598,-78,-200,-92,-200,-200,-82,-200,-200,-81,-76,-200,-80,-200,-200,-200,-200,-86,-200,-200,-200,-200,-95
1526455469694,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-75,-70,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526455470774,-80,-200,-93,-200,-200,-89,-200,-88,-200,-94,-71,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455471910,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-76,-70,-76,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526455472973,-200,-200,-200,-82,-74,-200,-200,-200,-200,-83,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455473072,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-65,-77,-200,-200,-78,-90,-200,-200,-200,-200,-94
1526455474106,-76,-83,-200,-200,-74,-200,-83,-200,-78,-96,-77,-74,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200
1526455476263,-84,-200,-200,-84,-70,-91,-79,-200,-200,-200,-78,-72,-77,-200,-200,-77,-91,-200,-200,-200,-200,-200
1526455477370,-200,-80,-200,-200,-200,-200,-84,-200,-200,-200,-200,-70,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455477472,-82,-200,-200,-82,-76,-200,-83,-200,-74,-200,-72,-65,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526455479575,-83,-75,-84,-83,-71,-200,-81,-200,-200,-200,-71,-200,-76,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526455480690,-82,-200,-200,-200,-200,-200,-200,-90,-200,-200,-72,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526455480793,-200,-82,-200,-200,-200,-200,-200,-200,-73,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455481780,-200,-74,-89,-200,-75,-86,-81,-200,-85,-86,-72,-73,-78,-200,-200,-77,-200,-200,-88,-200,-200,-200
1526455482859,-76,-83,-200,-200,-200,-200,-81,-200,-76,-200,-200,-70,-200,-200,-200,-86,-87,-200,-200,-200,-200,-200
1526455483975,-200,-72,-200,-200,-78,-200,-200,-200,-200,-86,-70,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455485104,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-79,-200,-76,-200,-86,-200,-200,-200,-200,-200,-200,-200
