,vlucci.com AC-V1.4.0.0,abeacon_91C4,vlucci.com AC-V1.4.0.0,abeacon_9237,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9221,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,abeacon_92C8,vlucci.com AC-V1.4.0.0,abeacon_940E,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9286,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1540968199335,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-91,-72,-200,-200,-200,-77,-200,-200,-200,-95,-200,-81,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968200382,-86,-200,-74,-96,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-84,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-78,-200,-200,-92,-87,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200
1540968202638,-84,-200,-76,-200,-200,-200,-200,-77,-200,-82,-200,-84,-85,-200,-91,-200,-76,-200,-86,-200,-200,-200,-91,-200,-200,-80,-200,-200,-200,-200,-200,-80,-82,-200,-92,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968205995,-200,-200,-200,-200,-200,-200,-84,-200,-200,-80,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-69,-200,-200,-200,-82,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200
1540968207092,-200,-200,-200,-84,-99,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968208181,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968208288,-82,-200,-78,-200,-200,-73,-80,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1540968209349,-200,-87,-200,-86,-200,-87,-84,-70,-86,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-71,-88,-200,-200,-200,-91,-200,-200,-88,-200,-200,-200,-200,-200
1540968212622,-200,-200,-79,-200,-200,-72,-200,-71,-83,-200,-200,-200,-86,-200,-90,-200,-78,-200,-200,-200,-200,-73,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1540968214796,-200,-200,-200,-200,-200,-200,-88,-66,-200,-200,-200,-200,-200,-200,-87,-200,-79,-200,-200,-76,-200,-70,-200,-200,-200,-78,-200,-200,-200,-200,-200,-74,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968217014,-200,-200,-74,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-90,-200,-200,-200,-200,-93,-200,-200,-200,-200
1540968218082,-200,-200,-200,-200,-200,-200,-200,-67,-85,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-92,-200,-81,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1540968219224,-200,-200,-77,-200,-200,-73,-200,-76,-200,-200,-200,-200,-85,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1540968220353,-200,-200,-81,-200,-200,-74,-83,-75,-81,-86,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-93,-77,-92,-200,-200,-200,-200,-91,-91,-200,-200,-75,-200,-200,-200,-200,-90,-87,-200,-200,-90,-95,-200,-200,-200,-200
1540968223666,-200,-200,-200,-82,-200,-84,-200,-70,-83,-85,-200,-79,-200,-200,-200,-200,-87,-200,-85,-78,-200,-66,-200,-93,-200,-82,-200,-200,-200,-200,-200,-77,-78,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968224852,-84,-200,-75,-200,-200,-200,-200,-200,-84,-200,-200,-89,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-93,-200,-200,-88,-200,-200,-91,-95,-200,-200,-200,-200
1540968227015,-88,-200,-200,-200,-200,-200,-87,-73,-85,-93,-91,-86,-200,-200,-85,-200,-90,-200,-200,-76,-200,-200,-90,-200,-88,-80,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968229217,-200,-200,-200,-200,-200,-200,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1540968230291,-200,-200,-200,-200,-200,-81,-200,-75,-84,-200,-200,-200,-200,-88,-200,-200,-71,-90,-85,-200,-97,-71,-200,-200,-200,-76,-200,-200,-200,-200,-98,-200,-84,-200,-96,-84,-200,-88,-200,-90,-200,-200,-92,-87,-91,-200
1540968233700,-83,-200,-200,-200,-200,-200,-200,-73,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968234768,-200,-200,-200,-200,-200,-72,-200,-76,-200,-200,-200,-86,-200,-87,-200,-200,-200,-200,-200,-200,-94,-67,-200,-200,-200,-76,-200,-200,-94,-200,-94,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200
1540968235938,-85,-200,-200,-200,-200,-200,-200,-85,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968236988,-200,-200,-78,-200,-200,-72,-85,-200,-80,-82,-200,-200,-200,-200,-93,-200,-80,-91,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-91,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968238063,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-87,-200,-200,-200,-90,-200,-84,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968239225,-200,-200,-79,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-88,-200,-200
1540968240287,-200,-200,-76,-200,-200,-200,-200,-200,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968241424,-200,-94,-86,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1540968242585,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968243642,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-86,-200,-200,-79,-200,-200,-83,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968243741,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1540968244790,-200,-92,-200,-200,-200,-200,-85,-70,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968245868,-85,-200,-200,-200,-200,-200,-200,-76,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-76,-200,-200,-94,-200,-200,-86,-200,-94,-90,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1540968246968,-200,-200,-200,-200,-200,-76,-200,-68,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-74,-92,-200,-200,-200,-200,-200,-83,-200,-200,-91,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968248095,-200,-200,-200,-200,-200,-200,-90,-78,-200,-200,-200,-200,-200,-200,-86,-200,-200,-90,-200,-79,-200,-72,-200,-200,-200,-88,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968249265,-200,-200,-76,-200,-200,-200,-91,-200,-200,-200,-200,-81,-92,-200,-200,-200,-74,-200,-200,-200,-200,-74,-200,-200,-200,-86,-85,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-86,-200,-200,-200,-95,-200,-91,-200,-96
