,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,abeacon_9286,vlucci.com AC-V1.4.0.0,null,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1540968058874,-75,-86,-200,-200,-74,-200,-200,-74,-68,-79,-92,-200,-86,-91,-200,-200,-75,-200,-200,-82,-86,-200,-200,-200,-96,-200,-200,-200,-93,-200,-200,-59,-200,-200,-200,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968060054,-200,-200,-200,-200,-75,-200,-200,-72,-200,-79,-200,-200,-200,-200,-200,-200,-200,-69,-77,-76,-200,-200,-200,-200,-200,-200,-80,-200,-94,-200,-200,-200,-96,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968062172,-200,-200,-200,-200,-73,-200,-70,-73,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968063272,-200,-200,-200,-200,-73,-200,-200,-72,-64,-86,-200,-200,-200,-200,-200,-200,-200,-200,-74,-74,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968064364,-73,-200,-200,-200,-200,-94,-66,-200,-64,-78,-200,-84,-200,-91,-200,-200,-200,-200,-200,-75,-200,-83,-200,-200,-200,-200,-200,-200,-200,-83,-83,-200,-200,-81,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968066608,-200,-92,-200,-200,-73,-200,-71,-73,-68,-200,-200,-83,-200,-200,-200,-200,-200,-58,-72,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-95,-200,-94,-96,-88,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968068793,-200,-200,-200,-200,-73,-200,-72,-200,-64,-92,-90,-200,-200,-200,-83,-83,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-94,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968069963,-200,-92,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-86,-200,-71,-58,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968072072,-200,-200,-70,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-74,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968073195,-200,-88,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968074279,-200,-85,-200,-200,-200,-200,-66,-72,-200,-200,-200,-90,-200,-91,-200,-200,-200,-200,-76,-200,-93,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968075374,-76,-88,-200,-200,-200,-200,-66,-74,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968076478,-70,-200,-200,-200,-200,-200,-66,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968077575,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-83,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-58,-98,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1540968077711,-72,-200,-200,-200,-75,-200,-70,-200,-200,-78,-200,-200,-200,-200,-200,-200,-72,-200,-75,-200,-200,-200,-200,-92,-200,-200,-85,-200,-200,-84,-200,-200,-95,-82,-200,-200,-200,-200,-200,-83,-89,-200,-200,-200,-200,-200,-200,-200
1540968078824,-76,-200,-200,-86,-200,-200,-73,-200,-75,-77,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968080967,-72,-92,-200,-200,-74,-200,-66,-73,-76,-81,-200,-200,-200,-200,-92,-79,-200,-62,-74,-200,-81,-82,-94,-200,-92,-200,-200,-200,-200,-86,-83,-200,-95,-84,-200,-85,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1540968083166,-72,-85,-200,-200,-200,-200,-70,-74,-73,-200,-200,-84,-200,-200,-200,-200,-70,-200,-74,-74,-80,-200,-200,-94,-200,-95,-200,-200,-200,-200,-82,-59,-200,-81,-200,-200,-200,-200,-93,-88,-200,-200,-200,-200,-200,-200,-200,-200
1540968085411,-81,-200,-200,-200,-74,-200,-77,-200,-200,-83,-200,-93,-200,-200,-200,-200,-200,-200,-72,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1540968086506,-73,-200,-200,-200,-200,-200,-74,-72,-200,-200,-200,-200,-200,-95,-87,-200,-200,-200,-76,-200,-79,-200,-200,-200,-200,-200,-200,-200,-92,-79,-90,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968087706,-200,-200,-200,-200,-75,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968088771,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-74,-81,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968089884,-200,-200,-200,-86,-200,-200,-70,-200,-64,-79,-200,-95,-200,-85,-200,-88,-78,-200,-200,-77,-87,-200,-200,-200,-200,-200,-200,-200,-200,-79,-92,-60,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968091029,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-85,-92,-200,-200,-200,-200,-200,-200,-200,-86,-93,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200
1540968092085,-200,-83,-200,-200,-74,-200,-200,-200,-200,-200,-96,-85,-200,-200,-200,-200,-200,-200,-74,-200,-85,-200,-93,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968093170,-74,-89,-200,-200,-76,-200,-200,-200,-71,-75,-200,-200,-200,-92,-200,-200,-200,-61,-73,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968094371,-72,-200,-200,-200,-73,-200,-73,-75,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-87,-200,-200,-200,-81,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-100,-200,-200,-200,-200,-200
1540968096491,-200,-200,-200,-200,-200,-200,-200,-72,-73,-200,-200,-200,-200,-200,-200,-84,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200
1540968097574,-200,-84,-81,-200,-75,-200,-200,-200,-200,-200,-200,-81,-200,-94,-200,-94,-200,-68,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-82,-200,-200,-83,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968097714,-79,-92,-200,-200,-74,-200,-200,-200,-65,-200,-200,-200,-200,-200,-84,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968098785,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-86,-92,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1540968099905,-200,-86,-200,-200,-200,-200,-200,-76,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-75,-75,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968100968,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968102109,-200,-200,-200,-200,-72,-200,-67,-200,-80,-200,-200,-200,-200,-200,-81,-200,-200,-200,-75,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968103202,-71,-200,-83,-200,-75,-200,-200,-73,-80,-81,-89,-200,-200,-200,-200,-77,-200,-200,-70,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968105406,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-57,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-96,-200,-200
1540968106511,-71,-86,-200,-200,-200,-200,-200,-73,-86,-80,-200,-200,-200,-200,-91,-200,-200,-60,-72,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968107605,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-66,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-92
1540968107704,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-63,-200,-77,-200,-81,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968108850,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540968109885,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-78,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
