,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464407763,-44,-48,-43,-62,-57,-75,-55,-65,-56,-48,-65,-57,-64,-69,-62,-76,-66,-72,-74,-75,-66,-69,-68,-79,-70,-81,-84,-87,-74,-85,-200,-77,-200,-200,-91,-83,-79,-85,-79,-200,-200,-200,-85,-89,-200,-200,-92,-79,-90,-200,-200,-200,-82,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526464410786,-44,-47,-44,-60,-56,-73,-56,-63,-55,-51,-66,-51,-65,-66,-61,-74,-61,-71,-74,-75,-70,-67,-68,-70,-71,-81,-85,-86,-74,-85,-200,-71,-200,-200,-89,-200,-79,-85,-200,-200,-200,-200,-85,-89,-200,-200,-200,-77,-200,-200,-200,-200,-82,-89,-91,-200,-200,-200,-200,-200,-200,-200
1526464413817,-50,-48,-40,-67,-56,-75,-60,-60,-51,-50,-68,-56,-66,-72,-62,-73,-66,-71,-74,-73,-65,-70,-68,-69,-72,-81,-85,-86,-74,-85,-200,-76,-200,-200,-89,-86,-79,-85,-79,-200,-200,-86,-85,-89,-200,-200,-200,-77,-200,-200,-200,-200,-82,-89,-91,-90,-200,-200,-200,-200,-200,-200
1526464416846,-47,-49,-44,-67,-57,-74,-56,-64,-52,-47,-65,-58,-63,-68,-62,-78,-61,-71,-75,-73,-66,-68,-67,-76,-71,-81,-84,-86,-73,-85,-200,-78,-200,-91,-89,-87,-79,-85,-82,-200,-200,-87,-87,-200,-200,-200,-200,-77,-89,-200,-200,-200,-82,-89,-91,-90,-89,-90,-200,-200,-200,-200
1526464419855,-46,-47,-42,-60,-57,-69,-54,-60,-52,-50,-66,-58,-64,-75,-62,-76,-61,-66,-74,-73,-64,-69,-63,-59,-70,-81,-84,-86,-73,-200,-200,-78,-200,-92,-89,-85,-79,-84,-79,-200,-200,-88,-86,-200,-200,-200,-200,-77,-88,-200,-200,-200,-83,-200,-200,-90,-89,-90,-200,-200,-200,-200
1526464422884,-64,-49,-43,-65,-57,-71,-56,-58,-50,-57,-72,-57,-67,-68,-60,-73,-65,-71,-74,-73,-65,-71,-64,-76,-74,-81,-83,-86,-69,-200,-200,-78,-86,-92,-90,-85,-77,-84,-79,-200,-200,-87,-87,-200,-200,-200,-200,-79,-88,-200,-200,-86,-84,-200,-200,-200,-89,-90,-200,-200,-200,-200
1526464425913,-48,-54,-44,-66,-57,-67,-54,-60,-51,-45,-64,-58,-63,-70,-62,-77,-60,-72,-74,-83,-65,-69,-65,-76,-72,-79,-83,-86,-71,-87,-200,-78,-86,-86,-90,-86,-86,-84,-82,-200,-200,-87,-82,-89,-200,-200,-200,-80,-88,-200,-200,-86,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464428961,-46,-49,-43,-61,-55,-67,-57,-63,-53,-53,-66,-57,-64,-69,-63,-76,-66,-72,-80,-83,-67,-70,-65,-76,-71,-79,-83,-200,-71,-87,-200,-72,-85,-86,-90,-86,-78,-84,-82,-200,-200,-87,-85,-89,-200,-200,-200,-80,-200,-200,-200,-86,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464431994,-46,-48,-43,-61,-63,-67,-56,-60,-50,-47,-66,-56,-63,-76,-62,-77,-62,-70,-80,-77,-63,-70,-65,-57,-71,-79,-83,-200,-71,-87,-200,-72,-85,-86,-90,-86,-78,-84,-82,-200,-200,-87,-85,-89,-200,-200,-200,-80,-200,-200,-200,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464435026,-46,-49,-43,-61,-64,-68,-54,-60,-54,-47,-64,-57,-63,-66,-68,-78,-61,-71,-81,-77,-66,-66,-70,-57,-71,-79,-87,-200,-72,-87,-200,-77,-85,-86,-200,-85,-78,-84,-81,-200,-200,-89,-85,-89,-200,-200,-200,-80,-200,-200,-200,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464438062,-46,-48,-37,-54,-45,-54,-46,-61,-59,-59,-47,-48,-69,-65,-65,-67,-71,-74,-81,-68,-66,-66,-70,-57,-76,-79,-81,-200,-72,-200,-200,-85,-81,-200,-200,-84,-72,-84,-81,-200,-200,-89,-85,-200,-200,-200,-88,-80,-200,-200,-200,-81,-89,-200,-200,-200,-200,-200,-88,-89,-90,-200
1526464441084,-54,-53,-40,-46,-48,-68,-58,-74,-58,-44,-65,-57,-63,-64,-61,-64,-64,-71,-81,-76,-62,-63,-68,-82,-76,-72,-83,-85,-77,-200,-200,-85,-81,-88,-200,-84,-72,-84,-86,-200,-200,-90,-200,-200,-200,-200,-89,-81,-200,-200,-87,-84,-89,-200,-200,-200,-200,-200,-88,-89,-90,-90
