,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8
1526464188945,-39,-35,-44,-55,-62,-59,-58,-61,-63,-64,-72,-66,-65,-71,-66,-75,-200,-77,-75,-72,-72,-73,-77,-86,-77,-71,-77,-79,-81,-88,-200,-89,-79,-80,-80,-65,-84,-200,-86,-84,-200,-83,-85,-82,-80,-200,-200,-91,-200,-93,-84,-87,-92,-88,-200,-88,-200,-92,-87,-85,-88,-89,-81,-200
1526464191984,-36,-35,-45,-49,-61,-54,-73,-57,-67,-60,-68,-70,-67,-76,-63,-75,-81,-71,-71,-72,-64,-73,-81,-86,-76,-71,-73,-79,-81,-88,-79,-89,-79,-200,-77,-70,-200,-200,-86,-84,-90,-83,-85,-82,-83,-200,-200,-91,-200,-93,-86,-87,-92,-88,-87,-88,-200,-87,-200,-200,-200,-200,-81,-200
1526464194996,-34,-36,-47,-47,-61,-57,-61,-50,-66,-63,-65,-68,-66,-64,-68,-75,-83,-71,-68,-70,-69,-74,-84,-86,-71,-80,-75,-83,-81,-82,-79,-89,-69,-200,-82,-69,-200,-200,-200,-84,-90,-83,-200,-83,-83,-200,-200,-200,-200,-83,-86,-87,-91,-83,-89,-200,-200,-87,-83,-200,-200,-200,-200,-200
1526464198018,-39,-34,-46,-47,-61,-62,-64,-52,-65,-59,-66,-65,-69,-79,-66,-79,-73,-71,-64,-70,-70,-74,-84,-86,-72,-70,-75,-83,-86,-77,-80,-87,-79,-200,-86,-74,-200,-200,-200,-84,-90,-200,-200,-83,-84,-200,-200,-200,-200,-83,-86,-87,-91,-83,-89,-86,-200,-87,-83,-200,-200,-200,-200,-200
1526464201037,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
1526464204048,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
1526464207069,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
1526464210098,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
1526464213127,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
1526464216157,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
1526464219187,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
1526464222219,-39,-34,-46,-46,-59,-54,-61,-54,-71,-61,-70,-68,-70,-73,-67,-78,-88,-71,-47,-72,-70,-76,-82,-81,-67,-74,-76,-83,-82,-75,-80,-87,-72,-200,-75,-74,-200,-84,-200,-200,-90,-92,-200,-83,-84,-200,-200,-200,-89,-83,-85,-200,-91,-83,-88,-86,-200,-87,-83,-200,-200,-91,-200,-85
