,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526449511759,-40,-48,-44,-56,-63,-64,-51,-61,-62,-53,-70,-68,-71,-57,-64,-79,-67,-70,-73,-74,-74,-77,-77,-68,-77,-77,-71,-80,-65,-67,-84,-74,-83,-85,-88,-80,-80,-200,-84,-90,-78,-86,-86,-79,-91,-85,-84,-79,-88,-90,-86,-75,-89,-88,-88,-86,-200,-85,-91,-86,-90,-89,-87,-89,-89,-90,-87,-200,-91,-200,-200,-200,-89,-88,-200,-84,-84,-200,-200,-93,-86,-200,-200,-200,-81,-89,-200,-90,-89,-200,-91,-90,-90,-89,-89,-200,-200,-200,-200,-200,-200
1526449514777,-40,-49,-45,-56,-64,-68,-50,-60,-63,-61,-71,-85,-70,-57,-74,-79,-64,-69,-72,-83,-77,-74,-76,-70,-78,-85,-71,-82,-66,-68,-84,-74,-89,-87,-86,-81,-81,-200,-85,-90,-77,-87,-85,-81,-91,-85,-84,-79,-87,-90,-87,-75,-88,-89,-89,-200,-200,-84,-200,-86,-90,-89,-88,-89,-88,-90,-87,-200,-91,-200,-200,-200,-89,-89,-200,-84,-83,-200,-91,-93,-86,-88,-200,-200,-81,-89,-200,-90,-89,-88,-91,-200,-90,-89,-89,-88,-89,-200,-200,-200,-200
1526449517796,-41,-50,-45,-55,-64,-60,-49,-59,-58,-57,-72,-70,-70,-58,-67,-76,-64,-70,-73,-83,-77,-78,-79,-69,-76,-85,-73,-78,-66,-69,-84,-73,-83,-85,-86,-80,-80,-200,-85,-90,-81,-87,-84,-80,-91,-85,-82,-81,-87,-90,-86,-67,-87,-91,-90,-88,-200,-84,-200,-89,-90,-89,-88,-89,-88,-90,-90,-200,-90,-200,-200,-200,-200,-89,-200,-82,-83,-200,-91,-90,-200,-88,-200,-200,-81,-89,-200,-90,-89,-88,-91,-89,-90,-89,-89,-88,-91,-200,-200,-200,-200
1526449520842,-40,-50,-47,-57,-62,-65,-49,-60,-64,-63,-65,-68,-72,-58,-71,-75,-65,-69,-73,-75,-79,-74,-78,-71,-77,-75,-70,-79,-65,-68,-84,-73,-82,-86,-86,-80,-83,-200,-85,-90,-77,-86,-85,-80,-91,-83,-82,-81,-89,-87,-84,-75,-88,-90,-90,-88,-200,-84,-200,-89,-90,-91,-89,-89,-88,-200,-85,-200,-90,-200,-200,-200,-200,-89,-200,-82,-83,-200,-91,-88,-200,-88,-200,-200,-88,-89,-200,-90,-88,-88,-90,-89,-200,-89,-89,-88,-91,-200,-200,-200,-200
1526449523853,-43,-47,-46,-55,-66,-55,-52,-58,-63,-61,-66,-73,-69,-57,-72,-73,-71,-68,-70,-73,-74,-70,-79,-71,-77,-75,-72,-80,-67,-71,-84,-77,-82,-86,-84,-80,-84,-200,-84,-90,-77,-90,-84,-79,-90,-83,-82,-83,-87,-89,-84,-70,-88,-90,-90,-87,-90,-82,-200,-87,-90,-91,-89,-89,-89,-200,-85,-200,-90,-200,-200,-200,-200,-89,-200,-83,-84,-200,-90,-88,-200,-88,-200,-200,-89,-200,-200,-200,-88,-88,-90,-89,-200,-89,-200,-88,-91,-91,-200,-200,-200
1526449526892,-42,-51,-47,-60,-62,-61,-50,-61,-66,-55,-73,-71,-67,-58,-66,-76,-65,-72,-70,-75,-74,-78,-80,-71,-77,-80,-74,-80,-66,-65,-85,-75,-81,-86,-84,-84,-83,-200,-85,-90,-80,-90,-84,-81,-90,-84,-82,-85,-87,-89,-87,-64,-91,-90,-89,-87,-90,-82,-200,-87,-90,-88,-90,-88,-89,-200,-85,-200,-90,-200,-200,-200,-200,-90,-200,-85,-84,-200,-90,-88,-200,-200,-200,-200,-89,-200,-200,-200,-88,-200,-90,-89,-200,-89,-200,-200,-91,-91,-200,-200,-200
1526449529925,-49,-51,-44,-60,-63,-63,-51,-60,-59,-56,-73,-71,-67,-47,-74,-75,-72,-71,-69,-75,-74,-76,-81,-68,-79,-85,-74,-79,-67,-67,-85,-72,-80,-86,-85,-83,-83,-200,-85,-88,-80,-88,-83,-80,-88,-84,-82,-79,-87,-86,-89,-68,-87,-89,-89,-87,-90,-82,-90,-87,-90,-88,-87,-93,-88,-200,-85,-200,-200,-200,-200,-200,-200,-93,-200,-85,-84,-200,-90,-88,-200,-200,-200,-200,-89,-200,-200,-200,-88,-200,-90,-200,-200,-89,-200,-200,-200,-91,-200,-200,-200
1526449532941,-41,-50,-47,-58,-61,-63,-49,-61,-58,-53,-70,-67,-73,-59,-62,-79,-66,-69,-70,-74,-73,-75,-81,-72,-81,-85,-75,-79,-67,-66,-82,-76,-80,-84,-88,-81,-81,-200,-85,-90,-80,-84,-87,-83,-88,-84,-88,-81,-87,-82,-87,-76,-87,-89,-89,-87,-90,-82,-90,-87,-90,-92,-87,-93,-88,-200,-200,-200,-91,-200,-200,-200,-86,-93,-200,-82,-84,-200,-90,-200,-85,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200,-200,-91,-200,-200,-200,-91,-90,-200,-200
1526449535956,-43,-50,-44,-55,-60,-70,-52,-56,-66,-58,-71,-69,-71,-59,-70,-77,-64,-68,-68,-74,-80,-76,-78,-70,-80,-85,-70,-83,-65,-66,-82,-76,-80,-84,-87,-80,-81,-200,-83,-90,-77,-84,-83,-82,-88,-82,-85,-83,-200,-82,-84,-67,-87,-89,-88,-200,-200,-84,-89,-87,-90,-90,-89,-93,-88,-87,-200,-200,-91,-200,-200,-200,-84,-88,-200,-82,-84,-200,-200,-90,-87,-200,-200,-200,-87,-90,-200,-200,-200,-200,-90,-200,-200,-89,-200,-200,-89,-200,-90,-91,-91
1526449538992,-42,-49,-45,-57,-62,-61,-54,-57,-63,-57,-73,-69,-69,-59,-74,-75,-68,-70,-73,-73,-80,-76,-81,-70,-82,-85,-73,-78,-65,-68,-81,-77,-82,-84,-83,-81,-80,-200,-83,-90,-81,-89,-83,-80,-88,-82,-84,-83,-200,-88,-85,-69,-89,-89,-89,-200,-200,-85,-89,-91,-90,-90,-86,-90,-88,-87,-200,-200,-91,-200,-200,-91,-89,-89,-200,-82,-83,-200,-200,-89,-87,-200,-200,-200,-87,-91,-200,-200,-90,-200,-90,-200,-200,-89,-200,-200,-89,-200,-90,-91,-91
1526449542016,-40,-50,-47,-55,-62,-59,-51,-59,-63,-58,-70,-70,-68,-57,-70,-77,-68,-70,-73,-73,-76,-76,-81,-70,-83,-200,-73,-82,-66,-68,-82,-76,-81,-85,-85,-82,-82,-200,-83,-89,-82,-86,-84,-80,-200,-85,-83,-84,-200,-88,-85,-74,-89,-92,-87,-200,-200,-85,-89,-91,-90,-90,-88,-90,-88,-87,-200,-200,-91,-200,-200,-91,-89,-89,-200,-82,-84,-200,-200,-83,-87,-200,-86,-200,-87,-91,-200,-200,-90,-200,-90,-200,-200,-89,-200,-200,-89,-200,-90,-91,-91
1526449545032,-49,-50,-47,-60,-60,-66,-51,-60,-60,-55,-80,-71,-68,-58,-64,-79,-70,-72,-72,-76,-78,-74,-79,-71,-81,-86,-79,-79,-66,-68,-82,-78,-81,-88,-84,-83,-80,-200,-79,-89,-81,-86,-88,-81,-200,-85,-83,-84,-200,-85,-85,-75,-89,-91,-87,-88,-200,-86,-92,-84,-90,-90,-86,-90,-89,-87,-200,-200,-90,-200,-200,-91,-89,-89,-200,-84,-84,-200,-200,-88,-87,-200,-86,-200,-87,-91,-200,-200,-88,-200,-200,-200,-200,-89,-200,-200,-89,-200,-91,-87,-91
