,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526449436807,-44,-38,-47,-14,-53,-57,-54,-54,-49,-65,-70,-63,-73,-70,-72,-72,-63,-76,-79,-72,-73,-68,-70,-64,-71,-68,-68,-68,-72,-72,-81,-78,-85,-81,-82,-84,-86,-72,-76,-88,-84,-86,-82,-81,-84,-81,-72,-91,-87,-82,-83,-200,-81,-92,-76,-84,-80,-88,-91,-83,-200,-200,-200,-91,-92,-90,-92,-200,-83,-87,-90,-89,-200,-79,-200,-89,-200,-200,-89,-200,-200,-90,-200,-88,-90,-86,-88,-90,-200,-200,-200,-200
1526449439819,-52,-39,-49,-32,-47,-68,-48,-54,-47,-62,-67,-67,-70,-78,-72,-64,-64,-78,-79,-77,-74,-68,-71,-67,-73,-65,-70,-74,-75,-73,-84,-78,-84,-89,-83,-77,-200,-74,-77,-86,-84,-91,-82,-83,-84,-85,-72,-91,-90,-82,-83,-200,-81,-92,-77,-84,-82,-89,-89,-83,-200,-200,-200,-91,-86,-90,-92,-200,-83,-87,-88,-89,-200,-89,-200,-87,-89,-200,-200,-200,-200,-90,-200,-89,-90,-86,-88,-90,-90,-200,-200,-200
1526449442860,-47,-37,-49,-32,-47,-60,-45,-51,-50,-59,-70,-55,-75,-75,-71,-63,-64,-78,-80,-73,-77,-68,-71,-60,-74,-63,-68,-71,-79,-69,-84,-79,-82,-81,-84,-82,-200,-77,-76,-86,-83,-91,-82,-83,-84,-84,-72,-200,-90,-85,-87,-200,-83,-92,-75,-83,-81,-89,-89,-83,-200,-200,-200,-89,-91,-90,-90,-200,-84,-84,-88,-89,-200,-87,-200,-87,-91,-200,-88,-200,-200,-90,-200,-89,-90,-86,-88,-90,-90,-88,-200,-200
1526449445892,-50,-38,-46,-35,-47,-61,-46,-51,-42,-62,-72,-55,-70,-73,-70,-66,-60,-80,-72,-68,-77,-69,-74,-63,-72,-69,-66,-69,-75,-70,-82,-81,-87,-81,-81,-79,-84,-74,-77,-86,-83,-91,-82,-84,-84,-84,-74,-200,-90,-85,-85,-200,-83,-92,-77,-84,-81,-84,-89,-200,-200,-200,-200,-87,-91,-90,-89,-200,-83,-81,-90,-90,-200,-90,-200,-91,-91,-200,-88,-91,-200,-90,-200,-89,-200,-200,-200,-90,-90,-88,-200,-200
1526449448923,-50,-37,-44,-34,-49,-60,-53,-53,-50,-67,-70,-60,-71,-75,-70,-65,-61,-77,-69,-70,-73,-71,-71,-61,-72,-63,-66,-71,-73,-72,-85,-85,-85,-79,-81,-85,-84,-72,-76,-200,-84,-89,-82,-86,-84,-83,-74,-200,-200,-84,-85,-200,-81,-200,-74,-86,-80,-86,-200,-85,-200,-200,-200,-89,-87,-200,-92,-200,-87,-84,-90,-89,-200,-90,-200,-91,-88,-200,-89,-92,-200,-89,-200,-200,-200,-200,-200,-200,-200,-88,-86,-200
1526449451943,-50,-39,-45,-34,-45,-56,-54,-55,-50,-68,-67,-56,-71,-72,-73,-66,-57,-73,-71,-72,-75,-67,-71,-62,-72,-69,-69,-69,-72,-70,-84,-83,-85,-77,-81,-87,-84,-72,-77,-200,-84,-89,-84,-82,-84,-81,-74,-200,-89,-82,-84,-200,-81,-200,-75,-85,-80,-85,-91,-84,-200,-92,-200,-89,-87,-91,-87,-200,-87,-84,-90,-89,-200,-89,-200,-91,-88,-200,-92,-91,-200,-89,-200,-83,-200,-200,-200,-200,-89,-90,-86,-200
1526449454986,-52,-39,-46,-38,-46,-57,-51,-55,-49,-66,-68,-57,-73,-81,-72,-66,-57,-70,-71,-72,-75,-69,-75,-62,-72,-75,-73,-69,-72,-69,-81,-84,-85,-77,-83,-87,-200,-72,-76,-200,-84,-89,-89,-82,-200,-78,-67,-200,-89,-83,-85,-200,-81,-90,-76,-83,-82,-85,-91,-84,-200,-92,-200,-93,-89,-91,-87,-200,-84,-89,-90,-88,-200,-89,-200,-91,-89,-200,-89,-91,-200,-89,-200,-83,-200,-200,-200,-200,-89,-90,-86,-84
1526449458024,-50,-37,-48,-36,-45,-56,-49,-56,-48,-63,-71,-57,-69,-73,-73,-70,-59,-73,-71,-75,-74,-66,-68,-62,-72,-63,-45,-70,-72,-69,-82,-84,-85,-77,-83,-79,-200,-72,-74,-200,-84,-89,-89,-82,-200,-82,-73,-200,-89,-84,-82,-200,-81,-87,-77,-85,-81,-85,-91,-84,-200,-92,-200,-93,-89,-91,-89,-200,-81,-84,-90,-89,-91,-89,-200,-200,-89,-200,-89,-91,-200,-200,-200,-83,-200,-200,-200,-200,-89,-90,-86,-84
1526449461039,-49,-37,-45,-36,-48,-61,-48,-55,-45,-67,-69,-58,-69,-77,-75,-69,-58,-77,-68,-75,-72,-73,-73,-60,-72,-70,-66,-72,-72,-70,-85,-84,-83,-77,-80,-87,-83,-72,-76,-85,-84,-200,-89,-84,-200,-83,-73,-87,-89,-84,-84,-200,-81,-90,-74,-86,-82,-86,-91,-84,-200,-92,-200,-89,-90,-88,-89,-200,-90,-84,-91,-89,-91,-90,-200,-90,-89,-200,-89,-91,-200,-200,-200,-88,-200,-200,-200,-200,-89,-90,-200,-84
1526449464049,-48,-38,-45,-34,-54,-61,-55,-55,-51,-65,-69,-59,-66,-75,-69,-68,-61,-74,-70,-71,-73,-66,-72,-60,-71,-64,-66,-71,-73,-69,-85,-86,-83,-78,-77,-78,-85,-72,-75,-87,-85,-200,-83,-84,-200,-83,-73,-87,-200,-84,-87,-200,-80,-90,-72,-87,-82,-86,-90,-86,-200,-200,-200,-90,-90,-92,-90,-200,-84,-87,-90,-90,-91,-92,-200,-88,-90,-200,-90,-90,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-84
1526449467091,-49,-37,-45,-36,-54,-62,-54,-54,-50,-68,-66,-60,-75,-75,-76,-70,-57,-75,-70,-67,-74,-69,-71,-55,-71,-60,-66,-72,-72,-71,-85,-86,-83,-75,-78,-80,-84,-76,-76,-87,-85,-200,-83,-84,-200,-81,-73,-90,-200,-83,-88,-200,-80,-90,-73,-87,-81,-86,-90,-86,-88,-200,-200,-90,-90,-92,-89,-200,-87,-86,-91,-89,-91,-90,-200,-89,-93,-91,-88,-90,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526449470120,-52,-40,-53,-16,-47,-62,-56,-57,-49,-69,-63,-67,-75,-75,-70,-68,-66,-77,-74,-73,-75,-70,-75,-60,-72,-69,-70,-78,-72,-73,-84,-86,-83,-79,-80,-80,-84,-71,-76,-87,-82,-200,-82,-82,-200,-81,-73,-90,-200,-83,-84,-200,-80,-90,-75,-83,-81,-85,-92,-88,-88,-200,-200,-88,-90,-91,-87,-200,-87,-84,-91,-89,-200,-90,-200,-90,-93,-91,-88,-90,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
