,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526449222674,-42,-34,-47,-43,-59,-49,-63,-67,-62,-56,-56,-58,-55,-66,-51,-64,-65,-68,-69,-66,-56,-74,-73,-75,-72,-72,-67,-79,-83,-80,-73,-68,-72,-78,-77,-76,-85,-83,-82,-82,-83,-85,-88,-82,-81,-80,-82,-86,-89,-86,-200,-90,-85,-90,-90,-88,-81,-90,-88,-200,-200,-200,-89,-200,-86,-200,-94,-200,-88,-86,-200,-200,-89,-200,-200,-200,-88,-91,-200,-200,-200,-90,-200,-91,-93,-88,-200,-81,-89,-200,-200,-200
1526449225705,-42,-38,-46,-44,-55,-47,-66,-69,-69,-57,-56,-55,-55,-59,-60,-67,-65,-68,-66,-66,-57,-74,-72,-77,-68,-72,-67,-77,-83,-84,-69,-66,-73,-78,-79,-77,-86,-83,-83,-85,-84,-85,-85,-82,-87,-78,-83,-89,-86,-86,-200,-90,-85,-88,-82,-90,-81,-88,-88,-200,-200,-200,-90,-200,-90,-200,-94,-200,-87,-86,-200,-200,-89,-200,-200,-200,-88,-89,-200,-90,-200,-90,-200,-91,-93,-88,-200,-81,-89,-200,-200,-200
1526449228745,-43,-17,-44,-43,-64,-45,-64,-69,-61,-56,-56,-58,-54,-59,-50,-69,-65,-80,-67,-68,-59,-73,-72,-74,-69,-72,-68,-75,-84,-82,-69,-69,-76,-78,-77,-76,-82,-82,-82,-85,-82,-85,-87,-77,-85,-78,-83,-89,-86,-83,-200,-90,-85,-88,-81,-88,-81,-90,-88,-200,-90,-200,-88,-200,-85,-200,-94,-200,-87,-87,-200,-200,-90,-200,-200,-200,-88,-89,-200,-90,-200,-92,-200,-91,-93,-88,-200,-82,-200,-89,-200,-200
1526449231778,-40,-35,-44,-45,-59,-47,-63,-69,-57,-57,-46,-57,-54,-62,-51,-68,-71,-67,-62,-47,-58,-73,-77,-73,-70,-72,-69,-73,-84,-84,-68,-67,-72,-80,-75,-77,-82,-47,-82,-86,-79,-84,-80,-77,-82,-78,-81,-89,-82,-81,-200,-88,-200,-89,-80,-86,-84,-84,-89,-200,-90,-200,-89,-80,-84,-200,-200,-200,-88,-88,-200,-200,-87,-200,-200,-200,-90,-89,-200,-92,-90,-92,-200,-89,-91,-90,-200,-84,-200,-89,-200,-200
1526449234822,-47,-32,-43,-45,-60,-48,-62,-68,-60,-56,-56,-57,-54,-61,-49,-63,-69,-65,-67,-65,-57,-71,-75,-74,-69,-72,-70,-79,-84,-81,-77,-68,-71,-80,-77,-76,-88,-83,-83,-86,-83,-84,-87,-78,-80,-200,-82,-90,-84,-81,-200,-88,-200,-89,-80,-87,-82,-83,-88,-200,-90,-200,-89,-80,-84,-200,-200,-200,-89,-86,-200,-200,-87,-200,-200,-200,-89,-89,-200,-92,-90,-92,-90,-89,-90,-90,-200,-82,-200,-89,-200,-200
1526449237837,-42,-34,-42,-46,-59,-48,-60,-68,-59,-55,-57,-59,-54,-60,-50,-64,-69,-77,-63,-65,-60,-70,-75,-75,-72,-72,-69,-78,-85,-83,-68,-66,-72,-79,-75,-81,-86,-86,-83,-86,-88,-84,-81,-78,-85,-78,-84,-90,-84,-82,-200,-88,-200,-91,-80,-87,-84,-82,-88,-89,-200,-200,-88,-80,-88,-200,-91,-200,-86,-87,-200,-200,-87,-200,-200,-200,-89,-89,-200,-92,-90,-89,-91,-90,-92,-89,-200,-82,-200,-90,-200,-200
1526449240874,-37,-39,-45,-44,-59,-50,-61,-51,-59,-54,-56,-58,-53,-61,-51,-66,-70,-68,-63,-68,-58,-72,-75,-75,-72,-72,-69,-80,-82,-84,-70,-66,-70,-78,-75,-77,-87,-84,-85,-200,-82,-84,-81,-81,-86,-78,-83,-88,-84,-82,-200,-88,-200,-91,-80,-87,-83,-82,-88,-89,-200,-200,-88,-80,-85,-200,-91,-200,-91,-85,-200,-200,-88,-200,-200,-200,-89,-89,-200,-200,-90,-89,-91,-90,-92,-89,-200,-82,-200,-90,-86,-200
1526449243893,-40,-33,-44,-45,-58,-47,-62,-69,-62,-57,-59,-56,-54,-62,-50,-63,-70,-66,-63,-65,-57,-73,-78,-71,-71,-70,-71,-77,-82,-81,-68,-68,-70,-78,-75,-78,-84,-79,-83,-86,-79,-200,-81,-78,-81,-77,-82,-88,-84,-81,-200,-200,-200,-91,-81,-88,-83,-84,-89,-89,-200,-200,-90,-200,-90,-200,-91,-200,-87,-87,-200,-200,-88,-200,-200,-200,-89,-200,-90,-200,-200,-91,-90,-90,-92,-88,-200,-82,-200,-90,-86,-200
1526449246929,-41,-39,-45,-45,-58,-47,-63,-67,-61,-60,-55,-59,-54,-62,-53,-62,-73,-70,-61,-65,-60,-70,-73,-79,-68,-71,-69,-79,-84,-81,-67,-67,-73,-78,-74,-79,-84,-45,-85,-86,-81,-200,-84,-77,-82,-77,-84,-89,-82,-83,-200,-87,-200,-91,-81,-87,-84,-84,-86,-89,-200,-200,-90,-83,-90,-200,-91,-200,-87,-89,-200,-200,-88,-200,-200,-200,-200,-200,-90,-200,-200,-91,-90,-89,-92,-87,-200,-83,-200,-90,-86,-200
1526449249963,-51,-22,-44,-53,-59,-46,-64,-69,-58,-55,-55,-67,-63,-65,-53,-65,-82,-70,-67,-63,-58,-72,-73,-78,-68,-71,-78,-76,-84,-84,-76,-68,-75,-78,-75,-81,-84,-80,-81,-86,-81,-81,-80,-77,-83,-77,-84,-89,-82,-83,-200,-87,-200,-88,-80,-87,-84,-84,-89,-89,-200,-200,-90,-83,-90,-200,-200,-200,-89,-86,-89,-200,-89,-200,-200,-200,-89,-200,-90,-200,-200,-91,-90,-89,-91,-91,-200,-83,-200,-200,-87,-200
1526449252999,-41,-36,-45,-44,-62,-48,-63,-66,-61,-60,-55,-59,-54,-66,-49,-65,-82,-71,-66,-64,-62,-69,-72,-78,-69,-71,-68,-76,-85,-84,-68,-67,-71,-80,-75,-81,-82,-80,-85,-86,-83,-88,-84,-77,-87,-78,-84,-89,-82,-83,-200,-87,-200,-86,-82,-87,-86,-84,-89,-89,-90,-200,-90,-83,-85,-200,-200,-200,-89,-87,-89,-200,-89,-200,-200,-200,-89,-90,-90,-89,-200,-91,-90,-90,-91,-91,-200,-82,-200,-200,-87,-200
1526449256034,-40,-34,-44,-46,-63,-48,-63,-68,-59,-58,-55,-56,-54,-57,-51,-66,-82,-77,-59,-69,-61,-69,-77,-78,-67,-71,-65,-78,-84,-82,-70,-68,-70,-79,-75,-79,-81,-83,-83,-81,-79,-88,-86,-79,-82,-78,-82,-92,-82,-85,-200,-87,-200,-86,-81,-87,-81,-84,-88,-89,-90,-200,-88,-83,-92,-200,-200,-200,-88,-86,-91,-200,-87,-200,-200,-200,-89,-90,-200,-89,-200,-89,-200,-90,-91,-91,-200,-86,-200,-200,-87,-81
