,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A30,WHU-2018,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018
1526449151355,-49,-54,-41,-48,-38,-56,-63,-59,-48,-60,-76,-58,-70,-60,-62,-67,-62,-68,-74,-70,-77,-62,-56,-73,-77,-69,-74,-72,-69,-81,-81,-82,-67,-75,-86,-81,-78,-79,-200,-85,-91,-85,-83,-200,-85,-82,-74,-80,-89,-87,-84,-85,-89,-90,-200,-200,-84,-200,-86,-85,-89,-88,-200,-92,-89,-89,-200,-90,-200,-200,-93,-200,-200,-90,-200,-91,-91,-85,-200,-200,-200,-200,-200,-90,-85,-200,-86,-85,-87,-200,-88,-200,-200,-76,-200,-200,-92,-85,-85,-89,-91,-200,-200,-200
1526449154381,-47,-50,-42,-49,-39,-60,-58,-54,-58,-55,-76,-61,-65,-59,-65,-64,-61,-67,-75,-70,-75,-62,-56,-72,-77,-71,-72,-73,-74,-80,-87,-82,-73,-72,-84,-81,-78,-79,-83,-85,-85,-82,-90,-200,-85,-84,-74,-80,-89,-87,-86,-85,-89,-88,-200,-200,-81,-200,-89,-88,-87,-88,-200,-92,-84,-89,-200,-89,-200,-91,-93,-200,-200,-90,-200,-90,-91,-88,-200,-200,-200,-200,-200,-90,-85,-200,-86,-85,-200,-200,-200,-200,-200,-80,-200,-200,-92,-85,-85,-89,-91,-200,-200,-200
1526449157431,-46,-53,-38,-49,-40,-60,-63,-61,-61,-55,-71,-55,-63,-60,-63,-68,-59,-67,-74,-73,-71,-66,-57,-72,-77,-70,-69,-80,-74,-80,-80,-79,-73,-76,-82,-81,-80,-79,-83,-85,-90,-91,-90,-89,-85,-82,-70,-80,-88,-87,-86,-85,-89,-88,-200,-200,-81,-200,-86,-84,-87,-89,-200,-200,-84,-82,-200,-90,-88,-91,-89,-200,-200,-88,-200,-90,-91,-87,-200,-200,-200,-200,-200,-90,-85,-200,-87,-90,-89,-200,-88,-200,-200,-80,-200,-200,-200,-200,-200,-89,-87,-90,-200,-200
1526449160457,-46,-51,-41,-49,-40,-57,-63,-64,-73,-60,-69,-60,-63,-58,-67,-69,-64,-65,-74,-73,-71,-64,-57,-75,-73,-71,-68,-74,-74,-89,-83,-79,-64,-79,-83,-58,-78,-78,-85,-82,-90,-84,-90,-89,-83,-83,-67,-79,-86,-87,-82,-81,-94,-91,-200,-200,-81,-200,-84,-83,-87,-89,-200,-200,-91,-86,-200,-90,-88,-91,-92,-200,-89,-88,-200,-90,-91,-89,-200,-200,-200,-86,-200,-90,-85,-200,-87,-90,-88,-200,-88,-200,-200,-80,-200,-200,-200,-200,-200,-90,-88,-90,-200,-200
1526449163500,-47,-52,-41,-48,-39,-53,-60,-62,-62,-59,-72,-61,-66,-59,-65,-71,-64,-66,-78,-71,-75,-65,-57,-75,-74,-73,-70,-53,-73,-89,-81,-79,-66,-76,-84,-81,-77,-80,-86,-86,-87,-84,-90,-89,-83,-80,-67,-79,-87,-200,-85,-85,-94,-89,-200,-200,-78,-200,-84,-80,-88,-89,-200,-92,-91,-86,-200,-90,-88,-91,-90,-200,-89,-92,-200,-91,-200,-87,-200,-200,-200,-86,-200,-90,-85,-200,-87,-87,-88,-200,-86,-200,-200,-80,-200,-200,-200,-200,-200,-90,-88,-90,-200,-200
1526449166544,-42,-54,-45,-53,-39,-59,-65,-56,-49,-57,-78,-59,-66,-64,-61,-65,-65,-68,-78,-70,-75,-61,-57,-75,-73,-72,-68,-76,-69,-83,-84,-78,-73,-76,-81,-83,-84,-78,-79,-86,-85,-84,-83,-89,-83,-86,-67,-76,-88,-200,-83,-80,-89,-91,-200,-200,-85,-200,-85,-78,-88,-89,-200,-92,-91,-84,-200,-89,-88,-89,-90,-200,-89,-91,-200,-91,-200,-90,-200,-200,-200,-86,-200,-89,-85,-200,-87,-87,-88,-200,-86,-91,-200,-80,-200,-200,-200,-200,-200,-90,-86,-90,-88,-89
1526449169570,-41,-58,-43,-49,-44,-61,-60,-59,-60,-56,-69,-59,-64,-62,-61,-67,-64,-68,-78,-69,-74,-65,-57,-73,-70,-77,-68,-73,-77,-82,-86,-78,-69,-79,-81,-83,-83,-80,-87,-81,-85,-84,-83,-200,-83,-83,-69,-78,-88,-200,-77,-81,-89,-91,-200,-200,-85,-200,-85,-78,-88,-200,-90,-92,-91,-86,-200,-88,-200,-89,-90,-200,-89,-89,-200,-91,-200,-90,-200,-200,-200,-86,-200,-89,-86,-200,-92,-87,-88,-200,-86,-91,-200,-200,-200,-200,-200,-200,-200,-90,-86,-200,-88,-89
1526449172610,-46,-49,-44,-51,-42,-57,-60,-61,-58,-57,-71,-60,-64,-61,-63,-64,-66,-72,-200,-74,-77,-63,-58,-79,-71,-77,-81,-77,-72,-85,-84,-80,-67,-76,-83,-85,-80,-80,-86,-80,-85,-88,-81,-84,-200,-83,-68,-77,-90,-200,-81,-79,-90,-89,-200,-200,-79,-200,-86,-87,-89,-89,-90,-91,-200,-87,-200,-87,-200,-89,-200,-200,-200,-90,-200,-200,-90,-90,-200,-200,-200,-200,-200,-89,-85,-200,-92,-87,-88,-200,-200,-91,-200,-82,-200,-200,-90,-200,-200,-90,-86,-90,-88,-89
1526449175644,-47,-52,-46,-51,-43,-59,-60,-61,-55,-56,-73,-60,-64,-56,-66,-62,-64,-69,-79,-73,-77,-63,-57,-79,-71,-78,-72,-77,-77,-87,-86,-80,-72,-76,-84,-86,-80,-80,-86,-81,-84,-88,-82,-85,-200,-84,-70,-76,-91,-200,-82,-79,-90,-89,-200,-200,-78,-200,-85,-87,-89,-89,-90,-91,-200,-86,-200,-89,-200,-92,-200,-200,-200,-91,-200,-90,-91,-91,-200,-200,-200,-200,-200,-200,-85,-200,-92,-88,-88,-200,-200,-200,-200,-82,-200,-200,-90,-200,-200,-200,-200,-90,-200,-200
1526449178665,-48,-53,-42,-51,-42,-59,-57,-64,-58,-59,-71,-59,-64,-59,-63,-54,-63,-66,-82,-71,-72,-66,-56,-77,-70,-75,-72,-77,-76,-87,-83,-80,-66,-80,-84,-82,-83,-200,-86,-80,-84,-85,-82,-84,-86,-80,-66,-75,-91,-200,-84,-82,-88,-90,-200,-89,-78,-200,-86,-82,-89,-89,-200,-91,-200,-85,-200,-86,-89,-92,-200,-200,-200,-91,-200,-90,-91,-86,-200,-200,-200,-200,-200,-200,-84,-200,-200,-88,-88,-200,-200,-200,-200,-82,-200,-200,-90,-200,-200,-200,-88,-90,-200,-200
1526449181676,-48,-54,-46,-44,-43,-60,-62,-61,-55,-57,-68,-57,-65,-58,-66,-72,-63,-65,-82,-71,-72,-62,-56,-75,-69,-71,-72,-83,-71,-87,-84,-81,-67,-75,-84,-82,-79,-200,-86,-80,-84,-83,-83,-84,-85,-80,-71,-76,-91,-200,-83,-85,-88,-91,-200,-89,-79,-200,-88,-88,-82,-200,-200,-91,-85,-87,-200,-86,-89,-92,-200,-200,-200,-89,-200,-90,-91,-88,-200,-200,-200,-89,-200,-200,-86,-200,-200,-89,-88,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-88,-200,-200,-200
1526449184714,-47,-54,-43,-50,-44,-62,-60,-60,-62,-59,-70,-57,-65,-60,-69,-67,-64,-65,-84,-70,-75,-65,-57,-77,-73,-71,-70,-77,-72,-83,-84,-78,-72,-75,-85,-82,-76,-200,-87,-80,-85,-88,-84,-86,-85,-83,-66,-78,-91,-200,-82,-81,-89,-91,-200,-89,-75,-200,-89,-87,-88,-200,-200,-200,-85,-87,-200,-88,-89,-92,-200,-200,-200,-91,-200,-91,-91,-88,-200,-200,-200,-89,-200,-92,-86,-200,-88,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
