,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28
1526449063956,-48,-52,-52,-54,-54,-52,-58,-61,-65,-49,-65,-67,-71,-64,-63,-71,-72,-69,-70,-70,-77,-74,-72,-67,-71,-75,-72,-81,-80,-81,-81,-75,-81,-82,-83,-85,-84,-82,-73,-86,-82,-84,-74,-84,-86,-82,-200,-86,-82,-88,-87,-88,-89,-86,-84,-88,-89,-89,-89,-89,-89,-90,-90,-89,-90,-200,-200,-89,-91,-87,-86,-88,-88,-87,-88,-90,-200,-87,-86,-87,-90,-87,-200,-91,-86,-86,-87,-86,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449064499,-48,-52,-52,-54,-54,-52,-58,-61,-65,-49,-65,-67,-71,-64,-63,-71,-72,-69,-70,-70,-77,-74,-72,-67,-71,-75,-72,-81,-80,-81,-81,-75,-81,-82,-83,-85,-84,-82,-73,-86,-82,-84,-74,-84,-86,-82,-200,-86,-82,-88,-87,-88,-89,-86,-84,-88,-89,-89,-89,-89,-89,-90,-90,-89,-90,-200,-200,-89,-91,-87,-86,-88,-88,-87,-88,-90,-200,-87,-86,-87,-90,-87,-200,-91,-86,-86,-87,-86,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449066993,-48,-49,-53,-51,-54,-56,-57,-61,-68,-50,-67,-64,-68,-62,-67,-71,-70,-67,-72,-67,-67,-74,-72,-68,-71,-72,-75,-82,-81,-77,-75,-77,-79,-80,-82,-83,-84,-82,-77,-86,-82,-84,-74,-84,-85,-85,-200,-87,-82,-89,-86,-84,-89,-86,-86,-90,-89,-90,-89,-87,-91,-88,-87,-89,-90,-200,-200,-89,-91,-200,-86,-200,-88,-200,-88,-90,-200,-200,-86,-87,-90,-87,-200,-91,-86,-86,-87,-86,-88,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449067511,-43,-45,-52,-51,-57,-51,-58,-69,-67,-52,-72,-62,-67,-63,-76,-68,-70,-65,-69,-64,-69,-74,-70,-68,-73,-73,-73,-77,-80,-73,-77,-81,-81,-84,-85,-84,-83,-82,-77,-84,-84,-84,-74,-85,-83,-85,-87,-87,-82,-85,-88,-84,-200,-86,-86,-90,-89,-90,-87,-85,-91,-88,-84,-89,-90,-200,-200,-89,-200,-89,-86,-92,-88,-200,-90,-88,-92,-90,-86,-87,-91,-86,-200,-92,-200,-86,-200,-86,-88,-89,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449070005,-44,-47,-50,-51,-58,-55,-59,-61,-65,-47,-71,-62,-59,-63,-74,-69,-72,-65,-70,-68,-71,-74,-73,-67,-71,-71,-71,-68,-79,-80,-77,-77,-84,-84,-85,-79,-83,-82,-80,-85,-84,-83,-74,-85,-85,-83,-87,-86,-83,-87,-88,-88,-200,-86,-85,-90,-88,-90,-87,-83,-88,-88,-84,-87,-92,-200,-200,-90,-200,-88,-86,-92,-88,-200,-87,-88,-92,-90,-86,-200,-90,-86,-200,-92,-200,-86,-200,-86,-88,-89,-89,-90,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449070537,-44,-47,-50,-51,-58,-55,-59,-61,-65,-47,-71,-62,-59,-63,-74,-69,-72,-65,-70,-68,-71,-74,-73,-67,-71,-71,-71,-68,-79,-80,-77,-77,-84,-84,-85,-79,-83,-82,-80,-85,-84,-83,-74,-85,-85,-83,-87,-86,-83,-87,-88,-88,-200,-86,-85,-90,-88,-90,-87,-83,-88,-88,-84,-87,-92,-200,-200,-90,-200,-88,-86,-92,-88,-200,-87,-88,-92,-90,-86,-200,-90,-86,-200,-92,-200,-86,-200,-86,-88,-89,-89,-90,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449073036,-41,-52,-49,-52,-55,-53,-59,-58,-59,-46,-67,-76,-71,-65,-71,-69,-70,-71,-71,-71,-73,-200,-74,-71,-70,-70,-72,-76,-81,-71,-81,-81,-82,-81,-85,-79,-85,-80,-80,-82,-84,-83,-200,-85,-88,-84,-85,-84,-83,-87,-87,-84,-200,-200,-84,-89,-89,-90,-91,-83,-88,-88,-85,-87,-92,-200,-200,-90,-200,-91,-87,-92,-90,-89,-87,-90,-92,-90,-86,-200,-89,-86,-200,-92,-200,-85,-200,-200,-200,-90,-90,-90,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449073560,-41,-52,-49,-52,-55,-53,-59,-58,-59,-46,-67,-76,-71,-65,-71,-69,-70,-71,-71,-71,-73,-200,-74,-71,-70,-70,-72,-76,-81,-71,-81,-81,-82,-81,-85,-79,-85,-80,-80,-82,-84,-83,-200,-85,-88,-84,-85,-84,-83,-87,-87,-84,-200,-200,-84,-89,-89,-90,-91,-83,-88,-88,-85,-87,-92,-200,-200,-90,-200,-91,-87,-92,-90,-89,-87,-90,-92,-90,-86,-200,-89,-86,-200,-92,-200,-85,-200,-200,-200,-90,-90,-90,-90,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449076059,-47,-49,-50,-55,-55,-53,-68,-65,-64,-55,-65,-71,-72,-59,-69,-75,-69,-70,-75,-69,-73,-70,-73,-67,-73,-66,-69,-75,-80,-71,-81,-80,-84,-83,-82,-79,-85,-75,-73,-87,-87,-82,-200,-85,-87,-80,-85,-88,-84,-88,-87,-83,-200,-200,-80,-89,-90,-90,-90,-83,-88,-91,-82,-88,-92,-91,-200,-90,-200,-91,-81,-92,-91,-89,-87,-90,-90,-90,-93,-94,-89,-86,-200,-92,-200,-88,-200,-200,-200,-90,-90,-200,-90,-85,-89,-88,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449076598,-47,-49,-50,-55,-55,-53,-68,-65,-64,-55,-65,-71,-72,-59,-69,-75,-69,-70,-75,-69,-73,-70,-73,-67,-73,-66,-69,-75,-80,-71,-81,-80,-84,-83,-82,-79,-85,-75,-73,-87,-87,-82,-200,-85,-87,-80,-85,-88,-84,-88,-87,-83,-200,-200,-80,-89,-90,-90,-90,-83,-88,-91,-82,-88,-92,-91,-200,-90,-200,-91,-81,-92,-91,-89,-87,-90,-90,-90,-93,-94,-89,-86,-200,-92,-200,-88,-200,-200,-200,-90,-90,-200,-90,-85,-89,-88,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449079107,-47,-49,-52,-59,-55,-52,-73,-70,-64,-55,-65,-69,-71,-67,-70,-70,-73,-73,-74,-70,-74,-69,-72,-68,-74,-68,-69,-74,-80,-69,-82,-80,-83,-83,-85,-79,-84,-80,-71,-86,-86,-82,-200,-85,-86,-77,-85,-88,-82,-89,-86,-87,-200,-200,-85,-89,-89,-90,-89,-81,-88,-91,-82,-87,-92,-91,-200,-90,-200,-91,-81,-200,-89,-89,-87,-90,-89,-90,-92,-94,-89,-86,-200,-200,-200,-88,-200,-200,-90,-90,-90,-200,-90,-84,-89,-88,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526449079615,-47,-49,-52,-59,-55,-52,-73,-70,-64,-55,-65,-69,-71,-67,-70,-70,-73,-73,-74,-70,-74,-69,-72,-68,-74,-68,-69,-74,-80,-69,-82,-80,-83,-83,-85,-79,-84,-80,-71,-86,-86,-82,-200,-85,-86,-77,-85,-88,-82,-89,-86,-87,-200,-200,-85,-89,-89,-90,-89,-81,-88,-91,-82,-87,-92,-91,-200,-90,-200,-91,-81,-200,-89,-89,-87,-90,-89,-90,-92,-94,-89,-86,-200,-200,-200,-88,-200,-200,-90,-90,-90,-200,-90,-84,-89,-88,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526449082137,-44,-48,-53,-52,-66,-52,-61,-67,-67,-51,-71,-62,-69,-62,-67,-70,-71,-79,-72,-66,-68,-69,-73,-72,-83,-69,-69,-70,-77,-72,-77,-80,-88,-81,-82,-80,-84,-81,-80,-83,-83,-82,-85,-80,-86,-79,-85,-88,-81,-90,-86,-87,-200,-200,-84,-89,-89,-90,-88,-85,-200,-87,-82,-87,-200,-91,-200,-90,-200,-200,-81,-90,-89,-84,-87,-89,-89,-89,-92,-85,-89,-91,-200,-200,-200,-88,-200,-200,-90,-200,-90,-200,-90,-84,-200,-88,-88,-90,-92,-84,-89,-90,-92,-200,-200,-200,-200
1526449082647,-44,-48,-53,-52,-66,-52,-61,-67,-67,-51,-71,-62,-69,-62,-67,-70,-71,-79,-72,-66,-68,-69,-73,-72,-83,-69,-69,-70,-77,-72,-77,-80,-88,-81,-82,-80,-84,-81,-80,-83,-83,-82,-85,-80,-86,-79,-85,-88,-81,-90,-86,-87,-200,-200,-84,-89,-89,-90,-88,-85,-200,-87,-82,-87,-200,-91,-200,-90,-200,-200,-81,-90,-89,-84,-87,-89,-89,-89,-92,-85,-89,-91,-200,-200,-200,-88,-200,-200,-90,-200,-90,-200,-90,-84,-200,-88,-88,-90,-92,-84,-89,-90,-92,-200,-200,-200,-200
1526449085181,-47,-47,-52,-55,-55,-54,-68,-70,-62,-54,-70,-64,-69,-72,-68,-73,-70,-70,-70,-61,-76,-69,-76,-72,-71,-67,-72,-70,-79,-70,-80,-82,-86,-80,-82,-80,-84,-80,-78,-86,-83,-200,-85,-83,-84,-80,-85,-85,-83,-90,-88,-88,-200,-200,-80,-89,-90,-90,-90,-86,-90,-87,-88,-87,-91,-87,-200,-91,-200,-200,-200,-90,-89,-84,-87,-86,-92,-91,-92,-89,-89,-87,-200,-200,-200,-87,-200,-200,-90,-200,-88,-200,-200,-84,-200,-200,-90,-200,-92,-84,-89,-90,-92,-200,-200,-200,-200
1526449085678,-47,-47,-52,-55,-55,-54,-68,-70,-62,-54,-70,-64,-69,-72,-68,-73,-70,-70,-70,-61,-76,-69,-76,-72,-71,-67,-72,-70,-79,-70,-80,-82,-86,-80,-82,-80,-84,-80,-78,-86,-83,-200,-85,-83,-84,-80,-85,-85,-83,-90,-88,-88,-200,-200,-80,-89,-90,-90,-90,-86,-90,-87,-88,-87,-91,-87,-200,-91,-200,-200,-200,-90,-89,-84,-87,-86,-92,-91,-92,-89,-89,-87,-200,-200,-200,-87,-200,-200,-90,-200,-88,-200,-200,-84,-200,-200,-90,-200,-92,-84,-89,-90,-92,-200,-200,-200,-200
1526449088227,-46,-48,-49,-56,-53,-52,-66,-66,-65,-57,-68,-70,-72,-63,-71,-69,-73,-67,-68,-64,-73,-70,-73,-69,-75,-68,-70,-74,-75,-69,-77,-86,-88,-80,-82,-81,-81,-79,-75,-85,-84,-85,-85,-83,-84,-78,-84,-87,-83,-89,-87,-88,-87,-200,-81,-89,-90,-87,-86,-83,-89,-88,-88,-88,-91,-87,-200,-91,-200,-91,-85,-90,-200,-85,-88,-86,-90,-91,-200,-89,-89,-87,-200,-200,-200,-87,-200,-200,-200,-90,-88,-200,-200,-85,-200,-200,-90,-200,-200,-84,-89,-90,-92,-91,-200,-200,-200
1526449088724,-46,-48,-49,-56,-53,-52,-66,-66,-65,-57,-68,-70,-72,-63,-71,-69,-73,-67,-68,-64,-73,-70,-73,-69,-75,-68,-70,-74,-75,-69,-77,-86,-88,-80,-82,-81,-81,-79,-75,-85,-84,-85,-85,-83,-84,-78,-84,-87,-83,-89,-87,-88,-87,-200,-81,-89,-90,-87,-86,-83,-89,-88,-88,-88,-91,-87,-200,-91,-200,-91,-85,-90,-200,-85,-88,-86,-90,-91,-200,-89,-89,-87,-200,-200,-200,-87,-200,-200,-200,-90,-88,-200,-200,-85,-200,-200,-90,-200,-200,-84,-89,-90,-92,-91,-200,-200,-200
1526449091253,-45,-50,-51,-65,-59,-52,-73,-72,-61,-62,-69,-69,-70,-65,-70,-69,-71,-71,-71,-66,-72,-67,-73,-68,-69,-72,-67,-73,-75,-74,-78,-86,-85,-84,-81,-83,-81,-80,-75,-85,-82,-85,-85,-83,-84,-76,-88,-87,-81,-90,-87,-89,-88,-200,-83,-89,-90,-87,-86,-84,-90,-88,-88,-88,-91,-89,-200,-91,-200,-90,-83,-90,-200,-85,-85,-86,-90,-91,-200,-89,-89,-87,-200,-200,-200,-87,-200,-200,-200,-90,-88,-200,-200,-85,-200,-200,-90,-200,-200,-200,-200,-90,-200,-91,-85,-200,-200
1526449091736,-45,-50,-51,-65,-59,-52,-73,-72,-61,-62,-69,-69,-70,-65,-70,-69,-71,-71,-71,-66,-72,-67,-73,-68,-69,-72,-67,-73,-75,-74,-78,-86,-85,-84,-81,-83,-81,-80,-75,-85,-82,-85,-85,-83,-84,-76,-88,-87,-81,-90,-87,-89,-88,-200,-83,-89,-90,-87,-86,-84,-90,-88,-88,-88,-91,-89,-200,-91,-200,-90,-83,-90,-200,-85,-85,-86,-90,-91,-200,-89,-89,-87,-200,-200,-200,-87,-200,-200,-200,-90,-88,-200,-200,-85,-200,-200,-90,-200,-200,-200,-200,-90,-200,-91,-85,-200,-200
