,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460336111,-34,-35,-45,-47,-44,-52,-50,-44,-52,-56,-60,-64,-58,-58,-58,-62,-72,-72,-72,-70,-72,-72,-79,-71,-78,-79,-74,-78,-78,-67,-83,-85,-83,-80,-72,-200,-81,-84,-72,-87,-76,-82,-74,-200,-86,-89,-82,-90,-200,-86,-200,-90,-88,-200,-88,-91,-200,-89,-75,-200,-200,-89,-91,-85,-200,-200,-200,-200,-200,-200
1526460339145,-39,-35,-45,-47,-42,-50,-50,-44,-51,-52,-60,-62,-60,-57,-56,-62,-69,-60,-70,-72,-70,-73,-80,-78,-79,-69,-82,-79,-79,-78,-83,-83,-84,-80,-71,-200,-83,-83,-60,-86,-79,-82,-73,-200,-86,-86,-81,-90,-91,-86,-200,-90,-86,-200,-88,-91,-89,-86,-75,-200,-200,-91,-200,-85,-200,-200,-200,-200,-200,-200
1526460342174,-36,-23,-45,-47,-41,-49,-49,-50,-51,-52,-59,-65,-61,-60,-58,-61,-72,-72,-70,-70,-72,-73,-80,-71,-78,-81,-79,-79,-77,-77,-84,-85,-83,-80,-72,-200,-84,-81,-72,-86,-84,-82,-73,-90,-86,-86,-82,-90,-91,-200,-200,-90,-88,-89,-88,-92,-89,-86,-75,-200,-90,-92,-200,-84,-200,-200,-200,-200,-200,-200
1526460345210,-33,-35,-44,-46,-44,-50,-48,-50,-52,-52,-59,-59,-63,-57,-57,-62,-72,-72,-71,-71,-73,-73,-80,-75,-78,-81,-82,-79,-80,-77,-86,-85,-81,-80,-73,-200,-83,-81,-73,-86,-78,-84,-73,-88,-86,-86,-81,-89,-91,-200,-200,-90,-88,-91,-88,-91,-89,-86,-200,-200,-90,-89,-200,-84,-200,-200,-200,-200,-200,-200
1526460348234,-33,-35,-45,-47,-40,-47,-48,-51,-50,-53,-60,-61,-63,-60,-58,-63,-72,-72,-67,-71,-70,-73,-79,-72,-81,-80,-82,-200,-79,-73,-82,-84,-85,-78,-73,-200,-82,-83,-71,-200,-77,-82,-81,-86,-86,-88,-83,-89,-89,-200,-200,-90,-83,-90,-91,-91,-200,-88,-200,-200,-90,-90,-91,-85,-200,-200,-200,-200,-200,-200
1526460351270,-33,-34,-44,-46,-42,-50,-47,-51,-49,-52,-60,-60,-63,-57,-58,-62,-72,-72,-70,-71,-72,-73,-79,-69,-77,-81,-80,-81,-79,-77,-82,-85,-85,-81,-80,-200,-82,-82,-72,-200,-77,-83,-82,-88,-87,-89,-83,-90,-90,-200,-200,-90,-80,-90,-90,-90,-200,-88,-200,-200,-90,-90,-91,-84,-200,-200,-200,-200,-200,-200
1526460354306,-41,-37,-44,-47,-44,-49,-49,-44,-54,-54,-60,-62,-61,-59,-56,-62,-72,-72,-70,-72,-72,-73,-79,-71,-77,-81,-79,-81,-78,-80,-86,-84,-83,-80,-82,-200,-83,-82,-71,-200,-76,-83,-82,-88,-87,-90,-83,-90,-89,-200,-200,-90,-86,-90,-90,-90,-85,-88,-200,-200,-90,-90,-91,-84,-89,-91,-200,-200,-200,-200
1526460357340,-33,-34,-45,-47,-42,-50,-48,-43,-52,-50,-60,-62,-64,-60,-58,-65,-71,-72,-62,-71,-74,-76,-79,-73,-78,-80,-83,-81,-77,-79,-86,-84,-83,-80,-73,-200,-83,-82,-72,-200,-77,-83,-80,-88,-86,-90,-83,-91,-89,-200,-200,-88,-86,-90,-90,-90,-88,-200,-200,-200,-200,-200,-200,-86,-89,-91,-91,-200,-200,-200
1526460360378,-39,-34,-44,-47,-35,-60,-50,-51,-53,-57,-59,-60,-67,-60,-58,-63,-71,-72,-70,-72,-71,-71,-79,-76,-77,-80,-84,-81,-77,-79,-85,-82,-86,-79,-71,-200,-83,-80,-72,-200,-78,-84,-80,-88,-88,-90,-200,-90,-89,-200,-200,-88,-86,-91,-90,-90,-88,-200,-77,-200,-90,-89,-87,-86,-89,-91,-91,-200,-200,-200
1526460363411,-32,-36,-44,-46,-44,-49,-50,-44,-49,-52,-60,-61,-64,-60,-55,-63,-70,-72,-65,-73,-73,-75,-79,-72,-77,-81,-80,-200,-79,-80,-81,-86,-83,-81,-74,-200,-82,-82,-71,-200,-78,-83,-80,-85,-88,-92,-81,-90,-89,-200,-200,-88,-85,-91,-200,-200,-88,-87,-77,-200,-90,-89,-87,-87,-89,-91,-91,-82,-86,-90
1526460366447,-32,-16,-44,-46,-44,-47,-49,-43,-48,-52,-60,-61,-62,-60,-56,-64,-75,-71,-62,-69,-72,-64,-80,-69,-78,-80,-83,-200,-78,-78,-83,-86,-82,-76,-75,-200,-81,-82,-73,-200,-75,-83,-80,-85,-87,-92,-81,-90,-200,-200,-200,-90,-80,-89,-200,-200,-88,-90,-77,-88,-90,-90,-87,-87,-200,-200,-91,-83,-86,-90
1526460369484,-33,-34,-45,-46,-44,-48,-54,-43,-53,-53,-59,-61,-63,-57,-57,-63,-75,-70,-69,-68,-76,-72,-77,-71,-75,-79,-77,-200,-74,-80,-85,-82,-82,-80,-75,-200,-82,-82,-75,-88,-76,-86,-75,-85,-85,-92,-80,-90,-200,-200,-200,-89,-80,-90,-200,-200,-89,-90,-77,-88,-90,-91,-87,-87,-200,-200,-200,-83,-86,-90
