,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,DLINK_D02A18,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454038472,-38,-39,-48,-52,-58,-56,-59,-74,-57,-58,-83,-72,-70,-64,-63,-73,-61,-73,-64,-67,-79,-71,-68,-200,-73,-64,-76,-72,-73,-73,-81,-92,-90,-74,-77,-76,-76,-78,-73,-80,-89,-79,-75,-200,-79,-90,-81,-81,-86,-82,-87,-85,-200,-86,-84,-87,-80,-76,-93,-88,-85,-87,-84,-87,-200,-200,-91,-97,-92,-91,-89,-78,-200,-96,-200,-67,-86,-95,-94,-200,-200,-88,-87,-200,-200,-95,-86,-97,-200,-200,-200,-200,-200,-200,-200,-95,-95,-95,-93,-200,-200
1526454041528,-38,-37,-48,-53,-58,-58,-61,-77,-57,-56,-83,-64,-70,-63,-71,-73,-62,-65,-65,-66,-79,-72,-68,-200,-73,-71,-78,-61,-72,-76,-83,-88,-90,-76,-77,-75,-76,-77,-75,-82,-90,-79,-75,-200,-82,-200,-81,-81,-85,-80,-86,-84,-200,-86,-84,-87,-82,-82,-93,-88,-94,-87,-85,-83,-200,-92,-92,-97,-92,-91,-89,-78,-200,-96,-200,-66,-86,-94,-94,-200,-200,-200,-88,-94,-200,-95,-92,-97,-200,-200,-82,-200,-200,-200,-200,-200,-97,-95,-93,-200,-200
1526454044582,-39,-39,-49,-51,-59,-52,-56,-77,-57,-62,-83,-64,-71,-63,-75,-78,-62,-65,-64,-73,-70,-72,-67,-200,-73,-66,-77,-69,-74,-76,-83,-88,-90,-75,-78,-75,-76,-78,-75,-80,-89,-79,-76,-200,-80,-200,-79,-80,-81,-80,-85,-87,-200,-86,-84,-88,-81,-81,-92,-87,-83,-87,-83,-84,-200,-92,-89,-200,-200,-91,-89,-200,-200,-96,-200,-73,-86,-92,-94,-95,-92,-200,-88,-93,-96,-200,-92,-97,-200,-200,-80,-82,-200,-200,-200,-200,-97,-200,-93,-200,-200
1526454047639,-38,-37,-48,-53,-58,-54,-61,-77,-57,-58,-74,-64,-69,-63,-74,-78,-60,-66,-66,-73,-70,-73,-69,-77,-73,-72,-76,-70,-72,-76,-83,-88,-88,-75,-76,-74,-77,-79,-75,-79,-90,-79,-76,-200,-80,-200,-79,-81,-80,-82,-87,-85,-200,-86,-79,-86,-82,-81,-86,-87,-94,-79,-84,-84,-200,-92,-89,-97,-92,-90,-89,-200,-200,-96,-200,-68,-200,-92,-95,-95,-92,-200,-88,-92,-96,-200,-92,-97,-200,-200,-80,-86,-200,-200,-200,-97,-97,-200,-200,-200,-200
1526454050691,-38,-38,-47,-53,-56,-67,-61,-200,-57,-58,-82,-200,-71,-63,-74,-82,-62,-67,-65,-66,-71,-72,-60,-77,-74,-70,-78,-65,-72,-75,-200,-92,-91,-75,-76,-75,-76,-77,-74,-81,-90,-80,-72,-86,-80,-200,-79,-81,-85,-80,-91,-85,-83,-86,-79,-86,-81,-82,-91,-88,-84,-79,-84,-84,-200,-200,-87,-97,-91,-90,-89,-77,-200,-96,-200,-66,-86,-94,-94,-95,-92,-200,-200,-92,-96,-200,-200,-97,-200,-200,-80,-86,-200,-200,-200,-97,-200,-94,-200,-91,-200
1526454053739,-38,-37,-47,-52,-59,-56,-62,-200,-57,-60,-81,-200,-72,-62,-63,-82,-63,-68,-64,-66,-78,-73,-68,-74,-74,-71,-76,-70,-71,-76,-200,-85,-91,-75,-78,-79,-77,-77,-73,-81,-90,-79,-72,-86,-77,-200,-81,-80,-86,-82,-86,-79,-83,-86,-79,-88,-81,-82,-87,-88,-93,-88,-82,-200,-200,-200,-87,-95,-89,-90,-93,-77,-200,-97,-200,-66,-86,-94,-94,-200,-92,-200,-200,-94,-200,-200,-200,-200,-200,-200,-80,-86,-200,-200,-200,-97,-200,-94,-200,-91,-200
1526454056779,-38,-39,-48,-52,-57,-56,-62,-200,-57,-59,-80,-63,-70,-64,-75,-79,-61,-67,-64,-72,-78,-71,-61,-74,-74,-71,-78,-70,-73,-71,-200,-86,-90,-75,-77,-79,-76,-79,-75,-81,-90,-80,-59,-85,-77,-200,-81,-80,-86,-83,-86,-77,-83,-86,-79,-86,-78,-82,-87,-88,-93,-88,-82,-83,-200,-200,-87,-95,-89,-200,-93,-77,-200,-98,-200,-73,-86,-94,-94,-200,-92,-200,-87,-94,-200,-200,-84,-200,-200,-200,-80,-93,-200,-200,-200,-200,-200,-94,-200,-91,-200
1526454059833,-38,-39,-47,-51,-59,-53,-61,-73,-57,-57,-76,-63,-70,-64,-71,-79,-61,-67,-65,-73,-79,-70,-66,-70,-74,-67,-78,-68,-72,-73,-81,-86,-78,-76,-77,-74,-77,-79,-74,-82,-90,-80,-75,-85,-79,-90,-81,-77,-86,-81,-86,-77,-200,-86,-79,-86,-82,-81,-91,-88,-93,-88,-81,-83,-200,-200,-86,-95,-92,-200,-93,-200,-200,-98,-200,-65,-83,-94,-93,-200,-200,-200,-87,-95,-200,-93,-85,-200,-200,-200,-84,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454062866,-38,-39,-48,-53,-57,-56,-61,-73,-57,-57,-80,-200,-71,-65,-71,-200,-62,-72,-65,-66,-70,-70,-67,-77,-73,-72,-78,-71,-73,-74,-81,-86,-90,-75,-78,-76,-77,-78,-75,-81,-91,-79,-76,-86,-79,-90,-79,-80,-86,-82,-86,-84,-98,-86,-79,-86,-81,-81,-88,-200,-94,-200,-85,-200,-200,-200,-86,-97,-91,-200,-200,-200,-200,-200,-200,-67,-90,-93,-95,-200,-94,-89,-200,-96,-200,-93,-93,-97,-200,-200,-85,-87,-96,-200,-200,-95,-200,-97,-200,-200,-200
1526454065920,-39,-39,-47,-54,-59,-56,-58,-73,-57,-57,-81,-200,-71,-62,-71,-200,-62,-67,-65,-66,-70,-71,-69,-77,-74,-72,-78,-70,-70,-71,-81,-86,-90,-75,-78,-72,-74,-78,-74,-82,-89,-79,-68,-86,-80,-90,-79,-80,-85,-80,-86,-82,-98,-86,-80,-86,-81,-82,-88,-200,-84,-200,-85,-83,-200,-90,-86,-97,-90,-91,-200,-200,-200,-200,-200,-65,-90,-93,-95,-200,-94,-89,-200,-94,-200,-93,-93,-96,-200,-200,-85,-87,-96,-200,-200,-95,-200,-95,-200,-200,-200
1526454068975,-39,-39,-47,-52,-59,-56,-60,-73,-57,-57,-79,-64,-71,-62,-71,-72,-64,-67,-51,-49,-70,-71,-67,-77,-74,-72,-78,-66,-73,-71,-200,-87,-90,-76,-77,-76,-77,-78,-77,-81,-90,-79,-77,-86,-80,-200,-82,-81,-80,-82,-92,-80,-96,-86,-81,-87,-81,-82,-85,-88,-84,-200,-83,-83,-200,-90,-200,-97,-90,-91,-200,-200,-200,-96,-200,-73,-90,-94,-95,-200,-94,-89,-87,-94,-95,-200,-93,-96,-200,-200,-79,-87,-96,-200,-200,-95,-200,-95,-200,-200,-200
1526454072027,-37,-38,-48,-50,-57,-67,-56,-200,-57,-58,-59,-73,-74,-65,-71,-75,-57,-76,-63,-65,-70,-67,-68,-77,-74,-72,-74,-73,-76,-73,-200,-87,-81,-77,-77,-74,-76,-77,-74,-82,-87,-80,-77,-86,-78,-88,-82,-81,-80,-82,-92,-80,-96,-88,-81,-87,-79,-82,-85,-91,-84,-86,-83,-86,-200,-90,-200,-200,-90,-91,-83,-200,-200,-96,-200,-75,-88,-95,-94,-200,-200,-200,-87,-94,-95,-200,-200,-96,-200,-200,-81,-89,-95,-200,-200,-200,-200,-95,-200,-200,-93
