,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526454124518,-25,-55,-47,-49,-58,-59,-59,-51,-63,-58,-55,-81,-62,-64,-59,-62,-75,-65,-200,-53,-67,-70,-77,-65,-68,-200,-71,-90,-200,-86,-75,-76,-86,-87,-83,-86,-83,-83,-200,-82,-82,-87,-70,-87,-81,-88,-66,-72,-200,-74,-200,-83,-82,-73,-87,-90,-86,-200,-200,-88,-79,-200,-200,-83,-93,-86,-81,-80,-200,-91,-85,-93,-200,-200,-95,-200,-87,-200,-200,-200,-75,-87,-200,-90,-95,-95,-200,-200,-86,-200,-80,-92,-90,-200,-97,-200,-94,-94,-82,-200,-200,-86,-200,-85,-87,-200,-97,-85,-91,-94,-98,-91,-98,-200,-200,-200
1526454127571,-24,-49,-50,-53,-57,-56,-57,-48,-64,-59,-57,-76,-56,-58,-59,-62,-75,-65,-200,-53,-63,-71,-75,-60,-62,-200,-58,-83,-200,-86,-75,-76,-86,-84,-80,-86,-84,-80,-200,-82,-79,-86,-70,-87,-79,-91,-67,-73,-200,-74,-200,-85,-82,-75,-87,-90,-86,-200,-200,-84,-82,-200,-200,-87,-93,-86,-84,-84,-200,-91,-200,-93,-200,-200,-95,-200,-200,-200,-200,-200,-72,-200,-90,-90,-93,-200,-200,-200,-86,-200,-200,-92,-91,-200,-97,-200,-96,-96,-82,-200,-200,-86,-200,-85,-87,-200,-97,-82,-200,-94,-98,-91,-98,-200,-200,-200
1526454130624,-25,-52,-47,-49,-55,-57,-56,-48,-66,-58,-58,-76,-59,-54,-59,-61,-75,-65,-200,-54,-62,-71,-76,-67,-71,-200,-69,-85,-80,-91,-75,-77,-87,-84,-81,-83,-84,-85,-200,-82,-78,-86,-72,-84,-79,-83,-65,-73,-200,-69,-200,-79,-84,-73,-87,-89,-200,-200,-200,-84,-82,-200,-200,-88,-92,-86,-81,-83,-93,-91,-88,-93,-93,-200,-96,-200,-200,-200,-200,-200,-72,-88,-90,-200,-90,-200,-95,-95,-86,-200,-81,-92,-91,-200,-97,-200,-96,-96,-82,-200,-200,-83,-200,-89,-90,-200,-97,-82,-200,-94,-200,-93,-98,-200,-200,-200
1526454133677,-23,-50,-47,-53,-56,-57,-56,-46,-60,-59,-53,-77,-57,-61,-61,-60,-200,-63,-200,-54,-60,-71,-71,-69,-69,-200,-71,-84,-80,-91,-73,-82,-84,-85,-79,-86,-84,-85,-200,-82,-76,-90,-73,-85,-80,-83,-63,-75,-200,-69,-200,-81,-87,-75,-200,-90,-200,-200,-95,-84,-76,-200,-200,-90,-92,-89,-81,-83,-93,-94,-90,-91,-93,-200,-96,-200,-93,-200,-200,-95,-73,-88,-88,-200,-92,-200,-95,-94,-86,-200,-77,-92,-88,-200,-200,-68,-96,-96,-200,-200,-200,-88,-200,-85,-91,-200,-98,-82,-200,-91,-200,-93,-200,-200,-200,-200
1526454136729,-25,-47,-57,-51,-55,-57,-59,-47,-63,-58,-57,-77,-60,-57,-63,-63,-200,-62,-200,-57,-61,-71,-76,-69,-68,-200,-68,-81,-80,-91,-75,-74,-84,-84,-80,-86,-85,-79,-87,-200,-78,-90,-71,-84,-80,-83,-69,-75,-200,-77,-200,-82,-87,-75,-90,-88,-200,-200,-95,-84,-76,-200,-200,-90,-91,-93,-81,-83,-97,-89,-87,-91,-93,-200,-96,-200,-93,-200,-200,-95,-75,-88,-88,-200,-91,-200,-95,-94,-200,-200,-80,-92,-88,-200,-200,-68,-200,-200,-200,-200,-200,-84,-200,-87,-91,-95,-98,-200,-200,-91,-200,-93,-200,-200,-200,-200
1526454139780,-24,-50,-53,-53,-55,-56,-57,-46,-58,-59,-57,-74,-58,-62,-59,-62,-72,-68,-81,-57,-62,-200,-77,-67,-63,-200,-68,-86,-86,-89,-74,-78,-89,-84,-81,-89,-84,-79,-87,-84,-80,-90,-65,-87,-81,-87,-66,-74,-200,-77,-200,-79,-85,-74,-88,-88,-93,-200,-95,-85,-82,-200,-200,-86,-91,-89,-83,-84,-97,-89,-86,-91,-200,-200,-96,-200,-93,-200,-200,-96,-73,-88,-85,-200,-91,-200,-200,-95,-200,-200,-82,-200,-90,-200,-98,-68,-200,-200,-83,-200,-200,-71,-200,-90,-91,-95,-98,-200,-200,-91,-200,-200,-200,-98,-200,-200
1526454142833,-26,-51,-55,-52,-53,-62,-57,-51,-61,-59,-55,-74,-62,-64,-59,-62,-72,-63,-81,-57,-64,-200,-76,-67,-68,-89,-68,-81,-86,-87,-71,-77,-89,-88,-81,-84,-84,-79,-87,-86,-84,-200,-65,-88,-79,-89,-69,-73,-200,-76,-200,-84,-86,-75,-88,-77,-93,-200,-95,-83,-77,-200,-200,-87,-92,-88,-80,-84,-97,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-92,-73,-88,-88,-200,-94,-200,-95,-95,-200,-200,-82,-200,-89,-200,-98,-200,-90,-96,-83,-200,-200,-71,-200,-85,-200,-95,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200
1526454145890,-23,-49,-53,-52,-54,-56,-58,-40,-64,-57,-55,-75,-62,-63,-62,-62,-70,-65,-81,-52,-64,-60,-76,-67,-66,-92,-71,-85,-86,-89,-74,-78,-86,-85,-79,-84,-82,-81,-200,-82,-81,-87,-72,-86,-84,-86,-67,-73,-200,-78,-200,-84,-90,-75,-86,-91,-89,-200,-97,-84,-85,-200,-200,-80,-92,-90,-81,-84,-200,-90,-87,-200,-200,-200,-97,-95,-200,-200,-200,-93,-73,-88,-89,-200,-93,-200,-95,-95,-200,-200,-82,-93,-89,-200,-98,-71,-90,-98,-75,-200,-200,-71,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200
1526454148939,-24,-49,-52,-54,-55,-61,-58,-49,-71,-59,-58,-76,-59,-62,-59,-62,-70,-63,-200,-56,-61,-74,-76,-70,-68,-91,-69,-82,-200,-89,-73,-75,-87,-85,-80,-86,-80,-81,-200,-82,-82,-88,-74,-86,-85,-86,-65,-63,-200,-78,-200,-84,-85,-74,-85,-88,-89,-200,-97,-84,-79,-200,-200,-80,-90,-90,-81,-84,-200,-92,-88,-200,-200,-200,-97,-95,-92,-200,-200,-93,-72,-92,-88,-92,-93,-200,-96,-200,-200,-200,-83,-93,-89,-200,-200,-71,-96,-98,-75,-200,-200,-83,-84,-86,-89,-200,-200,-87,-200,-200,-200,-200,-200,-96,-200,-200
1526454151995,-25,-49,-49,-54,-56,-58,-56,-50,-61,-59,-56,-75,-57,-61,-59,-60,-73,-69,-200,-56,-61,-74,-77,-70,-68,-91,-69,-86,-200,-89,-73,-80,-84,-83,-80,-86,-81,-81,-86,-85,-82,-86,-74,-84,-84,-86,-69,-75,-200,-78,-200,-83,-88,-74,-88,-88,-89,-200,-97,-85,-84,-200,-200,-87,-92,-90,-81,-84,-200,-95,-88,-90,-90,-200,-93,-95,-92,-200,-200,-93,-74,-92,-87,-92,-94,-200,-96,-200,-200,-200,-77,-93,-88,-200,-200,-71,-93,-98,-75,-200,-200,-87,-84,-91,-89,-200,-200,-87,-200,-93,-200,-200,-200,-96,-200,-200
1526454155042,-25,-49,-51,-50,-53,-56,-57,-46,-68,-58,-53,-71,-57,-63,-63,-62,-73,-69,-200,-55,-62,-74,-77,-67,-61,-91,-70,-90,-82,-90,-73,-78,-86,-84,-78,-84,-84,-84,-86,-83,-80,-86,-71,-87,-81,-200,-64,-74,-200,-76,-200,-82,-88,-75,-85,-88,-200,-200,-200,-86,-81,-200,-200,-88,-92,-87,-83,-85,-200,-94,-84,-90,-90,-200,-96,-200,-92,-200,-200,-94,-74,-92,-87,-92,-94,-200,-96,-95,-200,-200,-77,-200,-92,-200,-200,-69,-93,-97,-200,-200,-200,-87,-200,-91,-89,-200,-200,-87,-200,-93,-200,-96,-200,-200,-96,-200
1526454158091,-26,-49,-43,-53,-57,-58,-55,-46,-64,-56,-55,-75,-58,-62,-62,-61,-73,-68,-200,-51,-62,-65,-80,-68,-70,-200,-71,-82,-82,-96,-74,-82,-81,-87,-79,-81,-83,-84,-86,-83,-81,-86,-76,-85,-84,-84,-65,-73,-200,-75,-200,-82,-89,-75,-85,-200,-200,-200,-200,-84,-82,-200,-200,-91,-90,-88,-83,-82,-200,-97,-84,-93,-87,-200,-96,-200,-200,-200,-200,-94,-75,-88,-87,-200,-94,-200,-200,-95,-200,-200,-80,-200,-91,-200,-200,-73,-93,-97,-200,-200,-200,-89,-200,-86,-89,-200,-200,-200,-200,-93,-200,-95,-200,-200,-96,-94
