,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526459869046,-56,-47,-48,-51,-72,-67,-68,-69,-65,-80,-73,-66,-76,-78,-75,-65,-66,-72,-200,-81,-67,-73,-200,-83,-200,-68,-200,-200,-75,-82,-77,-79,-84,-85,-69,-81,-87,-84,-85,-85,-88,-200,-200,-200
1526459872087,-56,-47,-48,-51,-72,-67,-68,-69,-65,-80,-73,-66,-76,-78,-75,-65,-66,-72,-200,-81,-67,-73,-200,-83,-200,-68,-200,-200,-75,-82,-77,-79,-84,-85,-69,-81,-87,-84,-85,-85,-88,-200,-200,-200
1526459875119,-56,-47,-48,-51,-72,-67,-68,-69,-65,-80,-73,-66,-76,-78,-75,-65,-66,-72,-200,-81,-67,-73,-200,-83,-200,-68,-200,-200,-75,-82,-77,-79,-84,-85,-69,-81,-87,-84,-85,-85,-88,-200,-200,-200
1526459878155,-54,-46,-49,-51,-71,-66,-70,-69,-67,-200,-74,-67,-74,-76,-76,-70,-66,-73,-200,-81,-66,-75,-200,-85,-200,-68,-200,-200,-74,-85,-78,-79,-84,-84,-200,-80,-87,-200,-200,-200,-200,-88,-200,-200
1526459881204,-58,-51,-49,-51,-70,-65,-70,-69,-67,-86,-74,-68,-74,-78,-73,-66,-67,-73,-200,-78,-68,-70,-82,-85,-200,-68,-200,-200,-69,-85,-72,-78,-84,-84,-72,-80,-89,-81,-200,-85,-85,-88,-200,-200
1526459884254,-58,-51,-49,-51,-70,-65,-70,-69,-67,-86,-74,-68,-74,-78,-73,-66,-67,-73,-200,-78,-68,-70,-82,-85,-200,-68,-200,-200,-69,-85,-72,-78,-84,-84,-72,-80,-89,-81,-200,-85,-85,-88,-200,-200
1526459887289,-58,-51,-49,-51,-70,-65,-70,-69,-67,-86,-74,-68,-74,-78,-73,-66,-67,-73,-200,-78,-68,-70,-82,-85,-200,-68,-200,-200,-69,-85,-72,-78,-84,-84,-72,-80,-89,-81,-200,-85,-85,-88,-200,-200
1526459890328,-56,-48,-50,-51,-68,-65,-66,-69,-67,-78,-78,-69,-74,-81,-73,-66,-67,-200,-200,-78,-67,-73,-80,-85,-200,-68,-82,-200,-74,-85,-78,-79,-200,-90,-70,-85,-87,-81,-200,-85,-85,-200,-94,-200
1526459893368,-55,-46,-50,-51,-68,-65,-70,-69,-66,-77,-78,-68,-74,-77,-73,-70,-67,-200,-88,-82,-67,-73,-80,-86,-200,-68,-82,-200,-74,-85,-78,-79,-200,-90,-68,-76,-87,-86,-88,-85,-85,-200,-92,-200
1526459896413,-55,-46,-50,-51,-68,-65,-70,-69,-66,-77,-78,-68,-74,-77,-73,-70,-67,-200,-88,-82,-67,-73,-80,-86,-200,-68,-82,-200,-74,-85,-78,-79,-200,-90,-68,-76,-87,-86,-88,-85,-85,-200,-92,-200
1526459899442,-55,-46,-50,-51,-68,-65,-70,-69,-66,-77,-78,-68,-74,-77,-73,-70,-67,-200,-88,-82,-67,-73,-80,-86,-200,-68,-82,-200,-74,-85,-78,-79,-200,-90,-68,-76,-87,-86,-88,-85,-85,-200,-92,-200
1526459902482,-58,-49,-50,-51,-72,-65,-71,-76,-66,-79,-74,-69,-74,-77,-73,-66,-67,-75,-88,-80,-67,-75,-79,-86,-200,-68,-200,-200,-72,-79,-77,-200,-86,-200,-70,-76,-88,-83,-88,-85,-200,-200,-92,-93
