,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526454909938,-46,-45,-45,-54,-50,-66,-59,-82,-67,-73,-74,-67,-65,-66,-72,-64,-78,-60,-58,-83,-72,-67,-76,-68,-65,-80,-72,-72,-71,-75,-74,-77,-77,-76,-82,-72,-200,-80,-82,-200,-86,-85,-200,-71,-83,-200,-81,-90,-85,-78,-200,-200,-88,-83,-89,-200,-200,-200,-200,-93,-60,-82,-90,-88,-200,-90,-200,-89,-95,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454912973,-45,-40,-52,-54,-54,-61,-58,-82,-67,-73,-71,-67,-67,-64,-70,-61,-76,-60,-57,-84,-72,-63,-76,-67,-67,-80,-72,-70,-70,-73,-82,-73,-83,-74,-82,-71,-200,-80,-81,-200,-79,-200,-89,-78,-83,-200,-81,-88,-84,-78,-200,-200,-88,-84,-85,-88,-85,-200,-200,-93,-62,-200,-90,-88,-200,-90,-200,-90,-95,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454916009,-47,-49,-57,-51,-52,-71,-64,-84,-63,-73,-70,-67,-67,-65,-70,-60,-76,-56,-57,-74,-64,-70,-73,-61,-61,-80,-75,-70,-68,-75,-82,-75,-77,-72,-200,-73,-200,-80,-81,-87,-79,-78,-89,-75,-81,-200,-200,-88,-89,-78,-200,-200,-87,-84,-84,-85,-86,-200,-200,-93,-61,-84,-90,-88,-200,-200,-200,-90,-200,-200,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454919036,-48,-47,-54,-51,-50,-65,-55,-87,-59,-64,-70,-74,-67,-66,-71,-60,-76,-56,-53,-74,-62,-70,-72,-66,-64,-200,-73,-68,-69,-76,-83,-76,-80,-73,-200,-73,-200,-200,-81,-86,-82,-78,-88,-77,-81,-200,-83,-88,-89,-200,-200,-200,-87,-86,-84,-85,-82,-200,-200,-200,-64,-84,-90,-200,-200,-200,-200,-89,-91,-200,-90,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454922073,-49,-45,-49,-51,-55,-67,-55,-87,-75,-67,-70,-74,-200,-66,-71,-62,-200,-56,-57,-76,-64,-71,-72,-64,-67,-79,-74,-68,-68,-76,-83,-75,-77,-71,-70,-74,-200,-80,-200,-86,-82,-84,-88,-77,-81,-200,-83,-200,-89,-200,-200,-90,-88,-86,-84,-85,-83,-200,-200,-200,-60,-84,-90,-200,-200,-200,-200,-89,-91,-200,-90,-89,-90,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526454925109,-45,-45,-53,-51,-54,-69,-57,-87,-75,-69,-70,-74,-200,-66,-71,-59,-76,-55,-57,-78,-65,-71,-73,-65,-67,-79,-71,-72,-70,-75,-76,-75,-76,-73,-70,-72,-89,-80,-200,-86,-82,-84,-88,-80,-81,-200,-83,-200,-89,-82,-200,-90,-88,-79,-86,-85,-83,-87,-200,-200,-57,-82,-200,-88,-200,-200,-200,-89,-91,-200,-90,-89,-90,-89,-91,-91,-71,-90,-200,-200,-200,-200,-200
1526454928124,-50,-42,-53,-51,-59,-61,-57,-87,-65,-65,-71,-74,-200,-64,-71,-61,-76,-55,-56,-75,-62,-70,-73,-66,-65,-79,-76,-68,-70,-78,-76,-74,-79,-76,-70,-72,-89,-80,-80,-83,-82,-84,-88,-76,-81,-200,-83,-200,-86,-82,-200,-90,-88,-79,-85,-200,-83,-87,-200,-89,-57,-82,-200,-88,-200,-200,-200,-89,-91,-200,-90,-200,-90,-89,-91,-91,-71,-90,-90,-200,-200,-200,-200
1526454931157,-51,-43,-49,-50,-51,-66,-56,-200,-65,-65,-69,-77,-70,-63,-73,-61,-76,-57,-56,-75,-63,-68,-75,-66,-67,-80,-71,-71,-73,-78,-76,-76,-79,-72,-69,-74,-88,-83,-81,-83,-200,-84,-200,-72,-81,-200,-200,-200,-86,-84,-200,-90,-88,-79,-85,-200,-83,-90,-200,-89,-59,-82,-200,-88,-200,-200,-200,-89,-200,-200,-200,-200,-200,-89,-91,-91,-71,-90,-90,-88,-89,-200,-200
1526454934194,-49,-46,-50,-51,-54,-66,-59,-200,-67,-65,-71,-77,-70,-65,-74,-61,-74,-58,-55,-75,-62,-68,-75,-66,-64,-80,-73,-68,-70,-77,-82,-76,-77,-72,-69,-74,-88,-83,-81,-84,-82,-200,-200,-77,-82,-200,-200,-200,-86,-84,-200,-200,-200,-88,-85,-200,-83,-90,-200,-89,-63,-82,-200,-88,-200,-200,-200,-90,-90,-200,-90,-200,-200,-200,-200,-200,-71,-92,-90,-88,-89,-200,-200
1526454937235,-49,-47,-50,-53,-58,-66,-58,-200,-67,-68,-71,-77,-72,-65,-74,-61,-76,-56,-56,-74,-62,-74,-75,-63,-70,-80,-73,-70,-74,-77,-82,-75,-77,-71,-69,-76,-88,-83,-81,-84,-82,-84,-200,-73,-78,-200,-81,-86,-86,-84,-200,-200,-87,-88,-85,-85,-82,-90,-200,-89,-60,-85,-90,-200,-200,-200,-200,-90,-90,-200,-90,-200,-200,-200,-200,-200,-71,-92,-90,-88,-89,-200,-200
1526454940253,-49,-48,-53,-57,-56,-67,-58,-200,-67,-68,-71,-67,-70,-62,-77,-62,-76,-58,-56,-74,-62,-72,-73,-61,-68,-80,-72,-69,-72,-78,-80,-75,-76,-78,-69,-73,-88,-78,-81,-84,-84,-84,-200,-79,-78,-200,-81,-86,-200,-79,-200,-200,-87,-88,-200,-85,-82,-90,-200,-200,-58,-85,-90,-87,-200,-200,-200,-90,-90,-200,-90,-200,-200,-200,-90,-200,-71,-92,-200,-88,-89,-87,-93
1526454943266,-45,-44,-51,-54,-53,-73,-59,-200,-68,-69,-71,-69,-73,-64,-74,-62,-75,-57,-57,-76,-64,-67,-72,-63,-68,-200,-75,-70,-74,-77,-80,-75,-76,-80,-69,-73,-200,-78,-200,-84,-84,-80,-200,-75,-78,-200,-81,-86,-82,-79,-200,-200,-90,-88,-84,-85,-82,-200,-200,-200,-58,-85,-90,-87,-200,-200,-200,-90,-90,-200,-90,-200,-200,-200,-90,-200,-71,-92,-200,-200,-200,-87,-93
