,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,DLINK_D02A48,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro
1526454550004,-49,-36,-62,-51,-56,-52,-55,-71,-60,-66,-75,-74,-66,-62,-58,-65,-63,-64,-69,-78,-74,-200,-62,-200,-76,-69,-88,-70,-82,-84,-70,-74,-76,-84,-200,-74,-68,-80,-79,-78,-89,-76,-85,-200,-200,-83,-80,-87,-84,-200,-78,-200,-200,-200,-90,-200,-72,-66,-88,-89,-77,-200,-90,-200,-200,-200,-200,-90,-200,-74,-78,-80,-88,-92,-90,-200,-78,-92,-86,-88,-90,-200,-200
1526454553035,-50,-36,-66,-50,-59,-55,-53,-65,-68,-58,-70,-67,-72,-58,-57,-65,-64,-63,-68,-79,-74,-75,-63,-78,-72,-69,-88,-69,-84,-84,-73,-74,-80,-84,-200,-73,-72,-77,-79,-75,-89,-76,-85,-200,-200,-83,-80,-87,-85,-200,-78,-200,-200,-200,-90,-200,-65,-64,-88,-89,-86,-200,-90,-200,-200,-200,-200,-90,-200,-74,-78,-81,-200,-200,-90,-200,-78,-88,-86,-86,-90,-200,-200
1526454556070,-51,-37,-66,-54,-64,-56,-53,-66,-59,-57,-70,-65,-67,-61,-58,-65,-61,-59,-66,-79,-71,-78,-64,-77,-72,-69,-88,-76,-84,-88,-73,-73,-76,-84,-80,-74,-72,-78,-81,-75,-200,-76,-85,-200,-85,-83,-77,-86,-84,-200,-79,-88,-200,-200,-200,-200,-66,-64,-89,-89,-86,-200,-90,-200,-200,-84,-200,-90,-200,-200,-79,-81,-89,-200,-200,-200,-200,-88,-85,-86,-90,-200,-200
1526454559113,-50,-38,-66,-48,-59,-57,-58,-58,-59,-59,-71,-66,-66,-61,-55,-62,-64,-62,-66,-76,-73,-78,-64,-76,-71,-67,-91,-76,-84,-88,-72,-80,-84,-80,-80,-73,-72,-75,-80,-75,-87,-79,-85,-200,-85,-85,-77,-85,-84,-200,-78,-88,-91,-200,-88,-200,-59,-64,-89,-200,-79,-200,-90,-200,-200,-84,-200,-200,-200,-78,-79,-81,-89,-200,-200,-200,-200,-88,-85,-86,-90,-90,-200
1526454562141,-50,-38,-66,-48,-60,-57,-57,-63,-64,-58,-66,-65,-63,-64,-56,-62,-62,-61,-65,-78,-75,-78,-62,-76,-70,-67,-91,-67,-86,-88,-72,-72,-84,-80,-80,-72,-72,-75,-80,-78,-87,-77,-200,-200,-85,-85,-80,-85,-84,-200,-78,-88,-91,-200,-88,-200,-60,-67,-89,-200,-79,-200,-200,-200,-86,-84,-200,-200,-200,-78,-79,-80,-89,-200,-200,-200,-200,-84,-85,-86,-200,-90,-90
1526454565180,-51,-37,-61,-48,-63,-55,-53,-67,-67,-56,-66,-67,-63,-63,-59,-64,-62,-65,-66,-78,-73,-78,-63,-76,-74,-68,-91,-69,-87,-88,-72,-74,-79,-80,-80,-73,-75,-82,-77,-78,-86,-75,-88,-200,-86,-84,-80,-85,-86,-200,-81,-88,-91,-200,-88,-200,-68,-69,-88,-200,-79,-200,-200,-200,-86,-88,-200,-200,-200,-77,-79,-76,-91,-200,-200,-200,-200,-84,-85,-200,-200,-90,-90
1526454568218,-50,-37,-61,-47,-59,-55,-56,-62,-57,-62,-72,-66,-69,-63,-58,-61,-61,-65,-66,-78,-71,-200,-63,-76,-75,-70,-88,-74,-87,-88,-72,-74,-80,-82,-200,-71,-75,-82,-77,-78,-83,-75,-86,-200,-85,-84,-80,-85,-86,-200,-81,-89,-91,-200,-88,-200,-62,-66,-88,-200,-76,-89,-200,-200,-80,-88,-200,-200,-200,-77,-200,-75,-91,-200,-200,-200,-200,-84,-200,-200,-200,-90,-90
1526454571250,-50,-36,-61,-48,-56,-52,-56,-65,-60,-62,-72,-68,-69,-65,-57,-60,-59,-62,-68,-78,-71,-200,-63,-200,-69,-69,-88,-74,-87,-88,-200,-71,-84,-82,-78,-71,-81,-77,-77,-79,-83,-72,-86,-200,-85,-84,-80,-86,-86,-200,-79,-89,-200,-200,-200,-200,-62,-66,-88,-91,-76,-89,-200,-200,-80,-88,-200,-89,-200,-77,-200,-75,-91,-200,-200,-200,-200,-84,-200,-200,-200,-200,-90
1526454574283,-50,-38,-59,-46,-56,-49,-52,-66,-61,-54,-65,-67,-71,-64,-58,-60,-62,-59,-68,-200,-71,-200,-64,-74,-73,-68,-88,-68,-87,-88,-76,-71,-78,-82,-78,-71,-81,-80,-80,-71,-83,-73,-88,-200,-85,-84,-79,-86,-89,-200,-77,-87,-200,-200,-200,-200,-67,-66,-88,-92,-76,-89,-200,-200,-80,-88,-200,-89,-200,-77,-200,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454577323,-48,-37,-64,-47,-58,-55,-51,-66,-58,-64,-65,-69,-64,-64,-55,-61,-62,-57,-65,-200,-73,-200,-64,-74,-72,-66,-88,-73,-87,-200,-76,-71,-78,-82,-78,-72,-72,-80,-80,-71,-83,-74,-88,-200,-85,-84,-78,-86,-84,-200,-77,-87,-200,-200,-200,-200,-58,-63,-88,-92,-81,-89,-200,-200,-83,-200,-200,-89,-200,-200,-200,-77,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454580358,-50,-38,-64,-46,-57,-55,-55,-66,-58,-54,-65,-69,-64,-64,-55,-60,-62,-60,-70,-75,-67,-200,-63,-74,-70,-69,-200,-72,-200,-200,-76,-71,-79,-200,-78,-71,-70,-80,-78,-73,-200,-75,-88,-200,-85,-84,-77,-85,-84,-200,-78,-87,-200,-200,-200,-200,-59,-63,-88,-92,-80,-200,-200,-200,-83,-200,-200,-92,-200,-200,-200,-77,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454583394,-48,-37,-57,-48,-56,-48,-55,-66,-60,-63,-65,-67,-66,-68,-61,-60,-61,-67,-68,-75,-67,-200,-63,-74,-73,-69,-200,-69,-82,-85,-79,-74,-76,-83,-200,-75,-66,-82,-80,-73,-200,-74,-87,-200,-85,-79,-77,-85,-83,-200,-75,-88,-200,-200,-200,-200,-69,-69,-88,-92,-80,-200,-200,-200,-82,-200,-200,-92,-200,-74,-200,-77,-200,-92,-200,-200,-200,-200,-88,-200,-200,-200,-200
