,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526453759629,-41,-44,-49,-53,-51,-50,-65,-62,-67,-76,-68,-61,-56,-65,-65,-60,-64,-67,-73,-74,-65,-66,-66,-73,-70,-72,-80,-84,-69,-78,-78,-81,-65,-76,-81,-77,-79,-77,-75,-70,-200,-86,-81,-85,-83,-65,-86,-82,-88,-88,-83,-89,-86,-85,-200,-200,-89,-86,-200,-200,-200,-200,-200,-84,-79,-200,-200,-87,-82,-90,-73,-89,-200,-200,-200,-200,-200,-200
1526453762651,-46,-44,-49,-50,-52,-52,-67,-62,-61,-66,-60,-59,-57,-66,-76,-61,-62,-67,-73,-77,-65,-66,-66,-69,-70,-72,-74,-82,-68,-78,-78,-80,-69,-74,-77,-77,-79,-75,-78,-72,-200,-82,-81,-85,-83,-74,-86,-79,-86,-88,-83,-89,-86,-85,-200,-200,-89,-86,-200,-200,-200,-200,-200,-200,-87,-200,-200,-86,-82,-90,-74,-89,-200,-200,-200,-200,-200,-200
1526453765663,-43,-44,-52,-52,-53,-51,-66,-60,-66,-66,-61,-58,-60,-63,-72,-58,-66,-64,-73,-77,-65,-66,-66,-68,-70,-77,-74,-82,-68,-77,-78,-80,-69,-71,-74,-77,-79,-79,-78,-74,-200,-82,-200,-85,-200,-79,-85,-78,-86,-200,-83,-89,-86,-200,-89,-90,-200,-86,-200,-200,-200,-200,-200,-200,-87,-200,-200,-86,-86,-90,-74,-89,-87,-200,-200,-200,-200,-200
1526453768695,-43,-47,-56,-49,-55,-49,-56,-60,-63,-65,-66,-58,-55,-67,-69,-59,-63,-64,-71,-73,-65,-68,-65,-69,-70,-76,-78,-82,-68,-78,-78,-79,-69,-74,-74,-77,-79,-79,-77,-69,-200,-81,-89,-85,-200,-74,-85,-78,-89,-88,-83,-89,-90,-200,-89,-90,-200,-86,-200,-200,-200,-200,-200,-200,-87,-200,-200,-86,-86,-90,-80,-89,-87,-200,-200,-200,-200,-200
1526453771723,-40,-44,-51,-52,-55,-53,-66,-54,-64,-69,-66,-58,-54,-64,-69,-58,-62,-80,-72,-73,-65,-70,-64,-69,-70,-74,-78,-82,-66,-78,-200,-80,-69,-69,-76,-200,-200,-79,-73,-72,-200,-81,-89,-79,-200,-66,-85,-80,-89,-88,-87,-89,-90,-77,-89,-90,-200,-84,-200,-200,-200,-200,-200,-200,-87,-200,-200,-86,-86,-200,-80,-200,-85,-200,-200,-200,-200,-200
1526453774758,-43,-43,-57,-52,-55,-51,-66,-59,-64,-67,-68,-57,-54,-66,-73,-70,-64,-63,-72,-73,-65,-67,-65,-69,-68,-74,-78,-82,-72,-78,-200,-80,-200,-72,-79,-200,-80,-79,-73,-75,-200,-81,-89,-80,-88,-70,-85,-80,-89,-88,-87,-200,-90,-85,-89,-90,-200,-84,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-84,-200,-75,-200,-84,-91,-92,-200,-200,-200
1526453777794,-44,-43,-57,-52,-54,-52,-67,-57,-63,-67,-61,-57,-59,-66,-70,-59,-65,-63,-72,-73,-65,-69,-62,-69,-68,-74,-78,-83,-75,-79,-200,-80,-73,-71,-79,-200,-88,-79,-73,-76,-200,-82,-83,-80,-88,-69,-200,-81,-89,-88,-87,-200,-88,-81,-200,-200,-88,-84,-200,-88,-200,-88,-200,-200,-80,-200,-200,-200,-86,-200,-75,-200,-83,-91,-92,-93,-200,-200
1526453780829,-44,-43,-54,-56,-55,-50,-67,-55,-64,-69,-62,-57,-54,-67,-70,-60,-65,-63,-73,-76,-70,-69,-62,-68,-68,-74,-74,-83,-69,-78,-200,-78,-72,-71,-76,-200,-83,-79,-70,-75,-200,-82,-83,-80,-88,-68,-82,-80,-85,-88,-87,-200,-88,-81,-200,-200,-88,-87,-200,-88,-200,-88,-200,-200,-80,-200,-200,-200,-85,-89,-75,-200,-82,-91,-92,-88,-200,-200
1526453783866,-43,-38,-46,-41,-50,-49,-68,-52,-69,-69,-57,-67,-53,-68,-69,-54,-61,-66,-65,-76,-68,-72,-62,-68,-72,-77,-73,-75,-75,-78,-200,-74,-69,-72,-76,-77,-82,-74,-72,-72,-200,-82,-79,-200,-200,-69,-89,-78,-85,-89,-81,-90,-88,-78,-200,-200,-88,-84,-200,-84,-200,-88,-200,-200,-80,-200,-200,-86,-85,-89,-200,-200,-83,-200,-88,-88,-200,-200
1526453786906,-42,-36,-48,-44,-49,-49,-67,-61,-69,-76,-60,-67,-56,-70,-71,-55,-54,-66,-71,-76,-68,-70,-63,-64,-72,-72,-71,-75,-73,-81,-200,-74,-69,-70,-76,-77,-82,-77,-76,-70,-200,-200,-80,-78,-200,-67,-86,-78,-84,-89,-81,-90,-88,-85,-200,-200,-88,-84,-200,-82,-200,-200,-200,-200,-200,-91,-200,-86,-83,-86,-200,-200,-84,-200,-88,-88,-84,-88
1526453789921,-45,-38,-50,-54,-52,-49,-67,-59,-69,-76,-61,-68,-59,-70,-73,-60,-57,-68,-69,-200,-69,-71,-60,-64,-72,-76,-71,-76,-72,-79,-200,-74,-71,-71,-78,-78,-85,-77,-79,-72,-200,-200,-80,-78,-200,-70,-86,-78,-83,-89,-81,-88,-88,-84,-200,-200,-88,-84,-200,-85,-200,-200,-200,-200,-80,-91,-200,-86,-84,-86,-200,-200,-83,-200,-88,-200,-84,-88
1526453792963,-45,-39,-45,-43,-51,-49,-69,-61,-65,-71,-62,-68,-62,-70,-72,-65,-57,-68,-69,-78,-67,-70,-60,-64,-72,-76,-72,-76,-73,-79,-200,-80,-77,-71,-78,-76,-84,-76,-79,-69,-200,-85,-87,-78,-83,-73,-86,-78,-90,-85,-81,-88,-85,-84,-200,-200,-85,-84,-200,-85,-200,-200,-200,-200,-80,-91,-200,-200,-84,-86,-200,-200,-83,-200,-200,-200,-84,-89
