,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526454190355,-48,-44,-67,-55,-70,-63,-62,-52,-52,-62,-65,-73,-66,-58,-70,-70,-57,-67,-62,-71,-66,-72,-76,-72,-67,-66,-73,-68,-69,-64,-200,-70,-71,-79,-84,-79,-79,-72,-82,-77,-81,-74,-80,-78,-79,-80,-200,-89,-85,-89,-87,-200,-200,-69,-88,-76,-200,-87,-85,-88,-200,-200,-82,-87,-89,-200,-88,-88,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526454193391,-48,-45,-68,-52,-70,-63,-66,-49,-56,-61,-62,-73,-69,-56,-74,-69,-54,-66,-63,-72,-56,-75,-73,-59,-66,-66,-65,-69,-63,-62,-200,-70,-72,-78,-84,-78,-79,-72,-79,-77,-81,-76,-80,-78,-79,-86,-200,-89,-85,-89,-87,-200,-200,-69,-86,-76,-200,-87,-85,-87,-200,-200,-84,-87,-89,-200,-200,-83,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526454196401,-49,-44,-68,-51,-70,-63,-66,-48,-53,-61,-57,-73,-67,-55,-74,-70,-55,-65,-60,-69,-64,-70,-69,-62,-71,-66,-80,-70,-73,-63,-200,-200,-72,-84,-83,-78,-79,-72,-79,-78,-81,-74,-82,-80,-87,-86,-200,-88,-85,-89,-87,-91,-200,-69,-86,-80,-200,-87,-82,-87,-200,-88,-84,-87,-89,-200,-200,-83,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526454199440,-50,-42,-68,-51,-66,-63,-71,-48,-51,-61,-59,-73,-66,-57,-70,-70,-58,-67,-60,-69,-67,-69,-74,-67,-64,-61,-82,-70,-74,-63,-200,-69,-83,-84,-83,-79,-79,-71,-85,-78,-81,-79,-82,-80,-87,-92,-200,-86,-200,-86,-87,-91,-200,-68,-85,-81,-200,-87,-82,-87,-200,-88,-82,-200,-89,-200,-200,-83,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526454202450,-48,-43,-60,-47,-59,-61,-64,-50,-52,-61,-60,-78,-66,-56,-70,-73,-58,-56,-59,-66,-67,-67,-70,-59,-69,-61,-81,-71,-72,-65,-200,-66,-72,-81,-85,-79,-79,-76,-85,-80,-200,-75,-82,-83,-84,-92,-91,-80,-88,-86,-87,-91,-200,-68,-85,-81,-200,-200,-82,-87,-200,-87,-81,-200,-89,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454205473,-49,-45,-60,-49,-68,-61,-63,-50,-52,-56,-61,-78,-68,-55,-68,-73,-52,-66,-61,-67,-65,-73,-73,-60,-73,-61,-64,-71,-63,-61,-200,-66,-72,-81,-85,-81,-79,-72,-82,-80,-83,-71,-78,-83,-83,-92,-91,-80,-88,-86,-84,-91,-200,-68,-85,-75,-200,-200,-82,-200,-200,-87,-81,-200,-90,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526454208502,-49,-43,-60,-46,-69,-52,-60,-52,-53,-56,-57,-78,-68,-57,-69,-66,-52,-64,-61,-67,-67,-74,-69,-54,-71,-61,-76,-70,-73,-61,-200,-66,-72,-82,-85,-81,-82,-71,-82,-77,-83,-74,-77,-79,-83,-92,-91,-86,-88,-86,-84,-200,-200,-68,-85,-75,-200,-200,-85,-200,-200,-87,-81,-86,-90,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526454211538,-49,-43,-65,-46,-61,-61,-62,-54,-52,-57,-60,-78,-64,-55,-67,-65,-53,-67,-59,-68,-71,-72,-70,-59,-75,-54,-76,-70,-66,-61,-76,-66,-72,-82,-85,-84,-79,-77,-83,-77,-83,-75,-75,-81,-83,-200,-91,-86,-88,-200,-84,-200,-200,-200,-200,-75,-200,-200,-87,-200,-200,-87,-81,-86,-89,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526454214576,-50,-43,-72,-46,-65,-62,-66,-50,-52,-58,-57,-200,-64,-59,-74,-65,-54,-67,-59,-66,-70,-68,-76,-59,-64,-53,-78,-70,-67,-62,-76,-70,-72,-80,-84,-84,-79,-77,-83,-77,-83,-78,-75,-81,-84,-200,-200,-86,-200,-87,-84,-91,-200,-69,-85,-74,-200,-200,-87,-92,-200,-200,-83,-86,-89,-200,-200,-87,-200,-200,-91,-87,-90,-200,-200,-200,-200
1526454217613,-47,-45,-72,-46,-65,-60,-63,-48,-55,-60,-59,-200,-65,-54,-69,-74,-54,-69,-56,-68,-66,-71,-73,-60,-68,-58,-78,-73,-67,-65,-80,-67,-72,-81,-84,-78,-83,-74,-83,-79,-200,-74,-75,-78,-84,-200,-90,-91,-200,-87,-84,-91,-200,-69,-85,-80,-200,-200,-83,-92,-200,-87,-83,-86,-89,-84,-84,-87,-200,-200,-200,-87,-90,-200,-200,-200,-200
1526454220647,-48,-44,-67,-46,-59,-63,-64,-48,-52,-59,-60,-200,-64,-57,-69,-75,-58,-68,-56,-67,-64,-69,-71,-58,-64,-58,-81,-73,-67,-67,-80,-70,-72,-79,-84,-78,-76,-73,-81,-79,-200,-75,-76,-78,-84,-85,-90,-91,-200,-87,-84,-91,-200,-72,-89,-80,-90,-200,-83,-92,-90,-87,-83,-85,-89,-84,-84,-87,-200,-200,-200,-87,-90,-95,-200,-200,-200
1526454223690,-43,-45,-67,-47,-59,-60,-66,-51,-59,-59,-60,-200,-65,-57,-65,-73,-57,-69,-57,-67,-68,-67,-75,-61,-64,-61,-77,-73,-67,-62,-80,-68,-72,-79,-84,-78,-76,-72,-83,-79,-200,-74,-74,-78,-79,-85,-91,-91,-87,-87,-88,-91,-200,-72,-89,-75,-90,-200,-83,-92,-90,-87,-85,-85,-89,-84,-85,-83,-200,-200,-200,-87,-90,-95,-87,-90,-91
