,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz
1526453472204,-47,-47,-45,-57,-57,-55,-70,-54,-58,-59,-69,-66,-68,-67,-65,-65,-68,-57,-63,-66,-64,-75,-68,-70,-61,-71,-75,-68,-72,-71,-71,-79,-200,-64,-78,-82,-80,-83,-79,-81,-83,-87,-200,-79,-200,-76,-78,-200,-86,-77,-200,-82,-200,-86,-200,-200,-89,-89,-200,-200,-200,-88,-88,-200,-200,-90,-84,-85,-200,-200,-87,-77,-87,-90,-200,-200,-200,-200,-200,-200,-200
1526453475208,-47,-47,-45,-57,-57,-55,-70,-54,-58,-59,-69,-66,-68,-67,-65,-65,-68,-57,-63,-66,-64,-75,-68,-70,-61,-71,-75,-68,-72,-71,-71,-79,-200,-64,-78,-82,-80,-83,-79,-81,-83,-87,-200,-79,-200,-76,-78,-200,-86,-77,-200,-82,-200,-86,-200,-200,-89,-89,-200,-200,-200,-88,-88,-200,-200,-90,-84,-85,-200,-200,-87,-77,-87,-90,-200,-200,-200,-200,-200,-200,-200
1526453478218,-46,-45,-44,-65,-59,-55,-70,-58,-61,-59,-67,-69,-68,-67,-64,-65,-85,-56,-65,-66,-64,-70,-68,-69,-63,-70,-75,-61,-73,-75,-76,-76,-200,-64,-87,-81,-80,-83,-79,-81,-83,-87,-200,-79,-200,-79,-78,-200,-200,-77,-82,-82,-200,-86,-200,-200,-89,-86,-200,-200,-200,-88,-88,-200,-200,-90,-84,-85,-200,-200,-200,-77,-87,-90,-89,-89,-200,-200,-200,-200,-200
1526453481229,-44,-49,-49,-65,-51,-54,-64,-56,-58,-59,-65,-68,-68,-69,-69,-61,-64,-66,-68,-66,-200,-71,-61,-68,-60,-67,-200,-64,-70,-75,-77,-74,-75,-69,-77,-82,-79,-74,-79,-81,-84,-85,-200,-200,-200,-79,-78,-200,-78,-77,-82,-76,-90,-200,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-87,-90,-89,-89,-200,-200,-200,-200,-200
1526453484263,-45,-46,-43,-61,-52,-51,-67,-54,-55,-56,-67,-68,-67,-64,-68,-69,-63,-58,-60,-77,-60,-71,-72,-68,-59,-67,-200,-63,-73,-71,-71,-75,-75,-69,-78,-82,-79,-82,-200,-200,-84,-85,-200,-200,-200,-81,-80,-200,-78,-75,-82,-79,-90,-200,-200,-200,-89,-90,-200,-200,-200,-88,-200,-200,-88,-88,-86,-200,-200,-200,-200,-79,-200,-200,-89,-90,-87,-200,-200,-200,-200
1526453487277,-44,-45,-45,-57,-50,-49,-69,-56,-54,-55,-67,-68,-67,-64,-67,-71,-62,-55,-59,-77,-57,-69,-64,-67,-58,-67,-69,-63,-70,-74,-76,-74,-75,-69,-78,-80,-79,-73,-80,-81,-84,-85,-200,-200,-82,-78,-80,-200,-77,-73,-82,-80,-90,-200,-200,-200,-90,-90,-200,-200,-200,-88,-200,-200,-88,-88,-83,-85,-200,-200,-200,-79,-87,-200,-89,-90,-87,-84,-200,-200,-200
1526453490312,-44,-50,-45,-55,-50,-50,-68,-55,-57,-57,-66,-69,-69,-64,-70,-71,-61,-66,-63,-69,-57,-69,-76,-68,-57,-67,-70,-69,-72,-72,-72,-75,-75,-69,-78,-81,-79,-73,-80,-81,-84,-85,-200,-81,-82,-77,-80,-200,-77,-76,-84,-80,-90,-200,-200,-200,-90,-90,-200,-200,-200,-88,-200,-200,-88,-88,-83,-85,-200,-200,-200,-79,-87,-200,-200,-87,-87,-84,-200,-200,-200
1526453493352,-44,-46,-45,-56,-51,-51,-68,-55,-57,-55,-63,-69,-68,-64,-67,-69,-61,-51,-60,-69,-59,-73,-74,-68,-57,-67,-70,-69,-74,-74,-70,-74,-75,-68,-78,-81,-80,-74,-82,-81,-84,-87,-82,-81,-82,-79,-80,-200,-77,-76,-84,-78,-84,-200,-200,-200,-90,-91,-200,-200,-200,-88,-200,-200,-88,-200,-83,-87,-200,-200,-200,-79,-87,-200,-200,-87,-87,-86,-200,-200,-200
1526453496380,-46,-45,-45,-61,-51,-47,-68,-55,-57,-54,-65,-66,-66,-66,-66,-72,-62,-52,-60,-61,-59,-71,-67,-63,-58,-64,-70,-62,-74,-67,-70,-76,-75,-67,-200,-78,-80,-80,-82,-80,-82,-87,-82,-81,-82,-78,-84,-200,-77,-76,-84,-78,-84,-87,-90,-88,-90,-91,-200,-200,-89,-200,-200,-200,-200,-200,-83,-87,-200,-200,-200,-200,-87,-200,-200,-87,-200,-86,-200,-200,-200
1526453499389,-46,-47,-47,-59,-51,-50,-70,-52,-56,-54,-69,-69,-65,-69,-64,-66,-62,-52,-66,-61,-59,-68,-71,-64,-60,-64,-70,-70,-76,-67,-70,-74,-75,-69,-200,-82,-78,-69,-81,-79,-82,-87,-82,-81,-200,-78,-79,-200,-77,-76,-83,-79,-84,-87,-90,-88,-91,-91,-200,-200,-89,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-87,-200,-86,-90,-200,-200
1526453502401,-44,-46,-44,-55,-55,-47,-65,-54,-55,-54,-69,-69,-65,-66,-69,-60,-61,-54,-62,-61,-56,-82,-76,-64,-58,-64,-70,-70,-72,-70,-72,-75,-200,-69,-200,-82,-81,-69,-81,-79,-81,-87,-79,-200,-200,-76,-78,-200,-79,-74,-83,-73,-84,-87,-90,-88,-91,-91,-200,-200,-89,-87,-200,-200,-88,-200,-87,-84,-200,-200,-200,-200,-200,-200,-200,-88,-200,-85,-90,-90,-200
1526453505411,-42,-47,-48,-63,-54,-46,-64,-53,-58,-53,-54,-65,-69,-66,-73,-78,-68,-54,-58,-61,-59,-75,-63,-74,-56,-71,-66,-70,-70,-74,-76,-72,-200,-72,-200,-82,-81,-69,-82,-83,-87,-81,-79,-77,-74,-79,-76,-200,-79,-74,-83,-80,-87,-87,-89,-91,-89,-85,-200,-200,-91,-87,-88,-200,-88,-200,-87,-86,-200,-200,-200,-200,-200,-200,-91,-88,-200,-84,-90,-90,-84
