,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,DLINK_D02A88,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018
1526454118747,-35,-45,-56,-56,-46,-63,-66,-59,-56,-64,-59,-66,-82,-65,-54,-67,-61,-65,-70,-74,-66,-79,-70,-73,-79,-65,-78,-69,-60,-77,-200,-79,-81,-83,-65,-62,-76,-82,-80,-72,-68,-78,-85,-85,-200,-80,-82,-200,-200,-90,-200,-81,-78,-91,-91,-200,-200,-85,-200,-200,-92,-200,-57,-89,-200,-83,-200,-200,-200,-86,-200,-200,-200
1526454121777,-34,-47,-56,-56,-46,-63,-62,-60,-55,-63,-62,-67,-82,-64,-54,-67,-68,-71,-68,-71,-63,-79,-66,-72,-79,-70,-74,-69,-61,-77,-81,-80,-86,-83,-65,-59,-76,-82,-77,-72,-67,-78,-85,-85,-85,-78,-84,-200,-200,-200,-200,-79,-78,-91,-91,-89,-200,-85,-200,-90,-92,-200,-67,-91,-200,-83,-200,-200,-200,-86,-200,-200,-200
1526454124812,-40,-44,-56,-56,-48,-65,-58,-60,-57,-66,-61,-64,-82,-67,-53,-69,-68,-71,-70,-72,-65,-79,-67,-71,-79,-70,-77,-69,-67,-77,-81,-81,-81,-83,-62,-59,-76,-81,-80,-71,-69,-80,-88,-84,-85,-80,-84,-200,-200,-200,-200,-79,-78,-91,-91,-89,-200,-85,-200,-90,-200,-200,-66,-91,-89,-83,-200,-200,-200,-88,-200,-200,-200
1526454127847,-36,-46,-55,-56,-48,-60,-67,-60,-56,-61,-68,-72,-82,-67,-54,-65,-68,-72,-70,-72,-62,-79,-71,-67,-84,-72,-78,-71,-57,-77,-81,-81,-81,-80,-62,-61,-76,-81,-73,-71,-68,-82,-88,-84,-85,-79,-84,-200,-200,-88,-200,-81,-78,-90,-91,-89,-200,-85,-200,-90,-200,-200,-65,-91,-89,-85,-200,-200,-200,-89,-75,-89,-200
1526454130882,-34,-44,-55,-54,-48,-61,-61,-65,-52,-64,-64,-67,-200,-69,-56,-65,-62,-69,-67,-69,-63,-79,-71,-73,-84,-70,-79,-69,-63,-75,-81,-82,-81,-80,-67,-64,-75,-81,-79,-70,-71,-82,-88,-84,-85,-79,-84,-200,-88,-88,-89,-81,-78,-89,-91,-90,-200,-200,-200,-90,-200,-200,-65,-88,-89,-85,-200,-200,-200,-87,-75,-89,-200
1526454133910,-33,-44,-54,-62,-57,-58,-60,-62,-52,-63,-64,-70,-82,-66,-56,-69,-63,-70,-61,-71,-65,-79,-66,-68,-84,-66,-79,-67,-65,-70,-200,-79,-81,-84,-64,-64,-77,-82,-79,-71,-70,-82,-89,-84,-200,-78,-84,-200,-88,-88,-89,-81,-78,-89,-91,-90,-200,-200,-200,-90,-200,-200,-65,-88,-89,-85,-200,-200,-200,-87,-75,-89,-200
1526454136919,-35,-47,-53,-54,-46,-62,-56,-59,-55,-64,-61,-66,-77,-54,-54,-71,-69,-71,-67,-71,-65,-200,-69,-73,-80,-56,-82,-65,-59,-73,-200,-79,-78,-84,-64,-58,-74,-78,-76,-70,-68,-79,-89,-86,-200,-78,-83,-200,-88,-88,-89,-200,-200,-89,-200,-87,-200,-82,-200,-90,-200,-200,-65,-87,-200,-200,-200,-200,-200,-89,-73,-200,-88
1526454139956,-38,-45,-54,-53,-48,-58,-60,-59,-53,-64,-61,-71,-77,-74,-54,-72,-69,-71,-67,-71,-69,-200,-71,-68,-80,-74,-82,-66,-58,-74,-200,-80,-82,-81,-65,-60,-75,-80,-76,-70,-68,-79,-88,-86,-200,-77,-83,-200,-88,-88,-200,-83,-200,-89,-200,-87,-200,-83,-200,-200,-200,-200,-62,-87,-200,-200,-200,-200,-200,-89,-73,-200,-88
1526454142990,-35,-51,-55,-55,-47,-59,-65,-73,-56,-61,-61,-72,-77,-65,-55,-72,-69,-71,-67,-73,-67,-200,-66,-69,-80,-72,-80,-68,-66,-75,-200,-80,-87,-82,-65,-63,-77,-80,-76,-70,-79,-80,-88,-86,-200,-77,-85,-200,-88,-88,-200,-84,-200,-90,-200,-91,-200,-86,-200,-90,-200,-200,-61,-88,-200,-200,-89,-200,-200,-89,-73,-200,-88
1526454146027,-33,-87,-56,-53,-48,-60,-61,-59,-53,-61,-59,-66,-77,-66,-53,-72,-69,-200,-67,-72,-67,-200,-71,-68,-77,-62,-78,-66,-57,-67,-200,-77,-87,-82,-65,-63,-79,-80,-82,-70,-67,-80,-88,-86,-82,-81,-85,-200,-88,-88,-200,-84,-200,-90,-200,-90,-200,-85,-200,-90,-200,-200,-61,-88,-200,-200,-89,-200,-200,-200,-73,-200,-200
1526454149039,-34,-45,-55,-59,-44,-57,-57,-59,-52,-62,-59,-72,-200,-65,-58,-76,-200,-70,-200,-72,-64,-200,-75,-66,-77,-62,-82,-67,-68,-67,-200,-77,-87,-83,-65,-63,-77,-84,-78,-72,-67,-80,-88,-200,-82,-81,-85,-200,-88,-200,-200,-84,-83,-90,-89,-90,-200,-85,-200,-90,-200,-200,-61,-88,-200,-200,-89,-200,-200,-88,-200,-200,-200
1526454152077,-39,-49,-56,-59,-47,-60,-60,-66,-53,-63,-64,-70,-200,-69,-55,-76,-69,-70,-67,-70,-63,-73,-72,-67,-76,-72,-78,-69,-68,-67,-200,-78,-87,-83,-200,-63,-77,-84,-78,-70,-66,-80,-88,-200,-81,-79,-85,-200,-88,-200,-200,-84,-83,-90,-89,-90,-200,-86,-200,-90,-200,-200,-61,-88,-200,-200,-89,-200,-200,-88,-75,-200,-200
