,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,DLINK_D00EC0,D-Link_DIR-823Pro
1526454981395,-39,-48,-44,-53,-58,-50,-58,-64,-61,-69,-63,-64,-75,-62,-79,-61,-63,-67,-68,-62,-57,-72,-77,-73,-80,-76,-77,-59,-60,-76,-82,-76,-81,-71,-72,-74,-84,-77,-81,-84,-84,-200,-83,-84,-87,-200,-200,-200,-86,-200,-83,-92,-200,-89,-88,-200,-200,-90,-200,-200,-77,-200,-89,-91,-200,-75,-86,-85,-90,-200,-90,-200,-91,-74,-90,-91,-200,-200,-200,-200,-200
1526454984414,-42,-46,-43,-55,-58,-48,-58,-63,-58,-70,-68,-72,-67,-62,-81,-61,-62,-65,-69,-200,-54,-72,-77,-78,-79,-69,-76,-59,-60,-74,-77,-80,-81,-73,-76,-74,-84,-77,-80,-84,-84,-200,-200,-84,-87,-200,-200,-200,-86,-200,-79,-200,-200,-89,-88,-200,-200,-89,-200,-200,-83,-91,-89,-91,-90,-75,-86,-85,-90,-200,-90,-200,-200,-74,-90,-91,-91,-200,-200,-200,-200
1526454987441,-42,-48,-44,-58,-58,-50,-56,-63,-58,-70,-68,-79,-66,-66,-80,-66,-64,-60,-73,-200,-60,-72,-78,-75,-81,-69,-76,-200,-65,-75,-76,-75,-200,-68,-74,-74,-88,-77,-80,-84,-84,-86,-200,-84,-90,-200,-200,-87,-200,-200,-79,-90,-80,-87,-90,-200,-200,-89,-200,-200,-77,-91,-89,-89,-90,-75,-200,-89,-88,-200,-90,-200,-200,-85,-90,-91,-91,-200,-200,-200,-200
1526454990469,-46,-49,-45,-52,-54,-50,-58,-62,-56,-65,-68,-78,-64,-64,-79,-63,-66,-64,-73,-200,-56,-200,-78,-73,-75,-69,-76,-61,-64,-79,-74,-79,-87,-73,-74,-75,-84,-75,-87,-84,-86,-80,-200,-86,-89,-89,-200,-83,-200,-90,-83,-90,-80,-85,-90,-200,-200,-89,-200,-200,-79,-91,-91,-89,-90,-74,-200,-89,-88,-200,-90,-200,-200,-85,-90,-91,-91,-200,-200,-200,-200
1526454993506,-40,-47,-45,-54,-60,-53,-54,-64,-57,-68,-65,-67,-66,-67,-76,-64,-63,-63,-66,-200,-54,-200,-73,-74,-72,-71,-200,-60,-65,-74,-79,-76,-87,-79,-72,-75,-82,-73,-87,-77,-85,-87,-84,-83,-90,-89,-200,-83,-89,-89,-85,-90,-84,-82,-90,-90,-200,-88,-200,-200,-79,-200,-90,-89,-200,-73,-200,-87,-90,-200,-88,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526454996516,-41,-49,-42,-50,-61,-54,-55,-59,-60,-65,-53,-67,-75,-76,-79,-64,-65,-59,-71,-200,-56,-200,-73,-74,-71,-71,-200,-60,-65,-73,-79,-74,-87,-79,-69,-75,-82,-73,-87,-72,-79,-87,-84,-81,-83,-80,-200,-84,-89,-89,-85,-200,-84,-82,-90,-90,-200,-88,-200,-200,-79,-200,-90,-200,-200,-74,-200,-87,-90,-200,-88,-200,-200,-200,-91,-200,-200,-86,-200,-200,-200
1526454999556,-42,-51,-41,-55,-61,-53,-56,-59,-60,-69,-69,-67,-66,-70,-78,-64,-66,-57,-65,-81,-54,-66,-80,-78,-75,-69,-200,-60,-62,-76,-79,-74,-200,-73,-74,-80,-82,-78,-82,-78,-83,-87,-84,-81,-82,-77,-200,-84,-89,-90,-85,-88,-84,-84,-200,-90,-200,-88,-200,-200,-78,-90,-90,-200,-200,-74,-200,-87,-90,-200,-88,-200,-200,-200,-91,-200,-200,-86,-200,-200,-200
1526455002588,-43,-51,-50,-53,-61,-55,-56,-67,-60,-70,-69,-200,-66,-61,-77,-65,-64,-66,-72,-81,-53,-66,-80,-74,-72,-69,-200,-60,-65,-74,-78,-78,-200,-71,-73,-80,-85,-78,-82,-84,-82,-87,-84,-81,-82,-77,-200,-84,-92,-90,-85,-88,-84,-84,-200,-90,-200,-88,-200,-200,-78,-90,-90,-200,-200,-72,-200,-87,-90,-200,-88,-200,-200,-200,-91,-200,-200,-84,-200,-200,-200
1526455005621,-41,-45,-45,-56,-58,-50,-57,-64,-55,-70,-69,-200,-66,-63,-81,-64,-63,-61,-68,-81,-58,-70,-78,-76,-75,-73,-200,-200,-64,-73,-73,-78,-200,-70,-71,-80,-85,-78,-82,-84,-85,-200,-200,-85,-82,-77,-200,-84,-92,-90,-85,-88,-200,-84,-200,-200,-200,-200,-200,-200,-82,-90,-200,-200,-200,-72,-200,-200,-90,-200,-200,-200,-200,-200,-91,-200,-200,-84,-91,-200,-200
1526455008655,-40,-48,-43,-52,-58,-49,-57,-64,-54,-70,-69,-64,-61,-67,-85,-59,-71,-67,-72,-81,-55,-76,-81,-74,-76,-73,-200,-63,-58,-48,-73,-77,-200,-70,-72,-80,-82,-78,-82,-84,-85,-200,-76,-85,-88,-77,-200,-200,-92,-90,-85,-92,-67,-85,-200,-200,-89,-200,-200,-200,-82,-90,-200,-88,-200,-75,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-84,-91,-82,-91
1526455011698,-40,-47,-50,-52,-62,-51,-57,-70,-56,-70,-200,-64,-67,-71,-85,-67,-70,-63,-69,-200,-57,-79,-81,-75,-75,-75,-74,-60,-60,-77,-76,-75,-82,-71,-72,-76,-82,-77,-200,-84,-80,-85,-76,-83,-89,-82,-200,-200,-87,-200,-83,-92,-67,-85,-200,-200,-89,-200,-200,-200,-82,-200,-200,-88,-200,-75,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-84,-91,-82,-91
1526455014728,-41,-47,-43,-54,-59,-51,-56,-64,-56,-70,-200,-64,-54,-66,-77,-64,-63,-64,-64,-200,-56,-79,-75,-79,-77,-69,-76,-61,-67,-77,-74,-75,-82,-68,-74,-76,-82,-77,-200,-76,-84,-84,-76,-80,-89,-79,-200,-200,-87,-88,-80,-92,-81,-85,-200,-89,-91,-200,-200,-200,-79,-200,-200,-88,-200,-76,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200,-85,-91,-82,-91
