,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,DLINK_D02A48,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454243921,-27,-37,-42,-43,-34,-45,-51,-51,-43,-52,-54,-50,-60,-56,-56,-62,-53,-55,-71,-57,-60,-63,-49,-60,-59,-69,-200,-62,-73,-66,-87,-65,-200,-80,-74,-81,-200,-76,-84,-68,-79,-200,-200,-200,-76,-79,-82,-84,-72,-200,-79,-72,-84,-200,-82,-200,-200,-86,-65,-200,-200,-200,-58,-71,-200,-200,-67,-77,-200,-200,-200,-200,-200,-200,-73,-75,-86,-84,-200,-200,-200,-200,-200,-200
1526454246977,-23,-37,-42,-39,-35,-43,-51,-51,-40,-49,-54,-49,-60,-56,-58,-63,-52,-56,-73,-57,-62,-63,-49,-62,-59,-69,-66,-67,-73,-69,-87,-65,-200,-80,-74,-80,-200,-76,-84,-68,-79,-82,-200,-200,-76,-79,-82,-84,-69,-200,-79,-72,-81,-200,-84,-200,-86,-84,-65,-200,-200,-200,-59,-71,-200,-200,-67,-77,-200,-200,-200,-200,-200,-200,-73,-75,-86,-84,-87,-200,-200,-200,-200,-200
1526454250041,-23,-37,-41,-42,-36,-43,-51,-50,-40,-49,-54,-52,-58,-56,-60,-63,-53,-56,-73,-57,-61,-63,-49,-61,-59,-69,-66,-67,-73,-65,-84,-65,-82,-80,-74,-82,-200,-76,-84,-68,-79,-82,-200,-200,-75,-79,-83,-84,-69,-200,-79,-72,-83,-200,-84,-200,-86,-84,-65,-200,-200,-200,-59,-75,-200,-200,-66,-77,-200,-200,-200,-200,-200,-200,-73,-200,-86,-84,-87,-84,-200,-200,-200,-200
1526454253123,-24,-37,-42,-41,-33,-39,-53,-51,-48,-52,-53,-52,-59,-56,-56,-63,-53,-56,-72,-54,-66,-63,-52,-61,-60,-70,-66,-64,-75,-69,-84,-200,-82,-80,-74,-80,-78,-76,-84,-70,-80,-82,-200,-200,-75,-79,-82,-84,-69,-200,-79,-80,-83,-200,-84,-200,-87,-84,-65,-200,-88,-200,-59,-75,-200,-88,-69,-77,-200,-200,-200,-200,-200,-200,-73,-200,-200,-84,-87,-84,-91,-200,-200,-200
1526454256185,-26,-37,-42,-43,-35,-39,-52,-52,-41,-52,-53,-49,-59,-200,-58,-62,-53,-57,-72,-54,-64,-62,-51,-61,-60,-70,-66,-60,-75,-74,-74,-200,-75,-200,-78,-81,-78,-76,-200,-70,-80,-82,-200,-200,-74,-200,-82,-84,-69,-200,-79,-79,-83,-200,-84,-200,-87,-84,-68,-200,-88,-200,-59,-75,-200,-88,-69,-77,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-87,-84,-91,-89,-200,-200
1526454259252,-27,-37,-42,-44,-35,-44,-49,-52,-45,-50,-49,-49,-60,-200,-56,-62,-54,-57,-72,-53,-67,-62,-50,-61,-62,-70,-66,-59,-75,-67,-78,-200,-75,-200,-79,-81,-79,-76,-200,-70,-83,-82,-200,-200,-74,-87,-83,-84,-69,-200,-79,-80,-83,-200,-84,-200,-86,-84,-68,-200,-88,-200,-59,-75,-84,-77,-69,-74,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-87,-84,-91,-89,-200,-200
1526454262315,-25,-37,-42,-44,-42,-44,-49,-51,-45,-50,-53,-49,-59,-62,-56,-61,-54,-56,-72,-54,-67,-62,-50,-61,-62,-78,-66,-60,-73,-67,-85,-200,-76,-200,-79,-80,-79,-76,-200,-70,-83,-200,-200,-200,-74,-79,-83,-200,-74,-200,-79,-80,-83,-200,-85,-200,-86,-200,-68,-200,-88,-200,-57,-75,-84,-77,-69,-77,-74,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-84,-91,-89,-200,-200
1526454265370,-25,-37,-42,-45,-34,-44,-47,-51,-37,-50,-53,-50,-60,-61,-58,-61,-52,-56,-72,-54,-63,-63,-49,-61,-58,-78,-66,-60,-73,-69,-85,-200,-76,-200,-75,-80,-79,-79,-200,-69,-87,-200,-200,-200,-74,-75,-83,-200,-77,-200,-79,-80,-200,-200,-85,-200,-87,-200,-68,-200,-85,-87,-57,-200,-85,-77,-74,-77,-74,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-91,-89,-200,-200
1526454268444,-28,-37,-42,-44,-35,-42,-39,-53,-45,-49,-52,-51,-59,-61,-59,-61,-54,-58,-71,-54,-62,-63,-54,-61,-58,-78,-67,-67,-72,-66,-85,-200,-75,-200,-75,-80,-79,-76,-200,-69,-87,-200,-200,-200,-74,-75,-83,-200,-77,-200,-79,-80,-200,-200,-85,-200,-87,-200,-68,-200,-85,-87,-57,-200,-85,-77,-74,-77,-74,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-90,-89,-200,-200
1526454271491,-24,-37,-42,-40,-33,-43,-48,-53,-43,-49,-52,-51,-59,-61,-59,-61,-52,-58,-71,-54,-63,-63,-50,-61,-57,-78,-68,-67,-72,-66,-85,-200,-71,-200,-75,-81,-79,-76,-200,-71,-87,-200,-200,-200,-75,-75,-84,-200,-77,-200,-79,-80,-200,-200,-85,-200,-87,-200,-200,-200,-85,-87,-57,-200,-85,-77,-74,-77,-74,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526454274538,-24,-37,-42,-41,-34,-40,-51,-52,-44,-49,-52,-61,-58,-61,-59,-62,-54,-53,-71,-54,-63,-62,-51,-61,-58,-70,-68,-67,-72,-69,-85,-200,-71,-200,-79,-82,-200,-77,-84,-71,-87,-200,-200,-200,-75,-80,-84,-200,-77,-200,-79,-200,-200,-200,-85,-200,-87,-200,-200,-200,-85,-87,-57,-200,-82,-200,-83,-77,-74,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526454277604,-27,-37,-42,-40,-37,-40,-51,-51,-47,-49,-52,-51,-58,-57,-59,-64,-54,-57,-71,-56,-63,-62,-51,-57,-59,-69,-65,-69,-72,-67,-79,-200,-71,-200,-79,-80,-78,-77,-80,-67,-87,-200,-200,-200,-75,-80,-83,-200,-71,-200,-200,-82,-200,-200,-81,-200,-87,-200,-65,-200,-85,-87,-57,-200,-82,-200,-72,-78,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-90,-200,-80,-82
