,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018
1526461313370,-59,-46,-70,-47,-50,-48,-74,-56,-74,-61,-200,-86,-55,-81,-72,-80,-200,-53,-73,-84,-79,-72,-83,-65,-65,-61,-200,-72,-81,-75,-76,-78,-200,-89,-200,-200,-74,-200,-200,-200,-200,-200,-200,-71,-81,-70,-67,-69,-82,-200,-64,-69,-200,-200,-68,-200,-76,-200,-200,-200,-200,-84,-200,-89,-200,-200,-88,-72,-68,-64,-78,-79,-80,-85,-83,-87,-86,-77,-77,-81,-87,-88,-86,-75,-82,-86,-80,-200,-80,-200,-91,-83,-200,-65,-83,-80,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526461316406,-59,-46,-69,-53,-51,-46,-74,-55,-76,-58,-200,-86,-57,-81,-72,-80,-200,-52,-72,-84,-79,-73,-83,-67,-65,-62,-200,-72,-200,-75,-75,-78,-200,-200,-200,-200,-75,-88,-200,-200,-200,-200,-200,-69,-81,-74,-57,-68,-77,-200,-64,-70,-200,-200,-68,-200,-76,-200,-200,-200,-200,-84,-200,-89,-200,-200,-88,-73,-69,-72,-81,-78,-80,-85,-84,-85,-86,-200,-77,-85,-200,-88,-86,-75,-82,-86,-79,-200,-77,-200,-200,-83,-200,-69,-83,-80,-90,-87,-200,-200,-200,-200,-200,-200,-200
1526461319437,-58,-46,-68,-54,-51,-47,-73,-54,-74,-57,-57,-79,-56,-81,-72,-85,-200,-51,-72,-77,-79,-73,-83,-67,-64,-55,-84,-72,-200,-75,-74,-78,-82,-200,-200,-200,-76,-88,-200,-200,-200,-200,-200,-69,-81,-72,-65,-69,-68,-200,-66,-70,-200,-87,-67,-200,-76,-89,-200,-90,-200,-84,-200,-89,-200,-200,-92,-73,-70,-65,-80,-78,-80,-86,-83,-85,-86,-200,-77,-85,-200,-88,-200,-75,-82,-86,-79,-200,-77,-200,-200,-200,-200,-69,-82,-80,-90,-87,-86,-91,-200,-200,-200,-200,-200
1526461322470,-58,-45,-64,-47,-48,-46,-70,-55,-76,-58,-58,-74,-56,-81,-75,-85,-200,-61,-72,-76,-79,-73,-83,-73,-64,-56,-84,-72,-200,-76,-74,-200,-83,-200,-200,-200,-76,-88,-200,-200,-200,-200,-200,-68,-81,-72,-64,-69,-74,-200,-59,-69,-200,-87,-66,-200,-76,-89,-200,-90,-85,-84,-200,-89,-200,-200,-92,-70,-68,-65,-79,-78,-80,-86,-83,-85,-86,-80,-77,-89,-200,-89,-85,-75,-75,-86,-79,-200,-77,-200,-89,-200,-200,-65,-83,-200,-90,-87,-86,-91,-90,-200,-200,-200,-200
1526461325500,-60,-44,-65,-50,-48,-47,-69,-55,-76,-59,-57,-74,-54,-200,-73,-85,-200,-54,-72,-75,-79,-72,-200,-66,-66,-55,-84,-76,-200,-76,-76,-200,-80,-200,-200,-200,-76,-88,-200,-200,-200,-200,-200,-68,-200,-72,-64,-68,-72,-200,-63,-70,-200,-87,-66,-82,-76,-89,-200,-90,-85,-200,-200,-89,-200,-200,-92,-70,-68,-66,-79,-78,-80,-86,-83,-83,-85,-80,-77,-85,-200,-89,-86,-75,-75,-86,-79,-200,-77,-200,-89,-81,-200,-65,-83,-77,-90,-90,-86,-91,-90,-88,-89,-91,-200
1526461328538,-56,-45,-64,-49,-50,-46,-70,-58,-76,-58,-60,-84,-55,-200,-73,-85,-78,-54,-71,-75,-79,-74,-200,-66,-66,-56,-85,-63,-200,-81,-75,-200,-80,-93,-200,-200,-76,-200,-200,-200,-200,-200,-200,-69,-200,-70,-62,-69,-73,-200,-64,-69,-200,-87,-65,-82,-200,-89,-88,-89,-85,-200,-200,-89,-200,-200,-92,-71,-68,-66,-79,-78,-80,-86,-83,-83,-85,-80,-77,-83,-200,-89,-86,-75,-75,-86,-200,-200,-200,-200,-89,-81,-200,-65,-83,-77,-200,-90,-86,-91,-90,-88,-89,-91,-88
1526461331559,-63,-48,-65,-52,-52,-47,-72,-55,-76,-58,-56,-84,-56,-200,-73,-85,-78,-55,-71,-75,-79,-76,-200,-65,-65,-60,-85,-72,-200,-81,-75,-200,-80,-93,-200,-200,-73,-200,-200,-200,-200,-200,-200,-67,-200,-70,-63,-67,-72,-200,-65,-67,-200,-200,-67,-82,-77,-200,-88,-89,-85,-200,-200,-89,-200,-200,-200,-72,-70,-64,-79,-78,-79,-85,-83,-84,-87,-80,-200,-83,-200,-89,-86,-73,-76,-200,-200,-200,-82,-200,-89,-81,-200,-65,-81,-77,-200,-90,-200,-200,-90,-88,-89,-90,-88
1526461334597,-57,-46,-62,-51,-50,-46,-71,-55,-81,-60,-60,-83,-55,-200,-73,-82,-78,-55,-71,-75,-200,-76,-200,-58,-64,-53,-86,-60,-84,-81,-75,-200,-80,-91,-200,-200,-73,-200,-200,-200,-200,-200,-200,-68,-200,-72,-63,-69,-75,-200,-64,-73,-200,-88,-67,-82,-77,-81,-88,-89,-88,-82,-200,-89,-200,-200,-90,-72,-69,-64,-200,-79,-56,-85,-83,-84,-87,-80,-74,-83,-200,-89,-86,-73,-82,-85,-200,-200,-82,-200,-200,-81,-200,-65,-81,-77,-200,-90,-200,-200,-200,-88,-89,-90,-90
1526461337634,-57,-44,-65,-51,-50,-46,-69,-57,-78,-58,-63,-83,-56,-76,-73,-82,-78,-54,-71,-82,-200,-76,-200,-58,-64,-56,-86,-74,-85,-78,-75,-200,-200,-91,-200,-200,-73,-200,-200,-200,-200,-200,-200,-69,-80,-71,-63,-67,-72,-200,-66,-69,-200,-88,-68,-200,-76,-81,-88,-89,-86,-82,-200,-89,-200,-200,-90,-71,-70,-68,-78,-79,-56,-85,-200,-84,-87,-78,-74,-83,-200,-200,-85,-73,-82,-85,-200,-200,-82,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-90,-90
1526461340672,-60,-44,-66,-51,-49,-47,-72,-56,-78,-58,-58,-83,-56,-76,-73,-82,-200,-52,-73,-82,-80,-75,-200,-65,-64,-56,-86,-61,-85,-78,-75,-200,-200,-91,-200,-200,-75,-200,-200,-200,-200,-200,-200,-68,-81,-70,-62,-67,-71,-200,-66,-70,-200,-88,-67,-200,-82,-81,-88,-200,-86,-82,-200,-89,-200,-200,-90,-71,-69,-68,-78,-79,-56,-85,-200,-84,-85,-78,-74,-200,-200,-88,-86,-73,-82,-85,-200,-200,-82,-200,-200,-82,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-90,-90
1526461343704,-61,-46,-66,-50,-50,-45,-71,-55,-78,-57,-57,-86,-56,-76,-73,-82,-200,-51,-66,-74,-80,-75,-81,-67,-64,-55,-86,-62,-78,-78,-75,-200,-200,-91,-200,-200,-62,-200,-200,-200,-200,-200,-200,-68,-81,-72,-60,-69,-74,-200,-66,-70,-200,-86,-67,-200,-82,-81,-88,-200,-86,-82,-200,-200,-200,-200,-90,-70,-70,-64,-78,-78,-80,-86,-85,-84,-85,-78,-77,-84,-200,-88,-90,-200,-81,-85,-200,-200,-200,-200,-88,-82,-200,-200,-81,-200,-200,-84,-200,-90,-200,-200,-200,-200,-90
1526461346739,-61,-47,-66,-51,-50,-47,-70,-54,-77,-58,-58,-86,-56,-77,-73,-200,-200,-53,-72,-82,-80,-75,-81,-67,-64,-61,-86,-62,-78,-76,-76,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-67,-80,-72,-66,-69,-72,-200,-66,-69,-200,-86,-67,-79,-82,-200,-88,-200,-86,-83,-200,-200,-200,-200,-200,-72,-71,-68,-78,-78,-80,-86,-85,-84,-85,-79,-77,-84,-200,-88,-90,-200,-82,-200,-200,-200,-83,-200,-90,-82,-200,-200,-81,-200,-200,-84,-86,-90,-89,-200,-200,-200,-200
