,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526451305838,-40,-40,-44,-50,-37,-71,-44,-56,-46,-54,-73,-200,-50,-64,-69,-56,-70,-68,-66,-74,-65,-68,-69,-68,-81,-77,-67,-65,-74,-79,-73,-87,-79,-81,-73,-81,-70,-80,-86,-75,-87,-88,-82,-82,-79,-77,-84,-77,-73,-79,-77,-84,-83,-200,-83,-83,-200,-200,-88,-83,-84,-89,-200,-70,-84,-85,-87,-200,-200,-200,-86,-79,-90,-81,-200,-89,-87,-88,-200,-200,-200,-89,-200,-200,-200,-89,-89,-200,-82,-91,-82,-91,-200,-92,-72,-200,-92,-87,-200,-200,-89,-88,-91,-90,-89,-90,-82,-84,-86,-91,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526451308887,-33,-14,-45,-50,-48,-61,-41,-54,-47,-56,-72,-200,-51,-61,-67,-52,-68,-68,-65,-76,-64,-65,-69,-70,-82,-77,-66,-65,-70,-78,-73,-82,-82,-200,-71,-74,-78,-79,-82,-78,-87,-88,-83,-82,-80,-77,-79,-77,-73,-77,-77,-85,-81,-85,-82,-84,-200,-200,-88,-84,-84,-87,-200,-69,-83,-85,-87,-200,-84,-200,-86,-81,-90,-200,-200,-89,-87,-88,-200,-200,-200,-89,-200,-200,-91,-88,-89,-200,-85,-91,-83,-90,-200,-200,-72,-200,-92,-87,-200,-200,-89,-88,-90,-90,-200,-90,-82,-84,-86,-91,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526451311937,-16,-32,-45,-52,-47,-63,-43,-62,-50,-66,-64,-73,-48,-63,-67,-53,-75,-68,-66,-76,-64,-76,-200,-66,-82,-77,-68,-62,-74,-84,-72,-81,-82,-200,-71,-74,-78,-79,-84,-86,-88,-88,-83,-82,-80,-84,-82,-77,-73,-77,-79,-85,-81,-85,-86,-84,-200,-200,-82,-84,-87,-92,-200,-92,-85,-86,-87,-200,-84,-200,-87,-80,-89,-200,-95,-89,-87,-90,-90,-200,-200,-89,-200,-200,-91,-88,-200,-200,-86,-91,-85,-90,-200,-200,-72,-200,-92,-87,-200,-200,-200,-88,-90,-90,-200,-90,-200,-200,-89,-200,-90,-90,-91,-89,-90,-200,-200,-200,-200,-200,-200
1526451314977,-15,-32,-45,-47,-48,-60,-44,-56,-49,-40,-74,-73,-50,-63,-67,-55,-67,-69,-64,-76,-63,-68,-69,-64,-82,-73,-66,-69,-77,-80,-69,-85,-76,-78,-73,-73,-82,-79,-79,-72,-83,-91,-82,-200,-82,-77,-80,-78,-73,-76,-79,-86,-84,-85,-85,-83,-88,-200,-82,-84,-88,-92,-200,-73,-85,-84,-89,-200,-84,-200,-86,-80,-89,-86,-95,-89,-87,-90,-90,-200,-200,-89,-200,-200,-91,-90,-96,-200,-86,-200,-79,-91,-89,-91,-73,-200,-200,-200,-200,-200,-91,-88,-90,-89,-200,-89,-200,-82,-89,-88,-90,-90,-200,-89,-90,-83,-89,-90,-200,-200,-200
1526451318022,-33,-32,-45,-46,-38,-66,-43,-55,-47,-59,-74,-73,-49,-63,-63,-52,-67,-69,-62,-70,-66,-67,-65,-69,-81,-73,-69,-69,-76,-76,-74,-81,-75,-78,-69,-73,-82,-79,-80,-76,-83,-89,-82,-200,-81,-75,-81,-77,-73,-80,-79,-84,-84,-84,-90,-83,-88,-200,-82,-82,-85,-87,-200,-71,-85,-84,-85,-200,-200,-200,-87,-69,-89,-80,-95,-90,-85,-94,-90,-200,-91,-89,-200,-200,-200,-90,-96,-200,-86,-200,-82,-89,-89,-91,-71,-200,-200,-200,-200,-200,-91,-200,-200,-91,-200,-89,-200,-82,-89,-88,-87,-90,-200,-89,-87,-83,-91,-90,-200,-200,-200
1526451321068,-32,-34,-45,-49,-38,-62,-52,-55,-46,-54,-73,-73,-57,-68,-63,-63,-65,-68,-61,-73,-63,-65,-65,-69,-73,-77,-69,-69,-68,-78,-72,-83,-76,-78,-69,-70,-66,-86,-79,-73,-79,-87,-81,-83,-85,-75,-81,-77,-78,-80,-77,-84,-80,-84,-87,-86,-88,-90,-87,-82,-84,-89,-200,-73,-200,-84,-89,-200,-200,-200,-87,-83,-87,-80,-200,-91,-85,-94,-92,-200,-89,-89,-200,-200,-200,-88,-96,-88,-84,-200,-78,-89,-89,-91,-71,-200,-91,-200,-200,-200,-91,-200,-200,-90,-200,-89,-200,-82,-200,-88,-87,-90,-200,-200,-87,-83,-91,-90,-85,-91,-200
1526451324121,-34,-30,-45,-49,-38,-66,-45,-55,-46,-59,-73,-73,-57,-62,-67,-54,-67,-69,-64,-74,-65,-65,-65,-68,-73,-78,-66,-69,-74,-79,-73,-81,-76,-78,-73,-73,-67,-77,-79,-79,-82,-82,-81,-81,-78,-76,-75,-76,-73,-80,-76,-85,-80,-84,-87,-83,-200,-90,-86,-82,-82,-86,-200,-69,-88,-85,-89,-200,-200,-200,-86,-83,-87,-80,-200,-91,-87,-94,-92,-200,-89,-89,-200,-200,-200,-88,-96,-88,-84,-80,-78,-89,-200,-200,-71,-92,-90,-85,-200,-200,-91,-200,-200,-90,-200,-200,-200,-82,-91,-200,-87,-90,-200,-200,-87,-200,-91,-200,-85,-91,-200
1526451327165,-32,-33,-46,-46,-38,-66,-41,-53,-48,-56,-72,-200,-47,-60,-67,-52,-52,-69,-66,-74,-62,-62,-65,-69,-82,-78,-67,-200,-73,-77,-73,-83,-76,-200,-71,-72,-67,-77,-82,-79,-82,-88,-81,-81,-84,-76,-80,-77,-71,-79,-77,-83,-81,-84,-90,-84,-200,-90,-86,-85,-82,-87,-200,-71,-86,-85,-86,-200,-200,-200,-85,-78,-91,-80,-200,-87,-87,-94,-92,-90,-89,-89,-200,-200,-90,-86,-200,-90,-83,-80,-82,-92,-200,-200,-71,-92,-90,-85,-200,-200,-89,-200,-200,-84,-200,-200,-200,-200,-88,-200,-89,-88,-200,-200,-87,-200,-91,-87,-88,-91,-200
1526451330210,-32,-34,-45,-48,-38,-65,-46,-55,-47,-55,-72,-200,-49,-63,-67,-54,-68,-69,-64,-75,-67,-65,-200,-69,-82,-78,-68,-200,-75,-77,-73,-83,-76,-200,-71,-72,-67,-79,-82,-79,-82,-88,-81,-79,-84,-76,-81,-77,-73,-79,-76,-83,-81,-200,-90,-83,-200,-90,-86,-85,-82,-87,-200,-75,-86,-85,-86,-200,-200,-200,-86,-79,-88,-80,-200,-89,-87,-200,-92,-90,-89,-200,-200,-200,-90,-88,-200,-90,-85,-80,-82,-88,-200,-200,-71,-92,-90,-85,-200,-200,-89,-200,-200,-92,-200,-200,-200,-200,-88,-200,-86,-88,-200,-200,-200,-200,-91,-87,-89,-91,-200
1526451333228,-32,-29,-45,-49,-38,-63,-47,-56,-49,-59,-75,-200,-54,-60,-67,-56,-67,-68,-64,-74,-64,-66,-70,-69,-86,-77,-68,-200,-74,-78,-69,-85,-77,-200,-69,-72,-67,-84,-82,-79,-82,-87,-79,-79,-83,-75,-82,-76,-71,-79,-78,-83,-80,-200,-86,-85,-200,-200,-89,-85,-83,-87,-200,-73,-86,-85,-80,-84,-200,-200,-86,-77,-88,-80,-200,-88,-88,-200,-200,-90,-200,-87,-200,-200,-90,-87,-200,-90,-87,-80,-81,-88,-200,-90,-70,-92,-91,-85,-200,-200,-89,-91,-200,-91,-200,-92,-200,-200,-87,-200,-85,-88,-93,-200,-200,-200,-96,-87,-89,-200,-88
1526451336267,-15,-40,-44,-54,-46,-61,-51,-56,-48,-59,-73,-200,-51,-69,-79,-62,-64,-68,-68,-73,-64,-67,-70,-69,-86,-76,-81,-200,-75,-77,-80,-87,-76,-200,-73,-73,-67,-88,-90,-79,-200,-87,-79,-79,-83,-77,-81,-77,-85,-79,-76,-83,-80,-200,-87,-85,-200,-200,-89,-85,-84,-87,-200,-69,-85,-85,-80,-84,-200,-200,-85,-83,-90,-84,-89,-88,-88,-200,-200,-91,-200,-87,-200,-200,-90,-87,-200,-89,-83,-200,-78,-89,-200,-90,-70,-200,-92,-200,-200,-200,-89,-91,-200,-91,-200,-92,-84,-200,-90,-200,-85,-88,-93,-200,-200,-200,-96,-87,-89,-200,-88
1526451339315,-31,-32,-45,-46,-33,-62,-45,-54,-47,-55,-72,-200,-50,-61,-79,-71,-66,-68,-67,-76,-64,-64,-70,-69,-81,-78,-67,-63,-70,-77,-67,-80,-77,-200,-73,-71,-67,-79,-81,-75,-200,-87,-79,-81,-79,-77,-78,-78,-72,-79,-76,-85,-82,-200,-82,-85,-200,-200,-84,-200,-84,-87,-200,-71,-84,-84,-91,-84,-200,-200,-86,-81,-90,-84,-90,-89,-87,-200,-200,-91,-200,-87,-200,-200,-90,-85,-92,-89,-85,-200,-85,-88,-200,-90,-70,-200,-92,-200,-200,-200,-200,-87,-200,-91,-200,-92,-84,-200,-89,-200,-91,-200,-91,-200,-200,-200,-96,-200,-89,-200,-88
