,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,WHU-2018
1526450780648,-200,-23,-38,-57,-200,-47,-48,-55,-52,-55,-200,-200,-46,-63,-200,-62,-200,-63,-58,-68,-85,-61,-77,-69,-200,-68,-70,-71,-200,-74,-200,-76,-200,-200,-200,-200,-80,-83,-80,-80,-200,-79,-70,-76,-200,-200,-80,-200,-69,-86,-84,-200,-86,-82,-82,-200,-84,-86,-76,-91,-86,-200,-90,-200,-86,-88,-81,-78,-90,-200,-92,-88,-85,-90,-200,-200,-93,-89,-84,-87,-84,-85,-200,-90,-74,-200,-82,-82,-200,-88,-200,-89,-79,-89,-200,-91,-84,-200,-82,-88,-88,-88,-90,-91,-91,-83,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450783689,-200,-37,-38,-52,-200,-47,-47,-47,-51,-54,-200,-200,-48,-63,-200,-62,-200,-64,-59,-68,-85,-56,-69,-73,-200,-68,-71,-77,-200,-75,-200,-76,-200,-200,-200,-200,-80,-77,-80,-80,-200,-79,-70,-78,-200,-200,-78,-200,-73,-82,-89,-200,-83,-83,-86,-200,-83,-86,-78,-91,-86,-90,-90,-200,-91,-88,-87,-78,-89,-200,-91,-87,-85,-92,-200,-200,-93,-89,-84,-85,-84,-200,-200,-90,-200,-83,-84,-82,-200,-200,-87,-91,-84,-89,-200,-91,-84,-200,-200,-200,-200,-88,-200,-91,-200,-80,-85,-90,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526450786730,-200,-38,-39,-54,-200,-47,-49,-47,-51,-54,-200,-200,-57,-62,-200,-69,-200,-63,-59,-69,-80,-57,-69,-73,-200,-68,-71,-77,-200,-75,-200,-75,-200,-200,-200,-200,-80,-78,-79,-79,-200,-78,-73,-78,-85,-200,-78,-200,-72,-83,-89,-200,-84,-83,-86,-200,-84,-86,-76,-86,-200,-90,-89,-200,-91,-200,-87,-81,-89,-200,-91,-85,-84,-89,-200,-200,-200,-86,-82,-87,-88,-200,-200,-90,-76,-80,-82,-82,-200,-200,-87,-91,-82,-89,-200,-91,-84,-200,-200,-200,-200,-88,-200,-92,-200,-84,-87,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526450789773,-200,-37,-38,-50,-200,-47,-47,-46,-52,-55,-200,-200,-48,-64,-200,-61,-200,-63,-58,-72,-72,-56,-69,-73,-200,-70,-71,-76,-200,-74,-200,-76,-200,-200,-200,-200,-80,-79,-78,-79,-200,-77,-71,-77,-82,-200,-78,-200,-72,-84,-86,-200,-84,-85,-82,-200,-85,-86,-80,-88,-86,-90,-91,-200,-89,-88,-87,-81,-90,-200,-92,-86,-84,-89,-200,-200,-200,-85,-82,-79,-88,-88,-88,-90,-76,-84,-82,-82,-200,-93,-87,-91,-83,-89,-200,-91,-84,-90,-200,-200,-200,-88,-200,-91,-200,-84,-87,-200,-80,-88,-200,-200,-200,-200,-200,-200,-200
1526450792792,-200,-16,-18,-49,-200,-47,-48,-50,-52,-55,-200,-200,-50,-60,-200,-60,-200,-63,-58,-69,-72,-56,-69,-67,-200,-70,-71,-76,-200,-76,-200,-76,-200,-200,-200,-200,-79,-76,-79,-79,-200,-79,-73,-76,-82,-200,-78,-200,-71,-81,-86,-200,-84,-85,-83,-200,-81,-87,-78,-88,-86,-90,-90,-200,-89,-88,-85,-79,-90,-200,-92,-87,-84,-91,-200,-200,-200,-87,-83,-84,-88,-88,-86,-200,-76,-84,-82,-82,-200,-88,-87,-91,-83,-88,-200,-89,-200,-92,-200,-93,-200,-200,-200,-91,-200,-84,-87,-200,-80,-88,-200,-200,-200,-200,-200,-200,-200
1526450795826,-200,-43,-39,-56,-200,-47,-48,-57,-59,-54,-200,-200,-49,-77,-200,-59,-200,-63,-59,-70,-68,-64,-78,-70,-200,-71,-71,-81,-200,-81,-200,-77,-200,-200,-200,-200,-81,-78,-78,-79,-200,-77,-70,-78,-82,-200,-80,-200,-71,-85,-80,-200,-82,-82,-88,-200,-84,-85,-76,-86,-85,-200,-90,-200,-88,-88,-86,-79,-90,-200,-92,-90,-85,-89,-200,-200,-200,-87,-82,-85,-88,-88,-88,-200,-200,-84,-82,-200,-90,-88,-87,-200,-83,-87,-200,-89,-200,-92,-85,-93,-200,-200,-200,-91,-200,-200,-200,-200,-80,-88,-93,-200,-200,-200,-200,-200,-200
1526450798866,-200,-37,-37,-43,-200,-47,-44,-49,-51,-55,-200,-200,-47,-77,-200,-58,-200,-63,-60,-68,-69,-58,-69,-70,-200,-69,-71,-73,-200,-78,-200,-77,-200,-200,-200,-200,-80,-77,-79,-80,-200,-78,-70,-77,-82,-200,-79,-200,-72,-85,-84,-200,-85,-86,-87,-200,-80,-86,-75,-85,-85,-200,-89,-200,-88,-87,-86,-78,-200,-200,-200,-85,-83,-89,-200,-200,-200,-87,-82,-86,-88,-200,-91,-200,-75,-83,-84,-200,-89,-88,-87,-89,-200,-87,-200,-93,-200,-92,-80,-93,-200,-200,-200,-200,-200,-200,-89,-200,-200,-83,-93,-88,-200,-200,-200,-200,-200
1526450801912,-33,-37,-39,-47,-48,-47,-43,-50,-52,-53,-51,-64,-44,-44,-200,-57,-200,-63,-60,-69,-73,-56,-65,-70,-78,-71,-70,-73,-68,-77,-75,-76,-200,-200,-200,-81,-78,-78,-79,-81,-83,-78,-70,-77,-82,-81,-80,-82,-74,-85,-82,-200,-82,-83,-85,-200,-82,-86,-75,-88,-85,-200,-89,-200,-90,-86,-86,-80,-90,-200,-91,-85,-86,-85,-89,-200,-200,-200,-83,-86,-88,-200,-87,-200,-75,-83,-81,-200,-89,-88,-87,-89,-200,-87,-200,-93,-73,-200,-80,-200,-200,-200,-200,-200,-91,-200,-89,-200,-200,-83,-93,-88,-84,-89,-200,-200,-200
1526450804946,-32,-37,-38,-45,-51,-47,-41,-48,-53,-56,-51,-74,-47,-65,-69,-58,-62,-63,-58,-69,-76,-56,-65,-71,-73,-71,-71,-73,-64,-75,-83,-76,-68,-78,-200,-85,-78,-75,-79,-81,-83,-77,-69,-77,-82,-88,-80,-82,-74,-84,-82,-89,-82,-83,-84,-200,-83,-86,-75,-88,-85,-200,-89,-200,-90,-86,-85,-80,-90,-200,-91,-85,-82,-85,-86,-200,-200,-87,-84,-86,-200,-200,-87,-200,-75,-83,-81,-200,-89,-200,-200,-90,-200,-87,-200,-93,-73,-200,-80,-200,-90,-200,-200,-200,-91,-200,-89,-200,-200,-83,-93,-88,-84,-88,-85,-200,-200
1526450807996,-32,-37,-38,-46,-48,-47,-42,-43,-52,-53,-51,-57,-48,-62,-70,-58,-60,-63,-59,-68,-77,-56,-69,-71,-72,-70,-71,-73,-56,-74,-77,-78,-69,-77,-200,-81,-82,-78,-79,-81,-83,-77,-69,-78,-200,-81,-81,-82,-69,-84,-83,-89,-82,-83,-84,-200,-82,-86,-76,-88,-89,-200,-89,-200,-90,-86,-85,-80,-91,-200,-91,-86,-86,-85,-86,-200,-200,-86,-84,-83,-200,-82,-90,-200,-75,-83,-83,-200,-90,-91,-200,-90,-78,-88,-200,-93,-73,-200,-80,-200,-90,-200,-200,-200,-91,-200,-89,-200,-200,-83,-93,-88,-84,-88,-81,-80,-91
1526450811035,-32,-44,-38,-46,-53,-47,-46,-55,-59,-52,-51,-57,-52,-64,-76,-58,-63,-63,-63,-69,-77,-56,-69,-72,-73,-71,-74,-73,-58,-76,-77,-76,-69,-77,-78,-78,-81,-79,-80,-81,-83,-77,-73,-79,-200,-81,-85,-85,-71,-84,-86,-89,-82,-82,-84,-200,-82,-88,-65,-88,-89,-200,-90,-200,-90,-86,-85,-81,-91,-200,-91,-82,-84,-85,-86,-200,-200,-86,-83,-83,-200,-82,-90,-200,-75,-83,-82,-200,-87,-91,-200,-90,-78,-88,-200,-200,-73,-200,-200,-200,-88,-200,-200,-200,-91,-83,-200,-200,-200,-200,-200,-200,-84,-88,-81,-80,-91
1526450814069,-32,-36,-38,-46,-49,-48,-43,-44,-50,-54,-52,-57,-53,-67,-69,-61,-63,-63,-60,-62,-71,-60,-68,-67,-73,-68,-72,-79,-66,-76,-75,-73,-74,-71,-81,-78,-81,-79,-79,-200,-83,-78,-72,-78,-200,-81,-85,-85,-71,-83,-86,-86,-81,-82,-76,-200,-82,-88,-79,-89,-89,-89,-90,-200,-200,-86,-85,-78,-91,-200,-200,-82,-87,-87,-86,-200,-200,-86,-82,-83,-200,-82,-90,-200,-75,-83,-79,-83,-87,-91,-86,-90,-78,-88,-88,-200,-74,-200,-200,-93,-88,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-88,-81,-80,-91
