,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
1526446403113,-68,-200,-200,-200,-76,-73,-200,-83,-82,-200,-200,-200,-200,-200,-200,-95
1526446403220,-69,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-86,-97
1526446403331,-69,-200,-200,-200,-200,-73,-200,-83,-82,-200,-200,-200,-200,-200,-86,-95
1526446403455,-200,-200,-200,-73,-200,-73,-56,-200,-200,-88,-200,-200,-200,-200,-83,-200
1526446408089,-200,-200,-84,-76,-80,-65,-54,-200,-200,-82,-200,-200,-75,-200,-200,-200
1526446408197,-62,-200,-200,-200,-200,-65,-54,-200,-200,-82,-200,-200,-75,-200,-200,-98
1526446408297,-62,-89,-200,-75,-200,-65,-54,-200,-200,-200,-200,-200,-200,-75,-200,-200
1526446408404,-62,-200,-85,-200,-200,-65,-54,-80,-84,-83,-200,-200,-75,-75,-83,-96
1526446408506,-200,-200,-200,-200,-200,-200,-54,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446413107,-200,-200,-86,-200,-87,-64,-62,-200,-200,-200,-200,-200,-200,-75,-200,-100
1526446413316,-200,-200,-200,-200,-200,-63,-62,-200,-200,-200,-200,-200,-76,-200,-200,-98
1526446413429,-75,-200,-83,-85,-75,-61,-59,-81,-84,-84,-200,-200,-76,-200,-77,-97
1526446418100,-200,-200,-200,-200,-74,-200,-200,-85,-83,-86,-200,-200,-200,-200,-200,-96
1526446418212,-200,-200,-200,-72,-74,-200,-200,-84,-200,-86,-200,-200,-200,-200,-200,-95
1526446418398,-70,-200,-200,-72,-74,-200,-200,-84,-83,-200,-84,-200,-200,-200,-200,-97
1526446418497,-200,-200,-200,-200,-74,-73,-55,-200,-200,-200,-200,-200,-75,-200,-200,-200
1526446423129,-63,-200,-85,-200,-75,-65,-55,-200,-84,-83,-200,-200,-200,-74,-81,-95
1526446423301,-63,-200,-85,-200,-200,-64,-55,-79,-84,-200,-200,-200,-200,-74,-200,-200
1526446423404,-63,-200,-200,-200,-200,-64,-55,-79,-200,-83,-200,-200,-200,-74,-81,-95
