,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null
1526446604931,-94,-200,-200,-80,-67,-75,-75,-84,-76,-59,-200,-200,-200,-84,-200,-200
1526446605033,-92,-76,-200,-81,-69,-200,-75,-200,-200,-63,-70,-200,-200,-85,-200,-200
1526446605147,-95,-200,-69,-82,-69,-76,-85,-78,-76,-61,-200,-200,-200,-200,-200,-200
1526446609872,-94,-200,-200,-200,-200,-200,-75,-200,-200,-59,-63,-87,-200,-200,-200,-200
1526446609975,-94,-75,-200,-200,-66,-200,-75,-200,-75,-200,-63,-200,-200,-200,-200,-200
1526446610122,-200,-76,-77,-80,-65,-78,-76,-78,-75,-200,-63,-200,-200,-200,-200,-200
1526446610242,-200,-200,-200,-200,-65,-80,-200,-79,-200,-200,-67,-200,-84,-200,-200,-200
1526446614894,-94,-200,-65,-78,-70,-80,-200,-87,-200,-69,-67,-200,-200,-200,-200,-200
1526446615009,-94,-88,-65,-79,-200,-79,-200,-200,-80,-69,-200,-200,-200,-200,-200,-200
1526446615111,-94,-88,-65,-200,-200,-200,-200,-87,-81,-69,-200,-200,-84,-200,-200,-200
1526446615209,-200,-200,-66,-200,-200,-200,-200,-88,-81,-69,-200,-200,-200,-200,-200,-200
1526446619861,-200,-74,-64,-200,-200,-75,-200,-200,-200,-59,-65,-200,-200,-200,-200,-200
1526446619969,-94,-200,-64,-200,-200,-200,-200,-82,-76,-200,-66,-200,-200,-86,-200,-200
1526446620069,-93,-75,-64,-200,-200,-200,-75,-82,-70,-59,-200,-200,-200,-85,-200,-200
1526446620245,-102,-76,-76,-80,-200,-77,-200,-78,-200,-200,-63,-200,-200,-200,-100,-200
1526446624935,-90,-76,-200,-81,-66,-76,-200,-78,-200,-59,-63,-200,-200,-200,-99,-200
1526446625090,-92,-77,-200,-81,-66,-77,-200,-200,-200,-59,-64,-200,-200,-200,-200,-200
1526446625197,-200,-200,-200,-81,-200,-200,-200,-200,-84,-200,-64,-200,-88,-200,-200,-200
1526446629861,-94,-200,-200,-79,-200,-200,-200,-200,-84,-200,-200,-200,-86,-200,-200,-200
1526446629968,-95,-200,-66,-79,-69,-200,-200,-87,-82,-74,-68,-200,-86,-200,-200,-101
1526446630084,-94,-87,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526446630222,-95,-87,-66,-81,-200,-200,-77,-200,-200,-200,-68,-200,-200,-200,-200,-200
1526446634851,-94,-74,-66,-200,-200,-75,-200,-200,-76,-58,-65,-200,-200,-200,-200,-200
1526446634956,-200,-74,-67,-81,-200,-75,-74,-200,-75,-59,-65,-200,-200,-200,-200,-200
1526446635051,-200,-74,-67,-200,-66,-76,-74,-83,-200,-59,-65,-200,-200,-84,-200,-200
1526446635157,-92,-74,-200,-81,-66,-200,-200,-83,-76,-58,-65,-200,-200,-85,-200,-200
1526446639911,-200,-200,-66,-200,-65,-200,-76,-200,-200,-59,-64,-200,-200,-200,-200,-200
1526446640068,-200,-77,-200,-81,-200,-79,-200,-78,-200,-60,-65,-200,-200,-200,-200,-200
1526446640176,-93,-200,-66,-200,-200,-86,-76,-78,-76,-200,-65,-86,-200,-200,-200,-200
1526446644847,-200,-200,-67,-200,-72,-84,-76,-87,-200,-70,-200,-200,-200,-200,-200,-200
1526446644931,-200,-75,-68,-78,-200,-77,-200,-200,-77,-200,-200,-200,-200,-86,-200,-200
1526446649864,-92,-200,-65,-78,-200,-76,-75,-82,-76,-200,-73,-200,-200,-200,-200,-200
1526446649977,-200,-75,-65,-79,-65,-77,-74,-82,-200,-60,-200,-200,-200,-86,-200,-200
1526446650079,-200,-200,-200,-78,-200,-200,-75,-81,-76,-60,-72,-200,-200,-86,-200,-200
1526446650187,-200,-200,-200,-79,-200,-200,-200,-200,-200,-59,-72,-200,-200,-200,-98,-200
1526446654838,-200,-77,-69,-81,-200,-200,-75,-79,-76,-60,-200,-200,-200,-200,-200,-200
1526446655003,-200,-77,-200,-80,-66,-77,-200,-79,-76,-60,-64,-200,-200,-200,-200,-200
1526446655104,-92,-77,-200,-200,-67,-77,-200,-79,-76,-60,-200,-200,-200,-200,-200,-200
1526446655210,-93,-200,-200,-200,-200,-77,-200,-200,-76,-200,-64,-200,-200,-200,-200,-200
