,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526446467163,-84,-68,-200,-85,-80,-78,-200,-76,-83,-75,-200,-200,-200,-200,-200
1526446467293,-85,-68,-200,-86,-200,-200,-69,-76,-200,-75,-200,-200,-200,-200,-200
1526446467474,-200,-70,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200
1526446472118,-200,-68,-69,-200,-78,-200,-200,-68,-83,-81,-200,-200,-200,-200,-200
1526446472221,-200,-200,-200,-86,-79,-76,-200,-68,-82,-80,-87,-200,-200,-200,-200
1526446472330,-200,-200,-68,-200,-79,-77,-80,-68,-82,-80,-87,-200,-200,-200,-200
1526446472432,-200,-200,-68,-200,-78,-76,-79,-200,-200,-79,-200,-200,-200,-200,-200
1526446477056,-83,-68,-65,-85,-82,-77,-80,-80,-88,-200,-200,-200,-200,-200,-200
1526446477159,-200,-200,-64,-85,-200,-77,-80,-80,-200,-200,-200,-200,-98,-88,-200
1526446477266,-200,-68,-64,-200,-200,-77,-79,-200,-88,-200,-200,-200,-200,-200,-200
1526446477366,-83,-67,-64,-200,-82,-77,-79,-200,-200,-200,-200,-200,-97,-88,-88
1526446477470,-84,-66,-200,-85,-80,-75,-80,-74,-200,-76,-200,-200,-200,-200,-200
1526446482191,-84,-66,-200,-84,-200,-75,-200,-74,-83,-200,-200,-200,-200,-200,-200
1526446482314,-84,-66,-200,-86,-80,-75,-200,-75,-83,-76,-200,-200,-200,-200,-200
1526446482401,-84,-66,-200,-200,-80,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526446487079,-200,-62,-69,-200,-79,-80,-200,-65,-79,-80,-200,-200,-200,-200,-200
1526446487182,-200,-63,-200,-200,-79,-79,-80,-65,-200,-81,-200,-200,-200,-200,-200
1526446487291,-200,-63,-69,-85,-80,-79,-80,-65,-80,-200,-88,-200,-200,-200,-200
1526446487402,-200,-200,-69,-86,-80,-79,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526446492044,-200,-69,-67,-88,-200,-81,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526446492146,-200,-200,-200,-200,-86,-200,-83,-200,-87,-200,-200,-200,-200,-200,-200
1526446492323,-80,-200,-200,-85,-86,-77,-200,-76,-85,-200,-84,-200,-200,-86,-200
1526446492425,-200,-200,-200,-200,-85,-200,-72,-77,-200,-200,-200,-200,-200,-200,-200
1526446497134,-85,-68,-200,-84,-81,-200,-200,-200,-80,-77,-200,-200,-200,-200,-200
1526446497235,-85,-68,-70,-83,-81,-76,-200,-200,-81,-77,-200,-200,-200,-200,-200
1526446497346,-86,-68,-69,-83,-81,-76,-81,-200,-81,-77,-200,-200,-200,-200,-200
1526446497445,-200,-68,-200,-200,-81,-200,-200,-75,-81,-200,-200,-200,-200,-200,-200
1526446502041,-200,-73,-68,-200,-80,-76,-200,-66,-200,-200,-200,-200,-200,-200,-200
1526446502169,-200,-200,-68,-200,-200,-76,-200,-66,-200,-200,-200,-200,-200,-200,-200
1526446502269,-200,-200,-68,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446502374,-200,-70,-68,-200,-79,-200,-200,-66,-200,-200,-87,-200,-200,-200,-200
