,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,011a.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526452482530,-64,-90,-200,-200,-200,-79,-200,-200,-75,-88,-72,-82,-87,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526452483634,-200,-200,-84,-200,-200,-82,-200,-86,-80,-86,-200,-200,-82,-94,-200,-200,-200,-200,-200,-77,-200,-94,-96,-200,-200
1526452484776,-66,-91,-200,-200,-200,-200,-200,-200,-94,-200,-200,-87,-93,-200,-200,-92,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526452485848,-200,-200,-200,-200,-200,-200,-200,-80,-200,-86,-76,-200,-81,-200,-83,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200
1526452486905,-65,-200,-86,-91,-200,-200,-200,-91,-200,-200,-73,-83,-200,-200,-200,-94,-74,-200,-81,-200,-200,-200,-97,-200,-200
1526452488052,-200,-200,-200,-200,-90,-200,-200,-90,-200,-87,-200,-200,-200,-200,-200,-91,-72,-82,-200,-81,-200,-200,-200,-200,-200
1526452489136,-200,-200,-200,-200,-91,-200,-200,-200,-73,-200,-200,-200,-86,-200,-89,-200,-200,-87,-77,-200,-200,-200,-200,-200,-200
1526452490218,-200,-200,-200,-93,-200,-81,-94,-82,-85,-200,-70,-79,-86,-200,-200,-93,-74,-82,-200,-87,-200,-93,-200,-200,-200
1526452492415,-200,-200,-200,-88,-200,-200,-200,-200,-74,-200,-200,-82,-200,-200,-85,-200,-83,-200,-200,-83,-200,-200,-200,-200,-200
1526452494611,-200,-200,-85,-94,-88,-200,-200,-200,-200,-88,-72,-78,-86,-200,-200,-95,-200,-200,-78,-79,-200,-200,-200,-200,-200
1526452494724,-72,-200,-200,-85,-87,-200,-200,-81,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
1526452495808,-71,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-84,-200,-80,-200,-78,-83,-92,-200,-200,-200,-200
1526452496935,-74,-200,-94,-200,-200,-200,-200,-200,-200,-200,-71,-77,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452498000,-200,-200,-79,-85,-200,-200,-200,-200,-200,-94,-76,-200,-200,-85,-200,-92,-80,-81,-80,-84,-200,-200,-200,-200,-200
1526452500245,-200,-92,-200,-200,-84,-80,-95,-200,-75,-200,-70,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452501347,-200,-87,-200,-200,-200,-200,-200,-200,-65,-88,-70,-90,-200,-200,-91,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526452503536,-200,-88,-79,-87,-200,-200,-200,-80,-69,-200,-68,-84,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526452504686,-200,-200,-77,-82,-200,-94,-94,-200,-69,-200,-200,-87,-90,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200
1526452505738,-200,-200,-82,-200,-200,-200,-200,-200,-70,-200,-200,-200,-86,-90,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526452506848,-68,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-72,-200,-200,-78,-200,-200,-200,-200,-200
1526452507945,-69,-200,-84,-200,-85,-79,-200,-200,-70,-200,-200,-88,-200,-200,-200,-200,-200,-200,-84,-76,-200,-200,-200,-200,-200
1526452509016,-200,-200,-200,-91,-200,-85,-200,-81,-71,-200,-77,-91,-87,-200,-200,-200,-200,-88,-200,-77,-200,-200,-200,-200,-200
1526452510202,-68,-200,-200,-78,-200,-200,-91,-200,-70,-200,-200,-87,-200,-200,-200,-92,-73,-200,-82,-200,-200,-200,-200,-200,-200
1526452511274,-200,-200,-200,-85,-200,-81,-200,-78,-72,-200,-72,-82,-200,-90,-88,-200,-76,-91,-74,-90,-200,-200,-200,-200,-200
1526452513403,-68,-200,-80,-200,-86,-81,-94,-200,-200,-200,-200,-200,-200,-92,-200,-200,-75,-200,-90,-80,-200,-200,-200,-200,-200
1526452515623,-67,-200,-85,-200,-79,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-87,-200,-200,-200,-200,-200
1526452515785,-200,-200,-200,-87,-200,-200,-200,-200,-71,-200,-76,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526452516846,-68,-200,-92,-200,-83,-200,-200,-200,-74,-200,-200,-82,-200,-200,-88,-200,-80,-87,-200,-78,-200,-200,-200,-200,-200
1526452517925,-66,-200,-83,-94,-200,-80,-94,-78,-73,-200,-77,-83,-85,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526452519077,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-82,-85,-95,-200,-200,-83,-84,-200,-200,-200,-200,-200,-200,-200
1526452520119,-69,-200,-85,-89,-90,-84,-200,-200,-74,-90,-78,-94,-88,-200,-200,-200,-200,-200,-77,-77,-94,-200,-200,-200,-200
1526452521250,-65,-200,-75,-80,-90,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-91,-200,-78,-200,-200,-200,-200,-200
1526452522301,-70,-88,-86,-200,-81,-92,-94,-200,-200,-200,-79,-200,-200,-200,-91,-200,-86,-200,-79,-86,-200,-200,-200,-200,-200
1526452524508,-200,-87,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-89,-200,-79,-200,-76,-200,-200,-200,-200,-200,-200
1526452524617,-66,-200,-84,-200,-200,-200,-200,-79,-71,-200,-76,-90,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526452525718,-200,-200,-77,-200,-200,-81,-200,-200,-71,-200,-76,-200,-200,-200,-90,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526452526816,-69,-87,-87,-200,-200,-79,-200,-200,-200,-200,-74,-83,-200,-200,-200,-200,-200,-87,-200,-84,-200,-200,-200,-95,-200
1526452527936,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-89,-200,-200,-90,-200,-76,-85,-78,-200,-200,-200,-200,-200,-200
1526452529029,-70,-200,-75,-81,-90,-83,-200,-84,-71,-200,-73,-200,-200,-200,-200,-200,-200,-90,-77,-78,-200,-200,-200,-200,-200
1526452530133,-200,-200,-86,-200,-200,-200,-200,-85,-200,-200,-200,-82,-200,-200,-92,-200,-77,-200,-75,-200,-200,-200,-200,-200,-200
1526452531234,-200,-200,-83,-80,-88,-200,-200,-200,-200,-200,-64,-90,-200,-200,-200,-200,-200,-87,-83,-200,-200,-200,-200,-200,-200
1526452532378,-200,-200,-77,-200,-78,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526452533431,-74,-200,-86,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-90,-200,-200,-71,-200,-72,-200,-200,-200,-200,-200,-200
1526452534537,-72,-200,-78,-200,-78,-200,-86,-200,-72,-200,-200,-80,-200,-200,-200,-200,-79,-200,-68,-200,-200,-200,-200,-200,-96
1526452535650,-200,-90,-82,-200,-200,-200,-200,-76,-200,-200,-64,-88,-200,-200,-200,-88,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526452535755,-200,-200,-80,-81,-79,-200,-200,-77,-74,-200,-64,-79,-200,-200,-200,-200,-76,-200,-73,-200,-200,-200,-200,-200,-200
1526452536904,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
