,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526452809030,-200,-200,-72,-76,-86,-72,-82,-81,-92,-82,-200,-200,-81,-200,-200,-85,-200,-200
1526452810105,-90,-90,-72,-200,-200,-200,-74,-84,-200,-81,-200,-83,-77,-95,-200,-200,-200,-200
1526452811229,-87,-92,-72,-200,-88,-72,-200,-200,-86,-200,-200,-83,-84,-200,-200,-200,-200,-200
1526452811325,-87,-92,-71,-200,-86,-69,-200,-90,-200,-80,-88,-84,-76,-200,-200,-93,-200,-200
1526452813415,-200,-200,-200,-200,-84,-71,-83,-84,-84,-200,-88,-200,-200,-84,-200,-200,-200,-200
1526452814527,-88,-200,-72,-70,-83,-70,-75,-85,-200,-80,-86,-200,-200,-200,-200,-92,-200,-200
1526452815631,-200,-200,-76,-73,-80,-75,-74,-200,-200,-200,-84,-200,-200,-88,-200,-95,-200,-200
1526452816779,-200,-200,-200,-71,-200,-70,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452817836,-86,-200,-76,-75,-80,-74,-200,-75,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526452818982,-200,-92,-75,-200,-200,-73,-200,-76,-94,-87,-200,-200,-81,-88,-200,-200,-92,-200
1526452820047,-200,-200,-200,-200,-200,-77,-78,-76,-77,-82,-200,-200,-80,-200,-200,-200,-200,-200
1526452822245,-200,-200,-200,-200,-200,-70,-72,-200,-200,-90,-200,-84,-77,-200,-200,-91,-200,-200
1526452823313,-200,-91,-200,-72,-78,-78,-79,-200,-200,-87,-200,-200,-75,-200,-200,-200,-200,-200
1526452824406,-200,-200,-75,-200,-85,-73,-200,-78,-87,-200,-200,-83,-84,-200,-200,-87,-200,-200
1526452825534,-200,-200,-72,-200,-79,-200,-71,-200,-200,-200,-200,-84,-200,-86,-92,-88,-200,-200
1526452826617,-200,-95,-75,-200,-78,-76,-68,-200,-80,-200,-200,-200,-75,-200,-92,-200,-200,-200
1526452827848,-80,-200,-76,-72,-78,-200,-200,-200,-80,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526452828923,-87,-200,-76,-75,-200,-74,-76,-76,-200,-80,-82,-85,-200,-200,-93,-200,-200,-200
1526452830088,-200,-91,-200,-200,-200,-70,-72,-79,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526452831122,-81,-200,-75,-200,-77,-75,-76,-77,-79,-200,-200,-200,-83,-200,-92,-200,-200,-200
1526452832230,-92,-200,-75,-75,-200,-74,-71,-77,-200,-80,-200,-83,-76,-92,-200,-200,-92,-200
1526452833391,-200,-92,-74,-72,-79,-200,-77,-78,-80,-92,-90,-82,-200,-200,-200,-87,-200,-200
1526452835516,-200,-88,-200,-76,-90,-73,-76,-200,-85,-200,-90,-200,-87,-200,-200,-86,-200,-200
1526452836603,-78,-200,-200,-72,-78,-70,-77,-78,-80,-200,-91,-88,-200,-200,-92,-200,-200,-200
1526452837822,-98,-88,-200,-78,-89,-200,-75,-200,-200,-79,-200,-200,-83,-200,-200,-200,-200,-200
1526452838935,-200,-92,-200,-72,-77,-200,-200,-78,-200,-200,-92,-92,-74,-93,-93,-200,-200,-200
1526452840003,-200,-92,-200,-200,-84,-74,-77,-78,-200,-200,-200,-200,-89,-87,-200,-85,-200,-200
1526452840110,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526452842246,-89,-89,-200,-200,-78,-200,-69,-200,-200,-91,-200,-83,-200,-86,-200,-200,-200,-93
1526452842335,-81,-200,-74,-200,-78,-200,-77,-77,-81,-86,-95,-94,-200,-200,-200,-200,-200,-200
1526452843380,-200,-200,-75,-200,-77,-200,-200,-200,-200,-200,-90,-81,-200,-88,-200,-86,-200,-200
1526452845523,-200,-91,-72,-73,-200,-200,-72,-90,-200,-200,-93,-200,-74,-200,-200,-200,-200,-200
1526452846641,-78,-88,-200,-72,-87,-77,-200,-77,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526452846742,-95,-200,-200,-77,-78,-74,-76,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526452847815,-88,-200,-200,-200,-200,-200,-70,-79,-74,-88,-200,-85,-200,-200,-200,-200,-200,-200
1526452848908,-200,-200,-76,-200,-78,-200,-76,-77,-200,-200,-200,-200,-200,-93,-91,-200,-200,-200
1526452849012,-87,-200,-74,-200,-200,-75,-77,-78,-200,-77,-200,-200,-200,-200,-91,-87,-200,-200
1526452850062,-200,-85,-200,-200,-200,-200,-75,-82,-73,-200,-200,-200,-76,-200,-200,-87,-200,-200
1526452851130,-84,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-91,-81,-200,-200,-200,-200,-200
1526452852255,-200,-200,-80,-71,-78,-75,-200,-200,-74,-200,-200,-200,-77,-200,-200,-200,-200,-200
1526452852308,-77,-86,-200,-77,-76,-200,-200,-200,-79,-200,-200,-200,-76,-90,-93,-94,-200,-200
1526452853363,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526452854410,-92,-200,-200,-72,-77,-200,-70,-77,-75,-90,-200,-200,-75,-200,-200,-200,-200,-200
1526452855563,-200,-200,-76,-200,-78,-200,-200,-200,-79,-200,-200,-200,-200,-200,-92,-200,-200,-200
