,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526443418552,-41,-37,-53,-53,-56,-57,-50,-53,-53,-60,-47,-69,-62,-62,-56,-63,-50,-66,-65,-60,-58,-71,-70,-77,-70,-79,-75,-75,-77,-200,-77,-78,-71,-76,-81,-78,-90,-81,-81,-92,-78,-65,-200,-81,-82,-84,-76,-200,-200,-83,-86,-79,-200,-87,-200,-85,-89,-87,-88,-88,-88,-86,-87,-88,-90,-89,-89,-89,-90,-88,-90,-200,-90,-82,-89,-88,-89,-200,-81,-76,-91,-91,-91,-89,-91,-93,-88,-200,-200,-200,-200
1526443418895,-41,-36,-50,-48,-56,-56,-52,-53,-53,-58,-46,-72,-64,-64,-57,-63,-45,-68,-64,-61,-58,-71,-70,-75,-72,-76,-200,-75,-200,-85,-76,-78,-71,-88,-81,-78,-76,-81,-81,-92,-78,-65,-200,-81,-82,-84,-76,-200,-200,-83,-92,-79,-200,-87,-200,-85,-89,-89,-88,-89,-88,-86,-87,-88,-200,-89,-89,-89,-200,-88,-90,-200,-90,-82,-89,-90,-89,-200,-81,-76,-91,-91,-91,-89,-91,-91,-88,-200,-200,-200,-200
1526443421563,-40,-23,-51,-48,-55,-53,-51,-52,-54,-58,-47,-70,-65,-63,-54,-68,-50,-65,-69,-61,-58,-71,-67,-75,-71,-75,-200,-75,-200,-83,-77,-80,-72,-88,-83,-74,-83,-83,-80,-92,-79,-65,-200,-81,-82,-84,-81,-200,-200,-82,-90,-80,-200,-87,-200,-86,-88,-89,-88,-89,-88,-91,-87,-90,-200,-89,-90,-88,-200,-88,-91,-200,-91,-82,-88,-89,-88,-200,-82,-82,-87,-200,-200,-89,-91,-91,-88,-200,-200,-200,-200
1526443421936,-40,-23,-51,-48,-55,-53,-51,-52,-54,-58,-47,-70,-65,-63,-54,-68,-50,-65,-69,-61,-58,-71,-67,-75,-71,-75,-200,-75,-200,-83,-77,-80,-72,-88,-83,-74,-83,-83,-80,-92,-79,-65,-200,-81,-82,-84,-81,-200,-200,-82,-90,-80,-200,-87,-200,-86,-88,-89,-88,-89,-88,-91,-87,-90,-200,-89,-90,-88,-200,-88,-91,-200,-91,-82,-88,-89,-88,-200,-82,-82,-87,-200,-200,-89,-91,-91,-88,-200,-200,-200,-200
1526443424597,-41,-35,-50,-46,-56,-55,-51,-52,-51,-60,-47,-71,-65,-62,-56,-67,-50,-64,-69,-61,-59,-72,-69,-74,-71,-78,-76,-200,-200,-84,-77,-82,-65,-84,-82,-77,-76,-82,-83,-92,-78,-65,-200,-79,-82,-87,-76,-200,-83,-84,-88,-80,-200,-200,-200,-86,-87,-89,-89,-89,-88,-90,-92,-90,-76,-200,-89,-89,-200,-88,-92,-93,-91,-200,-88,-92,-88,-200,-82,-82,-89,-200,-200,-89,-91,-91,-88,-81,-85,-200,-200
1526443424979,-41,-35,-50,-46,-56,-55,-51,-52,-51,-60,-47,-71,-65,-62,-56,-67,-50,-64,-69,-61,-59,-72,-69,-74,-71,-78,-76,-200,-200,-84,-77,-82,-65,-84,-82,-77,-76,-82,-83,-92,-78,-65,-200,-79,-82,-87,-76,-200,-83,-84,-88,-80,-200,-200,-200,-86,-87,-89,-89,-89,-88,-90,-92,-90,-76,-200,-89,-89,-200,-88,-92,-93,-91,-200,-88,-92,-88,-200,-82,-82,-89,-200,-200,-89,-91,-91,-88,-81,-85,-200,-200
1526443427624,-41,-36,-50,-47,-57,-55,-52,-52,-53,-58,-46,-68,-65,-62,-57,-67,-50,-63,-66,-60,-58,-72,-68,-75,-73,-78,-78,-200,-200,-84,-77,-82,-75,-84,-80,-80,-76,-82,-82,-200,-78,-65,-200,-79,-82,-87,-81,-200,-83,-84,-88,-80,-86,-88,-200,-86,-87,-89,-89,-90,-88,-90,-92,-88,-76,-200,-89,-89,-200,-88,-92,-93,-91,-200,-88,-91,-88,-200,-83,-82,-89,-200,-200,-89,-91,-91,-200,-81,-85,-79,-200
1526443428023,-41,-36,-50,-47,-57,-55,-52,-52,-53,-58,-46,-68,-65,-62,-57,-67,-50,-63,-66,-60,-58,-72,-68,-75,-73,-78,-78,-200,-200,-84,-77,-82,-75,-84,-80,-80,-76,-82,-82,-200,-78,-65,-200,-79,-82,-87,-81,-200,-83,-84,-88,-80,-86,-88,-200,-86,-87,-89,-89,-90,-88,-90,-92,-88,-76,-200,-89,-89,-200,-88,-92,-93,-91,-200,-88,-91,-88,-200,-83,-82,-89,-200,-200,-89,-91,-91,-200,-81,-85,-79,-200
1526443430663,-43,-36,-52,-46,-57,-53,-51,-52,-50,-60,-48,-65,-64,-61,-54,-67,-51,-66,-63,-60,-59,-73,-70,-78,-73,-82,-78,-200,-200,-80,-77,-81,-74,-83,-83,-79,-77,-83,-81,-200,-75,-66,-200,-79,-58,-85,-77,-200,-83,-82,-88,-80,-86,-88,-200,-86,-87,-200,-88,-88,-88,-90,-92,-89,-76,-200,-91,-91,-200,-87,-92,-93,-91,-200,-88,-90,-88,-200,-79,-82,-90,-200,-200,-89,-91,-200,-200,-81,-88,-79,-200
1526443431066,-43,-36,-52,-46,-57,-53,-51,-52,-50,-60,-48,-65,-64,-61,-54,-67,-51,-66,-63,-60,-59,-73,-70,-78,-73,-82,-78,-200,-200,-80,-77,-81,-74,-83,-83,-79,-77,-83,-81,-200,-75,-66,-200,-79,-58,-85,-77,-200,-83,-82,-88,-80,-86,-88,-200,-86,-87,-200,-88,-88,-88,-90,-92,-89,-76,-200,-91,-91,-200,-87,-92,-93,-91,-200,-88,-90,-88,-200,-79,-82,-90,-200,-200,-89,-91,-200,-200,-81,-88,-79,-200
1526443433690,-40,-36,-47,-52,-56,-54,-52,-54,-50,-59,-48,-73,-63,-61,-54,-68,-50,-65,-68,-62,-62,-73,-73,-76,-72,-79,-79,-200,-200,-80,-78,-81,-73,-84,-83,-80,-76,-85,-80,-200,-78,-66,-200,-79,-84,-85,-81,-200,-86,-83,-88,-82,-86,-88,-200,-86,-89,-88,-89,-88,-200,-88,-89,-89,-76,-200,-91,-91,-200,-88,-92,-93,-200,-200,-89,-90,-88,-200,-82,-72,-90,-200,-200,-200,-89,-200,-200,-81,-88,-79,-200
1526443434106,-42,-36,-49,-53,-59,-52,-51,-53,-53,-57,-47,-73,-65,-62,-54,-68,-59,-66,-66,-62,-59,-60,-70,-76,-68,-77,-79,-200,-200,-83,-76,-81,-73,-84,-83,-74,-76,-85,-80,-200,-81,-66,-200,-79,-84,-85,-81,-200,-86,-85,-88,-82,-86,-88,-200,-200,-86,-88,-89,-91,-200,-88,-89,-89,-200,-200,-91,-91,-200,-89,-92,-200,-90,-200,-89,-89,-85,-200,-82,-82,-90,-200,-200,-200,-89,-200,-88,-81,-88,-79,-200
1526443436724,-40,-36,-52,-52,-59,-51,-51,-53,-54,-58,-48,-73,-65,-62,-55,-63,-49,-64,-66,-63,-63,-72,-71,-75,-72,-79,-77,-200,-200,-81,-77,-81,-73,-84,-85,-77,-77,-83,-79,-200,-75,-69,-200,-79,-82,-83,-82,-200,-86,-85,-91,-81,-200,-200,-200,-200,-88,-88,-89,-90,-200,-88,-89,-89,-200,-89,-92,-89,-200,-89,-89,-200,-90,-200,-90,-89,-86,-200,-81,-82,-91,-200,-200,-200,-89,-200,-88,-81,-87,-200,-200
1526443437145,-40,-36,-52,-52,-59,-51,-51,-53,-54,-58,-48,-73,-65,-62,-55,-63,-49,-64,-66,-63,-63,-72,-71,-75,-72,-79,-77,-200,-200,-81,-77,-81,-73,-84,-85,-77,-77,-83,-79,-200,-75,-69,-200,-79,-82,-83,-82,-200,-86,-85,-91,-81,-200,-200,-200,-200,-88,-88,-89,-90,-200,-88,-89,-89,-200,-89,-92,-89,-200,-89,-89,-200,-90,-200,-90,-89,-86,-200,-81,-82,-91,-200,-200,-200,-89,-200,-88,-81,-87,-200,-200
1526443439770,-39,-36,-49,-45,-56,-54,-50,-52,-53,-58,-47,-73,-64,-62,-57,-67,-51,-63,-68,-62,-62,-72,-71,-75,-73,-79,-77,-200,-200,-82,-76,-75,-72,-84,-85,-74,-83,-83,-82,-90,-75,-69,-200,-80,-83,-85,-78,-200,-86,-85,-89,-81,-200,-88,-200,-87,-88,-88,-89,-89,-91,-88,-91,-89,-91,-91,-92,-89,-91,-87,-89,-91,-89,-200,-90,-89,-86,-200,-81,-70,-91,-200,-200,-200,-89,-200,-90,-81,-83,-200,-200
1526443440164,-39,-36,-49,-45,-56,-54,-50,-52,-53,-58,-47,-73,-64,-62,-57,-67,-51,-63,-68,-62,-62,-72,-71,-75,-73,-79,-77,-200,-200,-82,-76,-75,-72,-84,-85,-74,-83,-83,-82,-90,-75,-69,-200,-80,-83,-85,-78,-200,-86,-85,-89,-81,-200,-88,-200,-87,-88,-88,-89,-89,-91,-88,-91,-89,-91,-91,-92,-89,-91,-87,-89,-91,-89,-200,-90,-89,-86,-200,-81,-70,-91,-200,-200,-200,-89,-200,-90,-81,-83,-200,-200
1526443442785,-41,-36,-49,-53,-56,-54,-52,-53,-53,-58,-47,-73,-65,-62,-56,-64,-49,-66,-68,-60,-61,-72,-71,-75,-72,-78,-77,-200,-200,-82,-63,-81,-61,-200,-85,-77,-77,-83,-81,-90,-74,-60,-200,-81,-80,-83,-81,-200,-83,-81,-88,-82,-200,-88,-200,-88,-87,-88,-89,-91,-91,-88,-91,-89,-91,-91,-91,-90,-91,-87,-89,-91,-89,-200,-90,-88,-88,-200,-83,-70,-89,-200,-200,-200,-89,-200,-90,-81,-83,-200,-200
1526443443205,-41,-36,-49,-53,-56,-54,-52,-53,-53,-58,-47,-73,-65,-62,-56,-64,-49,-66,-68,-60,-61,-72,-71,-75,-72,-78,-77,-200,-200,-82,-63,-81,-61,-200,-85,-77,-77,-83,-81,-90,-74,-60,-200,-81,-80,-83,-81,-200,-83,-81,-88,-82,-200,-88,-200,-88,-87,-88,-89,-91,-91,-88,-91,-89,-91,-91,-91,-90,-91,-87,-89,-91,-89,-200,-90,-88,-88,-200,-83,-70,-89,-200,-200,-200,-89,-200,-90,-81,-83,-200,-200
1526443445829,-41,-35,-50,-46,-57,-53,-52,-54,-53,-59,-46,-73,-65,-60,-56,-65,-51,-65,-65,-60,-58,-72,-72,-76,-72,-78,-77,-200,-200,-82,-77,-81,-72,-83,-84,-77,-77,-83,-81,-90,-73,-66,-88,-81,-82,-83,-83,-200,-83,-81,-86,-81,-200,-89,-200,-84,-88,-89,-89,-89,-91,-90,-91,-89,-91,-91,-91,-90,-91,-88,-91,-91,-93,-200,-89,-88,-88,-200,-80,-70,-89,-200,-200,-200,-92,-200,-90,-200,-83,-200,-200
1526443446223,-42,-35,-50,-47,-57,-54,-52,-54,-54,-60,-50,-73,-63,-62,-58,-67,-51,-61,-65,-65,-62,-72,-70,-76,-74,-81,-77,-200,-200,-83,-77,-66,-73,-83,-81,-74,-78,-84,-85,-90,-78,-66,-88,-81,-81,-84,-79,-200,-83,-81,-89,-81,-200,-89,-200,-86,-88,-87,-86,-89,-91,-92,-91,-91,-91,-89,-90,-89,-91,-88,-91,-91,-93,-85,-91,-88,-87,-200,-83,-81,-89,-200,-200,-200,-92,-91,-90,-200,-83,-200,-200
1526443448840,-46,-36,-54,-46,-51,-54,-51,-53,-52,-60,-50,-71,-64,-62,-55,-64,-49,-68,-65,-62,-59,-72,-70,-82,-74,-81,-77,-200,-200,-80,-77,-81,-73,-83,-83,-76,-85,-83,-85,-90,-73,-66,-88,-81,-80,-84,-79,-200,-83,-82,-89,-80,-200,-89,-200,-86,-86,-87,-86,-89,-89,-92,-200,-91,-200,-89,-90,-89,-200,-88,-89,-90,-93,-85,-85,-88,-87,-200,-83,-81,-89,-200,-200,-200,-92,-91,-200,-81,-200,-200,-200
1526443449266,-46,-36,-54,-46,-51,-54,-51,-53,-52,-60,-50,-71,-64,-62,-55,-64,-49,-68,-65,-62,-59,-72,-70,-82,-74,-81,-77,-200,-200,-80,-77,-81,-73,-83,-83,-76,-85,-83,-85,-90,-73,-66,-88,-81,-80,-84,-79,-200,-83,-82,-89,-80,-200,-89,-200,-86,-86,-87,-86,-89,-89,-92,-200,-91,-200,-89,-90,-89,-200,-88,-89,-90,-93,-85,-85,-88,-87,-200,-83,-81,-89,-200,-200,-200,-92,-91,-200,-81,-200,-200,-200
1526443451885,-40,-35,-49,-53,-56,-53,-52,-52,-52,-59,-48,-73,-64,-63,-57,-62,-51,-66,-64,-61,-59,-72,-63,-76,-71,-81,-77,-200,-200,-84,-76,-81,-71,-85,-85,-76,-84,-84,-83,-90,-74,-72,-88,-79,-82,-85,-79,-200,-200,-82,-86,-81,-200,-89,-200,-85,-88,-87,-88,-89,-88,-92,-200,-91,-200,-89,-91,-89,-200,-89,-90,-90,-93,-85,-85,-200,-87,-200,-80,-72,-90,-200,-200,-200,-90,-91,-200,-81,-200,-200,-91
1526443452309,-40,-35,-49,-53,-56,-53,-52,-52,-52,-59,-48,-73,-64,-63,-57,-62,-51,-66,-64,-61,-59,-72,-63,-76,-71,-81,-77,-200,-200,-84,-76,-81,-71,-85,-85,-76,-84,-84,-83,-90,-74,-72,-88,-79,-82,-85,-79,-200,-200,-82,-86,-81,-200,-89,-200,-85,-88,-87,-88,-89,-88,-92,-200,-91,-200,-89,-91,-89,-200,-89,-90,-90,-93,-85,-85,-200,-87,-200,-80,-72,-90,-200,-200,-200,-90,-91,-200,-81,-200,-200,-91
1526443454926,-42,-35,-49,-53,-59,-48,-49,-52,-52,-59,-48,-74,-64,-62,-55,-65,-49,-66,-65,-62,-62,-72,-74,-78,-72,-79,-77,-200,-200,-84,-77,-81,-70,-85,-83,-76,-84,-84,-87,-90,-76,-72,-200,-80,-77,-83,-77,-200,-80,-82,-87,-81,-200,-86,-200,-85,-86,-88,-88,-90,-91,-92,-200,-88,-200,-89,-91,-89,-200,-88,-89,-90,-200,-85,-85,-200,-87,-200,-79,-72,-88,-200,-200,-200,-90,-91,-200,-82,-200,-200,-91
1526443455351,-42,-35,-49,-53,-59,-48,-49,-52,-52,-59,-48,-74,-64,-62,-55,-65,-49,-66,-65,-62,-62,-72,-74,-78,-72,-79,-77,-200,-200,-84,-77,-81,-70,-85,-83,-76,-84,-84,-87,-90,-76,-72,-200,-80,-77,-83,-77,-200,-80,-82,-87,-81,-200,-86,-200,-85,-86,-88,-88,-90,-91,-92,-200,-88,-200,-89,-91,-89,-200,-88,-89,-90,-200,-85,-85,-200,-87,-200,-79,-72,-88,-200,-200,-200,-90,-91,-200,-82,-200,-200,-91
1526443457961,-41,-38,-51,-45,-56,-59,-51,-53,-52,-58,-55,-72,-63,-62,-57,-61,-48,-65,-66,-62,-58,-72,-70,-75,-73,-81,-78,-200,-200,-83,-78,-78,-70,-85,-83,-80,-84,-84,-87,-200,-73,-72,-200,-80,-83,-84,-79,-200,-83,-82,-87,-81,-200,-88,-200,-85,-86,-87,-88,-90,-90,-200,-200,-89,-200,-200,-88,-89,-91,-87,-90,-90,-200,-200,-85,-90,-85,-200,-84,-82,-88,-200,-200,-200,-90,-200,-89,-82,-89,-200,-91
1526443458392,-46,-34,-51,-48,-56,-52,-53,-54,-54,-59,-49,-72,-64,-63,-56,-63,-49,-65,-66,-62,-60,-73,-70,-74,-72,-80,-77,-200,-200,-83,-78,-80,-70,-85,-84,-75,-77,-81,-84,-200,-77,-72,-200,-83,-60,-84,-76,-200,-83,-81,-89,-82,-200,-88,-200,-87,-86,-87,-89,-88,-90,-90,-200,-89,-200,-200,-88,-89,-91,-87,-92,-200,-200,-200,-89,-92,-92,-200,-84,-82,-90,-200,-200,-200,-90,-200,-89,-81,-86,-200,-91
