,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526443536875,-15,-40,-44,-50,-53,-57,-50,-60,-63,-63,-56,-65,-61,-76,-66,-67,-60,-77,-68,-78,-73,-62,-74,-66,-72,-75,-81,-81,-73,-80,-86,-94,-82,-83,-88,-84,-80,-83,-83,-87,-86,-85,-85,-89,-82,-89,-200,-200,-200,-89,-200,-91,-90,-89,-89,-200,-89,-92,-89,-200,-84,-90,-200,-200,-200,-200,-88,-200,-94,-200,-92,-87,-200,-200,-75,-83,-91,-98,-91,-88,-91,-200,-200,-200,-90,-200,-200,-200
1526443539910,-43,-39,-43,-50,-52,-52,-58,-58,-63,-63,-62,-65,-58,-78,-69,-57,-60,-69,-80,-78,-73,-65,-50,-71,-72,-72,-79,-81,-64,-80,-86,-90,-86,-79,-75,-80,-79,-82,-84,-84,-85,-85,-81,-87,-84,-91,-200,-200,-200,-90,-91,-91,-90,-87,-89,-88,-89,-200,-90,-200,-89,-90,-200,-200,-200,-200,-88,-92,-93,-200,-88,-87,-91,-200,-73,-82,-90,-91,-91,-88,-91,-200,-200,-200,-91,-91,-200,-200
1526443542944,-35,-39,-44,-50,-50,-57,-56,-58,-63,-63,-53,-62,-63,-77,-68,-67,-63,-70,-73,-78,-72,-63,-73,-71,-72,-73,-79,-81,-64,-80,-87,-88,-78,-69,-79,-78,-79,-81,-83,-86,-84,-200,-83,-87,-84,-88,-200,-200,-200,-90,-92,-91,-90,-87,-89,-88,-89,-91,-90,-200,-89,-90,-200,-200,-200,-200,-88,-92,-91,-200,-88,-200,-91,-200,-79,-82,-90,-91,-91,-83,-200,-200,-200,-200,-91,-91,-200,-200
1526443545979,-35,-47,-51,-50,-52,-58,-57,-51,-63,-62,-53,-72,-69,-79,-67,-66,-60,-70,-73,-61,-73,-61,-74,-73,-71,-72,-78,-80,-64,-80,-85,-88,-79,-64,-79,-83,-79,-81,-83,-86,-84,-200,-84,-87,-84,-87,-200,-200,-200,-90,-92,-90,-200,-87,-88,-88,-87,-90,-90,-200,-89,-90,-200,-200,-200,-200,-200,-92,-91,-200,-88,-88,-91,-200,-79,-74,-89,-89,-91,-83,-200,-200,-200,-200,-91,-91,-200,-200
1526443549006,-35,-37,-45,-50,-53,-56,-52,-53,-64,-61,-53,-65,-60,-77,-68,-66,-62,-70,-70,-70,-73,-59,-74,-65,-73,-72,-79,-80,-63,-80,-85,-90,-81,-71,-79,-84,-79,-83,-83,-86,-84,-200,-81,-87,-84,-87,-200,-200,-200,-89,-92,-89,-200,-87,-88,-88,-88,-90,-90,-200,-89,-90,-200,-200,-200,-200,-89,-92,-91,-200,-88,-88,-92,-200,-75,-74,-89,-89,-91,-83,-200,-200,-200,-200,-89,-91,-200,-200
1526443552041,-36,-38,-43,-50,-55,-57,-53,-53,-63,-58,-56,-63,-60,-78,-69,-67,-59,-69,-63,-70,-73,-62,-75,-73,-73,-69,-78,-79,-71,-80,-82,-88,-78,-70,-80,-84,-83,-83,-83,-86,-84,-200,-84,-86,-78,-86,-200,-200,-200,-90,-92,-89,-200,-200,-89,-200,-88,-90,-90,-200,-200,-90,-200,-200,-200,-200,-89,-200,-92,-94,-90,-88,-92,-200,-75,-74,-89,-89,-200,-83,-200,-200,-90,-200,-89,-200,-200,-200
1526443555052,-41,-38,-44,-50,-49,-58,-58,-56,-65,-61,-55,-63,-64,-79,-66,-66,-59,-75,-74,-70,-72,-70,-74,-73,-73,-73,-74,-80,-61,-80,-87,-88,-78,-77,-74,-86,-79,-81,-83,-86,-78,-200,-84,-86,-78,-86,-200,-200,-200,-90,-92,-89,-200,-200,-89,-90,-92,-90,-90,-200,-79,-90,-200,-200,-200,-200,-84,-200,-92,-94,-90,-88,-92,-200,-75,-74,-89,-90,-87,-200,-200,-200,-90,-200,-91,-200,-200,-200
1526443558089,-34,-39,-43,-51,-53,-57,-59,-50,-65,-56,-54,-62,-63,-77,-68,-65,-61,-69,-73,-70,-72,-61,-74,-74,-74,-70,-79,-81,-63,-79,-86,-88,-76,-62,-74,-78,-79,-82,-83,-86,-84,-200,-82,-86,-80,-86,-200,-200,-200,-90,-93,-89,-200,-200,-90,-90,-89,-90,-86,-200,-79,-90,-200,-200,-200,-200,-90,-200,-94,-94,-88,-200,-92,-200,-73,-200,-200,-90,-87,-200,-200,-200,-90,-200,-91,-200,-200,-200
1526443561130,-35,-39,-44,-51,-55,-55,-53,-58,-65,-61,-54,-65,-61,-77,-68,-65,-60,-69,-72,-76,-71,-60,-74,-74,-72,-71,-77,-80,-63,-51,-82,-88,-76,-71,-78,-81,-81,-82,-83,-86,-85,-200,-83,-86,-82,-86,-200,-200,-93,-90,-93,-200,-200,-200,-90,-90,-89,-89,-86,-200,-79,-200,-200,-200,-200,-200,-90,-200,-93,-92,-88,-89,-200,-200,-82,-200,-91,-90,-91,-200,-200,-200,-90,-200,-84,-200,-91,-200
1526443564169,-35,-37,-43,-49,-51,-55,-59,-48,-67,-61,-56,-64,-63,-77,-69,-67,-59,-69,-72,-70,-72,-58,-73,-73,-74,-72,-78,-80,-64,-80,-85,-90,-76,-70,-78,-82,-81,-82,-200,-200,-80,-200,-83,-200,-81,-200,-200,-200,-93,-89,-93,-89,-200,-200,-90,-92,-91,-89,-90,-200,-79,-200,-93,-200,-200,-200,-90,-200,-93,-91,-90,-89,-200,-200,-75,-200,-91,-88,-90,-200,-200,-200,-200,-200,-84,-200,-91,-200
1526443567207,-34,-40,-42,-50,-53,-57,-57,-50,-63,-59,-55,-62,-62,-76,-70,-64,-71,-69,-63,-79,-72,-60,-75,-77,-73,-71,-78,-83,-64,-81,-85,-90,-77,-69,-80,-80,-81,-82,-83,-200,-82,-200,-82,-200,-85,-200,-200,-200,-93,-91,-92,-89,-200,-200,-90,-92,-89,-90,-90,-200,-200,-200,-93,-200,-200,-200,-89,-200,-93,-89,-90,-89,-200,-200,-79,-200,-91,-89,-90,-200,-200,-200,-200,-200,-84,-200,-91,-88
1526443570248,-35,-39,-42,-51,-64,-57,-63,-59,-64,-57,-55,-58,-57,-78,-68,-66,-68,-71,-72,-79,-72,-60,-74,-77,-75,-70,-79,-84,-66,-81,-83,-90,-87,-69,-83,-80,-80,-82,-83,-200,-88,-200,-84,-89,-84,-89,-200,-200,-93,-89,-92,-89,-200,-92,-89,-90,-89,-90,-90,-200,-90,-200,-90,-200,-200,-200,-94,-200,-94,-89,-90,-87,-200,-200,-79,-200,-89,-89,-90,-200,-200,-200,-200,-200,-84,-200,-91,-88
