,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526444118382,-29,-35,-41,-37,-48,-54,-54,-55,-53,-56,-65,-63,-62,-64,-64,-72,-67,-59,-66,-73,-70,-66,-70,-88,-88,-73,-66,-79,-75,-80,-78,-76,-79,-81,-82,-84,-200,-84,-89,-200,-82,-83,-200,-77,-86,-61,-90,-91,-86,-200,-88,-87,-89,-91,-91,-84,-88,-89,-90,-86,-200,-89,-90,-92,-200,-200,-92,-83,-200,-200,-90,-92,-85,-89,-89,-200,-86,-200,-91,-200,-200,-200,-96,-200,-200,-200,-91,-90,-86,-89,-89,-200,-200,-200,-200,-200,-200,-200
1526444121420,-29,-35,-39,-38,-50,-55,-56,-57,-53,-54,-65,-61,-63,-60,-65,-72,-66,-56,-65,-73,-70,-67,-67,-86,-88,-73,-68,-76,-75,-79,-76,-76,-79,-82,-82,-80,-200,-87,-89,-200,-81,-83,-200,-76,-84,-60,-90,-87,-86,-200,-87,-87,-89,-89,-91,-89,-88,-88,-90,-82,-200,-89,-90,-200,-200,-200,-92,-83,-200,-200,-91,-200,-85,-87,-89,-91,-83,-200,-87,-200,-200,-200,-96,-200,-200,-200,-91,-200,-86,-89,-89,-91,-91,-200,-200,-200,-200,-200
1526444124459,-29,-35,-40,-34,-49,-55,-54,-54,-53,-55,-64,-61,-64,-61,-66,-72,-66,-59,-66,-73,-71,-68,-67,-90,-88,-74,-66,-76,-76,-65,-79,-76,-79,-84,-84,-86,-200,-87,-85,-200,-81,-83,-200,-76,-84,-59,-90,-85,-84,-200,-86,-200,-89,-89,-91,-85,-88,-88,-90,-83,-200,-89,-90,-200,-200,-200,-89,-86,-200,-89,-90,-200,-85,-87,-89,-91,-83,-86,-87,-200,-200,-200,-96,-200,-200,-200,-91,-200,-200,-200,-200,-91,-91,-200,-200,-200,-200,-200
1526444127507,-29,-36,-39,-38,-50,-55,-52,-57,-54,-56,-65,-61,-65,-63,-64,-72,-67,-60,-66,-73,-70,-68,-72,-90,-83,-72,-66,-76,-76,-65,-79,-75,-79,-81,-81,-86,-200,-87,-84,-87,-80,-83,-200,-76,-88,-61,-92,-87,-84,-200,-87,-88,-87,-91,-90,-85,-88,-88,-88,-85,-200,-89,-89,-200,-200,-200,-89,-81,-200,-91,-90,-200,-85,-88,-90,-88,-85,-86,-88,-88,-200,-200,-96,-200,-200,-200,-91,-200,-200,-200,-200,-91,-91,-90,-200,-200,-200,-200
1526444130552,-29,-42,-42,-38,-49,-55,-54,-53,-53,-56,-62,-65,-63,-62,-72,-72,-67,-60,-66,-73,-73,-68,-68,-88,-84,-72,-66,-76,-76,-81,-79,-76,-79,-81,-84,-86,-200,-82,-89,-87,-80,-87,-200,-77,-85,-61,-91,-91,-84,-200,-86,-88,-89,-90,-90,-84,-88,-88,-88,-81,-200,-200,-91,-200,-200,-95,-89,-81,-200,-91,-90,-200,-200,-87,-90,-88,-86,-86,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-91,-90,-200,-200,-200,-200
1526444133596,-29,-34,-39,-15,-49,-54,-54,-55,-53,-57,-64,-60,-66,-54,-66,-71,-67,-59,-67,-72,-72,-68,-72,-87,-84,-73,-64,-200,-73,-81,-77,-76,-79,-83,-84,-84,-200,-82,-89,-87,-80,-84,-200,-77,-85,-59,-91,-91,-86,-200,-86,-88,-89,-90,-90,-85,-88,-200,-88,-86,-200,-91,-91,-200,-200,-95,-89,-87,-200,-89,-90,-89,-200,-87,-92,-88,-82,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-90,-200,-200,-200,-200
1526444136641,-29,-35,-41,-36,-46,-55,-56,-56,-53,-57,-65,-65,-64,-62,-66,-72,-67,-59,-66,-72,-70,-68,-72,-88,-81,-73,-66,-200,-74,-81,-78,-76,-79,-85,-84,-81,-200,-84,-89,-87,-80,-83,-200,-76,-85,-61,-91,-87,-86,-200,-86,-90,-88,-90,-90,-85,-88,-91,-88,-82,-200,-91,-92,-200,-200,-95,-89,-87,-200,-90,-200,-89,-200,-87,-92,-88,-84,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-90,-200,-200,-200,-200
1526444139671,-15,-34,-39,-37,-49,-55,-53,-53,-53,-57,-65,-65,-67,-61,-65,-75,-67,-59,-68,-72,-70,-63,-68,-88,-82,-74,-66,-200,-75,-81,-78,-76,-79,-85,-82,-81,-200,-84,-89,-200,-79,-84,-200,-77,-85,-59,-91,-87,-84,-200,-86,-90,-88,-90,-200,-85,-88,-91,-200,-85,-200,-91,-92,-200,-200,-90,-89,-87,-200,-90,-200,-89,-200,-87,-92,-200,-84,-200,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526444142703,-29,-35,-41,-38,-49,-55,-56,-52,-52,-56,-65,-61,-62,-62,-67,-72,-67,-60,-65,-74,-70,-63,-69,-90,-82,-74,-67,-81,-74,-80,-79,-75,-79,-82,-82,-82,-200,-84,-200,-200,-79,-83,-200,-77,-83,-61,-200,-73,-84,-200,-200,-90,-88,-200,-200,-88,-88,-91,-90,-88,-200,-89,-92,-93,-200,-91,-89,-87,-200,-90,-92,-89,-200,-88,-89,-200,-82,-200,-87,-91,-200,-200,-200,-200,-200,-200,-90,-200,-88,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526444145746,-35,-32,-39,-38,-50,-55,-56,-53,-54,-59,-65,-61,-65,-62,-64,-72,-67,-61,-66,-79,-72,-63,-72,-89,-82,-76,-67,-81,-72,-81,-79,-75,-79,-83,-82,-84,-200,-84,-200,-200,-82,-83,-71,-77,-87,-60,-89,-73,-85,-200,-88,-89,-88,-200,-200,-88,-88,-89,-87,-82,-200,-89,-92,-93,-200,-91,-89,-200,-200,-90,-92,-93,-200,-88,-89,-200,-82,-200,-87,-91,-200,-200,-200,-200,-200,-200,-90,-200,-88,-200,-200,-200,-200,-200,-92,-90,-200,-200
1526444148776,-29,-36,-41,-38,-49,-54,-55,-54,-53,-54,-64,-65,-65,-51,-66,-66,-66,-54,-66,-69,-72,-62,-67,-89,-87,-73,-63,-81,-74,-80,-81,-75,-79,-83,-82,-88,-200,-200,-200,-200,-84,-83,-71,-77,-86,-60,-89,-85,-85,-200,-88,-89,-89,-200,-200,-88,-200,-89,-89,-84,-200,-89,-89,-93,-200,-91,-85,-85,-200,-200,-92,-93,-200,-89,-89,-200,-82,-86,-88,-91,-200,-200,-200,-200,-200,-200,-90,-200,-88,-200,-200,-200,-200,-200,-92,-90,-86,-90
1526444151818,-29,-35,-39,-36,-48,-55,-56,-54,-54,-58,-64,-64,-64,-63,-64,-75,-66,-56,-66,-74,-70,-66,-69,-88,-87,-73,-69,-76,-74,-80,-77,-75,-79,-82,-82,-80,-200,-200,-200,-200,-84,-82,-71,-77,-85,-60,-89,-87,-85,-200,-88,-88,-88,-200,-90,-88,-200,-89,-87,-86,-200,-89,-89,-90,-200,-91,-85,-85,-200,-200,-92,-93,-200,-89,-91,-200,-84,-86,-88,-92,-200,-83,-200,-200,-200,-200,-90,-200,-88,-200,-200,-200,-200,-200,-92,-90,-89,-90
