,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro
1526443107928,-32,-33,-31,-31,-40,-50,-56,-51,-55,-53,-65,-60,-63,-56,-59,-65,-66,-58,-71,-68,-70,-60,-68,-78,-56,-73,-73,-67,-69,-87,-59,-73,-79,-72,-78,-85,-86,-94,-89,-77,-83,-73,-82,-82,-87,-83,-80,-88,-84,-86,-91,-200,-65,-88,-89,-200,-200,-86,-88,-89,-77,-93,-81,-200,-80,-82,-86,-200,-200,-84,-91,-88,-90,-88,-200,-200,-200,-86,-90,-89,-83,-89,-90,-77,-88,-89,-81,-82,-96,-81,-200,-200,-200
1526443110972,-35,-39,-31,-32,-40,-53,-60,-50,-56,-55,-67,-60,-65,-63,-59,-65,-65,-68,-81,-69,-75,-62,-71,-81,-55,-73,-73,-68,-69,-83,-64,-81,-79,-73,-80,-85,-86,-94,-89,-79,-83,-73,-81,-82,-83,-83,-80,-88,-85,-86,-89,-200,-68,-88,-89,-200,-200,-200,-89,-89,-78,-93,-81,-200,-80,-82,-88,-200,-200,-84,-89,-200,-90,-89,-200,-200,-200,-86,-90,-89,-200,-89,-200,-77,-88,-89,-81,-82,-96,-81,-200,-200,-200
1526443114012,-32,-31,-31,-35,-40,-51,-59,-51,-54,-53,-64,-57,-68,-56,-57,-65,-63,-60,-81,-68,-67,-61,-71,-81,-50,-74,-73,-66,-69,-85,-59,-74,-77,-73,-76,-78,-87,-82,-89,-79,-84,-200,-81,-82,-85,-81,-80,-88,-86,-88,-89,-200,-74,-88,-89,-200,-200,-200,-89,-89,-78,-200,-200,-200,-79,-84,-88,-200,-200,-88,-89,-200,-200,-88,-200,-200,-200,-86,-90,-200,-83,-88,-200,-200,-200,-200,-81,-84,-96,-81,-200,-200,-200
1526443117055,-32,-33,-31,-38,-39,-52,-59,-51,-57,-55,-68,-57,-69,-55,-68,-63,-64,-60,-70,-74,-78,-63,-71,-87,-50,-74,-74,-67,-69,-84,-70,-82,-80,-72,-78,-79,-89,-87,-200,-82,-82,-82,-81,-200,-85,-81,-91,-87,-86,-88,-89,-200,-73,-89,-200,-200,-200,-200,-89,-92,-78,-200,-200,-82,-81,-85,-86,-200,-200,-85,-89,-200,-89,-89,-200,-200,-200,-88,-91,-200,-83,-88,-200,-200,-200,-200,-89,-84,-89,-81,-70,-200,-200
1526443120098,-35,-31,-34,-31,-39,-53,-58,-47,-54,-51,-64,-60,-59,-57,-57,-41,-64,-67,-66,-67,-73,-69,-73,-80,-54,-75,-69,-70,-69,-79,-72,-83,-81,-72,-87,-78,-86,-85,-200,-84,-86,-72,-80,-200,-87,-84,-87,-87,-86,-88,-90,-200,-73,-89,-200,-200,-200,-200,-200,-92,-79,-200,-200,-82,-88,-83,-86,-200,-200,-85,-200,-200,-89,-89,-200,-200,-200,-88,-91,-89,-83,-88,-200,-200,-86,-200,-91,-84,-89,-86,-78,-200,-200
1526443123133,-32,-31,-35,-37,-39,-55,-56,-46,-54,-59,-68,-60,-59,-55,-55,-62,-58,-62,-65,-65,-71,-60,-72,-79,-56,-75,-71,-73,-69,-79,-62,-74,-79,-72,-87,-76,-86,-83,-76,-84,-83,-82,-80,-200,-84,-82,-84,-87,-84,-86,-90,-200,-65,-92,-200,-87,-200,-200,-200,-92,-79,-200,-200,-82,-82,-84,-80,-200,-200,-85,-89,-200,-89,-87,-200,-200,-200,-86,-90,-89,-200,-200,-200,-200,-86,-200,-81,-200,-90,-86,-78,-83,-200
1526443126170,-36,-30,-32,-35,-36,-56,-56,-46,-57,-57,-68,-57,-63,-54,-57,-61,-63,-64,-65,-67,-69,-60,-72,-79,-57,-78,-71,-68,-71,-80,-71,-67,-80,-73,-82,-76,-86,-82,-74,-84,-85,-82,-83,-200,-87,-83,-85,-87,-84,-86,-90,-200,-66,-91,-200,-91,-200,-200,-200,-200,-79,-200,-200,-82,-82,-84,-80,-200,-200,-84,-89,-200,-200,-87,-200,-200,-200,-86,-90,-89,-200,-200,-200,-200,-86,-200,-81,-200,-90,-86,-78,-83,-200
1526443129209,-33,-31,-31,-32,-38,-57,-58,-56,-57,-60,-69,-60,-63,-52,-57,-62,-64,-65,-68,-66,-69,-60,-71,-79,-52,-78,-72,-73,-69,-80,-71,-72,-80,-71,-83,-78,-86,-84,-74,-74,-85,-69,-81,-200,-86,-83,-85,-87,-84,-87,-91,-200,-64,-91,-200,-91,-200,-87,-200,-200,-200,-200,-200,-82,-82,-84,-80,-89,-200,-85,-89,-200,-88,-87,-200,-200,-200,-86,-90,-89,-200,-200,-200,-200,-86,-200,-82,-200,-90,-86,-200,-83,-200
1526443132253,-33,-30,-34,-36,-36,-55,-58,-44,-56,-59,-68,-60,-62,-55,-55,-62,-63,-62,-65,-63,-70,-60,-73,-79,-51,-76,-72,-73,-69,-80,-72,-72,-80,-73,-83,-77,-86,-84,-78,-76,-85,-72,-83,-200,-79,-82,-85,-86,-86,-86,-91,-200,-70,-91,-87,-91,-200,-89,-200,-200,-81,-200,-200,-82,-82,-86,-85,-89,-200,-83,-89,-200,-90,-88,-200,-200,-200,-88,-90,-89,-200,-200,-200,-200,-200,-200,-86,-200,-91,-86,-200,-83,-200
1526443135285,-35,-33,-35,-35,-35,-52,-56,-45,-58,-58,-69,-58,-62,-54,-60,-62,-63,-65,-59,-68,-72,-60,-71,-79,-51,-77,-71,-69,-70,-80,-71,-74,-78,-74,-83,-76,-86,-85,-78,-82,-85,-72,-79,-200,-79,-83,-85,-86,-86,-86,-92,-200,-71,-90,-87,-91,-200,-89,-200,-200,-89,-200,-200,-82,-88,-87,-87,-89,-200,-85,-200,-200,-90,-88,-200,-200,-200,-88,-200,-89,-200,-200,-200,-200,-200,-200,-86,-200,-91,-200,-200,-200,-200
1526443138326,-32,-29,-30,-34,-38,-54,-59,-48,-55,-56,-66,-60,-68,-51,-61,-60,-61,-62,-67,-67,-69,-62,-72,-77,-50,-80,-72,-72,-71,-80,-60,-72,-82,-72,-83,-77,-86,-80,-80,-82,-86,-72,-80,-200,-85,-81,-85,-88,-86,-88,-91,-200,-71,-90,-87,-200,-200,-87,-200,-200,-89,-200,-200,-200,-82,-87,-87,-89,-72,-82,-200,-200,-89,-86,-200,-200,-200,-86,-200,-89,-83,-200,-200,-200,-200,-200,-86,-200,-91,-200,-200,-200,-87
1526443141349,-15,-39,-40,-38,-39,-51,-58,-56,-57,-56,-68,-69,-67,-51,-60,-64,-67,-58,-79,-65,-69,-63,-72,-78,-57,-80,-77,-68,-79,-79,-69,-72,-77,-70,-80,-76,-91,-85,-80,-87,-82,-80,-81,-200,-82,-83,-86,-86,-86,-88,-91,-200,-71,-90,-87,-200,-200,-87,-200,-200,-89,-200,-81,-200,-82,-83,-87,-200,-72,-83,-90,-200,-89,-88,-200,-200,-200,-87,-200,-89,-85,-200,-200,-200,-200,-200,-86,-200,-91,-88,-200,-200,-87
