,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449703209,-28,-44,-44,-60,-51,-58,-60,-60,-62,-77,-62,-71,-71,-80,-86,-200,-79,-200,-68,-68,-81,-63,-82,-200,-74,-74,-200,-77,-200,-79,-200,-87,-78,-79,-82,-82,-77,-76,-200,-200,-82,-200,-86,-91,-88,-200,-200,-200,-84,-84,-200,-91,-89,-85,-90,-86,-200
1526449706253,-28,-44,-44,-60,-51,-58,-60,-60,-62,-77,-62,-71,-71,-80,-86,-200,-79,-200,-68,-68,-81,-63,-82,-200,-74,-74,-200,-77,-200,-79,-200,-87,-78,-79,-82,-82,-77,-76,-200,-200,-82,-200,-86,-91,-88,-200,-200,-200,-84,-84,-200,-91,-89,-85,-90,-86,-200
1526449709285,-28,-44,-44,-60,-51,-58,-60,-60,-62,-77,-62,-71,-71,-80,-86,-200,-79,-200,-68,-68,-81,-63,-82,-200,-74,-74,-200,-77,-200,-79,-200,-87,-78,-79,-82,-82,-77,-76,-200,-200,-82,-200,-86,-91,-88,-200,-200,-200,-84,-84,-200,-91,-89,-85,-90,-86,-200
1526449712329,-29,-46,-44,-57,-52,-57,-58,-56,-62,-200,-62,-71,-65,-76,-88,-79,-79,-84,-65,-71,-80,-72,-81,-82,-73,-75,-200,-80,-200,-200,-200,-200,-78,-79,-82,-200,-77,-75,-80,-200,-82,-87,-91,-200,-88,-200,-200,-200,-84,-200,-200,-88,-200,-81,-200,-86,-200
1526449715377,-28,-46,-43,-61,-52,-57,-56,-59,-62,-75,-63,-72,-65,-75,-88,-79,-79,-84,-65,-71,-80,-66,-81,-83,-73,-77,-200,-79,-200,-200,-200,-200,-78,-79,-82,-200,-77,-76,-80,-200,-82,-87,-91,-200,-88,-200,-200,-200,-84,-200,-200,-88,-200,-81,-200,-86,-200
1526449718421,-28,-46,-43,-61,-52,-57,-56,-59,-62,-75,-63,-72,-65,-75,-88,-79,-79,-84,-65,-71,-80,-66,-81,-83,-73,-77,-200,-79,-200,-200,-200,-200,-78,-79,-82,-200,-77,-76,-80,-200,-82,-87,-91,-200,-88,-200,-200,-200,-84,-200,-200,-88,-200,-81,-200,-86,-200
1526449721473,-28,-46,-43,-61,-52,-57,-56,-59,-62,-75,-63,-72,-65,-75,-88,-79,-79,-84,-65,-71,-80,-66,-81,-83,-73,-77,-200,-79,-200,-200,-200,-200,-78,-79,-82,-200,-77,-76,-80,-200,-82,-87,-91,-200,-88,-200,-200,-200,-84,-200,-200,-88,-200,-81,-200,-86,-200
1526449724509,-30,-46,-45,-52,-53,-60,-58,-59,-61,-77,-63,-72,-68,-74,-200,-74,-79,-200,-68,-73,-81,-64,-200,-83,-73,-77,-82,-79,-200,-78,-200,-200,-80,-200,-200,-200,-77,-76,-200,-200,-200,-200,-200,-200,-82,-200,-200,-83,-200,-83,-200,-200,-200,-86,-200,-200,-92
1526449727550,-30,-46,-45,-58,-53,-60,-56,-59,-60,-75,-63,-74,-68,-75,-200,-74,-79,-80,-68,-73,-81,-65,-200,-80,-73,-73,-82,-79,-200,-78,-200,-87,-80,-200,-86,-84,-76,-76,-82,-200,-91,-200,-200,-200,-82,-200,-200,-83,-200,-83,-200,-89,-200,-86,-90,-200,-92
1526449730590,-30,-46,-45,-58,-53,-60,-56,-59,-60,-75,-63,-74,-68,-75,-200,-74,-79,-80,-68,-73,-81,-65,-200,-80,-73,-73,-82,-79,-200,-78,-200,-87,-80,-200,-86,-84,-76,-76,-82,-200,-91,-200,-200,-200,-82,-200,-200,-83,-200,-83,-200,-89,-200,-86,-90,-200,-92
1526449733622,-30,-46,-45,-58,-53,-60,-56,-59,-60,-75,-63,-74,-68,-75,-200,-74,-79,-80,-68,-73,-81,-65,-200,-80,-73,-73,-82,-79,-200,-78,-200,-87,-80,-200,-86,-84,-76,-76,-82,-200,-91,-200,-200,-200,-82,-200,-200,-83,-200,-83,-200,-89,-200,-86,-90,-200,-92
1526449736659,-29,-46,-45,-59,-52,-55,-57,-59,-55,-76,-63,-72,-67,-73,-200,-72,-79,-80,-66,-67,-200,-64,-82,-80,-73,-74,-80,-80,-200,-79,-200,-87,-79,-200,-80,-84,-79,-77,-81,-200,-91,-88,-91,-200,-81,-200,-200,-200,-200,-200,-200,-89,-200,-200,-90,-88,-200
