,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450032267,-39,-46,-45,-59,-54,-50,-57,-71,-59,-75,-65,-73,-66,-67,-71,-73,-67,-200,-70,-80,-80,-79,-77,-200,-82,-200,-85,-81,-83,-200,-78,-200,-69,-73,-200,-75,-85,-81,-83,-200,-200,-200,-90,-80,-93,-85,-88,-89,-90,-80,-200,-200,-200,-200,-200,-200
1526450035301,-39,-46,-45,-59,-54,-50,-57,-71,-59,-75,-65,-73,-66,-67,-71,-73,-67,-200,-70,-80,-80,-79,-77,-200,-82,-200,-85,-81,-83,-200,-78,-200,-69,-73,-200,-75,-85,-81,-83,-200,-200,-200,-90,-80,-93,-85,-88,-89,-90,-80,-200,-200,-200,-200,-200,-200
1526450038352,-39,-46,-45,-59,-54,-50,-57,-71,-59,-75,-65,-73,-66,-67,-71,-73,-67,-200,-70,-80,-80,-79,-77,-200,-82,-200,-85,-81,-83,-200,-78,-200,-69,-73,-200,-75,-85,-81,-83,-200,-200,-200,-90,-80,-93,-85,-88,-89,-90,-80,-200,-200,-200,-200,-200,-200
1526450041395,-37,-44,-46,-59,-49,-51,-54,-71,-60,-75,-67,-72,-63,-66,-70,-73,-66,-200,-68,-78,-79,-79,-78,-83,-80,-76,-84,-81,-82,-200,-78,-200,-69,-73,-200,-73,-82,-81,-200,-81,-200,-90,-200,-83,-200,-200,-200,-200,-200,-80,-84,-89,-200,-200,-200,-200
1526450044437,-37,-44,-46,-60,-53,-50,-54,-71,-60,-75,-66,-71,-65,-66,-71,-71,-66,-200,-68,-79,-79,-79,-78,-83,-81,-76,-85,-81,-82,-200,-75,-200,-71,-71,-200,-73,-82,-81,-87,-81,-200,-90,-200,-82,-200,-200,-200,-200,-200,-82,-84,-89,-86,-200,-200,-200
1526450047478,-37,-44,-46,-60,-53,-50,-54,-71,-60,-75,-66,-71,-65,-66,-71,-71,-66,-200,-68,-79,-79,-79,-78,-83,-81,-76,-85,-81,-82,-200,-75,-200,-71,-71,-200,-73,-82,-81,-87,-81,-200,-90,-200,-82,-200,-200,-200,-200,-200,-82,-84,-89,-86,-200,-200,-200
1526450050527,-37,-44,-46,-60,-53,-50,-54,-71,-60,-75,-66,-71,-65,-66,-71,-71,-66,-200,-68,-79,-79,-79,-78,-83,-81,-76,-85,-81,-82,-200,-75,-200,-71,-71,-200,-73,-82,-81,-87,-81,-200,-90,-200,-82,-200,-200,-200,-200,-200,-82,-84,-89,-86,-200,-200,-200
1526450053550,-36,-46,-46,-63,-54,-51,-52,-72,-60,-73,-66,-72,-66,-66,-71,-72,-66,-200,-68,-79,-81,-80,-78,-200,-80,-200,-85,-81,-84,-200,-75,-200,-70,-72,-200,-75,-82,-82,-87,-200,-200,-200,-200,-82,-200,-87,-200,-200,-200,-80,-200,-200,-86,-84,-91,-200
1526450056594,-40,-46,-46,-63,-50,-51,-54,-72,-59,-73,-66,-76,-64,-66,-70,-72,-66,-200,-74,-79,-79,-80,-78,-200,-80,-74,-85,-81,-84,-200,-76,-200,-71,-72,-200,-75,-82,-82,-87,-200,-200,-200,-200,-82,-200,-87,-200,-200,-200,-80,-200,-200,-86,-84,-91,-200
1526450059627,-40,-46,-46,-63,-50,-51,-54,-72,-59,-73,-66,-76,-64,-66,-70,-72,-66,-200,-74,-79,-79,-80,-78,-200,-80,-74,-85,-81,-84,-200,-76,-200,-71,-72,-200,-75,-82,-82,-87,-200,-200,-200,-200,-82,-200,-87,-200,-200,-200,-80,-200,-200,-86,-84,-91,-200
1526450062646,-40,-46,-46,-63,-50,-51,-54,-72,-59,-73,-66,-76,-64,-66,-70,-72,-66,-200,-74,-79,-79,-80,-78,-200,-80,-74,-85,-81,-84,-200,-76,-200,-71,-72,-200,-75,-82,-82,-87,-200,-200,-200,-200,-82,-200,-87,-200,-200,-200,-80,-200,-200,-86,-84,-91,-200
1526450065679,-36,-45,-46,-64,-50,-51,-52,-68,-60,-74,-65,-72,-65,-64,-70,-72,-67,-200,-70,-81,-78,-82,-200,-200,-80,-74,-200,-200,-200,-200,-76,-200,-71,-73,-200,-74,-82,-82,-200,-82,-200,-200,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-89
