,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526450287898,-26,-37,-43,-50,-52,-50,-60,-62,-50,-62,-60,-59,-65,-61,-69,-66,-71,-82,-69,-64,-67,-69,-74,-63,-78,-78,-66,-77,-77,-98,-80,-77,-68,-75,-200,-75,-74,-70,-71,-78,-71,-200,-83,-200,-76,-78,-80,-81,-200,-84,-78,-79,-85,-200,-83,-83,-79,-85,-86,-88,-91,-89,-86,-93,-200,-200,-85,-74,-200,-200,-200,-90,-91,-88,-200,-91,-200,-200,-200,-200,-200,-78,-87,-86,-200,-87,-200,-81,-89,-90,-89,-69,-91,-86,-200,-200,-200,-200,-76,-200,-200
1526450290934,-30,-36,-40,-49,-52,-45,-59,-68,-53,-59,-62,-57,-68,-63,-69,-70,-68,-72,-71,-66,-67,-74,-74,-66,-78,-81,-65,-75,-77,-98,-200,-200,-68,-75,-200,-80,-75,-71,-70,-77,-72,-200,-82,-200,-76,-81,-84,-83,-200,-85,-78,-79,-80,-200,-83,-81,-81,-85,-88,-88,-91,-90,-86,-93,-200,-88,-85,-74,-200,-200,-200,-92,-91,-88,-93,-91,-200,-200,-200,-200,-200,-78,-87,-88,-200,-87,-200,-82,-89,-90,-200,-70,-91,-89,-200,-200,-200,-200,-76,-200,-200
1526450293974,-35,-42,-44,-50,-54,-46,-59,-65,-51,-58,-62,-58,-65,-59,-68,-70,-67,-70,-65,-63,-67,-71,-76,-65,-78,-81,-66,-73,-76,-82,-83,-77,-65,-75,-200,-71,-72,-72,-71,-76,-73,-200,-82,-200,-76,-81,-84,-83,-200,-86,-82,-79,-87,-200,-85,-83,-81,-88,-86,-85,-91,-90,-85,-81,-200,-88,-82,-74,-200,-200,-200,-92,-91,-88,-93,-91,-200,-200,-200,-200,-200,-82,-200,-88,-200,-90,-200,-81,-89,-90,-87,-70,-93,-87,-200,-200,-200,-200,-200,-200,-200
1526450297006,-24,-35,-42,-46,-50,-51,-59,-69,-57,-61,-60,-61,-67,-61,-69,-66,-69,-74,-62,-65,-69,-74,-72,-65,-78,-80,-63,-75,-76,-77,-83,-75,-71,-75,-200,-73,-76,-72,-72,-75,-72,-200,-82,-200,-74,-85,-81,-80,-200,-86,-81,-79,-80,-200,-82,-84,-76,-86,-88,-84,-91,-90,-85,-81,-200,-88,-82,-200,-200,-200,-200,-88,-91,-88,-93,-91,-200,-82,-200,-90,-200,-82,-200,-86,-200,-90,-200,-81,-89,-90,-87,-70,-91,-87,-200,-200,-200,-200,-200,-200,-200
1526450300047,-31,-43,-44,-45,-53,-46,-59,-66,-50,-90,-61,-58,-63,-59,-69,-70,-70,-75,-61,-55,-69,-71,-72,-67,-200,-77,-68,-59,-77,-77,-83,-75,-66,-75,-200,-78,-76,-75,-70,-71,-75,-200,-82,-200,-77,-85,-81,-84,-200,-86,-81,-79,-80,-200,-82,-84,-76,-95,-86,-85,-91,-90,-85,-81,-200,-88,-82,-200,-200,-200,-200,-88,-200,-88,-93,-200,-87,-82,-200,-90,-200,-82,-200,-86,-200,-90,-200,-80,-200,-200,-87,-72,-91,-87,-200,-200,-200,-200,-200,-200,-200
1526450303089,-33,-40,-42,-42,-52,-45,-58,-71,-52,-57,-63,-58,-66,-61,-69,-70,-70,-73,-69,-65,-72,-71,-75,-64,-77,-81,-69,-71,-78,-77,-78,-75,-66,-76,-200,-74,-76,-70,-72,-71,-73,-200,-83,-200,-77,-80,-81,-81,-83,-86,-76,-200,-79,-200,-85,-88,-78,-95,-87,-85,-91,-200,-88,-81,-200,-200,-82,-200,-200,-200,-200,-88,-200,-88,-200,-200,-87,-82,-200,-90,-76,-82,-200,-86,-200,-90,-200,-80,-200,-200,-87,-70,-91,-86,-200,-200,-200,-200,-200,-200,-200
1526450306131,-34,-38,-43,-45,-54,-48,-58,-66,-51,-60,-62,-59,-66,-60,-70,-71,-68,-71,-71,-65,-72,-70,-77,-67,-77,-83,-77,-71,-85,-84,-78,-75,-66,-79,-200,-79,-73,-70,-72,-77,-75,-200,-83,-200,-77,-79,-84,-80,-83,-88,-83,-75,-81,-200,-86,-81,-80,-86,-88,-85,-91,-87,-84,-200,-200,-200,-84,-200,-200,-200,-200,-88,-200,-200,-200,-200,-87,-82,-200,-90,-76,-200,-200,-89,-200,-200,-200,-80,-200,-200,-200,-70,-91,-86,-79,-200,-200,-200,-200,-200,-200
1526450309166,-31,-38,-38,-50,-51,-45,-59,-64,-51,-58,-60,-58,-66,-60,-70,-66,-71,-71,-61,-65,-64,-73,-85,-64,-75,-74,-65,-73,-77,-82,-78,-74,-67,-77,-200,-71,-74,-73,-70,-77,-76,-200,-82,-200,-77,-79,-83,-83,-83,-82,-80,-83,-81,-92,-85,-84,-81,-86,-86,-85,-88,-91,-86,-85,-200,-200,-80,-200,-200,-200,-200,-90,-200,-87,-200,-200,-200,-200,-88,-200,-76,-81,-89,-86,-200,-200,-74,-79,-200,-92,-200,-69,-91,-86,-85,-200,-90,-200,-200,-200,-200
1526450312212,-34,-40,-39,-48,-49,-45,-60,-64,-50,-58,-61,-57,-62,-59,-67,-70,-68,-71,-62,-61,-71,-71,-75,-65,-75,-74,-66,-73,-77,-82,-81,-74,-72,-78,-200,-77,-67,-73,-71,-66,-76,-200,-82,-200,-79,-79,-83,-82,-200,-82,-81,-83,-82,-92,-86,-82,-79,-88,-87,-86,-88,-91,-85,-85,-200,-200,-83,-200,-200,-200,-200,-90,-200,-87,-200,-200,-200,-200,-88,-200,-76,-81,-89,-86,-200,-200,-69,-82,-200,-92,-200,-69,-91,-200,-85,-200,-90,-200,-200,-200,-200
1526450315257,-30,-43,-47,-50,-50,-45,-58,-64,-50,-61,-66,-63,-65,-60,-68,-66,-70,-78,-62,-63,-71,-72,-72,-62,-71,-74,-70,-74,-80,-84,-81,-74,-69,-78,-200,-77,-72,-73,-72,-78,-76,-90,-83,-200,-73,-79,-84,-82,-200,-85,-81,-89,-84,-92,-84,-82,-76,-85,-87,-86,-88,-88,-85,-79,-200,-200,-93,-200,-200,-200,-200,-87,-200,-87,-200,-200,-200,-200,-89,-200,-76,-79,-86,-86,-200,-89,-79,-82,-200,-92,-200,-69,-92,-200,-85,-200,-90,-200,-200,-92,-200
1526450318303,-32,-39,-43,-48,-54,-48,-59,-67,-52,-59,-63,-58,-67,-63,-69,-69,-71,-71,-62,-64,-67,-73,-72,-66,-78,-73,-66,-73,-80,-88,-81,-76,-70,-78,-200,-78,-72,-73,-70,-78,-73,-90,-83,-200,-74,-82,-83,-78,-86,-87,-81,-89,-85,-92,-85,-80,-75,-84,-89,-82,-88,-89,-87,-84,-200,-200,-93,-200,-200,-200,-200,-89,-90,-200,-200,-91,-200,-92,-89,-200,-82,-82,-86,-88,-200,-89,-79,-82,-200,-200,-89,-69,-92,-200,-85,-200,-90,-200,-200,-92,-93
1526450321345,-31,-40,-39,-47,-55,-48,-57,-67,-51,-59,-64,-59,-67,-61,-69,-70,-67,-71,-60,-65,-66,-73,-73,-67,-78,-81,-65,-73,-82,-83,-81,-76,-69,-78,-200,-78,-74,-72,-71,-71,-74,-90,-83,-88,-74,-82,-83,-78,-86,-87,-79,-89,-85,-200,-85,-81,-78,-86,-88,-84,-89,-90,-87,-85,-200,-200,-85,-200,-200,-200,-200,-89,-90,-200,-200,-91,-90,-89,-89,-200,-76,-82,-85,-87,-200,-89,-79,-82,-200,-92,-89,-69,-92,-87,-200,-200,-200,-200,-200,-92,-93
