,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A88,DLINK_D02A20,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450012329,-35,-44,-43,-62,-46,-39,-57,-44,-58,-55,-60,-61,-38,-56,-57,-64,-68,-58,-61,-55,-67,-68,-71,-57,-68,-50,-64,-73,-60,-65,-66,-71,-81,-50,-63,-77,-71,-71,-60,-75,-74,-71,-68,-80,-83,-82,-200,-72,-79,-71,-77,-76,-74,-73,-81,-84,-67,-81,-83,-80,-89,-200,-200,-86,-87,-200,-80,-200,-85,-200,-88,-90,-88,-200,-200,-88,-200,-67,-200,-84,-85,-200,-89,-81,-85,-89,-200,-90,-200,-200,-91,-90,-200,-200,-200,-80,-81,-200,-88,-77,-79,-86,-88,-200,-90,-85,-89,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526450015371,-34,-43,-43,-63,-44,-41,-57,-45,-57,-58,-60,-64,-16,-67,-59,-61,-68,-58,-60,-59,-65,-68,-82,-57,-68,-63,-66,-72,-67,-65,-67,-71,-81,-53,-63,-70,-71,-72,-58,-74,-74,-71,-71,-80,-83,-75,-200,-73,-200,-71,-77,-81,-74,-72,-81,-86,-70,-81,-83,-80,-89,-200,-200,-83,-87,-200,-80,-86,-85,-200,-88,-90,-88,-200,-200,-200,-200,-67,-200,-84,-82,-200,-200,-81,-85,-89,-200,-90,-200,-200,-91,-90,-88,-200,-200,-78,-81,-200,-88,-77,-79,-86,-88,-200,-200,-200,-200,-86,-91,-86,-88,-91,-200,-200,-200,-200,-200
1526450018408,-35,-38,-42,-67,-49,-40,-59,-46,-59,-53,-61,-64,-37,-59,-58,-64,-68,-60,-53,-55,-66,-68,-68,-58,-62,-65,-65,-73,-67,-64,-68,-71,-81,-53,-61,-70,-70,-71,-57,-76,-76,-71,-71,-78,-81,-79,-200,-73,-200,-71,-76,-75,-75,-74,-83,-85,-68,-79,-72,-81,-89,-200,-200,-83,-89,-200,-80,-86,-85,-200,-88,-90,-87,-200,-200,-200,-200,-67,-200,-84,-82,-200,-89,-200,-85,-89,-200,-90,-200,-200,-90,-89,-88,-200,-200,-81,-81,-200,-200,-77,-79,-86,-88,-200,-200,-200,-200,-86,-91,-86,-88,-91,-200,-200,-200,-200,-200
1526450021456,-35,-36,-42,-61,-46,-39,-58,-44,-56,-52,-62,-69,-36,-58,-56,-67,-67,-58,-55,-54,-65,-70,-71,-59,-65,-63,-61,-73,-67,-63,-67,-70,-78,-49,-62,-70,-70,-71,-60,-76,-76,-71,-65,-80,-81,-79,-200,-72,-200,-69,-76,-77,-76,-74,-82,-86,-64,-80,-87,-78,-89,-200,-200,-83,-89,-80,-80,-86,-88,-200,-88,-88,-87,-200,-200,-200,-200,-74,-200,-83,-84,-200,-89,-200,-85,-89,-86,-90,-200,-200,-91,-89,-88,-200,-200,-78,-81,-200,-89,-77,-76,-85,-88,-200,-200,-200,-200,-86,-91,-86,-88,-91,-90,-200,-200,-200,-200
1526450024503,-35,-45,-44,-71,-38,-40,-60,-44,-56,-55,-61,-65,-35,-54,-56,-66,-67,-57,-56,-55,-68,-69,-72,-60,-65,-56,-64,-73,-65,-66,-67,-72,-78,-50,-63,-70,-74,-71,-59,-76,-73,-200,-71,-76,-74,-79,-200,-75,-200,-79,-79,-76,-76,-72,-82,-85,-64,-80,-87,-58,-89,-200,-200,-86,-89,-80,-81,-86,-85,-200,-88,-88,-87,-200,-200,-200,-200,-67,-200,-83,-83,-200,-89,-200,-89,-200,-79,-200,-200,-89,-89,-89,-89,-200,-77,-78,-81,-200,-87,-200,-80,-85,-93,-200,-200,-200,-200,-200,-200,-86,-88,-91,-90,-200,-200,-200,-200
1526450027526,-34,-51,-44,-66,-43,-38,-52,-40,-56,-52,-61,-63,-34,-48,-57,-65,-67,-58,-51,-56,-64,-70,-71,-61,-65,-57,-66,-72,-62,-65,-68,-70,-78,-50,-63,-200,-81,-71,-61,-76,-73,-70,-67,-76,-81,-74,-200,-74,-200,-78,-77,-80,-76,-79,-83,-82,-67,-83,-83,-79,-89,-89,-200,-85,-89,-80,-81,-200,-85,-200,-88,-88,-87,-200,-200,-90,-200,-67,-200,-83,-82,-200,-89,-200,-87,-200,-79,-200,-200,-89,-89,-89,-89,-200,-77,-78,-81,-200,-87,-77,-80,-85,-93,-200,-89,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526450030572,-33,-49,-43,-61,-46,-40,-56,-46,-59,-55,-62,-62,-37,-51,-57,-66,-68,-50,-53,-56,-67,-72,-75,-60,-67,-57,-67,-69,-64,-65,-69,-72,-80,-55,-63,-200,-71,-78,-61,-77,-76,-72,-68,-74,-81,-79,-200,-72,-200,-70,-78,-75,-77,-79,-80,-88,-66,-87,-83,-80,-200,-89,-200,-85,-200,-200,-81,-200,-85,-200,-88,-91,-89,-200,-200,-90,-200,-78,-200,-84,-82,-200,-90,-80,-84,-94,-84,-200,-200,-89,-89,-90,-89,-200,-77,-79,-81,-85,-91,-68,-80,-85,-93,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526450033613,-32,-35,-42,-68,-47,-40,-55,-49,-57,-54,-61,-64,-37,-60,-59,-60,-69,-60,-54,-53,-67,-70,-65,-57,-63,-59,-67,-73,-62,-66,-67,-71,-80,-49,-63,-68,-82,-73,-59,-76,-75,-72,-76,-66,-81,-76,-200,-76,-200,-77,-81,-75,-77,-75,-80,-84,-70,-87,-83,-77,-90,-89,-200,-86,-200,-200,-79,-200,-84,-200,-88,-91,-89,-200,-200,-90,-200,-67,-200,-84,-84,-200,-90,-81,-84,-94,-84,-200,-200,-200,-90,-90,-200,-200,-200,-79,-200,-85,-91,-78,-200,-87,-200,-200,-91,-200,-200,-200,-91,-200,-200,-87,-200,-91,-200,-200,-200
1526450036664,-37,-40,-42,-68,-46,-37,-52,-51,-55,-53,-62,-62,-36,-56,-58,-61,-67,-59,-52,-52,-67,-69,-73,-58,-63,-46,-64,-73,-61,-65,-67,-71,-78,-50,-62,-76,-81,-73,-59,-75,-75,-72,-69,-84,-200,-76,-200,-76,-200,-74,-76,-75,-76,-75,-82,-86,-70,-87,-85,-80,-90,-200,-200,-86,-88,-200,-79,-200,-84,-200,-88,-91,-89,-200,-200,-200,-200,-67,-200,-84,-84,-200,-90,-81,-84,-94,-84,-200,-200,-200,-90,-90,-89,-200,-200,-72,-200,-85,-91,-78,-79,-87,-200,-200,-89,-200,-200,-200,-91,-200,-200,-87,-200,-91,-90,-92,-200
1526450039709,-38,-40,-43,-71,-45,-39,-58,-46,-57,-58,-62,-63,-38,-58,-61,-65,-75,-70,-52,-54,-76,-69,-79,-58,-63,-56,-67,-73,-61,-67,-66,-71,-78,-50,-62,-76,-82,-73,-58,-75,-73,-68,-84,-79,-200,-74,-200,-78,-200,-73,-81,-75,-76,-76,-82,-86,-67,-70,-91,-80,-90,-200,-200,-86,-88,-200,-83,-90,-84,-200,-88,-89,-90,-200,-200,-200,-200,-86,-200,-83,-83,-200,-90,-81,-200,-200,-85,-90,-200,-200,-89,-86,-89,-200,-200,-80,-200,-85,-200,-78,-79,-87,-200,-200,-89,-200,-200,-200,-91,-200,-200,-86,-200,-91,-90,-92,-200
1526450042746,-35,-42,-43,-70,-39,-40,-59,-41,-54,-54,-61,-64,-37,-59,-63,-64,-68,-61,-52,-45,-71,-68,-69,-58,-67,-65,-66,-72,-63,-65,-67,-71,-78,-51,-63,-72,-73,-73,-62,-74,-77,-72,-68,-78,-77,-76,-200,-75,-200,-79,-83,-77,-76,-77,-82,-85,-66,-78,-84,-79,-90,-200,-200,-86,-88,-200,-83,-90,-85,-200,-89,-89,-90,-200,-200,-200,-200,-78,-200,-84,-82,-200,-89,-81,-200,-200,-85,-92,-200,-200,-89,-86,-89,-200,-200,-80,-200,-200,-87,-77,-79,-86,-200,-200,-89,-200,-200,-200,-91,-200,-200,-90,-200,-200,-90,-92,-200
1526450045787,-32,-37,-47,-65,-45,-36,-60,-43,-64,-56,-61,-64,-37,-57,-58,-67,-68,-59,-56,-55,-67,-68,-75,-60,-64,-48,-61,-73,-66,-64,-67,-71,-78,-50,-62,-74,-80,-73,-57,-75,-74,-72,-67,-78,-82,-79,-77,-72,-200,-69,-80,-76,-77,-77,-80,-85,-67,-78,-84,-78,-200,-200,-200,-200,-88,-200,-84,-90,-85,-200,-89,-89,-90,-200,-200,-200,-200,-68,-200,-84,-82,-200,-89,-200,-200,-90,-85,-92,-200,-200,-90,-86,-89,-200,-200,-80,-200,-200,-91,-78,-79,-86,-200,-200,-89,-200,-89,-200,-92,-200,-200,-90,-90,-200,-90,-92,-83
