,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526443938218,-31,-38,-47,-60,-49,-54,-58,-67,-52,-70,-57,-52,-74,-61,-66,-65,-69,-76,-74,-200,-65,-74,-77,-80,-82,-200,-82,-81,-80,-200,-67,-200,-79,-76,-75,-59,-89,-78,-81,-93,-80,-78,-200,-88,-83,-89,-84,-200,-96,-83,-84,-93,-200,-88,-200,-200,-94,-200,-87,-95,-200,-93,-90,-200,-200,-89,-200,-91,-200,-94,-68,-90,-200,-200,-200,-90,-76,-200,-200,-94,-96,-79,-83,-200,-200,-200,-200,-200
1526443941269,-25,-40,-50,-58,-54,-53,-55,-59,-62,-72,-59,-49,-61,-59,-60,-67,-76,-76,-70,-84,-70,-78,-85,-69,-74,-81,-79,-80,-80,-79,-68,-200,-76,-72,-73,-65,-84,-77,-89,-83,-81,-78,-200,-84,-200,-89,-80,-200,-96,-77,-90,-93,-86,-91,-200,-200,-94,-200,-87,-95,-200,-93,-94,-200,-200,-89,-87,-95,-94,-94,-67,-200,-93,-200,-200,-90,-91,-92,-200,-200,-200,-79,-83,-94,-94,-200,-200,-200
1526443944322,-24,-41,-52,-55,-56,-49,-58,-60,-61,-74,-57,-50,-68,-60,-64,-63,-77,-76,-73,-83,-74,-72,-80,-73,-73,-81,-79,-82,-80,-79,-67,-78,-65,-75,-73,-64,-83,-79,-91,-83,-86,-76,-200,-89,-200,-92,-79,-200,-91,-78,-90,-96,-86,-91,-200,-200,-94,-200,-90,-200,-200,-93,-93,-97,-200,-200,-87,-95,-94,-200,-67,-200,-92,-200,-200,-91,-91,-92,-200,-200,-200,-200,-84,-96,-94,-97,-200,-200
1526443947373,-26,-36,-47,-59,-54,-53,-55,-58,-62,-73,-58,-49,-72,-59,-60,-70,-80,-79,-71,-80,-71,-72,-81,-73,-73,-81,-79,-80,-80,-83,-66,-78,-78,-75,-74,-62,-85,-77,-87,-83,-83,-74,-200,-89,-200,-91,-79,-94,-91,-81,-90,-96,-86,-92,-200,-94,-94,-200,-90,-200,-200,-95,-93,-97,-200,-200,-87,-93,-93,-200,-64,-90,-92,-200,-200,-91,-91,-92,-200,-200,-200,-200,-84,-96,-94,-97,-200,-200
1526443950420,-26,-37,-47,-59,-53,-52,-59,-60,-58,-74,-59,-54,-74,-59,-63,-68,-80,-79,-70,-80,-73,-75,-80,-73,-74,-81,-200,-83,-79,-83,-69,-82,-75,-74,-69,-62,-85,-66,-90,-91,-83,-75,-200,-84,-200,-92,-79,-94,-84,-80,-89,-96,-200,-91,-200,-94,-96,-200,-90,-200,-200,-95,-87,-97,-200,-200,-89,-93,-93,-200,-64,-90,-92,-200,-200,-86,-81,-200,-200,-200,-200,-200,-84,-96,-200,-97,-200,-200
1526443953465,-26,-42,-52,-58,-58,-53,-54,-57,-61,-65,-57,-51,-66,-67,-63,-63,-74,-75,-68,-80,-67,-74,-79,-73,-75,-79,-200,-86,-77,-82,-71,-82,-73,-78,-70,-64,-83,-80,-92,-83,-80,-76,-200,-89,-200,-90,-77,-94,-84,-78,-85,-96,-89,-92,-200,-94,-90,-200,-92,-200,-88,-95,-96,-200,-200,-200,-90,-93,-93,-200,-64,-90,-200,-200,-200,-86,-83,-200,-93,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526443956512,-31,-39,-50,-72,-66,-53,-53,-59,-59,-56,-61,-56,-66,-57,-61,-61,-79,-82,-77,-200,-68,-72,-79,-67,-79,-82,-200,-83,-77,-82,-71,-82,-69,-78,-79,-61,-80,-80,-83,-89,-83,-77,-200,-88,-200,-90,-65,-200,-79,-82,-85,-96,-88,-87,-200,-200,-87,-200,-85,-200,-88,-200,-96,-200,-93,-200,-86,-200,-200,-92,-68,-90,-200,-96,-200,-86,-83,-200,-93,-200,-95,-200,-85,-200,-200,-95,-78,-200
1526443959561,-32,-35,-48,-62,-61,-51,-55,-59,-57,-61,-63,-55,-60,-64,-59,-65,-70,-81,-76,-82,-64,-74,-76,-76,-74,-86,-200,-77,-81,-85,-76,-80,-73,-81,-69,-61,-84,-85,-89,-89,-83,-77,-200,-85,-200,-87,-77,-200,-83,-90,-85,-200,-91,-89,-200,-200,-90,-200,-85,-200,-91,-95,-90,-200,-93,-200,-86,-90,-200,-93,-68,-200,-200,-96,-200,-89,-84,-200,-93,-200,-95,-200,-85,-200,-200,-95,-78,-200
1526443962607,-32,-38,-50,-65,-64,-57,-52,-59,-58,-61,-57,-53,-69,-61,-69,-65,-75,-73,-77,-82,-68,-74,-79,-76,-75,-79,-200,-72,-81,-79,-74,-80,-74,-77,-73,-63,-85,-85,-88,-89,-83,-82,-200,-83,-200,-87,-76,-200,-83,-85,-85,-95,-94,-91,-200,-200,-90,-200,-91,-200,-91,-95,-90,-200,-93,-200,-89,-90,-200,-93,-68,-200,-200,-96,-200,-84,-75,-200,-200,-200,-95,-200,-200,-200,-200,-95,-80,-200
1526443965657,-32,-38,-46,-65,-53,-46,-54,-64,-53,-53,-56,-54,-73,-58,-58,-64,-68,-78,-78,-82,-60,-71,-77,-76,-72,-85,-200,-74,-80,-79,-67,-80,-69,-77,-70,-58,-84,-85,-81,-88,-79,-74,-83,-88,-200,-90,-74,-94,-83,-85,-85,-95,-94,-88,-200,-95,-92,-200,-86,-200,-87,-95,-88,-200,-200,-200,-89,-88,-200,-93,-200,-200,-92,-200,-200,-85,-73,-200,-200,-200,-200,-200,-200,-200,-200,-97,-80,-200
1526443968704,-31,-38,-46,-61,-57,-54,-53,-57,-54,-59,-61,-55,-73,-59,-59,-69,-72,-80,-78,-200,-65,-75,-75,-68,-68,-78,-200,-71,-80,-79,-67,-200,-69,-72,-74,-58,-85,-80,-89,-88,-80,-74,-83,-87,-200,-90,-76,-91,-81,-86,-85,-95,-94,-90,-200,-95,-92,-200,-86,-200,-89,-95,-89,-200,-95,-93,-89,-89,-200,-92,-200,-200,-95,-96,-200,-85,-78,-200,-89,-200,-200,-200,-200,-95,-200,-97,-80,-94
1526443971755,-33,-39,-46,-62,-50,-51,-57,-59,-61,-58,-71,-56,-73,-55,-60,-64,-77,-80,-80,-200,-66,-71,-76,-67,-76,-84,-200,-79,-83,-79,-69,-82,-69,-74,-73,-55,-86,-78,-81,-88,-80,-74,-83,-85,-200,-90,-76,-91,-78,-86,-80,-200,-200,-90,-200,-90,-92,-200,-85,-200,-89,-94,-89,-200,-94,-94,-200,-88,-200,-92,-200,-200,-92,-96,-200,-86,-78,-200,-89,-91,-200,-200,-200,-95,-200,-97,-78,-94
