,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,whjx-gaofeng-13,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526444155321,-37,-41,-46,-50,-61,-58,-58,-55,-61,-66,-64,-56,-54,-63,-55,-69,-64,-65,-78,-80,-54,-65,-68,-69,-64,-74,-200,-77,-68,-84,-81,-72,-78,-72,-86,-85,-88,-83,-88,-200,-200,-92,-77,-200,-78,-84,-200,-87,-80,-92,-81,-84,-86,-200,-84,-200,-200,-200,-200,-200,-95,-200,-95,-93,-94,-200,-200,-200,-91,-88,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-94,-84,-76,-200,-90,-88,-200,-200,-200,-200,-200,-98,-81,-97,-97,-96,-200,-200,-200,-200,-200,-200
1526444158357,-38,-39,-50,-46,-64,-59,-62,-54,-57,-61,-64,-55,-60,-63,-56,-72,-68,-67,-76,-78,-56,-66,-65,-68,-68,-72,-200,-68,-73,-84,-84,-74,-76,-73,-85,-87,-92,-86,-79,-87,-200,-92,-74,-200,-77,-84,-79,-87,-80,-80,-81,-83,-85,-200,-89,-200,-200,-200,-200,-200,-95,-200,-94,-93,-94,-200,-200,-88,-91,-91,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-82,-94,-85,-78,-200,-90,-92,-200,-200,-200,-200,-200,-200,-81,-97,-97,-96,-82,-200,-200,-200,-200,-200
1526444161405,-37,-43,-46,-54,-62,-56,-67,-52,-63,-61,-63,-56,-60,-65,-57,-68,-65,-73,-72,-70,-53,-64,-68,-62,-63,-70,-75,-80,-68,-88,-81,-76,-77,-73,-88,-84,-88,-86,-81,-92,-200,-90,-76,-80,-82,-86,-84,-87,-81,-80,-81,-85,-84,-200,-85,-200,-200,-85,-200,-200,-94,-95,-94,-93,-200,-93,-200,-88,-92,-91,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-82,-94,-84,-80,-200,-90,-94,-200,-200,-200,-200,-200,-200,-200,-97,-200,-96,-82,-95,-97,-200,-200,-200
1526444164451,-35,-40,-48,-52,-65,-60,-62,-54,-60,-67,-62,-57,-58,-69,-55,-68,-63,-71,-59,-73,-53,-62,-66,-63,-63,-65,-75,-79,-73,-88,-78,-74,-74,-72,-88,-87,-88,-85,-81,-92,-91,-90,-77,-80,-82,-85,-78,-200,-79,-93,-81,-85,-84,-91,-85,-94,-200,-85,-200,-200,-97,-95,-94,-89,-200,-93,-200,-88,-92,-91,-200,-200,-200,-200,-200,-200,-200,-92,-96,-200,-200,-200,-82,-92,-84,-80,-200,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-95,-97,-200,-200,-200
1526444167501,-37,-41,-45,-50,-54,-53,-66,-51,-63,-75,-64,-60,-65,-68,-58,-65,-69,-77,-75,-73,-55,-65,-70,-66,-67,-65,-80,-79,-64,-86,-78,-74,-74,-72,-88,-87,-91,-86,-79,-92,-91,-92,-77,-80,-80,-86,-80,-200,-81,-93,-81,-85,-84,-91,-85,-93,-200,-85,-200,-200,-97,-97,-200,-89,-200,-93,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-92,-96,-200,-200,-200,-200,-92,-84,-80,-200,-91,-94,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-79,-95,-97,-200,-200,-200
1526444170546,-37,-42,-43,-48,-60,-59,-65,-61,-60,-62,-64,-56,-44,-68,-57,-65,-69,-77,-72,-73,-56,-63,-66,-67,-69,-67,-77,-72,-68,-83,-80,-74,-74,-73,-87,-80,-91,-83,-80,-88,-91,-89,-77,-200,-76,-86,-80,-200,-81,-89,-80,-81,-84,-91,-87,-93,-200,-200,-200,-200,-95,-97,-200,-90,-200,-200,-200,-200,-92,-91,-200,-200,-200,-200,-200,-96,-94,-86,-96,-200,-200,-200,-80,-92,-86,-76,-200,-86,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200
1526444173597,-42,-42,-40,-48,-59,-57,-62,-53,-59,-65,-64,-61,-48,-68,-54,-72,-66,-73,-73,-75,-52,-66,-66,-67,-69,-68,-77,-75,-61,-85,-78,-75,-73,-73,-82,-80,-87,-84,-83,-88,-200,-92,-74,-87,-82,-86,-79,-200,-81,-90,-80,-83,-84,-200,-80,-93,-200,-200,-96,-200,-95,-92,-200,-92,-200,-200,-200,-200,-94,-93,-200,-200,-93,-200,-200,-96,-94,-86,-200,-200,-200,-200,-80,-200,-86,-76,-200,-86,-88,-200,-200,-200,-86,-200,-200,-200,-200,-78,-200,-79,-200,-200,-200,-200,-200
1526444176644,-39,-40,-44,-51,-69,-51,-63,-55,-60,-61,-62,-57,-55,-63,-55,-72,-69,-67,-76,-70,-58,-75,-66,-67,-69,-68,-74,-76,-71,-85,-79,-74,-81,-73,-86,-80,-89,-82,-83,-88,-93,-89,-74,-87,-78,-85,-81,-84,-200,-89,-82,-79,-86,-95,-86,-93,-200,-200,-96,-200,-95,-92,-200,-91,-95,-93,-200,-200,-94,-93,-200,-200,-93,-200,-200,-96,-94,-85,-200,-200,-200,-200,-80,-200,-95,-76,-200,-86,-88,-200,-200,-98,-89,-97,-200,-200,-95,-78,-200,-200,-200,-200,-200,-200,-200
1526444179695,-43,-41,-46,-50,-62,-50,-60,-56,-62,-66,-62,-58,-51,-63,-59,-72,-65,-69,-73,-76,-60,-70,-66,-65,-73,-68,-74,-76,-64,-83,-77,-78,-81,-71,-81,-87,-89,-86,-77,-200,-93,-90,-74,-79,-79,-90,-80,-85,-200,-90,-82,-76,-90,-95,-86,-200,-200,-200,-96,-200,-200,-92,-200,-95,-95,-91,-200,-200,-94,-93,-200,-200,-93,-200,-200,-200,-94,-85,-94,-200,-200,-200,-200,-200,-93,-200,-200,-86,-88,-91,-200,-98,-89,-97,-200,-200,-95,-98,-200,-200,-200,-200,-96,-200,-200
1526444182752,-36,-41,-41,-48,-57,-50,-63,-58,-63,-61,-63,-54,-54,-67,-57,-69,-72,-65,-77,-75,-53,-65,-66,-66,-67,-72,-73,-77,-70,-83,-84,-77,-75,-69,-84,-87,-81,-82,-87,-88,-95,-93,-77,-79,-80,-90,-76,-85,-200,-91,-81,-84,-90,-95,-86,-200,-200,-200,-200,-200,-200,-200,-200,-92,-95,-91,-200,-200,-96,-91,-200,-200,-200,-200,-200,-200,-94,-86,-94,-200,-200,-200,-200,-200,-93,-72,-200,-86,-200,-91,-200,-98,-89,-97,-200,-200,-95,-98,-200,-80,-200,-200,-96,-200,-200
1526444185797,-37,-42,-44,-51,-60,-58,-66,-53,-62,-61,-64,-61,-56,-68,-53,-65,-69,-73,-75,-74,-53,-68,-65,-67,-68,-70,-75,-79,-62,-87,-79,-73,-68,-72,-84,-81,-81,-87,-83,-90,-95,-90,-75,-79,-78,-81,-78,-85,-78,-91,-83,-80,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-89,-200,-96,-92,-200,-200,-200,-200,-200,-200,-200,-86,-99,-200,-200,-200,-200,-94,-93,-72,-200,-86,-91,-91,-200,-200,-200,-200,-200,-200,-200,-98,-200,-80,-200,-200,-96,-86,-200
1526444188847,-39,-42,-45,-52,-61,-59,-62,-56,-60,-63,-65,-63,-51,-76,-55,-69,-68,-71,-75,-75,-55,-64,-61,-69,-69,-68,-73,-77,-64,-87,-80,-76,-74,-72,-85,-83,-89,-83,-84,-90,-95,-89,-75,-200,-78,-81,-78,-200,-78,-91,-83,-80,-82,-200,-81,-200,-200,-200,-95,-200,-200,-200,-200,-90,-200,-200,-89,-200,-96,-91,-200,-200,-200,-200,-200,-200,-200,-86,-98,-200,-200,-200,-200,-94,-84,-79,-200,-200,-91,-94,-200,-200,-92,-200,-98,-200,-200,-99,-200,-80,-200,-200,-200,-86,-88
