,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whjx-gaofeng-13,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-xiaozhuyang-1,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-1,WHU-2018,D-Link_DIR-823Pro
1526444370343,-35,-59,-25,-56,-50,-64,-72,-56,-54,-67,-68,-68,-54,-60,-66,-54,-60,-78,-88,-87,-79,-82,-83,-73,-83,-76,-87,-73,-82,-78,-78,-91,-74,-81,-78,-87,-83,-87,-91,-87,-80,-88,-200,-200,-91,-85,-88,-87,-91,-89,-89,-94,-85,-94,-83,-93,-96,-94,-96,-96,-200,-200,-89,-200,-200,-67,-200,-200,-200,-90,-96,-200,-200,-200,-90,-200,-200,-200,-200,-93,-96,-97,-89,-90,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444373394,-31,-63,-32,-57,-54,-65,-70,-53,-51,-64,-61,-73,-53,-65,-69,-51,-60,-79,-83,-85,-81,-83,-84,-72,-79,-76,-87,-70,-82,-76,-78,-89,-75,-76,-81,-88,-78,-88,-90,-92,-81,-83,-200,-200,-91,-91,-92,-86,-94,-87,-92,-94,-85,-200,-200,-93,-96,-94,-98,-96,-96,-200,-89,-200,-200,-67,-200,-200,-200,-90,-96,-95,-97,-200,-90,-200,-200,-200,-200,-92,-200,-97,-89,-90,-99,-98,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526444376441,-42,-61,-25,-55,-54,-68,-69,-57,-53,-71,-63,-69,-54,-56,-69,-53,-59,-79,-84,-85,-78,-84,-80,-69,-78,-78,-87,-70,-82,-76,-81,-93,-82,-81,-84,-88,-78,-86,-92,-92,-80,-88,-200,-200,-91,-91,-92,-86,-91,-89,-90,-90,-200,-200,-200,-92,-200,-94,-95,-95,-95,-200,-200,-94,-200,-67,-200,-200,-200,-84,-200,-95,-97,-200,-200,-200,-200,-200,-200,-92,-200,-200,-89,-89,-99,-98,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526444379490,-34,-61,-30,-49,-55,-75,-73,-56,-52,-65,-64,-74,-54,-64,-65,-50,-57,-79,-86,-83,-78,-87,-80,-72,-79,-80,-88,-50,-87,-76,-87,-92,-75,-81,-81,-89,-77,-86,-91,-89,-77,-88,-200,-200,-89,-91,-86,-88,-89,-89,-90,-89,-86,-200,-200,-92,-200,-200,-97,-94,-95,-200,-200,-94,-94,-200,-200,-200,-90,-85,-97,-97,-97,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-90,-99,-200,-89,-89,-95,-200,-200,-200,-200,-200,-200
1526444382540,-35,-57,-25,-55,-59,-65,-67,-59,-51,-63,-63,-64,-51,-58,-58,-58,-57,-77,-82,-90,-74,-84,-90,-83,-83,-86,-88,-70,-85,-86,-87,-92,-74,-79,-83,-85,-80,-86,-91,-89,-87,-86,-200,-200,-88,-82,-87,-89,-89,-89,-91,-88,-80,-200,-200,-94,-200,-200,-97,-94,-95,-200,-76,-94,-94,-200,-200,-200,-90,-85,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-89,-95,-200,-200,-200,-200,-200,-200
1526444385590,-41,-58,-24,-54,-50,-57,-75,-56,-52,-59,-63,-63,-55,-64,-61,-52,-61,-76,-82,-85,-63,-82,-93,-68,-83,-83,-82,-70,-85,-76,-78,-92,-69,-75,-82,-82,-78,-87,-93,-91,-77,-82,-200,-200,-87,-81,-87,-90,-92,-89,-91,-88,-77,-200,-200,-94,-200,-94,-97,-94,-200,-200,-74,-94,-94,-200,-200,-200,-90,-88,-97,-97,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-89,-93,-93,-97,-200,-200,-200,-200
1526444388638,-34,-69,-31,-55,-58,-63,-67,-57,-50,-64,-60,-62,-57,-66,-66,-53,-61,-79,-83,-82,-87,-80,-93,-74,-78,-75,-85,-70,-81,-79,-78,-200,-77,-75,-83,-85,-77,-82,-86,-90,-76,-84,-200,-200,-87,-81,-87,-90,-92,-86,-88,-91,-77,-200,-93,-99,-200,-94,-97,-97,-97,-200,-74,-94,-200,-200,-200,-200,-200,-88,-200,-97,-200,-200,-90,-94,-88,-200,-200,-92,-200,-200,-200,-93,-200,-200,-200,-200,-93,-93,-97,-87,-200,-200,-200
1526444391688,-39,-60,-25,-54,-53,-68,-70,-54,-56,-61,-65,-67,-54,-63,-66,-51,-65,-79,-85,-83,-80,-78,-90,-74,-77,-80,-85,-71,-82,-79,-81,-200,-63,-76,-80,-84,-79,-82,-95,-89,-77,-84,-200,-200,-88,-86,-88,-87,-92,-86,-88,-91,-79,-200,-93,-99,-200,-95,-97,-95,-97,-200,-90,-94,-200,-200,-84,-200,-200,-89,-200,-97,-200,-200,-79,-94,-88,-200,-200,-92,-200,-200,-200,-88,-200,-200,-200,-200,-93,-94,-97,-87,-200,-200,-200
1526444394731,-35,-62,-31,-55,-48,-67,-70,-55,-56,-63,-63,-67,-54,-62,-75,-51,-66,-75,-87,-85,-80,-80,-86,-72,-77,-80,-83,-71,-83,-79,-81,-200,-70,-76,-83,-88,-79,-83,-93,-89,-78,-86,-200,-200,-86,-86,-88,-86,-93,-90,-91,-93,-75,-200,-93,-99,-200,-95,-97,-95,-97,-200,-90,-200,-200,-200,-84,-200,-200,-90,-95,-200,-200,-200,-93,-94,-88,-91,-200,-92,-200,-200,-200,-88,-95,-200,-200,-200,-94,-94,-200,-87,-94,-200,-200
1526444397774,-43,-59,-25,-53,-54,-59,-76,-58,-60,-63,-66,-68,-59,-64,-72,-55,-63,-75,-85,-83,-74,-79,-82,-76,-79,-77,-79,-71,-85,-77,-81,-200,-69,-78,-75,-80,-79,-85,-91,-90,-76,-80,-200,-200,-90,-86,-86,-88,-93,-88,-91,-93,-80,-94,-200,-97,-200,-97,-200,-95,-95,-200,-90,-200,-200,-200,-84,-200,-200,-92,-95,-200,-200,-200,-93,-200,-200,-91,-200,-200,-200,-200,-200,-86,-95,-200,-200,-200,-94,-94,-200,-200,-94,-200,-200
1526444400821,-44,-60,-24,-58,-60,-59,-70,-53,-54,-65,-56,-66,-55,-61,-59,-55,-62,-75,-82,-86,-78,-82,-92,-76,-82,-81,-84,-75,-85,-80,-200,-92,-74,-78,-81,-84,-79,-85,-94,-92,-82,-86,-200,-200,-90,-87,-87,-88,-93,-89,-91,-94,-80,-94,-200,-93,-200,-97,-96,-200,-95,-200,-90,-200,-200,-200,-200,-200,-200,-92,-95,-200,-200,-200,-93,-200,-200,-91,-200,-200,-200,-200,-200,-88,-95,-200,-200,-200,-94,-97,-200,-200,-97,-94,-97
1526444403869,-38,-63,-26,-55,-50,-61,-66,-58,-57,-62,-61,-64,-53,-62,-74,-55,-61,-73,-86,-79,-79,-83,-85,-75,-77,-78,-81,-71,-83,-78,-83,-91,-74,-76,-79,-84,-77,-85,-91,-84,-78,-85,-200,-200,-89,-84,-87,-88,-200,-86,-93,-95,-83,-94,-200,-97,-200,-93,-94,-200,-95,-200,-90,-96,-95,-200,-200,-92,-200,-89,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-92,-94,-200,-200,-97,-94,-97
