,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,DLINK_D00ED0,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whjx-xiaozhuyang-1,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526444010145,-31,-38,-63,-60,-67,-51,-59,-59,-70,-55,-45,-66,-55,-56,-71,-68,-62,-81,-66,-64,-76,-65,-72,-67,-72,-85,-62,-72,-68,-74,-200,-78,-85,-200,-82,-85,-86,-91,-200,-82,-82,-80,-90,-200,-81,-84,-73,-82,-83,-71,-83,-83,-94,-200,-91,-88,-90,-200,-94,-89,-200,-92,-200,-90,-92,-200,-95,-200,-94,-96,-94,-61,-74,-200,-200,-89,-92,-91,-94,-88,-93,-87,-200,-200,-200,-200,-200,-96,-93,-97,-86,-94,-95,-88,-200,-200,-200,-200,-200,-200
1526444013198,-32,-37,-63,-61,-61,-49,-58,-62,-70,-57,-45,-65,-58,-59,-70,-68,-61,-80,-66,-72,-73,-61,-72,-68,-71,-81,-57,-72,-67,-74,-200,-81,-200,-200,-80,-83,-81,-200,-200,-80,-86,-77,-86,-200,-81,-82,-76,-83,-83,-70,-84,-85,-94,-87,-90,-86,-90,-200,-200,-89,-200,-92,-200,-90,-200,-200,-95,-200,-200,-93,-92,-61,-82,-200,-82,-89,-92,-92,-94,-88,-93,-87,-200,-200,-200,-200,-200,-96,-93,-200,-200,-200,-95,-88,-88,-200,-200,-200,-200,-200
1526444016247,-36,-38,-68,-60,-65,-52,-41,-64,-78,-56,-48,-68,-55,-61,-73,-69,-64,-78,-73,-66,-73,-64,-70,-66,-73,-74,-60,-79,-76,-74,-200,-81,-85,-200,-79,-83,-79,-89,-200,-82,-86,-80,-86,-200,-78,-82,-75,-87,-84,-69,-84,-85,-88,-87,-87,-89,-89,-200,-200,-92,-200,-92,-94,-94,-200,-200,-200,-86,-96,-93,-92,-200,-82,-200,-82,-88,-200,-92,-94,-88,-97,-90,-200,-200,-200,-200,-200,-96,-93,-200,-200,-200,-200,-88,-88,-200,-200,-200,-200,-200
1526444019297,-36,-41,-56,-54,-46,-49,-60,-67,-71,-55,-47,-67,-62,-57,-69,-69,-60,-74,-72,-74,-73,-65,-70,-68,-72,-78,-65,-76,-76,-200,-200,-80,-85,-200,-84,-84,-80,-89,-200,-83,-90,-76,-87,-200,-79,-82,-73,-87,-84,-72,-85,-85,-88,-87,-87,-88,-89,-200,-200,-90,-200,-200,-93,-93,-200,-200,-200,-86,-96,-93,-92,-62,-82,-200,-80,-88,-200,-92,-200,-88,-97,-95,-90,-96,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-88,-96,-97,-200,-200,-200
1526444022346,-36,-45,-55,-55,-58,-47,-61,-72,-77,-57,-46,-71,-66,-59,-69,-76,-64,-76,-68,-73,-70,-62,-75,-72,-66,-80,-65,-74,-76,-71,-200,-88,-85,-200,-79,-81,-80,-87,-200,-80,-90,-78,-88,-200,-79,-82,-64,-90,-84,-74,-87,-87,-88,-200,-87,-91,-93,-200,-200,-90,-200,-92,-93,-92,-94,-94,-200,-86,-96,-200,-92,-60,-200,-200,-80,-88,-200,-200,-200,-88,-97,-96,-90,-96,-200,-200,-200,-97,-91,-94,-200,-200,-93,-89,-200,-96,-97,-200,-200,-200
1526444025391,-35,-44,-67,-58,-63,-52,-56,-66,-65,-55,-47,-67,-62,-54,-76,-69,-61,-74,-69,-70,-70,-64,-73,-68,-64,-77,-63,-70,-72,-78,-200,-75,-200,-200,-83,-81,-80,-87,-78,-80,-82,-77,-86,-200,-81,-83,-76,-84,-85,-71,-84,-84,-87,-200,-85,-93,-93,-200,-94,-88,-200,-92,-93,-92,-86,-94,-200,-86,-200,-200,-91,-60,-71,-200,-80,-90,-95,-94,-94,-88,-95,-92,-90,-91,-200,-200,-200,-97,-91,-94,-200,-200,-96,-89,-200,-96,-97,-200,-200,-200
1526444028447,-34,-42,-59,-64,-58,-54,-62,-70,-65,-56,-46,-66,-61,-51,-72,-66,-65,-77,-73,-64,-73,-71,-69,-71,-61,-78,-66,-82,-74,-78,-200,-76,-89,-200,-86,-88,-84,-86,-76,-80,-82,-76,-86,-200,-81,-83,-79,-83,-86,-74,-88,-83,-92,-89,-85,-86,-89,-200,-94,-91,-200,-92,-92,-90,-83,-93,-93,-90,-200,-200,-95,-68,-71,-200,-200,-92,-95,-94,-94,-95,-95,-91,-200,-91,-200,-200,-200,-97,-91,-95,-200,-200,-96,-89,-200,-200,-200,-200,-200,-200
1526444031498,-35,-36,-63,-59,-65,-52,-57,-66,-64,-57,-50,-68,-55,-57,-73,-73,-62,-77,-66,-63,-68,-65,-71,-69,-73,-81,-63,-74,-74,-73,-200,-77,-84,-200,-80,-85,-84,-86,-86,-82,-85,-78,-84,-200,-87,-200,-85,-80,-86,-75,-86,-87,-91,-89,-90,-88,-90,-200,-200,-88,-76,-200,-96,-90,-91,-93,-96,-91,-96,-96,-95,-60,-200,-86,-200,-90,-200,-94,-89,-93,-96,-91,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-89,-200,-93,-97,-95,-200,-200
1526444034553,-35,-40,-62,-58,-61,-54,-60,-64,-72,-56,-51,-67,-60,-55,-79,-62,-70,-71,-67,-73,-68,-66,-73,-72,-75,-79,-68,-75,-74,-73,-200,-76,-89,-200,-80,-82,-81,-91,-84,-81,-79,-80,-90,-200,-87,-85,-85,-85,-86,-72,-90,-83,-91,-89,-93,-87,-90,-200,-95,-88,-76,-91,-94,-89,-93,-93,-96,-93,-96,-96,-95,-73,-72,-86,-80,-90,-95,-94,-89,-91,-97,-91,-200,-200,-200,-200,-200,-200,-200,-95,-200,-95,-200,-89,-200,-93,-97,-95,-200,-200
1526444037612,-34,-37,-62,-60,-69,-55,-56,-65,-61,-54,-50,-68,-54,-50,-74,-68,-61,-69,-67,-72,-65,-67,-71,-80,-59,-81,-66,-79,-75,-70,-200,-76,-89,-200,-85,-82,-81,-88,-84,-82,-79,-77,-93,-72,-84,-86,-78,-82,-86,-78,-90,-83,-86,-200,-90,-87,-90,-200,-95,-88,-76,-91,-94,-88,-93,-95,-97,-89,-96,-96,-200,-73,-72,-86,-80,-90,-95,-95,-91,-91,-97,-91,-200,-91,-200,-200,-200,-200,-92,-200,-200,-95,-94,-89,-200,-93,-97,-92,-96,-98
1526444040678,-34,-47,-53,-64,-55,-62,-56,-62,-61,-58,-53,-74,-53,-48,-75,-65,-59,-69,-72,-80,-69,-68,-69,-71,-71,-81,-66,-79,-76,-73,-82,-73,-89,-200,-89,-82,-83,-88,-84,-82,-79,-80,-87,-72,-90,-88,-76,-82,-200,-73,-90,-88,-87,-88,-88,-89,-89,-200,-95,-200,-200,-89,-94,-89,-90,-95,-98,-89,-200,-200,-200,-73,-72,-200,-80,-200,-95,-95,-91,-89,-97,-91,-200,-91,-200,-89,-200,-200,-91,-200,-200,-95,-94,-200,-91,-200,-200,-92,-96,-98
1526444043741,-34,-34,-59,-60,-68,-50,-63,-64,-55,-53,-48,-65,-56,-54,-72,-65,-61,-78,-69,-77,-65,-64,-76,-69,-62,-80,-66,-73,-75,-73,-82,-75,-200,-88,-86,-90,-82,-90,-200,-78,-81,-83,-87,-72,-90,-84,-76,-82,-82,-78,-86,-82,-87,-88,-94,-87,-89,-200,-200,-87,-200,-89,-93,-89,-90,-95,-97,-87,-95,-200,-200,-66,-200,-200,-84,-200,-200,-95,-91,-89,-200,-91,-200,-91,-200,-95,-200,-200,-91,-200,-200,-200,-94,-200,-91,-200,-200,-92,-96,-98
