,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whjx-gaofeng-13,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro
1526444082102,-38,-40,-60,-45,-51,-62,-65,-57,-62,-58,-64,-53,-64,-59,-78,-62,-69,-73,-63,-66,-71,-65,-75,-83,-68,-81,-200,-80,-83,-84,-71,-77,-80,-72,-81,-80,-79,-76,-85,-88,-85,-87,-87,-87,-80,-88,-200,-86,-87,-91,-81,-88,-200,-200,-94,-93,-91,-91,-90,-200,-82,-95,-92,-86,-97,-95,-95,-200,-95,-93,-200,-92,-95,-200,-75,-91,-94,-82,-200,-200,-84,-200,-200,-95,-200,-200,-200,-200,-98,-88,-90,-88,-96,-98,-98,-200,-200,-200,-200,-200,-200,-200
1526444085157,-37,-39,-62,-49,-57,-59,-63,-55,-64,-60,-63,-56,-68,-64,-73,-63,-70,-67,-63,-68,-67,-68,-74,-83,-70,-78,-200,-80,-84,-85,-69,-71,-61,-76,-80,-80,-77,-77,-83,-93,-82,-84,-87,-85,-80,-88,-200,-86,-86,-91,-81,-89,-200,-200,-94,-93,-91,-90,-90,-200,-82,-95,-96,-86,-94,-95,-94,-200,-95,-93,-200,-92,-94,-200,-75,-91,-93,-78,-95,-91,-84,-200,-200,-95,-200,-200,-95,-200,-98,-200,-90,-88,-200,-200,-98,-90,-97,-98,-200,-200,-200,-200
1526444088213,-38,-39,-64,-47,-55,-60,-69,-60,-76,-58,-65,-54,-65,-59,-74,-63,-67,-65,-62,-70,-67,-60,-84,-83,-71,-80,-200,-75,-85,-87,-73,-71,-61,-75,-83,-82,-77,-77,-85,-89,-81,-86,-85,-85,-80,-88,-200,-86,-85,-91,-78,-89,-200,-97,-96,-93,-94,-91,-200,-200,-82,-94,-92,-86,-94,-95,-93,-200,-200,-94,-200,-93,-94,-200,-76,-91,-93,-78,-95,-91,-84,-200,-200,-200,-200,-200,-95,-200,-200,-200,-90,-88,-200,-200,-99,-90,-97,-97,-200,-200,-200,-200
1526444091275,-40,-40,-66,-47,-53,-64,-66,-57,-62,-57,-64,-53,-63,-62,-71,-63,-66,-66,-62,-69,-64,-65,-71,-83,-71,-77,-200,-77,-80,-87,-72,-65,-81,-74,-83,-81,-76,-75,-88,-89,-81,-86,-87,-85,-80,-200,-200,-200,-86,-91,-79,-89,-200,-97,-92,-200,-94,-96,-200,-200,-83,-94,-92,-88,-94,-200,-93,-200,-200,-93,-92,-95,-93,-200,-76,-91,-92,-83,-95,-91,-82,-96,-200,-94,-200,-200,-95,-200,-200,-200,-91,-200,-200,-200,-94,-90,-97,-97,-200,-200,-200,-200
1526444094325,-36,-40,-60,-52,-55,-65,-60,-60,-61,-56,-64,-53,-66,-64,-72,-60,-67,-75,-60,-63,-71,-59,-74,-81,-71,-78,-200,-75,-82,-91,-70,-65,-80,-76,-84,-81,-77,-76,-88,-89,-81,-84,-85,-88,-82,-84,-200,-200,-86,-200,-82,-89,-200,-97,-96,-200,-92,-96,-92,-95,-83,-94,-92,-86,-93,-97,-93,-200,-200,-93,-92,-95,-95,-200,-78,-92,-92,-83,-95,-200,-82,-93,-200,-94,-200,-200,-200,-200,-98,-200,-90,-200,-200,-200,-94,-200,-200,-97,-200,-200,-200,-200
1526444097374,-36,-41,-64,-49,-60,-62,-60,-56,-63,-56,-64,-55,-66,-56,-72,-62,-68,-68,-65,-73,-71,-63,-73,-78,-73,-78,-200,-74,-82,-86,-69,-71,-81,-76,-82,-81,-77,-76,-88,-89,-84,-84,-85,-86,-82,-84,-200,-200,-86,-200,-81,-87,-200,-200,-96,-200,-92,-96,-92,-95,-83,-96,-200,-85,-93,-97,-200,-200,-200,-93,-92,-95,-95,-200,-77,-92,-92,-83,-200,-200,-82,-94,-200,-94,-200,-200,-200,-200,-98,-200,-90,-200,-200,-200,-94,-200,-200,-200,-89,-92,-200,-200
1526444100419,-36,-39,-63,-50,-53,-61,-62,-57,-60,-57,-64,-57,-65,-58,-72,-63,-69,-69,-63,-64,-71,-62,-73,-82,-69,-77,-200,-76,-85,-86,-73,-71,-80,-74,-83,-81,-75,-75,-83,-89,-81,-83,-86,-89,-81,-84,-200,-200,-85,-200,-84,-88,-200,-200,-96,-200,-92,-200,-92,-95,-83,-96,-93,-87,-93,-97,-200,-200,-95,-94,-200,-96,-95,-96,-75,-92,-93,-81,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-98,-200,-90,-200,-200,-200,-200,-200,-96,-200,-89,-92,-94,-200
1526444103480,-43,-40,-63,-51,-58,-67,-61,-55,-62,-60,-65,-56,-58,-57,-64,-64,-67,-69,-64,-65,-66,-62,-74,-82,-69,-78,-200,-74,-82,-90,-64,-65,-80,-74,-86,-82,-74,-66,-83,-91,-81,-86,-87,-86,-82,-200,-85,-200,-85,-200,-81,-88,-200,-94,-200,-200,-200,-200,-200,-200,-85,-96,-92,-87,-93,-94,-92,-200,-95,-94,-200,-96,-95,-96,-76,-200,-93,-81,-93,-200,-200,-97,-200,-93,-200,-93,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-96,-200,-89,-92,-94,-200
1526444106527,-38,-40,-57,-51,-55,-59,-58,-56,-61,-54,-67,-57,-67,-58,-73,-59,-66,-72,-63,-68,-66,-61,-74,-82,-72,-81,-200,-76,-82,-88,-74,-68,-78,-74,-82,-81,-74,-78,-84,-91,-86,-83,-87,-88,-82,-82,-85,-200,-85,-200,-83,-88,-200,-94,-200,-85,-200,-200,-200,-97,-86,-200,-92,-86,-93,-96,-92,-200,-95,-92,-93,-96,-95,-96,-76,-200,-93,-81,-93,-200,-200,-94,-200,-94,-200,-95,-200,-200,-96,-200,-88,-200,-200,-200,-200,-200,-96,-200,-200,-200,-92,-200
1526444109583,-37,-40,-62,-53,-55,-68,-61,-55,-62,-60,-62,-56,-66,-57,-73,-64,-65,-70,-64,-68,-72,-63,-73,-200,-72,-80,-200,-76,-83,-89,-69,-67,-80,-200,-81,-80,-73,-76,-84,-90,-86,-85,-87,-84,-82,-82,-85,-200,-87,-200,-83,-87,-200,-94,-95,-85,-200,-91,-200,-96,-83,-94,-89,-86,-92,-96,-92,-200,-200,-92,-93,-94,-95,-200,-76,-200,-91,-77,-92,-200,-200,-94,-200,-94,-200,-95,-200,-200,-96,-200,-88,-200,-200,-200,-200,-91,-95,-200,-200,-200,-92,-200
1526444112641,-36,-38,-63,-53,-54,-59,-64,-58,-70,-56,-62,-61,-66,-65,-76,-62,-68,-70,-60,-65,-72,-63,-75,-83,-73,-80,-200,-76,-82,-89,-73,-66,-81,-200,-79,-72,-75,-76,-87,-88,-85,-83,-200,-84,-80,-82,-200,-200,-87,-200,-82,-87,-200,-98,-95,-85,-200,-91,-200,-94,-82,-94,-89,-86,-92,-96,-92,-200,-200,-91,-94,-95,-95,-200,-76,-91,-93,-77,-92,-200,-200,-94,-200,-94,-200,-95,-200,-200,-95,-200,-90,-200,-200,-200,-200,-91,-95,-200,-200,-200,-92,-92
1526444115693,-37,-39,-59,-54,-52,-61,-58,-60,-63,-59,-66,-64,-66,-55,-76,-59,-65,-70,-58,-68,-70,-62,-75,-79,-71,-80,-200,-78,-77,-89,-73,-73,-81,-200,-79,-80,-73,-76,-84,-88,-83,-85,-200,-84,-80,-200,-200,-200,-90,-200,-83,-90,-200,-98,-95,-200,-200,-91,-200,-94,-84,-94,-89,-86,-92,-200,-94,-200,-200,-92,-93,-95,-95,-200,-76,-91,-93,-77,-93,-200,-200,-200,-200,-200,-200,-94,-200,-200,-95,-90,-88,-200,-200,-97,-96,-91,-95,-200,-200,-200,-95,-92
