,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018
1526452958827,-45,-45,-46,-71,-71,-61,-53,-51,-55,-57,-64,-60,-60,-59,-68,-60,-68,-55,-71,-77,-72,-67,-79,-76,-76,-66,-68,-71,-65,-58,-71,-60,-79,-75,-75,-85,-70,-81,-88,-80,-77,-85,-76,-82,-200,-200,-79,-81,-83,-86,-84,-74,-85,-200,-88,-200,-85,-200,-200,-200,-88,-89,-89,-82,-82,-200,-85,-84,-200,-200,-81,-93,-200,-200,-200,-200,-200,-200
1526452961836,-44,-46,-49,-69,-69,-60,-50,-51,-56,-57,-64,-61,-64,-59,-68,-60,-67,-57,-71,-67,-70,-67,-69,-76,-76,-66,-71,-74,-71,-55,-76,-63,-78,-75,-75,-85,-77,-79,-84,-79,-76,-83,-76,-82,-86,-200,-76,-81,-81,-86,-84,-73,-85,-200,-88,-200,-85,-200,-200,-200,-88,-89,-89,-82,-84,-200,-85,-84,-200,-90,-81,-93,-88,-92,-200,-200,-200,-200
1526452964868,-43,-47,-51,-72,-72,-61,-50,-51,-54,-55,-58,-60,-57,-59,-68,-62,-69,-54,-72,-70,-70,-67,-71,-76,-76,-66,-68,-71,-74,-55,-75,-61,-78,-75,-74,-84,-79,-79,-84,-79,-79,-85,-76,-81,-80,-73,-76,-80,-81,-86,-84,-74,-85,-200,-200,-200,-87,-88,-200,-200,-87,-89,-89,-82,-83,-200,-85,-200,-200,-90,-81,-93,-88,-92,-85,-89,-90,-200
1526452967900,-45,-46,-47,-70,-74,-60,-53,-52,-55,-58,-58,-62,-61,-69,-68,-71,-69,-58,-72,-65,-71,-200,-71,-82,-200,-66,-68,-75,-72,-58,-75,-60,-78,-75,-74,-84,-77,-79,-83,-69,-79,-85,-77,-80,-85,-73,-77,-80,-81,-85,-84,-74,-85,-90,-200,-200,-87,-88,-200,-200,-87,-89,-89,-200,-83,-200,-85,-200,-200,-90,-83,-93,-88,-93,-86,-89,-90,-200
1526452970930,-44,-47,-47,-69,-75,-61,-52,-51,-53,-58,-59,-62,-59,-62,-71,-64,-69,-56,-69,-62,-71,-67,-71,-82,-200,-66,-67,-72,-73,-57,-78,-60,-79,-75,-76,-85,-77,-79,-83,-69,-76,-86,-76,-80,-85,-73,-80,-80,-82,-85,-84,-76,-87,-90,-200,-200,-88,-88,-200,-200,-87,-200,-88,-200,-83,-200,-200,-200,-200,-90,-83,-200,-88,-93,-86,-89,-89,-90
1526452973946,-49,-45,-46,-69,-75,-66,-53,-50,-54,-58,-59,-63,-58,-65,-70,-64,-68,-59,-73,-62,-71,-72,-72,-82,-200,-66,-66,-72,-74,-57,-72,-67,-74,-73,-74,-85,-77,-79,-84,-79,-86,-86,-76,-80,-85,-73,-79,-78,-84,-85,-77,-73,-87,-90,-200,-200,-88,-88,-200,-200,-89,-87,-87,-84,-83,-200,-200,-200,-89,-200,-83,-200,-87,-93,-86,-89,-89,-90
1526452976969,-47,-45,-48,-68,-72,-60,-55,-50,-57,-58,-57,-64,-58,-60,-70,-64,-66,-59,-70,-62,-71,-72,-73,-82,-200,-63,-66,-72,-74,-59,-72,-62,-74,-73,-73,-85,-77,-85,-84,-79,-80,-86,-77,-81,-85,-200,-79,-78,-82,-85,-77,-75,-90,-90,-200,-200,-89,-87,-200,-200,-89,-87,-87,-81,-200,-200,-200,-200,-89,-200,-83,-200,-87,-93,-86,-200,-91,-90
1526452979998,-45,-46,-48,-67,-72,-62,-52,-50,-57,-61,-57,-63,-57,-64,-70,-61,-68,-59,-73,-75,-71,-72,-72,-200,-68,-63,-66,-73,-75,-65,-74,-64,-74,-73,-78,-85,-81,-82,-85,-80,-80,-86,-76,-81,-200,-200,-79,-78,-85,-84,-77,-75,-87,-200,-200,-200,-89,-87,-200,-200,-89,-85,-87,-81,-200,-200,-200,-200,-89,-200,-200,-200,-87,-200,-200,-200,-91,-90
1526452983011,-47,-48,-48,-67,-72,-64,-54,-52,-55,-61,-57,-64,-56,-66,-68,-63,-67,-59,-75,-74,-71,-71,-71,-200,-71,-64,-65,-72,-75,-65,-74,-65,-74,-75,-77,-86,-81,-84,-85,-80,-82,-86,-77,-83,-200,-200,-77,-79,-85,-84,-77,-75,-87,-88,-200,-200,-89,-86,-200,-200,-89,-86,-87,-81,-200,-200,-200,-200,-89,-92,-200,-200,-87,-200,-200,-200,-91,-200
1526452986040,-45,-47,-47,-65,-72,-62,-52,-53,-55,-59,-57,-63,-60,-64,-65,-61,-67,-58,-73,-71,-72,-71,-70,-200,-71,-69,-65,-73,-74,-60,-78,-61,-76,-73,-77,-86,-81,-84,-87,-82,-79,-86,-76,-82,-200,-200,-77,-80,-85,-84,-200,-75,-84,-88,-200,-200,-89,-86,-200,-200,-200,-87,-88,-81,-200,-200,-200,-200,-200,-92,-200,-200,-88,-200,-200,-200,-91,-200
1526452989055,-50,-45,-47,-68,-72,-61,-53,-50,-56,-59,-55,-64,-60,-64,-67,-66,-67,-59,-73,-74,-72,-70,-70,-82,-71,-67,-68,-71,-77,-59,-78,-62,-74,-73,-79,-86,-81,-84,-85,-82,-83,-78,-77,-82,-200,-200,-77,-80,-85,-83,-200,-75,-87,-88,-200,-200,-87,-86,-200,-200,-200,-87,-88,-200,-84,-200,-200,-200,-200,-92,-88,-200,-88,-200,-86,-200,-200,-200
1526452992085,-46,-46,-46,-67,-72,-59,-52,-51,-56,-62,-58,-63,-59,-64,-67,-66,-69,-60,-73,-75,-72,-67,-74,-83,-71,-66,-68,-74,-73,-59,-75,-62,-74,-73,-73,-86,-80,-84,-85,-79,-81,-78,-72,-82,-200,-200,-78,-78,-86,-83,-200,-75,-86,-88,-200,-200,-87,-86,-200,-200,-200,-86,-88,-200,-85,-78,-89,-200,-90,-92,-88,-200,-88,-200,-86,-200,-200,-200
