,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,WHU-2018,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0
1526452814791,-51,-48,-46,-52,-51,-55,-49,-57,-73,-60,-50,-59,-66,-76,-55,-57,-56,-69,-68,-64,-68,-86,-61,-70,-70,-76,-68,-67,-78,-74,-200,-79,-72,-80,-77,-84,-77,-89,-80,-200,-200,-200,-86,-87,-77,-83,-200,-85,-83,-86,-84,-84,-79,-69,-76,-87,-85,-200,-200,-85,-200,-67,-86,-200,-87,-200,-64,-200,-88,-90,-88,-91,-200,-200,-200
1526452817814,-48,-48,-49,-47,-52,-53,-55,-58,-68,-66,-51,-59,-66,-76,-53,-44,-57,-61,-69,-63,-67,-86,-64,-70,-70,-80,-68,-67,-78,-53,-72,-79,-74,-80,-77,-84,-77,-88,-81,-200,-200,-200,-77,-89,-78,-83,-200,-85,-83,-84,-84,-82,-67,-71,-76,-87,-85,-200,-200,-85,-200,-67,-86,-200,-88,-200,-61,-200,-88,-90,-88,-91,-200,-200,-200
1526452820846,-49,-46,-50,-48,-50,-55,-50,-56,-58,-59,-50,-200,-65,-76,-52,-45,-59,-67,-69,-63,-68,-86,-64,-74,-71,-80,-70,-65,-79,-73,-72,-79,-71,-80,-77,-81,-77,-88,-81,-200,-200,-200,-77,-89,-75,-82,-91,-85,-83,-84,-84,-82,-67,-67,-74,-86,-88,-200,-79,-85,-200,-67,-86,-200,-88,-200,-61,-200,-87,-90,-86,-91,-94,-200,-200
1526452823862,-50,-49,-48,-50,-42,-52,-50,-58,-59,-66,-46,-200,-65,-54,-54,-48,-57,-69,-66,-62,-70,-200,-66,-75,-71,-76,-70,-65,-81,-74,-72,-77,-73,-80,-76,-81,-77,-89,-81,-200,-200,-200,-78,-90,-77,-82,-91,-86,-83,-84,-82,-81,-67,-70,-74,-86,-88,-200,-79,-200,-200,-69,-90,-200,-88,-89,-62,-200,-87,-200,-86,-91,-94,-200,-200
1526452826886,-49,-53,-48,-47,-50,-54,-52,-58,-60,-59,-48,-59,-64,-54,-53,-43,-57,-63,-68,-62,-68,-200,-62,-75,-71,-77,-70,-65,-79,-74,-70,-79,-73,-81,-76,-82,-75,-89,-81,-83,-84,-200,-78,-88,-77,-82,-87,-86,-83,-84,-85,-81,-66,-69,-74,-87,-88,-200,-79,-85,-200,-72,-90,-89,-88,-89,-62,-200,-87,-200,-86,-200,-94,-200,-200
1526452829905,-49,-51,-48,-45,-48,-52,-52,-69,-59,-66,-51,-59,-64,-57,-53,-44,-58,-70,-55,-63,-68,-200,-67,-75,-71,-77,-68,-64,-80,-77,-72,-78,-72,-81,-75,-82,-78,-88,-200,-83,-84,-200,-78,-88,-78,-81,-87,-86,-85,-85,-85,-81,-67,-67,-74,-87,-88,-200,-79,-85,-90,-72,-90,-89,-200,-89,-62,-200,-87,-200,-86,-200,-94,-200,-200
1526452832935,-49,-58,-48,-50,-48,-51,-53,-64,-57,-65,-48,-59,-59,-56,-53,-45,-58,-63,-65,-64,-69,-200,-68,-75,-72,-76,-69,-64,-80,-76,-72,-78,-74,-81,-73,-82,-78,-88,-82,-84,-84,-200,-85,-88,-79,-81,-87,-86,-83,-84,-85,-81,-67,-67,-73,-86,-200,-200,-200,-85,-90,-72,-90,-90,-200,-89,-59,-200,-200,-200,-200,-200,-200,-200,-200
1526452835945,-50,-53,-47,-51,-60,-52,-51,-59,-64,-60,-47,-59,-67,-56,-54,-45,-58,-62,-65,-63,-68,-200,-67,-76,-73,-76,-68,-64,-80,-76,-72,-78,-73,-81,-73,-83,-75,-88,-82,-84,-84,-200,-84,-87,-79,-84,-87,-87,-84,-84,-85,-84,-67,-67,-73,-86,-90,-200,-80,-85,-90,-69,-200,-90,-200,-200,-59,-200,-200,-200,-200,-200,-91,-200,-200
1526452838956,-49,-53,-47,-51,-48,-52,-50,-63,-56,-58,-48,-200,-64,-55,-52,-47,-58,-65,-65,-62,-69,-200,-68,-73,-72,-75,-68,-64,-81,-75,-72,-78,-74,-200,-73,-83,-77,-88,-82,-85,-200,-200,-84,-87,-79,-84,-89,-87,-84,-84,-200,-84,-67,-67,-73,-89,-90,-90,-80,-200,-90,-69,-200,-90,-200,-200,-59,-200,-86,-200,-87,-200,-91,-200,-200
1526452841988,-51,-47,-46,-46,-48,-51,-52,-60,-58,-58,-48,-58,-66,-57,-54,-48,-55,-62,-68,-62,-69,-200,-65,-73,-73,-76,-64,-200,-81,-75,-72,-79,-72,-200,-73,-83,-77,-200,-80,-87,-86,-200,-84,-87,-76,-84,-89,-85,-83,-85,-200,-82,-71,-67,-73,-89,-90,-90,-80,-200,-90,-63,-200,-90,-87,-200,-59,-86,-85,-200,-87,-200,-91,-87,-200
1526452845000,-51,-50,-43,-48,-48,-51,-52,-67,-61,-61,-49,-58,-67,-59,-53,-48,-60,-62,-68,-63,-68,-200,-65,-73,-72,-77,-66,-62,-81,-75,-72,-79,-73,-75,-72,-83,-79,-200,-80,-85,-86,-200,-78,-87,-76,-84,-94,-86,-83,-85,-200,-82,-71,-67,-74,-87,-86,-90,-80,-200,-90,-63,-200,-90,-87,-200,-200,-86,-85,-85,-88,-91,-91,-87,-91
1526452848033,-50,-51,-48,-51,-50,-49,-54,-61,-64,-66,-50,-60,-66,-54,-51,-47,-57,-67,-68,-63,-67,-200,-62,-73,-73,-80,-66,-67,-81,-75,-73,-78,-75,-75,-73,-83,-79,-200,-80,-85,-86,-200,-91,-90,-77,-200,-94,-87,-85,-84,-84,-82,-71,-68,-72,-87,-86,-90,-200,-200,-90,-63,-88,-90,-87,-200,-65,-86,-85,-85,-88,-91,-200,-87,-91
