,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00ED8,WHU-2018,DLINK_D00EC0,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,DLINK_D02A18,WHU-2018
1526452887377,-47,-56,-56,-46,-53,-53,-52,-62,-61,-68,-55,-62,-75,-56,-63,-55,-66,-69,-68,-64,-66,-69,-61,-71,-51,-65,-64,-200,-59,-90,-69,-84,-78,-83,-71,-69,-68,-67,-75,-79,-78,-81,-81,-76,-78,-200,-200,-78,-86,-200,-74,-87,-200,-200,-81,-200,-200,-200,-72,-200,-200,-90,-83,-200,-81,-200,-91,-200,-200,-84,-80,-90,-90,-200,-200,-200,-200,-200
1526452890400,-46,-53,-58,-46,-49,-53,-54,-58,-59,-65,-53,-62,-75,-56,-63,-54,-68,-69,-64,-64,-66,-67,-60,-76,-51,-65,-64,-200,-62,-200,-66,-84,-81,-83,-71,-66,-200,-72,-76,-79,-81,-81,-81,-76,-78,-88,-200,-75,-86,-200,-84,-87,-89,-88,-81,-200,-200,-200,-73,-200,-200,-90,-82,-79,-79,-200,-91,-200,-200,-200,-80,-90,-90,-200,-200,-200,-200,-200
1526452893429,-46,-57,-58,-45,-47,-55,-54,-61,-57,-62,-57,-67,-58,-59,-64,-58,-66,-71,-70,-64,-65,-67,-61,-76,-52,-68,-64,-78,-57,-200,-69,-81,-81,-83,-71,-66,-200,-72,-76,-79,-81,-81,-81,-76,-78,-87,-200,-75,-86,-200,-84,-87,-89,-88,-81,-200,-200,-200,-68,-200,-200,-87,-82,-79,-78,-200,-86,-200,-200,-200,-80,-90,-89,-82,-200,-200,-200,-200
1526452896456,-44,-59,-58,-46,-49,-55,-55,-61,-63,-72,-56,-67,-71,-57,-65,-58,-66,-72,-64,-64,-70,-69,-61,-77,-52,-65,-67,-78,-62,-200,-69,-81,-82,-81,-71,-65,-60,-71,-71,-79,-82,-81,-79,-76,-79,-87,-200,-75,-83,-80,-84,-87,-89,-88,-81,-200,-200,-200,-72,-200,-200,-87,-82,-79,-78,-200,-88,-200,-200,-200,-200,-200,-89,-82,-90,-200,-200,-200
1526452899480,-45,-56,-50,-45,-46,-57,-54,-67,-60,-69,-59,-59,-65,-60,-61,-63,-66,-69,-69,-64,-67,-76,-61,-80,-52,-65,-64,-80,-62,-200,-67,-85,-79,-81,-200,-63,-67,-73,-74,-200,-79,-78,-78,-200,-77,-87,-200,-75,-83,-79,-84,-87,-87,-88,-77,-200,-200,-91,-72,-200,-200,-92,-81,-81,-82,-200,-88,-200,-87,-200,-200,-200,-89,-82,-90,-90,-200,-200
1526452902509,-46,-55,-55,-47,-45,-57,-54,-69,-58,-72,-58,-61,-61,-58,-62,-61,-65,-70,-69,-200,-66,-69,-61,-82,-52,-65,-64,-78,-63,-200,-67,-85,-78,-81,-200,-63,-67,-74,-69,-84,-79,-77,-80,-200,-80,-87,-200,-75,-80,-79,-79,-87,-87,-200,-77,-200,-200,-91,-76,-200,-200,-92,-81,-81,-82,-200,-88,-200,-87,-200,-200,-200,-89,-82,-88,-90,-200,-200
1526452905533,-46,-55,-55,-48,-45,-55,-59,-61,-58,-68,-58,-61,-63,-61,-63,-61,-67,-69,-69,-200,-66,-69,-61,-82,-53,-65,-64,-78,-61,-200,-71,-81,-78,-81,-61,-63,-66,-67,-75,-85,-78,-76,-78,-200,-77,-200,-200,-200,-80,-79,-79,-87,-88,-200,-67,-200,-200,-91,-76,-200,-200,-92,-81,-82,-84,-200,-88,-89,-87,-200,-200,-200,-200,-200,-88,-90,-200,-200
1526452908562,-46,-53,-55,-48,-46,-57,-59,-65,-58,-68,-53,-60,-59,-54,-62,-60,-65,-69,-69,-69,-68,-76,-65,-82,-53,-67,-64,-78,-62,-200,-66,-81,-75,-85,-61,-65,-66,-73,-66,-82,-77,-76,-78,-82,-78,-87,-200,-200,-80,-86,-79,-87,-88,-200,-67,-200,-200,-88,-77,-200,-200,-92,-81,-82,-82,-200,-200,-89,-87,-200,-88,-200,-89,-200,-90,-91,-200,-200
1526452911597,-46,-55,-57,-46,-44,-57,-52,-67,-59,-67,-53,-61,-60,-57,-58,-60,-65,-69,-200,-69,-67,-77,-66,-76,-64,-67,-64,-78,-59,-200,-65,-81,-81,-85,-61,-63,-68,-72,-77,-82,-77,-83,-78,-82,-66,-87,-200,-81,-80,-82,-76,-87,-87,-88,-67,-200,-200,-88,-77,-200,-200,-200,-76,-84,-82,-200,-200,-89,-200,-200,-88,-200,-89,-200,-91,-91,-83,-90
1526452914620,-47,-60,-54,-47,-46,-57,-52,-65,-62,-65,-53,-66,-63,-55,-60,-60,-66,-72,-200,-69,-67,-76,-64,-66,-54,-67,-64,-200,-60,-200,-66,-81,-81,-85,-68,-63,-68,-75,-75,-82,-80,-83,-78,-78,-79,-87,-200,-75,-80,-80,-76,-87,-88,-88,-69,-200,-200,-88,-77,-200,-200,-200,-83,-84,-82,-200,-200,-89,-200,-200,-88,-200,-89,-200,-91,-91,-83,-90
1526452917653,-46,-56,-56,-46,-49,-57,-53,-61,-64,-72,-57,-66,-62,-57,-61,-64,-69,-72,-200,-69,-70,-69,-64,-79,-51,-67,-64,-200,-62,-200,-68,-200,-82,-85,-66,-63,-65,-71,-74,-82,-79,-77,-78,-78,-78,-87,-200,-75,-84,-80,-78,-88,-88,-88,-69,-200,-200,-88,-77,-200,-200,-200,-83,-81,-82,-200,-200,-200,-200,-200,-82,-200,-89,-200,-91,-91,-83,-90
1526452920678,-48,-55,-55,-43,-47,-57,-53,-65,-60,-64,-56,-61,-63,-56,-64,-64,-66,-73,-70,-69,-69,-74,-64,-79,-52,-70,-64,-200,-60,-200,-67,-85,-82,-200,-66,-61,-65,-73,-71,-200,-76,-80,-78,-80,-78,-200,-200,-79,-84,-79,-78,-88,-88,-88,-69,-200,-200,-88,-200,-200,-200,-200,-82,-81,-82,-200,-88,-88,-200,-200,-82,-200,-200,-200,-91,-200,-83,-90
