,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526453030749,-41,-49,-53,-52,-45,-63,-57,-60,-68,-68,-200,-67,-71,-57,-67,-65,-53,-59,-68,-68,-66,-200,-57,-71,-77,-56,-69,-69,-68,-76,-80,-78,-200,-81,-84,-82,-200,-67,-84,-81,-84,-73,-76,-78,-200,-88,-76,-200,-81,-84,-200,-200,-200,-83,-200,-200,-81,-200,-200,-200,-85,-200,-88,-87,-87,-200,-89,-200,-90,-68,-87,-90,-200,-200
1526453033771,-43,-47,-56,-51,-48,-64,-58,-58,-66,-70,-66,-67,-68,-59,-67,-65,-51,-59,-68,-68,-67,-200,-57,-74,-77,-58,-69,-70,-70,-76,-80,-78,-200,-78,-88,-82,-200,-66,-84,-81,-84,-76,-79,-81,-200,-88,-79,-200,-80,-84,-200,-200,-200,-83,-200,-200,-81,-200,-200,-200,-84,-200,-88,-200,-82,-200,-89,-200,-200,-68,-87,-90,-200,-200
1526453036794,-43,-46,-51,-51,-47,-64,-58,-60,-67,-59,-65,-69,-68,-61,-67,-59,-51,-66,-67,-68,-67,-200,-58,-76,-79,-66,-66,-70,-69,-75,-80,-77,-79,-78,-88,-78,-200,-67,-84,-81,-84,-76,-79,-78,-84,-88,-84,-72,-80,-84,-85,-200,-200,-83,-84,-83,-82,-200,-200,-87,-84,-200,-87,-200,-82,-200,-91,-200,-200,-200,-89,-90,-200,-200
1526453039822,-42,-47,-49,-50,-44,-63,-60,-58,-69,-59,-63,-69,-67,-54,-67,-59,-51,-66,-67,-68,-67,-200,-57,-73,-79,-57,-67,-70,-70,-75,-78,-77,-79,-79,-88,-78,-200,-67,-81,-78,-84,-73,-75,-79,-84,-200,-76,-72,-81,-200,-85,-200,-200,-87,-84,-83,-82,-200,-200,-87,-84,-200,-87,-88,-82,-200,-91,-200,-200,-200,-89,-200,-200,-200
1526453042847,-47,-48,-51,-51,-46,-61,-60,-58,-69,-58,-69,-68,-70,-53,-67,-58,-53,-66,-67,-69,-67,-200,-58,-74,-79,-56,-66,-72,-71,-75,-78,-77,-77,-79,-88,-78,-200,-65,-81,-78,-200,-73,-75,-80,-86,-200,-76,-72,-81,-200,-85,-200,-200,-87,-83,-83,-83,-200,-200,-87,-84,-200,-87,-88,-82,-90,-90,-200,-88,-59,-89,-200,-200,-200
1526453045870,-42,-47,-52,-51,-48,-55,-60,-59,-74,-60,-69,-67,-70,-55,-67,-61,-55,-66,-68,-69,-69,-200,-57,-72,-80,-58,-66,-70,-72,-77,-82,-77,-77,-76,-90,-76,-200,-66,-85,-81,-200,-75,-75,-79,-86,-87,-79,-70,-81,-200,-85,-85,-200,-86,-83,-83,-83,-200,-200,-87,-86,-200,-87,-89,-83,-90,-90,-200,-88,-59,-89,-200,-200,-200
1526453048899,-47,-46,-52,-51,-45,-58,-57,-61,-74,-60,-69,-68,-68,-53,-67,-61,-52,-66,-68,-69,-68,-200,-54,-73,-80,-58,-66,-72,-72,-75,-74,-77,-77,-76,-88,-73,-200,-66,-83,-79,-200,-74,-77,-78,-86,-87,-82,-70,-81,-200,-85,-85,-200,-86,-84,-200,-82,-86,-200,-200,-82,-200,-76,-89,-83,-90,-90,-200,-88,-59,-200,-200,-200,-200
1526453051910,-45,-47,-50,-53,-44,-59,-56,-60,-76,-59,-64,-64,-67,-61,-59,-62,-52,-60,-68,-73,-66,-79,-54,-70,-79,-60,-68,-72,-70,-74,-76,-78,-78,-76,-88,-74,-80,-66,-83,-79,-200,-73,-77,-78,-86,-87,-79,-68,-81,-200,-84,-85,-200,-86,-85,-200,-82,-86,-200,-200,-82,-200,-76,-89,-83,-90,-90,-200,-91,-59,-200,-200,-90,-200
1526453054941,-44,-47,-50,-51,-46,-61,-60,-58,-71,-58,-64,-65,-70,-60,-61,-62,-55,-60,-69,-71,-72,-79,-55,-73,-79,-69,-69,-74,-72,-74,-79,-76,-79,-78,-88,-74,-80,-66,-83,-79,-200,-74,-78,-78,-200,-87,-78,-68,-82,-200,-83,-84,-200,-84,-85,-200,-84,-86,-200,-88,-82,-89,-85,-89,-83,-90,-90,-200,-91,-200,-200,-200,-90,-89
1526453057956,-49,-46,-50,-52,-51,-59,-57,-57,-67,-59,-64,-67,-70,-57,-61,-66,-53,-68,-71,-66,-73,-81,-58,-74,-79,-69,-69,-68,-72,-77,-73,-75,-76,-84,-88,-73,-80,-66,-83,-82,-200,-77,-75,-78,-200,-89,-83,-68,-82,-200,-85,-84,-200,-84,-89,-200,-84,-86,-200,-88,-82,-89,-85,-200,-200,-90,-90,-200,-91,-65,-200,-200,-88,-89
1526453060969,-42,-46,-51,-55,-44,-60,-57,-58,-67,-58,-67,-69,-65,-54,-61,-66,-56,-68,-70,-70,-71,-81,-57,-74,-74,-69,-69,-70,-75,-77,-72,-76,-76,-76,-200,-73,-80,-70,-87,-82,-200,-77,-75,-77,-200,-89,-81,-68,-82,-200,-82,-84,-200,-84,-89,-200,-84,-87,-200,-88,-86,-89,-88,-200,-200,-90,-200,-200,-91,-65,-200,-200,-88,-89
1526453063981,-41,-46,-51,-50,-44,-62,-59,-61,-69,-65,-67,-68,-67,-56,-66,-64,-55,-68,-69,-71,-72,-81,-57,-76,-76,-59,-69,-71,-71,-77,-80,-76,-75,-82,-200,-73,-200,-69,-82,-81,-200,-74,-76,-78,-200,-86,-83,-69,-85,-200,-83,-86,-200,-87,-89,-200,-84,-87,-200,-88,-86,-89,-88,-90,-90,-200,-200,-200,-200,-66,-200,-200,-88,-89
