,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458488553,-36,-36,-55,-43,-51,-61,-59,-57,-62,-51,-50,-58,-56,-51,-55,-57,-64,-58,-56,-64,-64,-74,-70,-65,-200,-71,-77,-75,-79,-77,-84,-82,-200,-84,-88,-200,-200,-78,-89,-84,-82,-83,-91,-72,-88,-200,-200,-200
1526458491563,-36,-36,-55,-43,-51,-61,-59,-57,-62,-51,-50,-58,-56,-51,-55,-57,-64,-58,-56,-64,-64,-74,-70,-200,-200,-71,-77,-75,-79,-77,-84,-82,-200,-200,-88,-200,-200,-200,-200,-84,-82,-83,-91,-72,-88,-200,-200,-200
1526458494577,-36,-36,-53,-43,-49,-61,-59,-57,-55,-52,-57,-57,-56,-51,-55,-58,-64,-58,-56,-64,-64,-74,-71,-200,-200,-71,-78,-76,-77,-77,-84,-82,-200,-90,-88,-200,-200,-200,-200,-84,-82,-83,-91,-72,-88,-81,-200,-200
1526458497589,-36,-36,-53,-43,-49,-61,-59,-57,-55,-52,-57,-57,-56,-51,-55,-58,-64,-58,-56,-64,-64,-74,-71,-200,-200,-71,-78,-76,-77,-77,-84,-82,-200,-90,-88,-200,-200,-200,-200,-200,-82,-83,-91,-72,-88,-81,-200,-200
1526458500604,-33,-33,-45,-46,-46,-61,-52,-53,-61,-54,-54,-57,-53,-51,-55,-62,-64,-54,-56,-66,-64,-74,-71,-200,-200,-71,-79,-76,-77,-77,-88,-81,-200,-90,-84,-200,-200,-200,-200,-200,-82,-83,-91,-72,-88,-81,-67,-200
1526458503614,-33,-33,-45,-46,-46,-61,-52,-53,-61,-54,-54,-57,-53,-51,-55,-62,-64,-54,-56,-66,-64,-200,-71,-200,-200,-71,-79,-76,-77,-77,-88,-81,-200,-90,-84,-200,-200,-200,-200,-200,-82,-83,-91,-72,-88,-81,-67,-200
1526458506626,-33,-35,-44,-47,-52,-61,-52,-52,-63,-54,-56,-61,-53,-51,-54,-62,-64,-52,-56,-63,-64,-200,-71,-69,-200,-71,-79,-76,-77,-77,-88,-81,-200,-90,-83,-200,-200,-200,-200,-200,-82,-83,-91,-72,-88,-81,-67,-61
1526458509637,-33,-35,-44,-47,-52,-61,-52,-52,-63,-54,-56,-61,-53,-51,-54,-62,-64,-52,-56,-63,-64,-200,-71,-69,-200,-71,-79,-76,-77,-77,-88,-81,-200,-90,-83,-200,-200,-200,-200,-200,-200,-200,-200,-72,-88,-81,-67,-61
1526458512649,-33,-36,-44,-48,-46,-61,-54,-52,-66,-58,-53,-61,-55,-58,-54,-62,-64,-50,-56,-63,-64,-200,-71,-69,-200,-71,-79,-76,-77,-77,-89,-81,-200,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-72,-88,-81,-67,-61
1526458515660,-33,-36,-44,-48,-46,-200,-54,-52,-66,-58,-53,-61,-55,-58,-54,-62,-64,-50,-56,-63,-200,-200,-71,-69,-200,-200,-79,-76,-77,-77,-89,-81,-200,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-67,-61
1526458518671,-34,-37,-44,-48,-45,-53,-55,-52,-68,-58,-53,-61,-55,-54,-54,-62,-59,-50,-56,-63,-200,-200,-71,-69,-200,-200,-77,-76,-77,-77,-91,-81,-200,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-67,-61
1526458521680,-34,-37,-44,-48,-45,-53,-55,-52,-68,-58,-53,-61,-55,-54,-54,-62,-59,-50,-56,-63,-200,-200,-200,-69,-200,-200,-77,-200,-77,-77,-91,-81,-200,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-61
