,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0
1526459967276,-89,-79,-72,-81,-66,-200,-200,-200,-71,-200,-90,-93,-200,-200,-200,-200,-200,-92
1526459967465,-88,-79,-72,-200,-200,-80,-200,-200,-72,-200,-91,-91,-200,-200,-200,-200,-200,-200
1526459967602,-88,-80,-73,-200,-200,-80,-200,-200,-200,-200,-91,-86,-200,-200,-200,-200,-200,-200
1526459972051,-200,-70,-73,-72,-63,-76,-73,-200,-73,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526459972155,-88,-71,-73,-73,-200,-76,-73,-200,-73,-200,-90,-87,-200,-200,-200,-200,-200,-200
1526459972257,-200,-71,-73,-200,-63,-76,-71,-200,-73,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526459972364,-88,-71,-73,-73,-63,-200,-72,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459972476,-200,-72,-73,-73,-62,-77,-71,-200,-74,-200,-91,-88,-200,-200,-200,-200,-200,-200
1526459972586,-200,-72,-72,-73,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459977028,-96,-80,-81,-71,-73,-77,-71,-97,-75,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526459977134,-200,-200,-81,-70,-73,-78,-70,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200
1526459977262,-200,-200,-81,-200,-73,-77,-71,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459977369,-200,-200,-200,-71,-73,-200,-72,-200,-75,-90,-200,-200,-200,-99,-200,-200,-200,-200
1526459977478,-97,-79,-81,-200,-73,-77,-72,-200,-75,-93,-200,-200,-200,-200,-200,-200,-99,-200
1526459982048,-89,-200,-73,-79,-66,-81,-70,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-93
1526459982152,-89,-79,-71,-80,-66,-80,-73,-200,-71,-200,-93,-200,-200,-98,-200,-200,-200,-93
1526459982259,-200,-79,-200,-81,-67,-82,-73,-200,-72,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526459982353,-89,-81,-200,-81,-200,-81,-200,-200,-71,-94,-200,-93,-200,-200,-200,-200,-200,-200
1526459982464,-89,-80,-72,-200,-67,-81,-71,-200,-71,-200,-90,-92,-200,-200,-200,-200,-200,-92
1526459982576,-200,-200,-72,-80,-200,-81,-73,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459987048,-89,-72,-73,-72,-200,-200,-73,-200,-200,-200,-90,-85,-200,-200,-200,-200,-200,-200
1526459987152,-200,-71,-200,-73,-200,-76,-72,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459987255,-88,-200,-73,-72,-63,-200,-200,-200,-200,-200,-91,-87,-200,-200,-200,-200,-200,-200
1526459987356,-88,-200,-73,-73,-63,-75,-200,-200,-73,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526459987489,-200,-71,-200,-73,-61,-75,-73,-200,-73,-200,-89,-85,-200,-200,-200,-200,-200,-200
1526459987581,-88,-79,-82,-200,-63,-76,-71,-97,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526459992102,-97,-80,-200,-71,-72,-77,-72,-200,-76,-200,-200,-200,-200,-99,-200,-200,-200,-200
1526459992231,-200,-79,-81,-71,-200,-77,-72,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526459992338,-200,-79,-82,-200,-72,-77,-72,-97,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526459992442,-95,-79,-81,-200,-73,-200,-71,-200,-75,-91,-200,-200,-200,-200,-200,-200,-98,-200
1526459992547,-200,-79,-82,-70,-200,-76,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
