,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
1526459087068,-71,-200,-94,-84,-72,-94,-77,-91,-76,-71,-200,-91,-87,-200,-200,-200
1526459087165,-70,-200,-200,-200,-72,-200,-78,-90,-200,-71,-200,-91,-86,-200,-200,-200
1526459087266,-70,-200,-95,-84,-73,-95,-200,-89,-200,-71,-200,-200,-87,-200,-200,-200
1526459087387,-70,-200,-95,-86,-72,-96,-78,-89,-200,-71,-200,-89,-87,-86,-200,-200
1526459087501,-71,-200,-98,-200,-72,-96,-78,-88,-200,-72,-200,-90,-200,-86,-200,-200
1526459087622,-200,-200,-200,-200,-200,-200,-200,-90,-200,-72,-200,-200,-200,-200,-200,-200
1526459092028,-200,-200,-200,-76,-73,-87,-200,-200,-72,-72,-91,-95,-200,-200,-200,-200
1526459092134,-200,-200,-85,-76,-73,-86,-90,-95,-200,-72,-200,-200,-200,-87,-200,-200
1526459092242,-66,-200,-85,-200,-73,-86,-91,-200,-72,-72,-90,-200,-200,-200,-200,-99
1526459092340,-66,-200,-200,-200,-73,-87,-90,-200,-73,-73,-91,-200,-200,-87,-200,-200
1526459092446,-66,-200,-85,-76,-200,-86,-90,-200,-200,-72,-90,-94,-200,-88,-200,-200
1526459092550,-67,-200,-86,-200,-73,-86,-91,-200,-200,-72,-92,-200,-200,-87,-200,-200
1526459092650,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200
1526459097025,-65,-200,-200,-71,-68,-86,-75,-200,-71,-64,-89,-88,-200,-200,-200,-200
1526459097186,-65,-200,-200,-72,-200,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200
1526459097297,-66,-200,-200,-73,-70,-87,-74,-86,-200,-64,-88,-89,-200,-200,-200,-200
1526459097482,-66,-200,-200,-72,-200,-88,-74,-200,-71,-200,-200,-90,-200,-200,-200,-200
1526459097589,-70,-200,-95,-72,-71,-200,-74,-200,-200,-72,-200,-91,-87,-85,-200,-200
1526459102129,-70,-200,-96,-84,-72,-200,-78,-200,-200,-71,-200,-90,-87,-200,-200,-200
1526459102220,-200,-200,-200,-85,-73,-96,-78,-90,-200,-200,-200,-90,-86,-200,-200,-200
1526459102331,-200,-200,-200,-200,-72,-96,-77,-200,-76,-72,-200,-89,-86,-85,-200,-200
1526459102435,-200,-200,-95,-200,-73,-200,-77,-89,-77,-72,-200,-90,-87,-85,-200,-200
1526459102540,-70,-200,-96,-85,-73,-96,-77,-200,-200,-200,-200,-90,-86,-86,-200,-200
1526459102652,-200,-200,-200,-200,-73,-200,-78,-200,-72,-73,-200,-200,-87,-86,-200,-200
1526459107049,-66,-200,-200,-76,-73,-200,-90,-200,-72,-72,-200,-97,-200,-87,-200,-200
1526459107157,-200,-200,-200,-76,-75,-200,-90,-200,-72,-72,-200,-200,-200,-87,-200,-200
1526459107258,-66,-200,-85,-76,-200,-87,-200,-93,-72,-72,-200,-200,-200,-87,-200,-95
1526459107372,-200,-200,-200,-200,-73,-86,-89,-200,-200,-72,-200,-200,-200,-87,-200,-200
1526459107481,-66,-200,-85,-76,-75,-87,-90,-200,-71,-72,-91,-200,-200,-87,-200,-200
1526459107587,-66,-200,-86,-75,-73,-86,-200,-200,-71,-200,-93,-200,-200,-200,-200,-200
1526459112042,-65,-200,-92,-200,-70,-200,-74,-86,-72,-64,-88,-200,-200,-94,-200,-200
1526459112140,-200,-200,-200,-72,-69,-200,-200,-200,-72,-65,-200,-200,-200,-200,-200,-200
1526459112251,-66,-200,-200,-73,-70,-200,-200,-86,-70,-64,-200,-200,-200,-91,-200,-200
1526459112358,-200,-200,-200,-72,-71,-200,-200,-200,-71,-64,-88,-200,-200,-200,-200,-200
1526459112459,-200,-200,-200,-72,-70,-200,-74,-200,-200,-64,-200,-89,-200,-92,-97,-200
1526459112583,-66,-200,-200,-72,-200,-200,-200,-200,-200,-200,-89,-200,-200,-93,-200,-200
