,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526458402043,-200,-200,-72,-200,-71,-200,-84,-75,-79,-200,-87,-200,-200
1526458402144,-200,-86,-72,-70,-71,-200,-84,-74,-200,-200,-200,-200,-200
1526458402254,-200,-85,-72,-200,-71,-200,-84,-75,-200,-200,-86,-200,-200
1526458402354,-200,-85,-72,-70,-71,-95,-84,-74,-200,-200,-200,-200,-200
1526458402461,-200,-85,-73,-71,-70,-200,-85,-200,-80,-200,-200,-200,-200
1526458402590,-86,-84,-75,-200,-70,-200,-200,-200,-80,-200,-200,-200,-200
1526458407097,-83,-73,-72,-70,-69,-200,-200,-200,-80,-200,-200,-200,-200
1526458407200,-83,-71,-200,-200,-69,-200,-78,-200,-200,-200,-87,-200,-200
1526458407315,-200,-200,-200,-69,-69,-200,-78,-200,-200,-200,-200,-200,-200
1526458407471,-87,-200,-71,-68,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526458407581,-90,-200,-73,-69,-80,-200,-77,-200,-200,-200,-91,-200,-200
1526458412111,-200,-90,-200,-74,-78,-96,-78,-200,-84,-200,-200,-200,-200
1526458412197,-90,-89,-200,-74,-200,-96,-77,-88,-84,-96,-91,-200,-200
1526458412306,-200,-200,-200,-74,-200,-200,-200,-89,-85,-200,-91,-98,-200
1526458412421,-90,-90,-72,-74,-200,-200,-78,-90,-84,-95,-91,-100,-98
1526458412538,-200,-89,-72,-75,-79,-200,-78,-90,-85,-96,-92,-200,-200
1526458412616,-91,-200,-200,-75,-200,-200,-200,-200,-86,-200,-200,-99,-200
1526458417028,-200,-86,-75,-71,-71,-200,-84,-74,-79,-200,-200,-200,-200
1526458417134,-200,-87,-74,-71,-71,-200,-83,-74,-200,-200,-87,-200,-200
1526458417237,-200,-86,-75,-71,-71,-200,-85,-75,-200,-200,-200,-200,-200
1526458417340,-200,-87,-74,-71,-71,-92,-84,-75,-200,-200,-87,-200,-200
1526458417457,-200,-200,-74,-200,-71,-200,-85,-200,-79,-95,-200,-200,-200
1526458417564,-88,-73,-74,-71,-70,-90,-84,-75,-200,-200,-200,-200,-200
1526458422099,-200,-72,-71,-68,-70,-90,-79,-200,-200,-200,-200,-200,-200
1526458422299,-200,-72,-73,-69,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526458422408,-200,-71,-71,-69,-200,-200,-78,-200,-80,-200,-200,-91,-200
1526458422516,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
