,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526458780020,-32,-32,-31,-40,-39,-33,-56,-46,-55,-53,-53,-56,-55,-61,-61,-60,-200,-53,-57,-200,-200,-69,-66,-69,-50,-200,-200,-69,-78,-84,-75,-81,-85,-200,-88,-52,-70,-74,-80,-88,-200,-200
1526458783040,-32,-32,-31,-40,-39,-33,-56,-46,-55,-53,-53,-56,-55,-61,-61,-60,-200,-53,-57,-200,-200,-69,-66,-69,-50,-200,-200,-69,-78,-84,-75,-81,-85,-200,-88,-52,-70,-74,-80,-88,-200,-200
1526458786075,-34,-35,-37,-42,-36,-53,-56,-46,-52,-53,-57,-56,-58,-61,-61,-66,-200,-58,-57,-200,-200,-69,-66,-71,-50,-200,-200,-73,-78,-78,-74,-81,-82,-200,-84,-52,-70,-74,-80,-88,-200,-200
1526458789087,-35,-35,-37,-42,-36,-53,-56,-46,-52,-53,-57,-56,-58,-61,-61,-66,-200,-58,-57,-200,-200,-69,-66,-71,-50,-200,-200,-73,-78,-78,-74,-81,-82,-200,-84,-52,-70,-74,-80,-88,-200,-200
1526458792103,-36,-35,-38,-42,-36,-37,-57,-45,-52,-53,-60,-52,-58,-61,-61,-63,-54,-56,-57,-200,-200,-69,-66,-71,-50,-63,-200,-74,-79,-78,-77,-81,-82,-200,-85,-200,-70,-74,-84,-88,-91,-200
1526458795114,-36,-35,-38,-42,-36,-37,-57,-45,-52,-53,-60,-52,-58,-61,-61,-63,-54,-56,-57,-200,-200,-69,-66,-71,-50,-63,-200,-74,-79,-78,-77,-81,-82,-200,-85,-200,-70,-74,-84,-88,-91,-200
1526458798139,-37,-36,-36,-42,-36,-32,-57,-46,-52,-51,-60,-52,-60,-60,-61,-65,-54,-64,-57,-200,-200,-71,-66,-71,-49,-65,-200,-74,-77,-77,-77,-81,-83,-200,-85,-200,-78,-74,-84,-88,-91,-200
1526458801160,-37,-36,-36,-42,-36,-32,-57,-46,-52,-51,-60,-52,-60,-60,-61,-65,-54,-64,-57,-200,-200,-71,-66,-71,-49,-65,-200,-74,-77,-77,-77,-81,-83,-200,-85,-200,-78,-74,-84,-88,-91,-200
1526458804179,-39,-36,-36,-43,-36,-33,-57,-45,-52,-51,-59,-55,-62,-60,-61,-65,-54,-67,-57,-200,-65,-71,-63,-71,-49,-64,-200,-74,-77,-77,-77,-82,-87,-200,-85,-200,-78,-74,-84,-88,-91,-200
1526458807201,-38,-36,-36,-43,-36,-33,-57,-45,-52,-51,-59,-55,-62,-60,-61,-65,-54,-67,-57,-200,-65,-71,-63,-71,-49,-64,-200,-74,-77,-77,-77,-82,-87,-200,-85,-200,-78,-74,-84,-88,-91,-200
1526458810214,-36,-37,-38,-43,-36,-33,-57,-45,-52,-52,-59,-52,-61,-62,-61,-63,-54,-69,-200,-200,-65,-72,-63,-71,-49,-70,-200,-78,-77,-76,-77,-82,-86,-200,-84,-63,-78,-74,-82,-200,-91,-86
1526458813236,-38,-37,-38,-43,-36,-33,-57,-45,-52,-52,-59,-52,-61,-62,-61,-63,-54,-69,-200,-200,-65,-72,-63,-71,-49,-70,-200,-78,-77,-76,-77,-82,-86,-200,-84,-63,-78,-74,-82,-200,-91,-86
