,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526448424734,-46,-36,-49,-51,-61,-59,-51,-54,-64,-57,-68,-70,-55,-62,-66,-73,-64,-73,-70,-53,-77,-75,-70,-77,-76,-81,-81,-81,-74,-84,-83,-86,-92,-76,-87,-200,-81,-79,-66,-83,-84,-82,-87,-82,-89,-200,-200,-90,-81,-200,-71,-85,-87,-90,-90,-91,-90,-200,-86,-200,-82,-88,-88,-90,-200,-200,-88,-88,-88,-90
1526448427745,-47,-37,-41,-52,-65,-62,-51,-55,-63,-55,-68,-70,-56,-61,-66,-73,-63,-73,-70,-55,-77,-80,-68,-76,-75,-81,-76,-81,-75,-78,-73,-89,-89,-78,-88,-200,-81,-83,-69,-83,-84,-82,-91,-81,-89,-200,-200,-90,-82,-200,-72,-87,-89,-87,-89,-91,-90,-200,-88,-200,-82,-200,-88,-90,-200,-200,-88,-88,-200,-90
1526448430778,-46,-37,-41,-54,-66,-58,-50,-54,-63,-55,-69,-69,-56,-62,-67,-69,-63,-73,-73,-55,-76,-80,-69,-77,-76,-81,-77,-82,-77,-78,-73,-89,-91,-77,-87,-200,-81,-80,-82,-85,-83,-81,-89,-80,-89,-200,-200,-88,-80,-200,-72,-87,-90,-86,-90,-91,-90,-200,-88,-200,-78,-200,-88,-89,-200,-200,-200,-200,-200,-90
1526448433804,-45,-37,-41,-54,-58,-56,-49,-55,-61,-54,-68,-69,-52,-62,-66,-69,-64,-72,-71,-54,-72,-78,-75,-80,-79,-82,-77,-86,-77,-83,-73,-85,-90,-76,-87,-200,-81,-79,-67,-86,-82,-82,-88,-81,-200,-92,-200,-89,-81,-86,-71,-87,-91,-85,-89,-200,-91,-91,-88,-200,-79,-200,-87,-92,-200,-200,-88,-88,-200,-89
1526448436833,-45,-37,-44,-56,-56,-60,-50,-58,-60,-52,-68,-68,-55,-59,-65,-70,-65,-72,-74,-55,-72,-80,-69,-80,-79,-79,-77,-81,-75,-80,-74,-87,-90,-75,-86,-200,-81,-77,-67,-84,-82,-82,-87,-81,-88,-92,-200,-89,-85,-86,-73,-87,-90,-88,-90,-88,-89,-91,-88,-200,-80,-200,-87,-92,-200,-85,-90,-88,-89,-90
1526448439870,-42,-44,-42,-53,-57,-55,-50,-57,-64,-63,-68,-67,-55,-61,-52,-71,-66,-73,-75,-51,-73,-78,-77,-80,-79,-81,-78,-81,-75,-86,-73,-85,-90,-75,-86,-200,-81,-80,-80,-84,-82,-81,-87,-82,-88,-92,-200,-89,-78,-89,-73,-87,-90,-86,-90,-88,-90,-91,-90,-200,-78,-200,-87,-90,-200,-85,-90,-88,-89,-90
1526448442906,-46,-37,-40,-52,-57,-59,-49,-55,-63,-55,-66,-70,-56,-61,-52,-71,-63,-73,-71,-55,-76,-78,-69,-81,-76,-83,-76,-81,-75,-86,-75,-87,-90,-75,-88,-200,-81,-83,-80,-84,-84,-82,-85,-84,-88,-92,-200,-89,-81,-89,-72,-86,-90,-89,-89,-88,-93,-91,-88,-200,-81,-200,-87,-90,-91,-85,-90,-88,-89,-90
1526448445933,-45,-15,-43,-52,-57,-64,-48,-56,-62,-55,-68,-68,-57,-64,-64,-71,-63,-73,-74,-54,-73,-76,-69,-81,-77,-82,-76,-80,-76,-81,-74,-88,-200,-78,-86,-200,-81,-78,-80,-84,-83,-81,-85,-80,-90,-90,-200,-91,-79,-88,-72,-88,-90,-86,-90,-91,-93,-89,-90,-200,-76,-200,-87,-90,-91,-85,-89,-200,-89,-90
1526448448975,-46,-37,-45,-53,-58,-59,-50,-56,-62,-53,-67,-69,-57,-63,-65,-72,-62,-73,-74,-54,-73,-76,-75,-77,-77,-81,-77,-80,-76,-81,-78,-88,-200,-77,-86,-200,-81,-84,-66,-200,-83,-84,-87,-82,-90,-90,-200,-91,-78,-91,-74,-88,-88,-86,-88,-91,-89,-89,-90,-200,-76,-200,-88,-90,-91,-86,-90,-200,-200,-200
1526448451988,-44,-39,-42,-52,-59,-60,-48,-54,-60,-53,-67,-67,-56,-66,-69,-71,-63,-73,-69,-55,-76,-77,-75,-81,-77,-81,-76,-80,-75,-79,-74,-88,-90,-82,-87,-200,-82,-78,-66,-200,-84,-82,-87,-81,-90,-90,-200,-90,-78,-91,-73,-85,-90,-86,-88,-90,-89,-89,-90,-200,-80,-200,-88,-90,-91,-86,-88,-200,-200,-200
1526448455018,-46,-38,-44,-52,-64,-62,-49,-57,-58,-59,-69,-64,-56,-65,-65,-75,-64,-75,-74,-55,-78,-76,-75,-77,-76,-88,-78,-78,-76,-81,-73,-88,-87,-83,-87,-85,-79,-86,-79,-200,-84,-85,-87,-81,-90,-90,-200,-90,-80,-88,-74,-88,-90,-86,-89,-90,-89,-89,-90,-200,-73,-88,-88,-90,-200,-86,-88,-89,-200,-200
1526448458057,-46,-37,-43,-52,-60,-65,-49,-56,-60,-55,-66,-70,-66,-64,-65,-75,-64,-75,-74,-55,-80,-76,-70,-81,-76,-88,-75,-81,-74,-80,-73,-88,-87,-83,-86,-85,-79,-82,-80,-200,-83,-82,-88,-82,-90,-200,-200,-90,-82,-88,-72,-87,-90,-86,-90,-90,-89,-91,-90,-200,-79,-88,-88,-90,-200,-86,-88,-89,-200,-200
