,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526455754117,-200,-74,-200,-200,-200,-93,-67,-87,-200,-200,-200,-75,-200,-200,-84,-200,-82,-200,-200
1526455756294,-200,-73,-200,-200,-200,-200,-200,-200,-73,-200,-200,-70,-200,-200,-200,-200,-200,-200,-96
1526455757348,-200,-75,-200,-200,-76,-200,-70,-200,-200,-200,-200,-69,-75,-200,-84,-200,-200,-200,-200
1526455759556,-73,-200,-200,-200,-200,-88,-200,-200,-75,-200,-200,-70,-71,-91,-83,-200,-200,-200,-200
1526455760636,-81,-77,-73,-200,-82,-200,-72,-200,-200,-76,-200,-200,-79,-200,-81,-94,-200,-200,-200
1526455761755,-76,-74,-75,-65,-75,-200,-66,-200,-200,-81,-200,-200,-73,-200,-85,-85,-79,-200,-200
1526455762892,-200,-200,-200,-200,-76,-200,-66,-80,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455763931,-72,-73,-75,-200,-200,-200,-69,-95,-88,-200,-200,-72,-70,-200,-200,-88,-200,-200,-200
1526455765102,-200,-200,-200,-200,-80,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455766162,-200,-200,-200,-200,-79,-200,-68,-200,-200,-200,-200,-68,-71,-200,-200,-87,-82,-200,-200
1526455767263,-200,-75,-200,-76,-73,-82,-70,-200,-78,-200,-200,-200,-200,-92,-200,-200,-82,-200,-200
1526455768365,-200,-200,-200,-70,-200,-88,-65,-200,-200,-200,-200,-72,-82,-90,-200,-200,-200,-200,-200
1526455769514,-200,-200,-200,-72,-76,-88,-73,-200,-200,-77,-200,-200,-200,-200,-200,-200,-83,-200,-200
1526455769618,-76,-200,-77,-66,-200,-87,-71,-87,-73,-77,-200,-200,-69,-200,-79,-200,-82,-200,-200
1526455772867,-74,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-78,-200,-200,-200,-90,-200,-200,-200
1526455773975,-200,-200,-200,-67,-200,-200,-65,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-94,-200
1526455775105,-200,-200,-200,-200,-200,-200,-68,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455776160,-200,-200,-74,-200,-200,-200,-69,-200,-200,-200,-200,-76,-76,-200,-200,-200,-85,-200,-200
